rank min-srate avg-srate max-srate min-size avg-size max-size min-prec avg-prec max-prec min-rec avg-rec max-rec
1 0.0 0.2 1.0 1.0 54.8 55.0 0.10909091 0.10949495 0.11111111 0.8372093 0.8930233 0.95348835
2 0.0 0.3 1.0 1.0 55.4 56.0 0.10714286 0.1119228 0.12727273 0.8372093 0.89069766 0.95348835
3 0.0 0.23333332 0.6666667 1.0 56.3 57.0 0.10526316 0.11545853 0.14285715 0.8255814 0.88953495 0.95348835
4 0.0 0.3 0.75 1.0 56.9 58.0 0.10344828 0.11603038 0.14285715 0.8255814 0.89069766 0.95348835
5 0.0 0.32000002 0.6 1.0 57.5 59.0 0.10169491 0.11307286 0.14285715 0.8255814 0.8860465 0.95348835
6 0.0 0.31666666 0.6666667 1.0 58.1 60.0 0.1 0.11369018 0.14285715 0.8255814 0.8860465 0.95348835
7 0.0 0.32857144 0.71428573 1.0 58.7 61.0 0.09836066 0.11605003 0.16071428 0.8255814 0.8860465 0.95348835
8 0.0 0.35 0.75 1.0 59.1 62.0 0.09677419 0.116988495 0.16071428 0.8255814 0.8848837 0.95348835
9 0.0 0.36666667 0.7777778 1.0 59.5 63.0 0.0952381 0.11950159 0.16071428 0.8255814 0.8872093 0.95348835
10 0.1 0.38000003 0.7 1.0 60.0 63.0 0.0952381 0.12001312 0.15873016 0.8255814 0.8860465 0.95348835
11 0.09090909 0.37272727 0.6363636 1.0 60.7 64.0 0.0952381 0.1202772 0.1724138 0.8255814 0.883721 0.95348835
12 0.083333336 0.35833338 0.6666667 1.0 61.2 65.0 0.0952381 0.12095933 0.1724138 0.8255814 0.883721 0.95348835
13 0.15384616 0.35384616 0.61538464 1.0 61.9 65.0 0.09375 0.12128891 0.16949153 0.7906977 0.877907 0.95348835
14 0.14285715 0.35 0.5714286 1.0 62.4 66.0 0.09375 0.12046467 0.16949153 0.7906977 0.87674415 0.95348835
15 0.13333334 0.34 0.6 1.0 62.9 67.0 0.09375 0.12269386 0.18333334 0.7906977 0.877907 0.95348835
16 0.125 0.3375 0.625 1.0 63.5 68.0 0.092307694 0.124537945 0.18032786 0.7906977 0.877907 0.95348835
17 0.11764706 0.3352941 0.64705884 1.0 64.0 68.0 0.092307694 0.12670831 0.17741935 0.7906977 0.8790698 0.95348835
18 0.16666667 0.32777777 0.6111111 1.0 64.5 68.0 0.092307694 0.12721184 0.17741935 0.7906977 0.8697675 0.95348835
19 0.15789473 0.3210526 0.6315789 1.0 65.1 69.0 0.092307694 0.12598455 0.17460318 0.7906977 0.86744195 0.95348835
