rank min-srate avg-srate max-srate min-size avg-size max-size min-prec avg-prec max-prec min-rec avg-rec max-rec
1 0.0 0.2 1.0 1.0 54.8 55.0 0.10909091 0.10949495 0.11111111 0.8372093 0.89069766 0.95348835
2 0.0 0.2 0.5 1.0 55.5 56.0 0.10714286 0.11351371 0.12727273 0.8372093 0.8918605 0.95348835
3 0.0 0.23333332 0.6666667 1.0 56.1 57.0 0.10526316 0.11580999 0.14035088 0.8255814 0.8906978 0.95348835
4 0.0 0.325 0.5 1.0 56.5 58.0 0.10344828 0.115027145 0.14035088 0.8255814 0.8906978 0.95348835
5 0.0 0.32000002 0.6 1.0 57.2 59.0 0.10344828 0.113577746 0.13793103 0.8255814 0.88139534 0.95348835
6 0.0 0.31666666 0.5 1.0 57.8 59.0 0.10169491 0.11244527 0.13793103 0.8255814 0.88139534 0.95348835
7 0.14285715 0.3 0.42857143 1.0 58.5 60.0 0.1 0.11284075 0.13793103 0.8255814 0.88255817 0.95348835
8 0.125 0.3 0.5 1.0 59.2 61.0 0.09836066 0.111601114 0.13793103 0.8255814 0.88139534 0.95348835
9 0.11111111 0.3222222 0.5555556 1.0 59.5 62.0 0.09677419 0.112764314 0.13793103 0.8255814 0.88139534 0.95348835
10 0.1 0.32999998 0.5 1.0 60.1 63.0 0.0952381 0.11331469 0.13559322 0.8255814 0.88023263 0.95348835
11 0.09090909 0.33636364 0.54545456 1.0 60.6 64.0 0.09836066 0.115567945 0.15 0.8255814 0.877907 0.95348835
12 0.083333336 0.325 0.5 1.0 61.0 64.0 0.09836066 0.11644808 0.15 0.8255814 0.87674415 0.95348835
13 0.15384616 0.32307696 0.46153846 1.0 61.5 64.0 0.09677419 0.11551614 0.15 0.8255814 0.8755814 0.95348835
14 0.14285715 0.3285714 0.5 1.0 61.9 64.0 0.0952381 0.11645391 0.15 0.8255814 0.87558144 0.95348835
15 0.13333334 0.32666665 0.46666667 1.0 62.2 64.0 0.09375 0.11915281 0.16393442 0.8255814 0.8744186 0.95348835
16 0.125 0.3125 0.4375 1.0 63.1 65.0 0.092307694 0.1254035 0.16129032 0.8255814 0.8744186 0.95348835
17 0.11764706 0.31764707 0.47058824 1.0 63.5 66.0 0.09090909 0.12790672 0.16129032 0.8255814 0.8744186 0.95348835
18 0.11111111 0.3111111 0.44444445 1.0 64.1 66.0 0.09090909 0.12515455 0.16129032 0.81395346 0.8709303 0.95348835
19 0.10526316 0.30526316 0.47368422 1.0 64.7 67.0 0.09090909 0.12389412 0.15873016 0.7790698 0.8662791 0.95348835
20 0.1 0.3 0.45 1.0 65.2 68.0 0.08955224 0.12286121 0.171875 0.7790698 0.8662791 0.95348835
21 0.14285715 0.30952385 0.42857143 1.0 65.4 68.0 0.08955224 0.12391353 0.16923077 0.7790698 0.86744195 0.95348835
22 0.13636364 0.3090909 0.4090909 1.0 65.8 69.0 0.08955224 0.12472447 0.18461539 0.7906977 0.86860466 0.95348835
23 0.13043478 0.29565215 0.39130434 1.0 66.7 69.0 0.0882353 0.1260269 0.18181819 0.7906977 0.86860466 0.95348835
24 0.16666667 0.29999998 0.41666666 1.0 67.1 69.0 0.08695652 0.12682924 0.18181819 0.7906977 0.86860466 0.95348835
25 0.16 0.296 0.44 1.0 67.5 70.0 0.08695652 0.12754261 0.18181819 0.7906977 0.8709302 0.95348835
26 0.15384616 0.28846154 0.42307693 1.0 68.0 71.0 0.08571429 0.12811366 0.18181819 0.7906977 0.86860466 0.95348835
27 0.14814815 0.2851852 0.4074074 1.0 68.4 72.0 0.08571429 0.12875047 0.1641791 0.7906977 0.8697675 0.95348835
28 0.14285715 0.28214285 0.39285713 1.0 69.0 73.0 0.08571429 0.12903908 0.1641791 0.7906977 0.866279 0.95348835
29 0.13793103 0.27586207 0.37931034 1.0 69.8 74.0 0.08450704 0.13041471 0.16216215 0.7906977 0.8639535 0.95348835
30 0.16666667 0.28333336 0.36666667 1.0 70.0 74.0 0.083333336 0.13006291 0.16216215 0.7906977 0.8639535 0.95348835
31 0.16129032 0.28387094 0.38709676 1.0 70.3 74.0 0.08219178 0.12808539 0.16216215 0.7906977 0.8616279 0.95348835
32 0.15625 0.284375 0.375 1.0 70.9 75.0 0.08108108 0.12989089 0.16 0.76744187 0.8569767 0.95348835
33 0.18181819 0.2878788 0.3939394 1.0 71.2 75.0 0.08 0.12794052 0.16 0.76744187 0.85465115 0.95348835
34 0.1764706 0.2911765 0.38235295 1.0 71.4 76.0 0.08 0.12761262 0.1594203 0.73255813 0.84651166 0.9186047
35 0.17142858 0.2942857 0.4 1.0 71.8 77.0 0.08 0.12823726 0.16666667 0.73255813 0.84651166 0.9186047
36 0.16666667 0.29444447 0.3888889 1.0 72.2 78.0 0.08 0.12758888 0.16666667 0.74418604 0.8476745 0.9186047
37 0.1891892 0.29189187 0.3783784 1.0 72.5 78.0 0.08 0.12695065 0.16666667 0.74418604 0.85 0.9186047
38 0.18421052 0.28947368 0.36842105 1.0 72.8 78.0 0.08 0.12775537 0.16666667 0.74418604 0.84651166 0.9186047
39 0.17948718 0.2897436 0.3846154 1.0 73.1 78.0 0.078947365 0.12722617 0.16666667 0.74418604 0.8476745 0.9186047
40 0.175 0.29500002 0.375 1.0 73.4 79.0 0.078947365 0.12807916 0.16455697 0.75581396 0.84651166 0.9186047
41 0.17073171 0.297561 0.3902439 1.0 73.8 80.0 0.077922076 0.12741162 0.16666667 0.75581396 0.8500001 0.9186047
42 0.1904762 0.29285717 0.3809524 1.0 74.2 80.0 0.08108108 0.13074069 0.1780822 0.75581396 0.85 0.9186047
43 0.20930232 0.2930233 0.37209302 1.0 74.5 80.0 0.08108108 0.130131 0.17567568 0.75581396 0.8511628 0.9186047
44 0.22727273 0.2931818 0.36363637 1.0 74.8 80.0 0.08 0.1323632 0.17567568 0.75581396 0.8511628 0.9186047
45 0.22222222 0.2977778 0.37777779 1.0 74.9 80.0 0.08 0.13354579 0.17567568 0.75581396 0.84651166 0.9186047
46 0.2173913 0.29782608 0.39130434 1.0 75.3 80.0 0.08 0.1315364 0.17333333 0.75581396 0.8476745 0.9186047
47 0.21276596 0.2957447 0.38297874 1.0 75.6 80.0 0.078947365 0.13372461 0.17333333 0.75581396 0.8488372 0.9302326
48 0.20833333 0.29791668 0.39583334 1.0 75.7 80.0 0.078947365 0.13485382 0.17567568 0.75581396 0.84767437 0.9302326
49 0.20408164 0.29387754 0.3877551 1.0 76.3 81.0 0.077922076 0.13783833 0.18666667 0.75581396 0.84767437 0.9302326
50 0.2 0.292 0.38 1.0 76.8 82.0 0.077922076 0.13699876 0.18666667 0.75581396 0.84534883 0.9302326
51 0.19607843 0.3 0.39215687 1.0 77.0 82.0 0.077922076 0.13788876 0.19736843 0.75581396 0.84534883 0.9302326
52 0.1923077 0.29807693 0.3846154 1.0 77.1 82.0 0.07692308 0.14049307 0.2 0.7790698 0.8476745 0.90697676
53 0.18867925 0.2981132 0.3962264 1.0 77.4 82.0 0.07594936 0.1400173 0.2 0.7790698 0.8488372 0.90697676
54 0.18518518 0.29814816 0.4074074 1.0 77.7 82.0 0.07594936 0.13675416 0.18421052 0.7790698 0.8488372 0.90697676
55 0.2 0.3 0.4 1.0 78.1 82.0 0.075 0.13861021 0.18421052 0.7790698 0.84534883 0.90697676
56 0.19642857 0.3 0.39285713 1.0 78.2 82.0 0.075 0.13968678 0.18421052 0.7790698 0.844186 0.90697676
57 0.19298245 0.3 0.3859649 1.0 78.5 83.0 0.075 0.13917716 0.18181819 0.7790698 0.844186 0.90697676
58 0.18965517 0.3 0.37931034 1.0 79.0 84.0 0.075 0.13951361 0.1923077 0.7790698 0.84651166 0.9302326
59 0.18644068 0.3 0.37288135 1.0 79.4 84.0 0.075 0.14003375 0.20512821 0.7906977 0.85 0.9302326
60 0.2 0.30333334 0.36666667 1.0 79.7 84.0 0.075 0.13944156 0.20253165 0.7906977 0.85 0.9302326
61 0.19672132 0.30163932 0.37704918 1.0 80.1 84.0 0.0875 0.1412557 0.20253165 0.7790698 0.844186 0.89534885
62 0.20967741 0.30483872 0.37096775 1.0 80.2 84.0 0.0875 0.14105001 0.20253165 0.7790698 0.8383721 0.88372093
63 0.20634921 0.30476192 0.36507937 1.0 80.5 85.0 0.09756097 0.14298569 0.20253165 0.7790698 0.8383721 0.88372093
