rank min-srate avg-srate max-srate min-size avg-size max-size min-prec avg-prec max-prec min-rec avg-rec max-rec
1 0.0 0.2 1.0 1.0 54.6 55.0 0.10909091 0.109899 0.11111111 0.8372093 0.88720924 0.95348835
2 0.0 0.25 0.5 1.0 55.0 56.0 0.10714286 0.1109644 0.12962963 0.8372093 0.8837209 0.95348835
3 0.0 0.23333332 0.6666667 1.0 55.8 57.0 0.10526316 0.11476077 0.14545454 0.8255814 0.88255817 0.95348835
4 0.0 0.3 0.5 1.0 56.3 58.0 0.10344828 0.11378888 0.14545454 0.8255814 0.88255817 0.95348835
5 0.0 0.3 0.6 1.0 57.0 59.0 0.10169491 0.11235167 0.14285715 0.8255814 0.8732557 0.95348835
6 0.0 0.3 0.5 1.0 57.5 60.0 0.1 0.1114303 0.14285715 0.8255814 0.8732557 0.95348835
7 0.0 0.3 0.42857143 1.0 58.0 61.0 0.09836066 0.113896474 0.15789473 0.8255814 0.87325585 0.95348835
8 0.0 0.3 0.5 1.0 58.6 62.0 0.09677419 0.11282645 0.15789473 0.8255814 0.872093 0.95348835
9 0.0 0.33333334 0.5555556 1.0 58.9 63.0 0.0952381 0.115634345 0.15789473 0.8255814 0.872093 0.95348835
10 0.0 0.34 0.6 1.0 59.5 64.0 0.09375 0.116059445 0.15517241 0.81395346 0.8709302 0.95348835
11 0.09090909 0.34545454 0.54545456 1.0 60.0 64.0 0.09375 0.116660915 0.16949153 0.81395346 0.86744183 0.95348835
12 0.083333336 0.3333333 0.5 1.0 60.5 64.0 0.09375 0.11738287 0.16949153 0.81395346 0.86744183 0.95348835
13 0.07692308 0.33076924 0.46153846 1.0 60.9 64.0 0.09375 0.11666044 0.16949153 0.7906977 0.8569768 0.95348835
14 0.14285715 0.33571428 0.5 1.0 61.1 64.0 0.09375 0.11479129 0.16949153 0.7906977 0.855814 0.95348835
15 0.13333334 0.33333334 0.53333336 1.0 61.5 65.0 0.09375 0.1172838 0.18333334 0.7906977 0.855814 0.95348835
16 0.125 0.325 0.5 1.0 62.2 66.0 0.092307694 0.12067709 0.18032786 0.7906977 0.855814 0.95348835
17 0.11764706 0.32941177 0.5294118 1.0 62.4 66.0 0.092307694 0.122030035 0.18032786 0.7906977 0.855814 0.95348835
18 0.11111111 0.32222226 0.5 1.0 62.7 67.0 0.092307694 0.12145301 0.18333334 0.7790698 0.8476745 0.94186044
19 0.10526316 0.31578946 0.5263158 1.0 63.0 67.0 0.092307694 0.12074019 0.18032786 0.7790698 0.84069777 0.94186044
20 0.1 0.315 0.5 1.0 63.3 67.0 0.09090909 0.12021039 0.18032786 0.75581396 0.833721 0.94186044
21 0.14285715 0.31904763 0.52380955 1.0 63.3 67.0 0.09090909 0.11844876 0.16129032 0.75581396 0.83255816 0.94186044
22 0.13636364 0.32272726 0.5 1.0 63.8 68.0 0.09090909 0.12071458 0.16129032 0.75581396 0.833721 0.94186044
23 0.13043478 0.3086956 0.47826087 1.0 64.5 68.0 0.09090909 0.120889306 0.15873016 0.75581396 0.833721 0.94186044
24 0.125 0.30416664 0.45833334 1.0 64.9 69.0 0.08955224 0.12176367 0.15625 0.75581396 0.833721 0.94186044
25 0.12 0.308 0.48 1.0 65.0 70.0 0.09090909 0.12305383 0.15625 0.75581396 0.8290698 0.94186044
26 0.115384616 0.3 0.46153846 1.0 65.7 71.0 0.08955224 0.12174128 0.15625 0.75581396 0.8290698 0.94186044
27 0.11111111 0.3 0.44444445 1.0 65.8 72.0 0.08955224 0.122988805 0.16666667 0.75581396 0.82790697 0.94186044
28 0.10714286 0.3 0.42857143 1.0 66.0 73.0 0.09090909 0.123925544 0.1641791 0.75581396 0.82441866 0.94186044
29 0.10344828 0.29310346 0.41379312 1.0 66.6 74.0 0.08955224 0.124102 0.16176471 0.75581396 0.82325584 0.94186044
30 0.13333334 0.3 0.4 1.0 66.9 74.0 0.0882353 0.12358584 0.16176471 0.75581396 0.82325584 0.94186044
31 0.12903225 0.3032258 0.41935483 1.0 66.8 73.0 0.0882353 0.123787776 0.16176471 0.75581396 0.8220931 0.94186044
32 0.125 0.303125 0.40625 1.0 67.0 73.0 0.0882353 0.1263071 0.17391305 0.74418604 0.8151163 0.94186044
33 0.15151516 0.3090909 0.3939394 1.0 67.0 73.0 0.08695652 0.12637049 0.17391305 0.74418604 0.8127907 0.94186044
34 0.14705883 0.31176472 0.4117647 1.0 67.1 74.0 0.08695652 0.1262154 0.17391305 0.6976744 0.80581397 0.94186044
35 0.14285715 0.31428573 0.4 1.0 67.5 75.0 0.08695652 0.12681311 0.18571429 0.6976744 0.80465114 0.94186044
36 0.1388889 0.31388888 0.41666666 1.0 68.0 76.0 0.08695652 0.1258899 0.18571429 0.6976744 0.80465114 0.94186044
37 0.13513513 0.3108108 0.4054054 1.0 67.9 77.0 0.08695652 0.124573074 0.17142858 0.6976744 0.8069767 0.94186044
