rank min-srate avg-srate max-srate min-size avg-size max-size min-prec avg-prec max-prec min-rec avg-rec max-rec
1 0.0 0.2 1.0 1.0 13.0 13.0 0.9230769 0.93076926 1.0 0.069767445 0.08023255 0.093023255
2 0.0 0.2 0.5 1.0 13.9 14.0 0.85714287 0.878022 0.9285714 0.069767445 0.08139534 0.10465116
3 0.0 0.29999998 0.6666667 1.0 14.8 15.0 0.8 0.8585714 0.9285714 0.069767445 0.08953488 0.10465116
4 0.0 0.325 0.5 1.0 15.8 16.0 0.75 0.81000006 0.875 0.08139535 0.097674415 0.11627907
5 0.2 0.34000003 0.6 1.0 16.7 17.0 0.7058824 0.7727941 0.8235294 0.093023255 0.10465115 0.13953489
6 0.16666667 0.36666667 0.6666667 1.0 17.6 18.0 0.6666667 0.7506536 0.88235295 0.093023255 0.112790704 0.15116279
7 0.14285715 0.37142858 0.5714286 1.0 18.6 19.0 0.6315789 0.7207602 0.84210527 0.093023255 0.12209304 0.15116279
8 0.125 0.3625 0.625 1.0 19.6 20.0 0.6 0.6894737 0.7894737 0.10465116 0.13139537 0.18604651
9 0.11111111 0.37777776 0.6666667 1.0 20.4 21.0 0.6 0.6672557 0.75 0.10465116 0.13720933 0.18604651
10 0.2 0.38 0.6 1.0 21.4 22.0 0.54545456 0.6405411 0.7619048 0.10465116 0.14418605 0.19767442
11 0.18181819 0.36363637 0.6363636 1.0 22.3 23.0 0.5217391 0.6283267 0.77272725 0.12790698 0.15232559 0.20930232
12 0.16666667 0.36666667 0.6666667 1.0 23.3 24.0 0.5 0.6009387 0.73913044 0.12790698 0.15930232 0.20930232
13 0.15384616 0.35384616 0.61538464 1.0 24.0 25.0 0.52 0.59632474 0.7083333 0.13953489 0.16744184 0.22093023
14 0.21428572 0.35714287 0.5714286 1.0 24.7 26.0 0.5 0.5837285 0.7083333 0.13953489 0.17790696 0.23255815
15 0.2 0.36666667 0.53333336 1.0 25.5 27.0 0.4814815 0.5698975 0.68 0.13953489 0.18255813 0.24418604
16 0.1875 0.35625 0.5625 1.0 26.4 28.0 0.4642857 0.55032027 0.65384614 0.15116279 0.18953487 0.24418604
17 0.1764706 0.34117645 0.5294118 1.0 27.0 29.0 0.4814815 0.5452844 0.6666667 0.1627907 0.19534881 0.24418604
18 0.16666667 0.3388889 0.5 1.0 27.5 29.0 0.4827586 0.5490842 0.64285713 0.1627907 0.19418603 0.23255815
19 0.15789473 0.33157894 0.47368422 1.0 28.2 30.0 0.4814815 0.5460819 0.62068963 0.1744186 0.19651161 0.22093023
20 0.15 0.33 0.5 1.0 28.7 31.0 0.48387095 0.5506549 0.6333333 0.1627907 0.19767441 0.22093023
21 0.14285715 0.32857144 0.47619048 1.0 29.3 32.0 0.4642857 0.5428013 0.62068963 0.1627907 0.19651161 0.22093023
22 0.13636364 0.32727274 0.45454547 1.0 29.9 33.0 0.4848485 0.5451894 0.61290324 0.1744186 0.19999999 0.23255815
23 0.13043478 0.3217391 0.4347826 1.0 30.7 34.0 0.44117647 0.53135693 0.61290324 0.1744186 0.20697674 0.25581396
24 0.16666667 0.3333333 0.45833334 1.0 31.3 35.0 0.42857143 0.5243412 0.61290324 0.18604651 0.2127907 0.27906978
25 0.2 0.33600003 0.48 1.0 31.8 36.0 0.41666666 0.51975644 0.59375 0.18604651 0.22558141 0.3488372
26 0.1923077 0.33076924 0.46153846 1.0 32.6 37.0 0.43243244 0.5157442 0.5882353 0.19767442 0.23372094 0.3604651
27 0.18518518 0.3296296 0.44444445 1.0 33.5 38.0 0.4375 0.5107245 0.5882353 0.19767442 0.23837212 0.37209302
28 0.17857143 0.3285714 0.4642857 1.0 34.2 39.0 0.42424244 0.5004741 0.5882353 0.19767442 0.24418607 0.38372093
29 0.1724138 0.32413793 0.44827586 1.0 34.8 39.0 0.43589744 0.5003979 0.5714286 0.19767442 0.2523256 0.38372093
30 0.16666667 0.32333338 0.43333334 1.0 35.5 39.0 0.43589744 0.49636215 0.5555556 0.19767442 0.25465116 0.38372093
31 0.16129032 0.32903227 0.4516129 1.0 36.2 40.0 0.42857143 0.49556202 0.54545456 0.19767442 0.26279074 0.38372093
32 0.1875 0.33125 0.46875 1.0 36.7 41.0 0.41463414 0.48652846 0.54545456 0.19767442 0.2674419 0.38372093
33 0.18181819 0.33333334 0.4848485 1.0 37.3 42.0 0.4047619 0.48979577 0.57575756 0.19767442 0.27325583 0.38372093
34 0.1764706 0.33235294 0.47058824 1.0 37.8 42.0 0.39473686 0.48299307 0.5588235 0.19767442 0.27093023 0.3488372
35 0.17142858 0.3314286 0.45714286 1.0 38.3 42.0 0.3846154 0.4796783 0.54285717 0.20930232 0.27441865 0.3488372
36 0.16666667 0.33055556 0.4722222 1.0 38.9 42.0 0.375 0.4775363 0.5555556 0.22093023 0.28139538 0.3604651
37 0.16216215 0.33243245 0.4864865 1.0 39.3 42.0 0.375 0.47285628 0.5555556 0.22093023 0.2918605 0.38372093
38 0.15789473 0.3236842 0.47368422 1.0 40.2 43.0 0.36585367 0.46213144 0.5405405 0.23255815 0.29883724 0.38372093
39 0.15384616 0.3153846 0.46153846 1.0 40.9 44.0 0.36363637 0.4670171 0.5675676 0.23255815 0.3046512 0.38372093
40 0.15 0.3175 0.45 1.0 41.3 45.0 0.35555556 0.46777835 0.5675676 0.23255815 0.30813956 0.38372093
41 0.14634146 0.3195122 0.4390244 1.0 42.0 45.0 0.35555556 0.4598189 0.55263156 0.23255815 0.31162792 0.38372093
42 0.14285715 0.31666666 0.45238096 1.0 42.5 46.0 0.3478261 0.46454072 0.57894737 0.23255815 0.3151163 0.38372093
43 0.13953489 0.3232558 0.4651163 1.0 43.4 47.0 0.34042552 0.4619544 0.5897436 0.23255815 0.32325584 0.40697673
44 0.13636364 0.325 0.45454547 1.0 43.6 48.0 0.33333334 0.46219206 0.5897436 0.24418604 0.32558137 0.43023255
45 0.15555556 0.3288889 0.46666667 1.0 44.1 48.0 0.33333334 0.45844722 0.5641026 0.24418604 0.33255816 0.43023255
