rank min-srate avg-srate max-srate min-size avg-size max-size min-prec avg-prec max-prec min-rec avg-rec max-rec
1 0.0 0.1 1.0 1.0 54.9 55.0 0.10909091 0.1129293 0.12727273 0.8372093 0.8918605 0.95348835
2 0.0 0.25 1.0 1.0 55.3 56.0 0.10714286 0.1121176 0.12727273 0.8372093 0.88953495 0.95348835
3 0.0 0.23333332 0.6666667 1.0 56.1 57.0 0.10526316 0.11762816 0.12727273 0.8255814 0.8883721 0.95348835
4 0.0 0.275 0.75 1.0 56.7 58.0 0.10526316 0.1181377 0.12727273 0.8372093 0.8860465 0.95348835
5 0.0 0.3 0.6 1.0 57.3 59.0 0.10344828 0.118707344 0.12727273 0.8372093 0.88139534 0.95348835
6 0.0 0.28333336 0.5 1.0 58.0 60.0 0.10169491 0.124152765 0.14035088 0.8372093 0.877907 0.95348835
7 0.0 0.27142856 0.5714286 1.0 58.8 60.0 0.10344828 0.12756458 0.15254237 0.8372093 0.88023263 0.96511626
8 0.0 0.275 0.5 1.0 59.5 61.0 0.10169491 0.1277686 0.15254237 0.8372093 0.87325585 0.9302326
9 0.0 0.31111112 0.5555556 1.0 59.8 62.0 0.1 0.13048208 0.15254237 0.8372093 0.8720931 0.9302326
10 0.0 0.32 0.5 1.0 60.3 63.0 0.114754096 0.13110329 0.15254237 0.8372093 0.87325585 0.9302326
11 0.09090909 0.3272727 0.54545456 1.0 60.7 64.0 0.114754096 0.13186729 0.15 0.8372093 0.866279 0.9302326
12 0.083333336 0.325 0.5833333 1.0 61.2 65.0 0.114754096 0.13243307 0.16393442 0.8372093 0.86860466 0.9302326
13 0.15384616 0.33846158 0.53846157 1.0 61.6 65.0 0.11666667 0.13316494 0.16129032 0.8023256 0.85930234 0.9302326
14 0.14285715 0.34285715 0.5714286 1.0 62.0 66.0 0.10606061 0.13084868 0.16129032 0.8023256 0.86162794 0.9302326
15 0.13333334 0.3466667 0.6 1.0 62.5 67.0 0.104477614 0.13147028 0.16129032 0.8023256 0.86162794 0.9302326
16 0.1875 0.35 0.5625 1.0 63.1 67.0 0.104477614 0.13500597 0.17460318 0.8023256 0.85930234 0.9302326
17 0.1764706 0.3529412 0.5882353 1.0 63.4 67.0 0.104477614 0.13764822 0.17741935 0.8023256 0.866279 0.95348835
18 0.16666667 0.34444445 0.5555556 1.0 63.8 68.0 0.10294118 0.13829656 0.17741935 0.7906977 0.8581395 0.95348835
19 0.15789473 0.34210527 0.57894737 1.0 64.3 69.0 0.10144927 0.14030646 0.17460318 0.7906977 0.8581395 0.95348835
20 0.15 0.33999997 0.6 1.0 64.6 69.0 0.10144927 0.14122346 0.1904762 0.76744187 0.86046505 0.95348835
21 0.1904762 0.34761906 0.61904764 1.0 64.7 69.0 0.10144927 0.14415081 0.1904762 0.74418604 0.8534883 0.95348835
