rank min-srate avg-srate max-srate min-size avg-size max-size min-prec avg-prec max-prec min-rec avg-rec max-rec
1 0.0 0.2 1.0 1.0 54.7 55.0 0.10909091 0.11151515 0.12727273 0.8372093 0.89069766 0.95348835
2 0.0 0.25 0.5 1.0 55.3 56.0 0.10714286 0.1121176 0.12727273 0.8372093 0.8872093 0.95348835
3 0.0 0.23333332 0.6666667 1.0 56.1 57.0 0.10526316 0.11765152 0.14285715 0.8255814 0.88488376 0.95348835
4 0.0 0.3 0.5 1.0 56.6 58.0 0.10526316 0.11834903 0.14285715 0.8255814 0.88488376 0.95348835
5 0.0 0.3 0.6 1.0 57.3 59.0 0.10344828 0.118684255 0.14035088 0.8255814 0.87674415 0.95348835
6 0.0 0.28333333 0.5 1.0 57.9 60.0 0.10169491 0.12449799 0.14035088 0.8255814 0.8755814 0.95348835
7 0.0 0.28571433 0.42857143 1.0 58.5 61.0 0.10169491 0.12837431 0.15517241 0.8255814 0.87674415 0.94186044
8 0.0 0.2875 0.5 1.0 59.1 61.0 0.11666667 0.13043503 0.15517241 0.81395346 0.8697675 0.9302326
9 0.0 0.32222223 0.5555556 1.0 59.4 62.0 0.11666667 0.13314052 0.15517241 0.81395346 0.8697675 0.9302326
10 0.0 0.33 0.5 1.0 60.0 63.0 0.114754096 0.13513939 0.15517241 0.8372093 0.8709303 0.9302326
11 0.09090909 0.33636364 0.45454547 1.0 60.5 63.0 0.114754096 0.1356465 0.16666667 0.8372093 0.8697675 0.9302326
12 0.083333336 0.325 0.5 1.0 61.0 63.0 0.114754096 0.13954231 0.16949153 0.8255814 0.8686048 0.9302326
13 0.07692308 0.33846158 0.46153846 1.0 61.5 64.0 0.11290322 0.1400309 0.16666667 0.8023256 0.86162794 0.9302326
14 0.14285715 0.34285715 0.5 1.0 62.0 64.0 0.11111111 0.13745752 0.16666667 0.8023256 0.8627907 0.95348835
15 0.13333334 0.34666666 0.53333336 1.0 62.4 65.0 0.109375 0.13834862 0.18333334 0.8023256 0.85930234 0.9302326
16 0.125 0.3375 0.5 1.0 63.1 66.0 0.10769231 0.14163451 0.18333334 0.8023256 0.85930234 0.9186047
17 0.11764706 0.34117645 0.5294118 1.0 63.4 66.0 0.10606061 0.14581087 0.19672132 0.8023256 0.8616279 0.94186044
18 0.11111111 0.3388889 0.5 1.0 63.9 67.0 0.10606061 0.14460388 0.19672132 0.8023256 0.8581395 0.9302326
19 0.10526316 0.33157894 0.5263158 1.0 64.5 68.0 0.10606061 0.14627652 0.19354838 0.7790698 0.85930234 0.9302326
20 0.1 0.33 0.5 1.0 64.7 68.0 0.10606061 0.14740096 0.19354838 0.7790698 0.8569768 0.9302326
21 0.14285715 0.33333334 0.52380955 1.0 64.9 68.0 0.104477614 0.14835583 0.18032786 0.7790698 0.85930234 0.9302326
22 0.13636364 0.33636364 0.5 1.0 65.4 69.0 0.104477614 0.15330806 0.19354838 0.7906977 0.86046517 0.9302326
23 0.13043478 0.32173914 0.47826087 1.0 66.3 69.0 0.10294118 0.15420425 0.1904762 0.8023256 0.8651163 0.9186047
24 0.125 0.32083333 0.45833334 1.0 66.8 70.0 0.10144927 0.15471756 0.20634921 0.8023256 0.8651163 0.9186047
25 0.12 0.328 0.48 1.0 67.2 71.0 0.10144927 0.15533015 0.21875 0.8023256 0.86046517 0.9186047
26 0.115384616 0.3192308 0.46153846 1.0 67.9 72.0 0.10144927 0.15655431 0.21538462 0.8023256 0.86162794 0.9186047
27 0.11111111 0.32592592 0.4814815 1.0 68.3 73.0 0.1 0.15572345 0.21538462 0.8023256 0.85930234 0.9186047
28 0.10714286 0.325 0.4642857 1.0 68.8 74.0 0.09859155 0.15444663 0.21212122 0.7906977 0.855814 0.9186047
29 0.10344828 0.31724137 0.44827586 1.0 69.6 75.0 0.097222224 0.15550008 0.2238806 0.7906977 0.85465115 0.9302326
30 0.13333334 0.32333335 0.43333334 1.0 69.9 75.0 0.097222224 0.15483087 0.2238806 0.7906977 0.8523256 0.90697676
31 0.12903225 0.32258064 0.41935483 1.0 70.0 75.0 0.097222224 0.15460835 0.2238806 0.81395346 0.85813963 0.89534885
32 0.125 0.321875 0.40625 1.0 70.5 76.0 0.097222224 0.15771854 0.23529412 0.8023256 0.85348845 0.89534885
33 0.15151516 0.3212121 0.42424244 1.0 70.7 76.0 0.097222224 0.15868828 0.23529412 0.8023256 0.85465115 0.9302326
34 0.14705883 0.32058826 0.44117647 1.0 70.9 77.0 0.097222224 0.15824783 0.23529412 0.8023256 0.8511628 0.9302326
35 0.14285715 0.32285714 0.42857143 1.0 71.3 78.0 0.097222224 0.15997674 0.24637681 0.8023256 0.8488372 0.9302326
36 0.1388889 0.3222222 0.44444445 1.0 71.8 79.0 0.097222224 0.16028836 0.24637681 0.8023256 0.85 0.9302326
37 0.13513513 0.32162163 0.43243244 1.0 72.1 80.0 0.097222224 0.15954693 0.23188406 0.7790698 0.84534883 0.9302326
38 0.15789473 0.32105264 0.4473684 1.0 72.5 80.0 0.09589041 0.16159806 0.23188406 0.7790698 0.83837205 0.9302326
39 0.15384616 0.3205128 0.43589744 1.0 72.6 81.0 0.09589041 0.16266675 0.22857143 0.7790698 0.8383721 0.9302326
40 0.15 0.32250002 0.425 1.0 72.7 81.0 0.09589041 0.16377506 0.22857143 0.75581396 0.8302326 0.9302326
41 0.14634146 0.3195122 0.41463414 1.0 72.8 82.0 0.097222224 0.1635179 0.23188406 0.73255813 0.82441866 0.9302326
42 0.16666667 0.32142857 0.42857143 1.0 73.0 82.0 0.11111111 0.16445687 0.23188406 0.74418604 0.82441854 0.9302326
43 0.18604651 0.3209302 0.44186047 1.0 73.6 82.0 0.125 0.16443442 0.22857143 0.74418604 0.8279069 0.9302326
44 0.18181819 0.32045454 0.4318182 1.0 73.9 82.0 0.1369863 0.1706819 0.22857143 0.74418604 0.8267442 0.9186047
45 0.17777778 0.3288889 0.44444445 1.0 74.1 82.0 0.1369863 0.17014375 0.22535211 0.74418604 0.8209302 0.9186047
46 0.17391305 0.33260867 0.45652175 1.0 74.4 81.0 0.14473684 0.17090695 0.22222222 0.74418604 0.822093 0.9186047
47 0.17021276 0.3319149 0.4680851 1.0 74.6 81.0 0.14473684 0.1744866 0.22222222 0.74418604 0.81860465 0.9186047
48 0.1875 0.33125 0.45833334 1.0 74.7 81.0 0.14285715 0.17576008 0.22222222 0.74418604 0.81860465 0.9186047
