rank min-srate avg-srate max-srate min-size avg-size max-size min-prec avg-prec max-prec min-rec avg-rec max-rec
1 0.0 0.2 1.0 1.0 54.2 55.0 0.10909091 0.11252526 0.12727273 0.8372093 0.88720924 0.95348835
2 0.0 0.25 1.0 1.0 54.3 56.0 0.10909091 0.11600168 0.12962963 0.8372093 0.88255817 0.95348835
3 0.0 0.2 0.6666667 1.0 54.9 57.0 0.10909091 0.12379585 0.14545454 0.8255814 0.8790697 0.95348835
4 0.0 0.3 0.75 1.0 55.1 58.0 0.10909091 0.12701845 0.14545454 0.8255814 0.8790697 0.95348835
5 0.0 0.3 0.6 1.0 55.3 58.0 0.10909091 0.12837489 0.14545454 0.8255814 0.86976737 0.95348835
6 0.0 0.3 0.6666667 1.0 55.3 58.0 0.10909091 0.12837489 0.14545454 0.8255814 0.866279 0.94186044
7 0.0 0.27142859 0.5714286 1.0 55.5 58.0 0.11111111 0.13146955 0.15789473 0.8255814 0.8569768 0.9186047
8 0.0 0.275 0.5 1.0 55.7 59.0 0.11111111 0.13282344 0.15789473 0.7906977 0.84069765 0.9186047
9 0.0 0.31111112 0.5555556 1.0 56.0 59.0 0.10909091 0.13560079 0.15789473 0.7906977 0.8395349 0.9186047
10 0.0 0.32000002 0.6 1.0 56.3 59.0 0.10909091 0.14015266 0.17857143 0.7906977 0.8360465 0.89534885
11 0.09090909 0.3272727 0.54545456 1.0 56.6 60.0 0.10909091 0.1411804 0.19642857 0.7790698 0.83255816 0.89534885
12 0.083333336 0.30833334 0.5 1.0 56.3 59.0 0.10909091 0.14546105 0.2 0.76744187 0.8267442 0.89534885
13 0.07692308 0.31538466 0.53846157 1.0 56.6 59.0 0.12280702 0.14649999 0.2 0.76744187 0.8174418 0.88372093
14 0.071428575 0.3214286 0.5 1.0 56.8 59.0 0.12280702 0.14605342 0.2 0.74418604 0.8174418 0.90697676
15 0.06666667 0.32666668 0.46666667 1.0 57.0 60.0 0.12280702 0.1473385 0.21818182 0.74418604 0.81162786 0.88372093
16 0.0625 0.3125 0.4375 1.0 56.9 60.0 0.12280702 0.15457144 0.21818182 0.73255813 0.80232555 0.872093
17 0.05882353 0.31764707 0.47058824 1.0 56.7 59.0 0.12280702 0.15695332 0.21818182 0.73255813 0.79999995 0.872093
18 0.055555556 0.32222223 0.44444445 1.0 56.6 59.0 0.12280702 0.15727477 0.21818182 0.6976744 0.7883721 0.872093
19 0.05263158 0.3157895 0.47368422 1.0 56.5 58.0 0.125 0.15742591 0.21428572 0.68604654 0.77790695 0.872093
20 0.05 0.32500002 0.45 1.0 56.2 58.0 0.125 0.1583653 0.21428572 0.68604654 0.77441853 0.872093
21 0.0952381 0.3238095 0.47619048 1.0 56.4 58.0 0.125 0.15587893 0.19298245 0.6627907 0.76860464 0.872093
