rank min-srate avg-srate max-srate min-size avg-size max-size min-prec avg-prec max-prec min-rec avg-rec max-rec
1 0.0 0.4 1.0 1.0 13.0 13.0 0.9230769 0.9384616 1.0 0.069767445 0.08255813 0.093023255
2 0.0 0.35 1.0 1.0 14.0 14.0 0.85714287 0.8714286 0.9285714 0.069767445 0.08953488 0.11627907
3 0.0 0.33333334 0.6666667 1.0 15.0 15.0 0.8 0.8266667 0.8666667 0.08139535 0.097674415 0.12790698
4 0.25 0.325 0.75 1.0 15.9 16.0 0.75 0.7741667 0.8666667 0.08139535 0.10930233 0.1627907
5 0.2 0.32000002 0.6 1.0 16.8 17.0 0.7058824 0.7327206 0.8235294 0.093023255 0.11395349 0.15116279
6 0.16666667 0.3 0.6666667 1.0 17.8 18.0 0.6666667 0.6915033 0.7777778 0.11627907 0.13255815 0.15116279
7 0.14285715 0.25714284 0.5714286 1.0 18.7 19.0 0.6315789 0.6581871 0.7368421 0.11627907 0.13720933 0.1627907
8 0.125 0.275 0.5 1.0 19.7 20.0 0.6 0.65 0.7 0.11627907 0.14534883 0.1627907
9 0.11111111 0.2777778 0.5555556 1.0 20.4 21.0 0.5714286 0.6136341 0.7 0.12790698 0.15116279 0.1744186
10 0.1 0.28000003 0.5 1.0 21.4 22.0 0.54545456 0.5939827 0.6666667 0.12790698 0.15581396 0.19767442
11 0.09090909 0.2818182 0.54545456 1.0 22.3 23.0 0.5217391 0.57455295 0.6363636 0.13953489 0.16744187 0.23255815
12 0.083333336 0.275 0.5833333 1.0 23.2 24.0 0.5 0.5565876 0.6086956 0.13953489 0.17209303 0.23255815
13 0.15384616 0.26923078 0.53846157 1.0 23.9 25.0 0.5 0.54898214 0.6086956 0.12790698 0.1744186 0.24418604
14 0.14285715 0.27857143 0.5 1.0 24.7 26.0 0.48 0.5392157 0.6086956 0.13953489 0.17790696 0.24418604
15 0.13333334 0.27333334 0.53333336 1.0 25.4 27.0 0.46153846 0.516802 0.5833333 0.13953489 0.18139532 0.25581396
16 0.1875 0.26875 0.5 1.0 26.4 28.0 0.44444445 0.5008673 0.56 0.1627907 0.19883719 0.25581396
17 0.1764706 0.2647059 0.47058824 1.0 27.2 29.0 0.42857143 0.48676792 0.5833333 0.1627907 0.20813954 0.29069766
18 0.16666667 0.27222222 0.44444445 1.0 27.9 29.0 0.44827586 0.47822204 0.6 0.1627907 0.20930234 0.3255814
19 0.15789473 0.26842105 0.42105263 1.0 28.5 29.0 0.44827586 0.47468734 0.5769231 0.1627907 0.21511629 0.29069766
20 0.15 0.27000004 0.4 1.0 29.1 30.0 0.43333334 0.46871036 0.5769231 0.1627907 0.22325583 0.30232558
21 0.14285715 0.26190478 0.3809524 1.0 29.7 31.0 0.43333334 0.46292695 0.5769231 0.1744186 0.22558138 0.30232558
22 0.18181819 0.2727273 0.36363637 1.0 30.3 32.0 0.41935483 0.45347452 0.5555556 0.1744186 0.22674417 0.30232558
23 0.2173913 0.2826087 0.39130434 1.0 30.9 33.0 0.41935483 0.44788232 0.53571427 0.1744186 0.23488371 0.30232558
24 0.20833333 0.275 0.375 1.0 31.6 34.0 0.40625 0.4350552 0.53571427 0.18604651 0.24302325 0.3255814
25 0.2 0.27999997 0.36 1.0 31.9 34.0 0.3939394 0.4343129 0.53571427 0.18604651 0.23837209 0.3255814
26 0.1923077 0.28461537 0.34615386 1.0 32.8 35.0 0.38235295 0.41610026 0.51724136 0.18604651 0.24534884 0.3488372
27 0.18518518 0.2925926 0.37037036 1.0 33.5 36.0 0.37142858 0.41652304 0.51724136 0.1744186 0.25348836 0.3488372
28 0.17857143 0.2857143 0.35714287 1.0 34.1 37.0 0.37142858 0.4033535 0.5 0.1744186 0.25465116 0.3488372
29 0.1724138 0.2862069 0.3448276 1.0 34.6 38.0 0.3611111 0.4005987 0.516129 0.18604651 0.2639535 0.3488372
30 0.16666667 0.28666666 0.33333334 1.0 35.3 39.0 0.35135135 0.39250785 0.5 0.18604651 0.272093 0.3488372
31 0.19354838 0.28709674 0.3548387 1.0 36.0 40.0 0.3611111 0.3988369 0.5 0.18604651 0.27790698 0.3604651
32 0.1875 0.28125 0.34375 1.0 36.5 40.0 0.33333334 0.38855773 0.5 0.18604651 0.28488374 0.3604651
33 0.18181819 0.2909091 0.36363637 1.0 37.0 41.0 0.33333334 0.3883593 0.4848485 0.18604651 0.2883721 0.3604651
34 0.20588236 0.28823534 0.3529412 1.0 37.6 42.0 0.325 0.37961885 0.47058824 0.18604651 0.29302326 0.3488372
35 0.2 0.28857142 0.37142858 1.0 38.0 42.0 0.31707317 0.37543485 0.45714286 0.22093023 0.30232558 0.3604651
36 0.22222222 0.28611112 0.3888889 1.0 38.7 43.0 0.30952382 0.37382978 0.44444445 0.20930232 0.31395346 0.39534885
37 0.24324325 0.2891892 0.3783784 1.0 39.0 44.0 0.30952382 0.37354532 0.44444445 0.19767442 0.3127907 0.39534885
38 0.23684211 0.2868421 0.36842105 1.0 39.7 45.0 0.30952382 0.36421448 0.41025642 0.20930232 0.31627902 0.40697673
39 0.25641027 0.2897436 0.3846154 1.0 40.3 45.0 0.30232558 0.36401844 0.41025642 0.20930232 0.31976742 0.40697673
40 0.25 0.2925 0.375 1.0 41.0 46.0 0.30232558 0.3650555 0.42105263 0.20930232 0.33023253 0.41860464
