rank min-srate avg-srate max-srate min-size avg-size max-size min-prec avg-prec max-prec min-rec avg-rec max-rec
1 0.0 0.3 1.0 1.0 54.0 54.0 0.11111111 0.11111112 0.11111111 0.8372093 0.8918605 0.95348835
2 0.0 0.3 0.5 1.0 54.0 54.0 0.11111111 0.11481482 0.12962963 0.8023256 0.8790698 0.94186044
3 0.0 0.26666665 0.6666667 1.0 53.9 54.0 0.11111111 0.1150594 0.13207547 0.76744187 0.8709303 0.9302326
4 0.0 0.3 0.5 1.0 53.9 54.0 0.11111111 0.116911255 0.13207547 0.74418604 0.8662791 0.9302326
5 0.0 0.3 0.6 1.0 53.8 54.0 0.11111111 0.1171209 0.13207547 0.74418604 0.85930234 0.9302326
6 0.0 0.28333333 0.5 1.0 53.8 54.0 0.11111111 0.12085954 0.13207547 0.74418604 0.8488372 0.94186044
7 0.0 0.28571433 0.5714286 1.0 53.8 54.0 0.11111111 0.12463312 0.1509434 0.75581396 0.8511628 0.94186044
8 0.0 0.275 0.625 1.0 53.8 54.0 0.11111111 0.12463312 0.1509434 0.6976744 0.8360465 0.90697676
9 0.0 0.3 0.6666667 1.0 53.9 55.0 0.11111111 0.124397434 0.1509434 0.75581396 0.8418605 0.90697676
10 0.0 0.31 0.6 1.0 53.9 55.0 0.11111111 0.12432883 0.1509434 0.75581396 0.84534883 0.90697676
11 0.09090909 0.30909094 0.54545456 1.0 54.0 55.0 0.11111111 0.12594499 0.1509434 0.73255813 0.8430232 0.90697676
12 0.083333336 0.30833334 0.5 1.0 54.1 55.0 0.10909091 0.12944667 0.1509434 0.73255813 0.83953494 0.90697676
13 0.07692308 0.30769232 0.53846157 1.0 54.1 56.0 0.11111111 0.12939538 0.1509434 0.73255813 0.8279071 0.90697676
14 0.071428575 0.3 0.5 1.0 54.2 56.0 0.11111111 0.12912601 0.1509434 0.74418604 0.8348837 0.9186047
15 0.06666667 0.2866667 0.46666667 1.0 54.4 56.0 0.10909091 0.12866424 0.1509434 0.74418604 0.8290698 0.9186047
16 0.0625 0.275 0.4375 1.0 54.4 56.0 0.10909091 0.13048244 0.16363636 0.75581396 0.822093 0.9186047
17 0.05882353 0.28235295 0.4117647 1.0 54.5 56.0 0.10909091 0.13019022 0.16071428 0.75581396 0.82441866 0.9186047
18 0.11111111 0.28333336 0.44444445 1.0 54.4 56.0 0.11320755 0.13033125 0.16071428 0.75581396 0.8139536 0.9302326
19 0.10526316 0.2842105 0.42105263 1.0 54.5 56.0 0.11320755 0.13198236 0.16071428 0.74418604 0.8151162 0.9186047
20 0.15 0.285 0.45 1.0 54.5 56.0 0.11320755 0.13198236 0.16071428 0.74418604 0.8069768 0.9186047
21 0.1904762 0.2952381 0.42857143 1.0 54.4 56.0 0.11320755 0.13410483 0.16071428 0.74418604 0.8069768 0.94186044
22 0.18181819 0.2909091 0.45454547 1.0 54.4 56.0 0.11320755 0.13410483 0.16071428 0.73255813 0.80348843 0.94186044
23 0.17391305 0.2826087 0.4347826 1.0 54.4 56.0 0.11320755 0.13410483 0.16071428 0.6976744 0.79767436 0.94186044
24 0.16666667 0.27916664 0.41666666 1.0 54.4 56.0 0.11320755 0.13410483 0.16071428 0.6976744 0.7953488 0.94186044
25 0.2 0.276 0.44 1.0 54.4 56.0 0.115384616 0.13592981 0.16071428 0.6976744 0.7895349 0.94186044
26 0.1923077 0.26923078 0.42307693 1.0 54.3 56.0 0.11764706 0.13797423 0.16071428 0.6976744 0.78488374 0.96511626
27 0.18518518 0.262963 0.4074074 1.0 54.3 56.0 0.11764706 0.13979241 0.16363636 0.6627907 0.7837209 0.96511626
28 0.17857143 0.2642857 0.39285713 1.0 54.4 56.0 0.11764706 0.13954782 0.16363636 0.6627907 0.78023255 0.95348835
29 0.1724138 0.25862068 0.37931034 1.0 54.4 56.0 0.11764706 0.1449711 0.17857143 0.6627907 0.77325577 0.95348835
30 0.16666667 0.26666665 0.36666667 1.0 54.4 56.0 0.11764706 0.1449711 0.17857143 0.6627907 0.7639535 0.95348835
31 0.16129032 0.27419353 0.38709676 1.0 54.5 56.0 0.11764706 0.1465536 0.17857143 0.6627907 0.76279074 0.95348835
32 0.1875 0.278125 0.375 1.0 54.4 56.0 0.12 0.14497072 0.17857143 0.61627907 0.7511628 0.90697676
33 0.18181819 0.2818182 0.3939394 1.0 54.4 56.0 0.12 0.14497072 0.17857143 0.60465115 0.75 0.90697676
34 0.1764706 0.28823528 0.38235295 1.0 54.6 56.0 0.11764706 0.1462493 0.17857143 0.6395349 0.75 0.90697676
35 0.2 0.2914286 0.4 1.0 54.7 57.0 0.11764706 0.14408417 0.1754386 0.6395349 0.75 0.88372093
36 0.19444445 0.29166663 0.3888889 1.0 54.8 57.0 0.10909091 0.14564629 0.17857143 0.6395349 0.7453488 0.88372093
37 0.1891892 0.29459462 0.3783784 1.0 54.8 57.0 0.11764706 0.14746447 0.17857143 0.6395349 0.7372093 0.88372093
38 0.18421052 0.29473683 0.39473686 1.0 55.0 57.0 0.11764706 0.14519009 0.17857143 0.6511628 0.73023254 0.8488372
39 0.17948718 0.3025641 0.41025642 1.0 55.1 58.0 0.11764706 0.14494811 0.17857143 0.6511628 0.7348837 0.872093
40 0.175 0.3025 0.4 1.0 55.1 58.0 0.11764706 0.14673384 0.19642857 0.6511628 0.727907 0.8604651
41 0.17073171 0.30731708 0.41463414 1.0 55.2 58.0 0.11764706 0.14837 0.19642857 0.6744186 0.73255813 0.872093
42 0.16666667 0.30238098 0.4047619 1.0 55.3 58.0 0.11764706 0.1480254 0.19298245 0.6627907 0.73255813 0.90697676
43 0.1627907 0.30232555 0.41860464 1.0 55.3 58.0 0.11764706 0.1480254 0.19298245 0.6627907 0.7302326 0.9302326
44 0.1590909 0.3 0.4090909 1.0 55.3 58.0 0.11764706 0.1480254 0.19298245 0.627907 0.722093 0.89534885
45 0.15555556 0.30444446 0.42222223 1.0 55.2 58.0 0.11764706 0.1501628 0.19298245 0.627907 0.71976745 0.88372093
46 0.1521739 0.3 0.41304347 1.0 55.3 58.0 0.115384616 0.14811838 0.19298245 0.6511628 0.72325575 0.8604651
47 0.14893617 0.29787236 0.40425533 1.0 55.3 58.0 0.115384616 0.14802763 0.18965517 0.6511628 0.722093 0.8604651
48 0.16666667 0.2979167 0.41666666 1.0 55.5 58.0 0.115384616 0.14737973 0.18965517 0.6511628 0.7232558 0.8604651
49 0.18367347 0.3020408 0.40816328 1.0 55.5 58.0 0.12727273 0.1493028 0.18965517 0.6395349 0.7267442 0.8604651
50 0.18 0.302 0.42 1.0 55.6 59.0 0.12727273 0.14906901 0.18965517 0.6511628 0.72790694 0.8488372
51 0.19607843 0.30392158 0.43137255 1.0 55.4 60.0 0.12727273 0.14963351 0.18965517 0.627907 0.722093 0.81395346
