rank min-srate avg-srate max-srate min-size avg-size max-size min-prec avg-prec max-prec min-rec avg-rec max-rec
1 0.0 0.2 1.0 1.0 54.0 54.0 0.11111111 0.11481482 0.12962963 0.8372093 0.8860465 0.95348835
2 0.0 0.2 0.5 1.0 54.0 54.0 0.11111111 0.11851852 0.14814815 0.8372093 0.87674415 0.94186044
3 0.0 0.16666667 0.6666667 1.0 54.0 54.0 0.11111111 0.11851852 0.14814815 0.8255814 0.8697675 0.9302326
4 0.0 0.2 0.5 1.0 54.0 54.0 0.11111111 0.12222222 0.14814815 0.8255814 0.8720931 0.9302326
5 0.0 0.24000001 0.6 1.0 54.0 54.0 0.11111111 0.12407408 0.14814815 0.81395346 0.86860466 0.9302326
6 0.0 0.25 0.6666667 1.0 54.0 54.0 0.11111111 0.12407408 0.14814815 0.81395346 0.86046517 0.9302326
7 0.0 0.2571429 0.5714286 1.0 54.0 54.0 0.11111111 0.12777779 0.14814815 0.81395346 0.8546513 0.9302326
8 0.0 0.25 0.625 1.0 53.9 54.0 0.11111111 0.12987421 0.14814815 0.7906977 0.8360465 0.89534885
9 0.0 0.2888889 0.6666667 1.0 53.9 54.0 0.11111111 0.12987421 0.14814815 0.8023256 0.84069777 0.89534885
10 0.1 0.3 0.6 1.0 53.9 54.0 0.11111111 0.12987421 0.14814815 0.7906977 0.8360466 0.89534885
11 0.09090909 0.3090909 0.54545456 1.0 53.9 54.0 0.11111111 0.12987421 0.14814815 0.7906977 0.8302326 0.89534885
12 0.083333336 0.3 0.5 1.0 53.9 54.0 0.11111111 0.13357791 0.16666667 0.76744187 0.8302326 0.89534885
13 0.07692308 0.30769235 0.53846157 1.0 53.9 54.0 0.11111111 0.13542977 0.16666667 0.76744187 0.8290698 0.89534885
14 0.071428575 0.3 0.5 1.0 53.9 54.0 0.11111111 0.13542977 0.16666667 0.76744187 0.82558143 0.90697676
15 0.06666667 0.29333335 0.46666667 1.0 53.9 54.0 0.11111111 0.13542977 0.16666667 0.76744187 0.8139535 0.88372093
16 0.0625 0.28125 0.4375 1.0 53.9 54.0 0.11111111 0.13728163 0.16666667 0.76744187 0.8081395 0.8604651
17 0.11764706 0.28235298 0.4117647 1.0 53.9 54.0 0.11111111 0.13913347 0.16666667 0.75581396 0.8034884 0.872093
18 0.11111111 0.28888887 0.44444445 1.0 53.8 54.0 0.11111111 0.14126484 0.16666667 0.74418604 0.79883724 0.88372093
19 0.10526316 0.28421053 0.42105263 1.0 53.8 54.0 0.11111111 0.1431167 0.16666667 0.74418604 0.7953488 0.89534885
20 0.1 0.29 0.45 1.0 53.8 54.0 0.11111111 0.1431167 0.16666667 0.7209302 0.7860465 0.89534885
21 0.0952381 0.3 0.42857143 1.0 53.8 54.0 0.11111111 0.1431167 0.16666667 0.7209302 0.78023255 0.88372093
22 0.09090909 0.3 0.4090909 1.0 53.8 54.0 0.11111111 0.1450035 0.16666667 0.7093023 0.7872094 0.88372093
23 0.08695652 0.29130432 0.39130434 1.0 53.7 54.0 0.11111111 0.14524809 0.16666667 0.6976744 0.777907 0.88372093
24 0.083333336 0.28749996 0.41666666 1.0 53.6 54.0 0.11111111 0.14739022 0.16666667 0.6976744 0.7662791 0.88372093
25 0.08 0.292 0.44 1.0 53.6 54.0 0.11111111 0.1493133 0.17307693 0.6976744 0.7569767 0.8255814
26 0.07692308 0.28076926 0.42307693 1.0 53.6 54.0 0.11111111 0.1493133 0.17307693 0.68604654 0.7523256 0.8255814
27 0.074074075 0.2777778 0.4074074 1.0 53.5 54.0 0.12962963 0.15144466 0.17307693 0.68604654 0.73837215 0.8023256
28 0.10714286 0.28214285 0.42857143 1.0 53.5 54.0 0.12962963 0.15333146 0.17307693 0.68604654 0.73372096 0.7906977
29 0.10344828 0.28275865 0.41379312 1.0 53.4 54.0 0.12962963 0.15168789 0.16981132 0.68604654 0.72906977 0.81395346
30 0.1 0.2866667 0.4 1.0 53.3 54.0 0.12962963 0.15200236 0.16981132 0.6395349 0.7162791 0.81395346
31 0.12903225 0.30322582 0.41935483 1.0 53.3 54.0 0.12962963 0.15388915 0.16981132 0.6395349 0.71279067 0.81395346
32 0.125 0.30625 0.40625 1.0 53.3 54.0 0.12962963 0.15388915 0.16981132 0.6395349 0.7011628 0.75581396
33 0.121212125 0.3030303 0.3939394 1.0 53.2 54.0 0.12962963 0.15799063 0.18518518 0.6395349 0.688372 0.75581396
34 0.11764706 0.30882353 0.38235295 1.0 53.1 54.0 0.12962963 0.15833002 0.18518518 0.6395349 0.6848837 0.73255813
35 0.14285715 0.3114286 0.4 1.0 53.1 54.0 0.12962963 0.15833002 0.18518518 0.6395349 0.67674416 0.74418604
36 0.1388889 0.30833334 0.3888889 1.0 53.0 54.0 0.12962963 0.1586445 0.18518518 0.627907 0.6790698 0.75581396
