rank min-srate avg-srate max-srate min-size avg-size max-size min-prec avg-prec max-prec min-rec avg-rec max-rec
1 0.0 0.2 1.0 1.0 54.0 54.0 0.11111111 0.11481482 0.12962963 0.8372093 0.8965117 0.95348835
2 0.0 0.25 0.5 1.0 54.0 54.0 0.11111111 0.116666675 0.12962963 0.8023256 0.8860465 0.94186044
3 0.0 0.23333332 0.6666667 1.0 54.0 54.0 0.11111111 0.116666675 0.12962963 0.8255814 0.883721 0.94186044
4 0.0 0.275 0.5 1.0 54.0 54.0 0.11111111 0.11851852 0.12962963 0.81395346 0.88255805 0.94186044
5 0.0 0.28000003 0.6 1.0 54.0 54.0 0.11111111 0.12037037 0.12962963 0.81395346 0.87441856 0.94186044
6 0.0 0.26666665 0.5 1.0 54.0 54.0 0.11111111 0.12222222 0.12962963 0.81395346 0.8651163 0.95348835
7 0.0 0.2714286 0.42857143 1.0 54.0 54.0 0.11111111 0.12407408 0.14814815 0.8372093 0.86744183 0.95348835
8 0.0 0.2625 0.5 1.0 54.0 54.0 0.11111111 0.12407408 0.14814815 0.7790698 0.8511628 0.9302326
9 0.0 0.3 0.5555556 1.0 54.0 54.0 0.11111111 0.12407408 0.14814815 0.7906977 0.85465115 0.9302326
10 0.0 0.31 0.5 1.0 54.0 54.0 0.11111111 0.12222222 0.12962963 0.7906977 0.85348845 0.9302326
11 0.09090909 0.3090909 0.45454547 1.0 54.0 54.0 0.11111111 0.12407408 0.14814815 0.7790698 0.84883726 0.9302326
12 0.083333336 0.30833334 0.5 1.0 54.0 54.0 0.11111111 0.12592593 0.14814815 0.7790698 0.8523256 0.9302326
13 0.07692308 0.31538466 0.53846157 1.0 54.0 54.0 0.11111111 0.12777779 0.14814815 0.7790698 0.8383721 0.9302326
14 0.071428575 0.32142857 0.5 1.0 54.0 54.0 0.12962963 0.13148148 0.14814815 0.76744187 0.83720934 0.9302326
15 0.06666667 0.32666668 0.46666667 1.0 53.9 54.0 0.12962963 0.13172606 0.14814815 0.76744187 0.83372086 0.90697676
