rank min-srate avg-srate max-srate min-size avg-size max-size min-prec avg-prec max-prec min-rec avg-rec max-rec
1 0.0 0.3 1.0 1.0 54.8 56.0 0.10714286 0.11132034 0.12727273 0.81395346 0.8883721 0.95348835
2 0.0 0.3 0.5 1.0 55.5 56.0 0.10714286 0.11351371 0.12727273 0.81395346 0.88488376 0.95348835
3 0.0 0.26666668 0.6666667 1.0 56.7 58.0 0.10344828 0.12163563 0.14285715 0.8023256 0.883721 0.95348835
4 0.0 0.3 0.75 1.0 57.4 60.0 0.10169491 0.12187259 0.14285715 0.7906977 0.88023263 0.95348835
5 0.0 0.32 0.6 1.0 58.1 60.0 0.1 0.12392638 0.14285715 0.7906977 0.87558144 0.95348835
6 0.0 0.28333333 0.5 1.0 59.0 61.0 0.10169491 0.12880811 0.15 0.7906977 0.8709303 0.94186044
7 0.0 0.27142859 0.5714286 1.0 59.8 62.0 0.10344828 0.13048132 0.15 0.7906977 0.86860466 0.9302326
8 0.0 0.275 0.5 1.0 60.6 64.0 0.10169491 0.1335973 0.15 0.7790698 0.86162794 0.9302326
9 0.0 0.32222226 0.5555556 1.0 60.9 64.0 0.1 0.13465081 0.15 0.7790698 0.86162794 0.9302326
10 0.0 0.33 0.6 1.0 61.4 64.0 0.09836066 0.13858111 0.16949153 0.8023256 0.86279076 0.9302326
11 0.0 0.33636364 0.54545456 1.0 62.1 65.0 0.09836066 0.14177462 0.18333334 0.8023256 0.86162794 0.9302326
12 0.0 0.3333333 0.5833333 1.0 62.5 65.0 0.09836066 0.14417881 0.18333334 0.8023256 0.8593024 0.9186047
13 0.07692308 0.33846158 0.53846157 1.0 63.1 65.0 0.11290322 0.14763473 0.2 0.76744187 0.8476745 0.90697676
14 0.14285715 0.35714287 0.5714286 1.0 63.4 65.0 0.11111111 0.1454703 0.2 0.76744187 0.84767437 0.90697676
15 0.2 0.35333332 0.6 1.0 63.9 66.0 0.11111111 0.14587456 0.21311475 0.76744187 0.84767437 0.90697676
16 0.1875 0.34375 0.5625 1.0 64.7 67.0 0.11111111 0.14865997 0.20967741 0.76744187 0.85465115 0.90697676
17 0.1764706 0.3529412 0.5882353 1.0 65.1 68.0 0.11111111 0.14940064 0.20967741 0.76744187 0.85465115 0.90697676
18 0.16666667 0.35555556 0.5555556 1.0 65.6 68.0 0.11111111 0.1467653 0.20967741 0.76744187 0.8523256 0.90697676
19 0.15789473 0.34736842 0.57894737 1.0 66.1 69.0 0.109375 0.14842731 0.203125 0.76744187 0.8476745 0.90697676
20 0.15 0.35499996 0.55 1.0 66.2 70.0 0.109375 0.14822027 0.203125 0.76744187 0.8430233 0.89534885
21 0.1904762 0.35714287 0.5714286 1.0 66.5 70.0 0.109375 0.15036765 0.2 0.76744187 0.8360465 0.88372093
22 0.18181819 0.35909092 0.54545456 1.0 67.3 72.0 0.12307692 0.15315995 0.2 0.76744187 0.8348838 0.88372093
23 0.2173913 0.3521739 0.5217391 1.0 68.2 73.0 0.121212125 0.15254445 0.19402985 0.76744187 0.83720934 0.89534885
24 0.25 0.3541667 0.5 1.0 68.6 74.0 0.121212125 0.1530764 0.19117647 0.76744187 0.83720934 0.89534885
25 0.24 0.356 0.48 1.0 68.9 74.0 0.121212125 0.15389995 0.20588236 0.76744187 0.8360466 0.95348835
26 0.23076923 0.35384616 0.46153846 1.0 69.5 74.0 0.11940298 0.1541386 0.20588236 0.76744187 0.8360466 0.95348835
27 0.22222222 0.34814817 0.44444445 1.0 70.3 74.0 0.11940298 0.14948519 0.18571429 0.75581396 0.82906973 0.95348835
28 0.21428572 0.34285715 0.42857143 1.0 70.6 74.0 0.11764706 0.15308407 0.18571429 0.74418604 0.82674426 0.95348835
29 0.20689656 0.33448273 0.44827586 1.0 71.5 75.0 0.114285715 0.15690552 0.19117647 0.74418604 0.8290698 0.94186044
30 0.2 0.34000003 0.43333334 1.0 71.7 75.0 0.114285715 0.15641563 0.19117647 0.74418604 0.8290698 0.94186044
31 0.19354838 0.33870968 0.41935483 1.0 72.0 75.0 0.114285715 0.1571143 0.19117647 0.74418604 0.82441866 0.9302326
32 0.1875 0.334375 0.40625 1.0 72.4 75.0 0.12676056 0.16036125 0.2 0.7209302 0.8220931 0.9302326
33 0.18181819 0.33333337 0.3939394 1.0 73.1 76.0 0.12676056 0.15868118 0.19444445 0.73255813 0.8197675 0.9302326
34 0.1764706 0.33235294 0.4117647 1.0 73.3 76.0 0.12162162 0.15694323 0.19444445 0.73255813 0.8209302 0.9302326
35 0.2 0.33428574 0.4 1.0 73.7 77.0 0.12 0.15876305 0.20547946 0.73255813 0.8197675 0.9302326
36 0.19444445 0.33333334 0.41666666 1.0 74.2 78.0 0.12 0.1577448 0.20547946 0.74418604 0.8174418 0.9302326
37 0.21621622 0.33513516 0.4054054 1.0 74.7 79.0 0.12 0.15668723 0.19178082 0.74418604 0.8197675 0.9302326
38 0.21052632 0.33421052 0.42105263 1.0 75.5 79.0 0.118421055 0.15765908 0.19178082 0.74418604 0.8209303 0.9302326
39 0.20512821 0.33589745 0.41025642 1.0 75.6 79.0 0.13157895 0.16009724 0.2 0.74418604 0.8267442 0.9302326
40 0.2 0.33749998 0.425 1.0 76.0 80.0 0.12987013 0.1606735 0.21333334 0.74418604 0.8313953 0.9302326
41 0.2195122 0.33902436 0.41463414 1.0 76.3 81.0 0.13157895 0.16121987 0.2236842 0.74418604 0.8302325 0.9302326
42 0.21428572 0.34285715 0.42857143 1.0 76.6 81.0 0.13157895 0.16058482 0.22077923 0.74418604 0.8348837 0.9302326
43 0.20930232 0.33953488 0.41860464 1.0 77.5 82.0 0.14102565 0.16263905 0.22077923 0.74418604 0.83953494 0.9302326
44 0.20454545 0.3409091 0.4318182 1.0 77.9 82.0 0.15 0.16565777 0.22077923 0.74418604 0.83720934 0.9302326
45 0.2 0.3377778 0.44444445 1.0 78.2 82.0 0.14814815 0.16762552 0.22077923 0.73255813 0.833721 0.9186047
46 0.2173913 0.34347826 0.45652175 1.0 78.5 83.0 0.14634146 0.16699992 0.22077923 0.73255813 0.833721 0.9186047
47 0.21276596 0.34468085 0.4680851 1.0 79.0 83.0 0.1375 0.16845784 0.21794872 0.73255813 0.8348838 0.9186047
48 0.20833333 0.34375 0.47916666 1.0 79.3 83.0 0.13580246 0.16921082 0.2278481 0.73255813 0.8348838 0.9186047
49 0.20408164 0.34285715 0.46938777 1.0 79.7 83.0 0.14634146 0.17079255 0.2375 0.73255813 0.8290698 0.9186047
50 0.2 0.34199998 0.46 1.0 80.4 83.0 0.14634146 0.17040348 0.24390244 0.7093023 0.8302325 0.9186047
51 0.19607843 0.34117648 0.4509804 1.0 80.9 84.0 0.14457831 0.17419797 0.25301206 0.7093023 0.8302325 0.9186047
52 0.1923077 0.33653846 0.44230768 1.0 81.6 86.0 0.14457831 0.17256609 0.24418604 0.7093023 0.8302325 0.9186047
53 0.18867925 0.3415094 0.4528302 1.0 81.8 86.0 0.14285715 0.17214665 0.24418604 0.7093023 0.83255816 0.9186047
54 0.18518518 0.3388889 0.46296296 1.0 82.0 87.0 0.13253012 0.16682406 0.22988506 0.75581396 0.83720934 0.9186047
55 0.2 0.3363636 0.45454547 1.0 82.5 87.0 0.13253012 0.17063297 0.22988506 0.75581396 0.8360465 0.9186047
56 0.19642857 0.33571428 0.44642857 1.0 83.0 87.0 0.13253012 0.17218561 0.22988506 0.75581396 0.8348838 0.9186047
57 0.19298245 0.3333333 0.4385965 1.0 83.5 87.0 0.13253012 0.17597757 0.22988506 0.75581396 0.833721 0.9186047
58 0.18965517 0.33103448 0.43103448 1.0 83.8 88.0 0.12941177 0.17894451 0.2413793 0.75581396 0.833721 0.9186047
59 0.18644068 0.33050847 0.44067797 1.0 84.1 89.0 0.12941177 0.17835549 0.2413793 0.75581396 0.833721 0.9186047
60 0.2 0.33 0.43333334 1.0 84.4 89.0 0.12790698 0.17643382 0.23863636 0.75581396 0.83139545 0.9186047
61 0.19672132 0.3295082 0.44262296 1.0 84.6 89.0 0.12790698 0.17836998 0.23863636 0.75581396 0.8290698 0.9186047
62 0.20967741 0.33387098 0.4516129 1.0 84.7 89.0 0.11627907 0.17810296 0.25 0.75581396 0.82790697 0.9186047
63 0.20634921 0.3333333 0.44444445 1.0 84.9 89.0 0.11363637 0.17783675 0.25 0.75581396 0.82790697 0.9186047
64 0.203125 0.334375 0.4375 1.0 85.0 89.0 0.11363637 0.17879434 0.25 0.76744187 0.82790697 0.90697676
65 0.21538462 0.33692306 0.43076923 1.0 85.4 89.0 0.11363637 0.17802763 0.25 0.75581396 0.82558143 0.90697676
66 0.22727273 0.3378788 0.42424244 1.0 85.5 89.0 0.125 0.17772031 0.24719101 0.7790698 0.82441866 0.90697676
67 0.23880596 0.34029856 0.41791046 1.0 86.0 89.0 0.123595506 0.17681228 0.24719101 0.7790698 0.8209302 0.872093
68 0.23529412 0.33970588 0.4117647 1.0 86.2 89.0 0.123595506 0.17530213 0.23595506 0.76744187 0.81627905 0.872093
69 0.23188406 0.3405797 0.4057971 1.0 86.4 90.0 0.123595506 0.174889 0.23595506 0.76744187 0.8174418 0.872093
70 0.22857143 0.34000003 0.4 1.0 86.7 90.0 0.123595506 0.17769246 0.23595506 0.75581396 0.81860477 0.872093
71 0.22535211 0.34084505 0.4084507 1.0 87.1 90.0 0.123595506 0.17800567 0.23333333 0.75581396 0.81860477 0.872093
72 0.22222222 0.3375 0.4027778 1.0 87.5 90.0 0.12222222 0.17719582 0.23333333 0.75581396 0.8209303 0.872093
73 0.21917808 0.33835614 0.41095892 1.0 87.8 91.0 0.13186814 0.18000159 0.24444444 0.75581396 0.8197675 0.872093
74 0.22972973 0.33783782 0.4189189 1.0 87.8 92.0 0.13043478 0.1798977 0.24175824 0.75581396 0.8220931 0.88372093
75 0.24 0.34133333 0.42666668 1.0 87.7 92.0 0.13043478 0.18026003 0.24175824 0.75581396 0.8220931 0.88372093
76 0.23684211 0.3407895 0.42105263 1.0 87.9 93.0 0.13978495 0.18099834 0.24175824 0.75581396 0.822093 0.89534885
77 0.23376623 0.34025973 0.41558442 1.0 88.0 93.0 0.14285715 0.18201108 0.24175824 0.75581396 0.822093 0.89534885
78 0.24358974 0.34102565 0.41025642 1.0 88.2 93.0 0.14285715 0.18269727 0.24175824 0.75581396 0.822093 0.89534885
79 0.25316456 0.343038 0.4177215 1.0 88.5 93.0 0.14285715 0.18076165 0.24175824 0.75581396 0.8197675 0.89534885
80 0.25 0.34250003 0.425 1.0 88.9 94.0 0.13829787 0.17986609 0.24731183 0.75581396 0.8197675 0.89534885
81 0.24691358 0.34444445 0.41975307 1.0 89.0 94.0 0.13829787 0.18295458 0.24731183 0.75581396 0.81860465 0.88372093
82 0.24390244 0.34268293 0.41463414 1.0 89.0 94.0 0.13829787 0.1852674 0.23863636 0.75581396 0.822093 0.872093
83 0.25301206 0.346988 0.40963855 1.0 89.2 95.0 0.1368421 0.18604112 0.23863636 0.75581396 0.822093 0.872093
84 0.25 0.34761906 0.4047619 1.0 89.6 96.0 0.14285715 0.18515512 0.23655914 0.74418604 0.8209302 0.872093
