rank min-srate avg-srate max-srate min-size avg-size max-size min-prec avg-prec max-prec min-rec avg-rec max-rec
1 0.0 0.2 1.0 1.0 54.5 55.0 0.10909091 0.11373738 0.12727273 0.8372093 0.88720924 0.95348835
2 0.0 0.25 0.5 1.0 54.8 57.0 0.10714286 0.114947855 0.12962963 0.8372093 0.88255817 0.95348835
3 0.0 0.23333332 0.6666667 1.0 55.6 59.0 0.10714286 0.12226845 0.14545454 0.8255814 0.88139534 0.95348835
4 0.0 0.3 0.5 1.0 55.9 60.0 0.10714286 0.12340985 0.14545454 0.8255814 0.88139534 0.95348835
5 0.0 0.3 0.6 1.0 56.3 60.0 0.10714286 0.12433138 0.14545454 0.8255814 0.87325585 0.95348835
6 0.0 0.3 0.5 1.0 56.7 60.0 0.10714286 0.12873386 0.15789473 0.8255814 0.872093 0.95348835
7 0.0 0.3 0.42857143 1.0 57.2 61.0 0.10714286 0.13288438 0.16071428 0.8255814 0.8709303 0.94186044
8 0.0 0.3 0.5 1.0 57.8 64.0 0.10714286 0.13342318 0.16071428 0.81395346 0.8639535 0.94186044
9 0.0 0.33333334 0.5555556 1.0 58.1 64.0 0.10526316 0.13610555 0.16071428 0.81395346 0.8639535 0.94186044
10 0.0 0.34 0.6 1.0 58.4 64.0 0.10526316 0.13708699 0.15789473 0.81395346 0.8627907 0.94186044
11 0.09090909 0.34545454 0.54545456 1.0 58.8 64.0 0.10526316 0.13778453 0.1724138 0.81395346 0.85930234 0.94186044
12 0.083333336 0.3333333 0.5 1.0 58.9 65.0 0.10526316 0.14094195 0.1724138 0.81395346 0.85465115 0.9302326
13 0.07692308 0.33846158 0.46153846 1.0 59.1 65.0 0.11666667 0.14232634 0.1754386 0.7790698 0.8430232 0.9186047
14 0.14285715 0.34285715 0.5 1.0 59.5 65.0 0.11666667 0.13966866 0.1724138 0.7790698 0.84069765 0.9186047
15 0.13333334 0.34666666 0.53333336 1.0 59.7 66.0 0.11666667 0.14100935 0.18965517 0.7790698 0.83837205 0.89534885
16 0.125 0.3375 0.5 1.0 60.0 66.0 0.11666667 0.14511548 0.18644068 0.7790698 0.8372092 0.89534885
17 0.11764706 0.34117648 0.5294118 1.0 59.8 67.0 0.11666667 0.14745294 0.18965517 0.7790698 0.8372092 0.89534885
18 0.11111111 0.34444445 0.5 1.0 59.9 67.0 0.11666667 0.14721094 0.18965517 0.76744187 0.82790697 0.89534885
19 0.10526316 0.33684212 0.5263158 1.0 60.1 67.0 0.11940298 0.14822339 0.18333334 0.75581396 0.81860465 0.89534885
20 0.1 0.335 0.5 1.0 60.1 68.0 0.11764706 0.14831309 0.18333334 0.74418604 0.8139535 0.89534885
21 0.14285715 0.33809525 0.52380955 1.0 60.4 68.0 0.11764706 0.1474915 0.1724138 0.74418604 0.80930233 0.89534885
22 0.13636364 0.34090912 0.5 1.0 61.0 70.0 0.114285715 0.15117744 0.18644068 0.74418604 0.80930245 0.89534885
23 0.17391305 0.33043474 0.47826087 1.0 61.6 70.0 0.114285715 0.15122852 0.18333334 0.74418604 0.80930245 0.89534885
24 0.16666667 0.32916665 0.45833334 1.0 61.7 70.0 0.114285715 0.15269843 0.2 0.74418604 0.8081396 0.89534885
25 0.16 0.33600003 0.48 1.0 61.7 70.0 0.114285715 0.15266016 0.19672132 0.73255813 0.8000001 0.89534885
26 0.15384616 0.3269231 0.46153846 1.0 62.1 70.0 0.12280702 0.15458526 0.19354838 0.7209302 0.7976744 0.89534885
27 0.14814815 0.32962963 0.44444445 1.0 62.7 70.0 0.12068965 0.1531736 0.19354838 0.7209302 0.79186046 0.89534885
28 0.14285715 0.32142857 0.42857143 1.0 62.8 69.0 0.118644066 0.15437664 0.19354838 0.7209302 0.78720933 0.89534885
29 0.13793103 0.31379312 0.41379312 1.0 63.3 70.0 0.118644066 0.15628383 0.203125 0.7209302 0.78488374 0.89534885
30 0.16666667 0.32333335 0.43333334 1.0 63.5 70.0 0.118644066 0.15584859 0.203125 0.7209302 0.78255814 0.872093
31 0.16129032 0.32580644 0.41935483 1.0 63.5 69.0 0.118644066 0.15410782 0.203125 0.7209302 0.777907 0.8488372
32 0.15625 0.325 0.40625 1.0 63.7 68.0 0.118644066 0.15971315 0.21212122 0.7209302 0.7697674 0.8488372
33 0.15151516 0.33030307 0.42424244 1.0 63.6 67.0 0.118644066 0.1599035 0.21212122 0.7093023 0.7662791 0.8488372
34 0.14705883 0.3294118 0.44117647 1.0 63.3 66.0 0.118644066 0.16223015 0.21212122 0.7093023 0.7639535 0.8488372
35 0.17142858 0.3314286 0.42857143 1.0 63.6 68.0 0.11666667 0.16437727 0.2238806 0.7093023 0.76046515 0.8488372
36 0.16666667 0.33055556 0.44444445 1.0 63.9 68.0 0.11666667 0.16517092 0.2238806 0.7209302 0.7593023 0.8488372
37 0.1891892 0.33243245 0.43243244 1.0 63.8 68.0 0.11666667 0.16399498 0.21212122 0.6627907 0.75 0.8488372
38 0.18421052 0.33157894 0.4473684 1.0 64.0 68.0 0.11666667 0.16683368 0.21212122 0.6627907 0.7523256 0.8372093
39 0.17948718 0.33846155 0.43589744 1.0 64.1 70.0 0.11666667 0.16653623 0.21212122 0.6627907 0.7534884 0.8372093
40 0.2 0.345 0.45 1.0 64.3 70.0 0.114754096 0.16609621 0.21212122 0.6627907 0.7523256 0.8372093
41 0.19512194 0.34390244 0.4390244 1.0 64.6 71.0 0.11666667 0.16823998 0.20895523 0.6627907 0.75 0.8372093
42 0.1904762 0.34285715 0.45238096 1.0 64.8 71.0 0.13333334 0.1692872 0.20895523 0.6627907 0.75000006 0.8372093
43 0.18604651 0.34186044 0.44186047 1.0 65.3 71.0 0.13432837 0.17134032 0.203125 0.6627907 0.7511628 0.8372093
44 0.18181819 0.34090906 0.45454547 1.0 65.7 71.0 0.13432837 0.176688 0.203125 0.6511628 0.7488372 0.8372093
45 0.17777778 0.34666666 0.44444445 1.0 65.7 71.0 0.13432837 0.176688 0.203125 0.6511628 0.7453488 0.8255814
46 0.17391305 0.34999996 0.4347826 1.0 65.7 70.0 0.13432837 0.17523566 0.203125 0.6511628 0.7453488 0.8255814
47 0.17021276 0.3510638 0.44680852 1.0 65.8 70.0 0.11940298 0.17808565 0.20588236 0.6511628 0.7465116 0.8372093
48 0.16666667 0.35 0.45833334 1.0 66.1 71.0 0.11940298 0.18035899 0.21875 0.6511628 0.7453488 0.8372093
49 0.1632653 0.34489796 0.4489796 1.0 66.3 72.0 0.13235295 0.1826853 0.21538462 0.6511628 0.74069756 0.8255814
50 0.16 0.348 0.46 1.0 66.4 72.0 0.13235295 0.18227196 0.21212122 0.6511628 0.74069756 0.8255814
51 0.15686275 0.3509804 0.47058824 1.0 66.8 73.0 0.13235295 0.18260494 0.2238806 0.627907 0.73837197 0.8255814
52 0.17307693 0.3480769 0.46153846 1.0 67.1 76.0 0.13235295 0.18166544 0.22058824 0.627907 0.73604643 0.8255814
53 0.16981132 0.35471696 0.4716981 1.0 67.2 76.0 0.13235295 0.18137458 0.22058824 0.627907 0.73488367 0.8255814
54 0.16666667 0.3537037 0.4814815 1.0 67.0 77.0 0.11940298 0.17759569 0.20895523 0.61627907 0.7337209 0.8255814
55 0.18181819 0.35454544 0.47272727 1.0 67.5 77.0 0.11764706 0.17919245 0.20588236 0.61627907 0.7313953 0.8255814
56 0.17857143 0.35178572 0.4642857 1.0 68.0 77.0 0.11594203 0.18101883 0.2173913 0.61627907 0.72790694 0.8255814
57 0.1754386 0.3508772 0.45614034 1.0 68.1 76.0 0.11594203 0.18210249 0.23188406 0.61627907 0.7232558 0.8255814
58 0.1724138 0.34999996 0.44827586 1.0 68.5 76.0 0.112676054 0.18402247 0.23188406 0.61627907 0.722093 0.8255814
59 0.16949153 0.35254237 0.45762712 1.0 68.6 76.0 0.112676054 0.18378802 0.23188406 0.61627907 0.722093 0.8255814
60 0.18333334 0.35666668 0.45 1.0 68.7 76.0 0.11111111 0.18061975 0.2173913 0.61627907 0.72209305 0.8255814
61 0.18032786 0.35573772 0.45901638 1.0 68.7 76.0 0.11111111 0.18206307 0.2173913 0.61627907 0.7186047 0.81395346
62 0.19354838 0.35967743 0.46774194 1.0 68.7 76.0 0.11111111 0.1835216 0.2173913 0.61627907 0.71976745 0.81395346
63 0.1904762 0.35873017 0.46031746 1.0 68.9 76.0 0.10810811 0.1846033 0.21212122 0.61627907 0.71976745 0.81395346
64 0.203125 0.3609375 0.453125 1.0 69.0 75.0 0.10810811 0.1873085 0.22058824 0.61627907 0.7186047 0.81395346
65 0.21538462 0.3646154 0.46153846 1.0 69.3 75.0 0.10958904 0.18637618 0.22058824 0.60465115 0.7186047 0.81395346
66 0.22727273 0.36818182 0.45454547 1.0 69.4 76.0 0.12328767 0.18731053 0.2236842 0.60465115 0.71744186 0.81395346
67 0.23880596 0.37014925 0.4477612 1.0 69.8 76.0 0.12328767 0.18623903 0.2236842 0.61627907 0.70813954 0.81395346
68 0.23529412 0.37058824 0.45588234 1.0 69.8 76.0 0.12328767 0.18639047 0.2236842 0.61627907 0.7093023 0.81395346
69 0.23188406 0.37391302 0.44927537 1.0 69.8 76.0 0.12328767 0.18642578 0.2238806 0.61627907 0.7104651 0.8372093
70 0.22857143 0.3757143 0.44285715 1.0 69.8 76.0 0.12328767 0.18639514 0.23880596 0.627907 0.71279067 0.8488372
71 0.22535211 0.3760563 0.45070422 1.0 69.8 76.0 0.12328767 0.1880904 0.24242425 0.627907 0.7104651 0.8488372
72 0.22222222 0.3763889 0.44444445 1.0 70.0 76.0 0.125 0.1874431 0.23880596 0.627907 0.7069768 0.8488372
73 0.23287672 0.3808219 0.4520548 1.0 70.0 75.0 0.1388889 0.18892662 0.23880596 0.61627907 0.70581394 0.8488372
74 0.24324325 0.37972972 0.44594595 1.0 69.7 75.0 0.1388889 0.19111529 0.23880596 0.61627907 0.70581394 0.8488372
75 0.24 0.38266668 0.45333335 1.0 69.5 75.0 0.1388889 0.19315632 0.23880596 0.61627907 0.70348835 0.8488372
76 0.23684211 0.38421053 0.4473684 1.0 69.5 75.0 0.15068494 0.19331045 0.24242425 0.61627907 0.6999999 0.8488372
77 0.23376623 0.3857143 0.45454547 1.0 69.4 75.0 0.1388889 0.19353382 0.23880596 0.61627907 0.6976744 0.8488372
78 0.24358974 0.38589743 0.44871795 1.0 69.1 74.0 0.14084508 0.19439633 0.23880596 0.61627907 0.6965116 0.8372093
79 0.25316456 0.38607594 0.443038 1.0 69.1 74.0 0.14084508 0.19429019 0.23880596 0.61627907 0.69186044 0.8372093
80 0.2625 0.3875 0.45 1.0 69.0 74.0 0.13513513 0.19332698 0.23880596 0.6395349 0.6930232 0.8255814
81 0.25925925 0.391358 0.44444445 1.0 69.2 74.0 0.13513513 0.19571464 0.25373134 0.6395349 0.6930232 0.8255814
82 0.25609756 0.39024392 0.4512195 1.0 68.8 73.0 0.1369863 0.19992132 0.25757575 0.6395349 0.69418603 0.8255814
83 0.26506025 0.39397585 0.44578314 1.0 68.7 73.0 0.1369863 0.2001617 0.25757575 0.6395349 0.69069767 0.8255814
84 0.27380952 0.3952381 0.45238096 1.0 69.0 74.0 0.1388889 0.20070381 0.25757575 0.6395349 0.69069767 0.8255814
85 0.27058825 0.3952941 0.45882353 1.0 68.8 73.0 0.15068494 0.20431991 0.26153848 0.6395349 0.6883721 0.8023256
86 0.27906978 0.3988372 0.45348838 1.0 68.9 73.0 0.15068494 0.20392434 0.26153848 0.6395349 0.6883721 0.8023256
87 0.28735632 0.39885062 0.44827586 1.0 68.9 73.0 0.15277778 0.20660698 0.24615385 0.6395349 0.6860465 0.8023256
88 0.29545453 0.4022727 0.45454547 1.0 69.0 73.0 0.15492958 0.20622627 0.24615385 0.6395349 0.6860465 0.8023256
89 0.30337077 0.40337077 0.4494382 1.0 68.9 73.0 0.15492958 0.20646086 0.24615385 0.6395349 0.68720925 0.81395346
90 0.3 0.40555555 0.45555556 1.0 68.8 73.0 0.15277778 0.2054296 0.24242425 0.6395349 0.6860465 0.8255814
91 0.2967033 0.4054945 0.45054945 1.0 68.6 73.0 0.15277778 0.20460686 0.23880596 0.6395349 0.68372095 0.8255814
92 0.29347825 0.40652174 0.45652175 1.0 68.7 73.0 0.15277778 0.2086808 0.25 0.6395349 0.6825581 0.8255814
93 0.29032257 0.40752688 0.4623656 1.0 68.6 73.0 0.16438356 0.2104017 0.25 0.6395349 0.67906976 0.8255814
94 0.29787233 0.40957445 0.4680851 1.0 68.5 73.0 0.16438356 0.21066527 0.25 0.6395349 0.67906976 0.8255814
95 0.30526316 0.41052634 0.4631579 1.0 68.3 72.0 0.16666667 0.20964408 0.23943663 0.6395349 0.67674416 0.8255814
96 0.3125 0.4125 0.46875 1.0 68.4 74.0 0.16666667 0.20949814 0.24285714 0.627907 0.6732558 0.8255814
97 0.31958762 0.41649485 0.46391752 1.0 68.5 74.0 0.16666667 0.20916891 0.24285714 0.627907 0.67209303 0.8255814
98 0.31632653 0.41938776 0.46938777 1.0 68.3 74.0 0.16666667 0.20676413 0.24285714 0.627907 0.6744186 0.8255814
99 0.3131313 0.42222223 0.47474748 1.0 68.1 74.0 0.16901408 0.20880656 0.24285714 0.627907 0.6744186 0.8255814
100 0.31 0.42000002 0.47 1.0 68.3 75.0 0.17142858 0.21244292 0.25 0.627907 0.6755814 0.8255814
101 0.31683168 0.42277226 0.47524753 1.0 68.3 75.0 0.17333333 0.21538666 0.25 0.627907 0.6755814 0.8255814
102 0.32352942 0.42549023 0.48039216 1.0 68.3 75.0 0.17333333 0.21540865 0.25 0.6395349 0.67674416 0.8255814
103 0.33009708 0.42718443 0.4854369 1.0 68.4 75.0 0.17333333 0.21655872 0.24657534 0.60465115 0.67441857 0.8255814
104 0.32692307 0.42884618 0.4903846 1.0 68.2 75.0 0.17333333 0.21719804 0.24657534 0.59302324 0.6732558 0.8255814
105 0.33333334 0.4295238 0.4952381 1.0 68.0 75.0 0.18666667 0.21922307 0.24657534 0.59302324 0.67209303 0.81395346
106 0.3301887 0.43018872 0.5 1.0 68.4 75.0 0.18571429 0.22238234 0.25714287 0.59302324 0.6697674 0.81395346
107 0.3364486 0.43177572 0.49532712 1.0 68.4 75.0 0.18309858 0.22105451 0.25714287 0.59302324 0.66976744 0.8023256
108 0.33333334 0.43240738 0.5 1.0 68.3 75.0 0.18309858 0.22425504 0.2647059 0.5813953 0.66976744 0.8023256
109 0.33027524 0.43486243 0.5045872 1.0 68.1 75.0 0.1904762 0.22646841 0.26865673 0.5813953 0.6686046 0.8023256
110 0.33636364 0.4372727 0.5090909 1.0 67.9 75.0 0.1904762 0.22853938 0.26865673 0.55813956 0.6686047 0.8023256
111 0.34234235 0.44054055 0.5135135 1.0 67.9 75.0 0.1904762 0.22998866 0.26865673 0.55813956 0.6686047 0.8023256
112 0.3482143 0.44375 0.51785713 1.0 68.1 75.0 0.18666667 0.2261719 0.26086956 0.55813956 0.66976744 0.8023256
113 0.3539823 0.44513273 0.5132743 1.0 68.1 75.0 0.17333333 0.22330208 0.26086956 0.55813956 0.66976744 0.8023256
114 0.35964912 0.44649124 0.50877196 1.0 68.1 75.0 0.17333333 0.22480965 0.26086956 0.55813956 0.6686046 0.7906977
115 0.3652174 0.4478261 0.51304346 1.0 67.8 75.0 0.16 0.22277394 0.26086956 0.54651165 0.66744184 0.7906977
116 0.36206895 0.44827586 0.51724136 1.0 68.1 75.0 0.17333333 0.2261363 0.27142859 0.54651165 0.666279 0.7906977
117 0.35897437 0.44957262 0.52136755 1.0 67.8 75.0 0.17333333 0.22719419 0.27142859 0.54651165 0.66279066 0.7906977
118 0.3559322 0.44830507 0.5169492 1.0 67.3 74.0 0.17567568 0.22911227 0.2753623 0.54651165 0.6569767 0.7906977
119 0.3529412 0.44873947 0.52100843 1.0 67.1 74.0 0.1780822 0.22969465 0.2753623 0.54651165 0.6569767 0.7906977
120 0.35 0.44916663 0.525 1.0 66.9 74.0 0.1780822 0.23195164 0.27941176 0.54651165 0.65581393 0.7906977
121 0.3553719 0.45041323 0.5289256 1.0 67.1 74.0 0.17567568 0.23275533 0.28985506 0.54651165 0.6546511 0.7906977
122 0.352459 0.4491803 0.5327869 1.0 67.2 74.0 0.17567568 0.23874326 0.28985506 0.54651165 0.6523256 0.76744187
123 0.35772356 0.44959348 0.52845526 1.0 67.4 74.0 0.17567568 0.23949465 0.28985506 0.54651165 0.6488372 0.76744187
124 0.36290324 0.45241937 0.5322581 1.0 67.5 74.0 0.17567568 0.23913284 0.28985506 0.54651165 0.6488372 0.76744187
125 0.368 0.452 0.528 1.0 67.7 75.0 0.17567568 0.24148636 0.2857143 0.54651165 0.6441861 0.76744187
126 0.37301588 0.4515873 0.53174603 1.0 67.6 74.0 0.16216215 0.24345109 0.2857143 0.54651165 0.6441861 0.76744187
127 0.37795275 0.4519685 0.53543305 1.0 67.3 74.0 0.16438356 0.24571769 0.2857143 0.54651165 0.6441861 0.76744187
