rank min-srate avg-srate max-srate min-size avg-size max-size min-prec avg-prec max-prec min-rec avg-rec max-rec
1 0.0 0.5 1.0 1.0 13.0 13.0 0.9230769 0.9615385 1.0 0.069767445 0.07906978 0.093023255
2 0.0 0.5 1.0 1.0 14.0 14.0 0.85714287 0.8714285 0.9285714 0.069767445 0.08837209 0.10465116
3 0.0 0.3333333 0.6666667 1.0 15.0 15.0 0.8 0.8133334 0.8666667 0.069767445 0.09883721 0.12790698
4 0.0 0.35 0.75 1.0 15.9 16.0 0.75 0.78041667 0.875 0.069767445 0.10581396 0.13953489
5 0.0 0.32000002 0.8 1.0 16.9 17.0 0.7058824 0.73419124 0.8235294 0.069767445 0.113953486 0.1627907
6 0.16666667 0.31666666 0.6666667 1.0 17.8 18.0 0.6666667 0.71372545 0.7777778 0.069767445 0.12325581 0.1744186
7 0.14285715 0.30000004 0.5714286 1.0 18.8 19.0 0.6315789 0.6652047 0.7222222 0.08139535 0.1360465 0.19767442
8 0.125 0.3 0.625 1.0 19.7 20.0 0.6 0.64 0.7368421 0.093023255 0.14069767 0.18604651
9 0.11111111 0.28888887 0.5555556 1.0 20.6 21.0 0.5714286 0.6119048 0.6666667 0.093023255 0.14418605 0.19767442
10 0.1 0.28 0.5 1.0 21.4 22.0 0.54545456 0.5894588 0.65 0.11627907 0.15930232 0.24418604
11 0.09090909 0.27272728 0.45454547 1.0 22.4 23.0 0.5217391 0.56763595 0.61904764 0.11627907 0.16744187 0.25581396
12 0.083333336 0.28333333 0.41666666 1.0 23.2 24.0 0.5 0.5483178 0.61904764 0.11627907 0.16744187 0.25581396
13 0.07692308 0.26153845 0.3846154 1.0 24.0 25.0 0.5 0.53440475 0.61904764 0.11627907 0.17325582 0.23255815
14 0.071428575 0.25714284 0.35714287 1.0 24.8 26.0 0.48 0.5212704 0.59090906 0.11627907 0.18255815 0.26744187
15 0.13333334 0.25333333 0.33333334 1.0 25.5 27.0 0.46153846 0.51115143 0.5833333 0.11627907 0.18372092 0.26744187
16 0.125 0.2375 0.3125 1.0 26.4 28.0 0.44444445 0.49319354 0.5416667 0.11627907 0.18837209 0.26744187
17 0.11764706 0.2529412 0.3529412 1.0 27.3 29.0 0.44444445 0.48413935 0.53846157 0.11627907 0.20348838 0.27906978
18 0.16666667 0.2611111 0.33333334 1.0 27.9 29.0 0.42857143 0.46637473 0.5 0.11627907 0.20930234 0.3139535
