rank min-srate avg-srate max-srate min-size avg-size max-size min-prec avg-prec max-prec min-rec avg-rec max-rec
1 0.0 0.3 1.0 1.0 54.7 55.0 0.10909091 0.11151515 0.12727273 0.8372093 0.88720924 0.95348835
2 0.0 0.3 1.0 1.0 55.2 56.0 0.10714286 0.112352096 0.12727273 0.8372093 0.88255817 0.95348835
3 0.0 0.3 0.6666667 1.0 55.8 57.0 0.10526316 0.11475394 0.12727273 0.8255814 0.88139534 0.95348835
4 0.0 0.325 0.75 1.0 56.3 58.0 0.10344828 0.1155353 0.14285715 0.8255814 0.88139534 0.95348835
5 0.0 0.3 0.6 1.0 57.1 59.0 0.10169491 0.11565049 0.14285715 0.81395346 0.87325585 0.95348835
6 0.0 0.28333336 0.6666667 1.0 57.9 60.0 0.10344828 0.11745073 0.14035088 0.8023256 0.8709303 0.95348835
7 0.0 0.2857143 0.5714286 1.0 58.4 61.0 0.10169491 0.11818598 0.14035088 0.8023256 0.877907 0.95348835
8 0.0 0.3 0.625 1.0 58.9 62.0 0.1 0.1188419 0.13793103 0.7906977 0.8697675 0.95348835
9 0.0 0.34444445 0.6666667 1.0 59.2 63.0 0.1 0.11831172 0.13793103 0.7906977 0.872093 0.95348835
10 0.0 0.34000003 0.7 1.0 59.8 64.0 0.1 0.117102005 0.13793103 0.7906977 0.8709302 0.95348835
11 0.09090909 0.34545454 0.6363636 1.0 60.4 64.0 0.1 0.11751692 0.13559322 0.7906977 0.8709302 0.95348835
12 0.083333336 0.3333333 0.5833333 1.0 60.8 65.0 0.09836066 0.1185251 0.13559322 0.7906977 0.86860466 0.94186044
13 0.15384616 0.33846155 0.53846157 1.0 61.2 65.0 0.09677419 0.11779054 0.13559322 0.7906977 0.8569768 0.94186044
14 0.14285715 0.34285712 0.5714286 1.0 61.7 65.0 0.0952381 0.11852126 0.13333334 0.7790698 0.8569768 0.94186044
15 0.13333334 0.34666666 0.53333336 1.0 62.0 66.0 0.09375 0.119657375 0.14754099 0.7790698 0.84883726 0.9186047
16 0.125 0.35 0.5625 1.0 62.5 67.0 0.092307694 0.12196918 0.14754099 0.7790698 0.8511628 0.9186047
17 0.11764706 0.3529412 0.5882353 1.0 62.8 68.0 0.092307694 0.12302206 0.14754099 0.7790698 0.8511628 0.9186047
18 0.11111111 0.34999996 0.5555556 1.0 63.1 68.0 0.092307694 0.123823866 0.14754099 0.7790698 0.84651166 0.9186047
19 0.10526316 0.34210524 0.5263158 1.0 63.7 69.0 0.092307694 0.1226658 0.14516129 0.75581396 0.8418606 0.9186047
20 0.1 0.335 0.5 1.0 64.1 70.0 0.092307694 0.1219162 0.14516129 0.74418604 0.8383721 0.9186047
21 0.0952381 0.32380956 0.47619048 1.0 64.7 72.0 0.09090909 0.12217504 0.14516129 0.74418604 0.8348838 0.9186047
22 0.09090909 0.3272727 0.45454547 1.0 65.3 73.0 0.09090909 0.12413225 0.14516129 0.75581396 0.8360466 0.9186047
23 0.13043478 0.31739128 0.4347826 1.0 66.1 73.0 0.08955224 0.12418423 0.14516129 0.76744187 0.8383721 0.90697676
24 0.125 0.325 0.45833334 1.0 66.3 74.0 0.08955224 0.12385826 0.14516129 0.76744187 0.8430233 0.9186047
25 0.12 0.316 0.48 1.0 66.7 75.0 0.08955224 0.12462677 0.15873016 0.76744187 0.8360465 0.9302326
26 0.115384616 0.31153846 0.46153846 1.0 67.5 76.0 0.097222224 0.124610916 0.15625 0.76744187 0.8360465 0.9302326
27 0.14814815 0.3148148 0.44444445 1.0 67.9 76.0 0.097222224 0.122421324 0.15625 0.76744187 0.83837205 0.9302326
28 0.14285715 0.30714288 0.42857143 1.0 68.1 75.0 0.097222224 0.12203668 0.15384616 0.76744187 0.83837205 0.9302326
29 0.13793103 0.3 0.41379312 1.0 68.7 76.0 0.09589041 0.12394689 0.15384616 0.76744187 0.83255816 0.9302326
30 0.16666667 0.30666667 0.43333334 1.0 69.1 76.0 0.0945946 0.123259686 0.15384616 0.76744187 0.8290698 0.9302326
31 0.16129032 0.30967742 0.4516129 1.0 69.6 77.0 0.093333334 0.120814964 0.14492753 0.76744187 0.83139545 0.9302326
