rank min-srate avg-srate max-srate min-size avg-size max-size min-prec avg-prec max-prec min-rec avg-rec max-rec
1 0.0 0.2 1.0 1.0 54.8 55.0 0.10909091 0.1149495 0.12727273 0.8372093 0.8860465 0.95348835
2 0.0 0.25 0.5 1.0 55.4 56.0 0.10714286 0.11555916 0.12727273 0.8372093 0.8872093 0.95348835
3 0.0 0.23333332 0.6666667 1.0 56.1 57.0 0.10526316 0.11940591 0.14285715 0.8255814 0.883721 0.94186044
4 0.0 0.3 0.5 1.0 56.6 58.0 0.10344828 0.120166086 0.14285715 0.8255814 0.88255817 0.94186044
5 0.0 0.32000002 0.6 1.0 57.2 59.0 0.10169491 0.118879415 0.14035088 0.81395346 0.87558144 0.94186044
6 0.0 0.31666666 0.5 1.0 57.8 60.0 0.10169491 0.119337775 0.15 0.81395346 0.87325585 0.94186044
7 0.0 0.32857144 0.42857143 1.0 58.3 60.0 0.1 0.12001523 0.15517241 0.8372093 0.8790697 0.94186044
8 0.0 0.325 0.5 1.0 59.1 61.0 0.09836066 0.11856488 0.15517241 0.8255814 0.8709303 0.9186047
9 0.0 0.35555556 0.5555556 1.0 59.4 62.0 0.09677419 0.118044555 0.15517241 0.8255814 0.87325585 0.9186047
10 0.0 0.36000004 0.6 1.0 60.0 63.0 0.0952381 0.11516188 0.14754099 0.8255814 0.8744186 0.9186047
11 0.09090909 0.36363634 0.54545456 1.0 60.6 63.0 0.0952381 0.115615524 0.15 0.8255814 0.87325585 0.9186047
12 0.083333336 0.34999996 0.5 1.0 61.1 64.0 0.09375 0.117958546 0.15873016 0.81395346 0.8697675 0.90697676
13 0.07692308 0.3538462 0.46153846 1.0 61.5 64.0 0.09375 0.11890324 0.16666667 0.8023256 0.85813963 0.90697676
14 0.14285715 0.35714287 0.5 1.0 61.9 65.0 0.092307694 0.11825909 0.16949153 0.8023256 0.8569768 0.90697676
15 0.2 0.35333338 0.53333336 1.0 62.5 66.0 0.09090909 0.120352134 0.18333334 0.8023256 0.8523256 0.90697676
16 0.1875 0.34375 0.5 1.0 63.3 67.0 0.092307694 0.12355451 0.18032786 0.8023256 0.8523256 0.90697676
