rank min-srate avg-srate max-srate min-size avg-size max-size min-prec avg-prec max-prec min-rec avg-rec max-rec
1 0.0 0.2 1.0 1.0 54.3 55.0 0.10909091 0.11232324 0.12727273 0.8372093 0.88255805 0.94186044
2 0.0 0.25 0.5 1.0 54.5 55.0 0.10909091 0.11373738 0.12727273 0.8372093 0.87674415 0.94186044
3 0.0 0.23333332 0.6666667 1.0 54.8 56.0 0.10714286 0.11681577 0.12962963 0.8023256 0.8697675 0.94186044
4 0.0 0.325 0.5 1.0 54.9 56.0 0.10714286 0.116580084 0.12727273 0.7790698 0.86744183 0.94186044
5 0.0 0.32000002 0.6 1.0 55.2 57.0 0.10526316 0.115962826 0.12727273 0.76744187 0.8581395 0.94186044
6 0.0 0.3 0.5 1.0 55.4 57.0 0.10526316 0.11738418 0.14545454 0.76744187 0.8523256 0.94186044
7 0.0 0.28571433 0.5714286 1.0 55.8 58.0 0.10344828 0.11836431 0.14545454 0.73255813 0.8441861 0.94186044
8 0.0 0.2875 0.5 1.0 56.2 58.0 0.10344828 0.120978795 0.16071428 0.73255813 0.8348838 0.9186047
9 0.0 0.3222222 0.5555556 1.0 56.3 58.0 0.10344828 0.120790824 0.16071428 0.73255813 0.833721 0.9186047
10 0.0 0.33 0.6 1.0 56.4 58.0 0.10344828 0.12242752 0.16071428 0.73255813 0.8302326 0.9186047
11 0.09090909 0.33636364 0.54545456 1.0 56.6 58.0 0.10344828 0.12376666 0.16071428 0.7209302 0.8267442 0.89534885
12 0.083333336 0.3333333 0.5 1.0 56.7 59.0 0.10169491 0.12530862 0.16071428 0.7093023 0.822093 0.89534885
13 0.07692308 0.33846158 0.53846157 1.0 56.7 59.0 0.10169491 0.12538038 0.16071428 0.7093023 0.81046516 0.872093
14 0.14285715 0.34285715 0.5 1.0 56.9 59.0 0.10169491 0.123146966 0.16071428 0.7093023 0.8069768 0.872093
15 0.13333334 0.33333334 0.46666667 1.0 57.3 60.0 0.1 0.124127984 0.16071428 0.7093023 0.79883724 0.872093
16 0.125 0.325 0.5 1.0 57.6 60.0 0.1 0.1285437 0.16071428 0.7093023 0.7976744 0.872093
17 0.1764706 0.32941177 0.47058824 1.0 57.4 61.0 0.09836066 0.12904932 0.16071428 0.7093023 0.7976744 0.872093
18 0.16666667 0.32777777 0.44444445 1.0 57.5 62.0 0.09677419 0.12882045 0.15789473 0.6744186 0.78604645 0.8604651
19 0.15789473 0.32105267 0.47368422 1.0 57.4 62.0 0.09677419 0.128931 0.15789473 0.6744186 0.78023255 0.8604651
20 0.15 0.32 0.45 1.0 57.3 62.0 0.09677419 0.12926014 0.16071428 0.6744186 0.77093023 0.8372093
21 0.14285715 0.31904763 0.47619048 1.0 56.9 61.0 0.09836066 0.13013645 0.16071428 0.6744186 0.7651163 0.8255814
22 0.13636364 0.3181818 0.45454547 1.0 57.1 62.0 0.10714286 0.13130875 0.15789473 0.6627907 0.7569767 0.81395346
23 0.13043478 0.3086956 0.4347826 1.0 57.5 62.0 0.10526316 0.13217333 0.1724138 0.6627907 0.7546512 0.81395346
24 0.125 0.31250003 0.45833334 1.0 57.8 62.0 0.10526316 0.13142328 0.16949153 0.6511628 0.75348836 0.81395346
25 0.12 0.316 0.44 1.0 58.0 63.0 0.10714286 0.13087326 0.16949153 0.6511628 0.74651164 0.8023256
26 0.115384616 0.3115385 0.42307693 1.0 58.3 63.0 0.10714286 0.13190249 0.16949153 0.6511628 0.74418604 0.8023256
27 0.11111111 0.30740744 0.4074074 1.0 58.7 63.0 0.10714286 0.13097113 0.16949153 0.6511628 0.73604655 0.8023256
28 0.10714286 0.3 0.39285713 1.0 58.4 63.0 0.10526316 0.1317525 0.1724138 0.6511628 0.7302326 0.8023256
29 0.10344828 0.29655173 0.41379312 1.0 58.5 63.0 0.10526316 0.1315332 0.1724138 0.6511628 0.7232558 0.8023256
30 0.1 0.30666667 0.43333334 1.0 58.6 63.0 0.10526316 0.13133839 0.1724138 0.6511628 0.7209302 0.7906977
31 0.09677419 0.30967742 0.41935483 1.0 58.4 62.0 0.10526316 0.12838557 0.1724138 0.6511628 0.7139535 0.7906977
32 0.09375 0.3125 0.40625 1.0 58.5 62.0 0.10526316 0.13162582 0.1724138 0.6395349 0.70000005 0.76744187
33 0.09090909 0.3181818 0.3939394 1.0 58.3 62.0 0.10526316 0.1320302 0.1724138 0.627907 0.69302326 0.76744187
34 0.0882353 0.32058826 0.4117647 1.0 58.0 62.0 0.10526316 0.13101506 0.1724138 0.627907 0.68837214 0.76744187
35 0.114285715 0.3257143 0.42857143 1.0 58.1 62.0 0.10344828 0.13248034 0.1724138 0.627907 0.68604654 0.76744187
36 0.11111111 0.32500002 0.41666666 1.0 58.2 61.0 0.1 0.13420738 0.1724138 0.6395349 0.68604654 0.75581396
