rank min-srate avg-srate max-srate min-size avg-size max-size min-prec avg-prec max-prec min-rec avg-rec max-rec
1 0.0 0.2 1.0 1.0 54.3 55.0 0.10909091 0.11232324 0.12727273 0.8372093 0.8848837 0.95348835
2 0.0 0.25 0.5 1.0 54.5 55.0 0.10909091 0.11377104 0.12962963 0.8372093 0.8802325 0.95348835
3 0.0 0.23333332 0.6666667 1.0 54.8 56.0 0.10714286 0.116849445 0.12962963 0.81395346 0.872093 0.94186044
4 0.0 0.3 0.5 1.0 54.9 56.0 0.10714286 0.11661376 0.12962963 0.7906977 0.8697675 0.94186044
5 0.0 0.3 0.6 1.0 55.1 56.0 0.10714286 0.11618446 0.12962963 0.7906977 0.86162794 0.94186044
6 0.0 0.3 0.5 1.0 55.3 56.0 0.10714286 0.11760582 0.14545454 0.7906977 0.8581395 0.94186044
7 0.0 0.3 0.42857143 1.0 55.6 57.0 0.10526316 0.120591246 0.14545454 0.7906977 0.85465115 0.94186044
8 0.0 0.3 0.5 1.0 56.0 59.0 0.10169491 0.11981235 0.14545454 0.76744187 0.84534883 0.9186047
9 0.0 0.33333334 0.5555556 1.0 55.9 58.0 0.10344828 0.11998768 0.14545454 0.76744187 0.84534883 0.9186047
10 0.0 0.34 0.6 1.0 55.9 58.0 0.10344828 0.1181695 0.14545454 0.76744187 0.844186 0.9186047
11 0.09090909 0.34545454 0.54545456 1.0 56.2 58.0 0.10344828 0.11928935 0.14545454 0.75581396 0.84069765 0.9186047
12 0.083333336 0.3333333 0.5 1.0 56.2 59.0 0.10169491 0.121126994 0.14545454 0.74418604 0.8348837 0.90697676
13 0.07692308 0.33846158 0.46153846 1.0 56.2 59.0 0.10169491 0.121191934 0.14545454 0.74418604 0.822093 0.89534885
14 0.14285715 0.34285715 0.5 1.0 56.4 59.0 0.10169491 0.11895053 0.14545454 0.74418604 0.81860465 0.89534885
15 0.13333334 0.34 0.53333336 1.0 56.4 60.0 0.1 0.120794035 0.16071428 0.74418604 0.81162786 0.89534885
16 0.125 0.33125 0.5 1.0 56.7 60.0 0.1 0.12535283 0.15789473 0.74418604 0.81046504 0.89534885
17 0.11764706 0.33529413 0.5294118 1.0 56.5 61.0 0.09836066 0.12769558 0.16071428 0.74418604 0.81046504 0.89534885
18 0.11111111 0.3388889 0.5 1.0 56.4 61.0 0.09836066 0.12787263 0.16071428 0.7209302 0.8 0.89534885
19 0.10526316 0.33157894 0.5263158 1.0 56.4 61.0 0.09836066 0.12773688 0.15789473 0.6976744 0.78837204 0.89534885
20 0.1 0.32999998 0.5 1.0 56.4 61.0 0.09836066 0.12942584 0.1724138 0.6976744 0.78372085 0.872093
21 0.14285715 0.3285714 0.52380955 1.0 56.3 61.0 0.09836066 0.12966783 0.1724138 0.6976744 0.7744186 0.8604651
22 0.13636364 0.32727274 0.5 1.0 56.5 62.0 0.09677419 0.12933849 0.1724138 0.68604654 0.76860464 0.8604651
23 0.17391305 0.31739128 0.47826087 1.0 56.9 62.0 0.09677419 0.13008635 0.16949153 0.68604654 0.76744187 0.8488372
24 0.16666667 0.31666666 0.45833334 1.0 56.9 62.0 0.09677419 0.13015077 0.16666667 0.6744186 0.7662791 0.8488372
25 0.16 0.32399997 0.44 1.0 56.9 62.0 0.09677419 0.13003114 0.16666667 0.6744186 0.7581395 0.8488372
26 0.15384616 0.31538463 0.42307693 1.0 57.1 61.0 0.09836066 0.12948544 0.16666667 0.6627907 0.7546512 0.8488372
27 0.14814815 0.3148148 0.4074074 1.0 57.5 61.0 0.09836066 0.12858558 0.16393442 0.6627907 0.74883723 0.8488372
28 0.14285715 0.30714285 0.39285713 1.0 57.3 61.0 0.1 0.13071951 0.16393442 0.6511628 0.74186045 0.8488372
29 0.13793103 0.30344826 0.41379312 1.0 57.4 61.0 0.1 0.13052471 0.16393442 0.6511628 0.7383721 0.8488372
30 0.13333334 0.31333333 0.43333334 1.0 57.5 61.0 0.1 0.13032268 0.16393442 0.6511628 0.7360465 0.8255814
31 0.12903225 0.31612903 0.41935483 1.0 57.4 61.0 0.1 0.12701593 0.16393442 0.6511628 0.73139536 0.81395346
32 0.125 0.31875 0.40625 1.0 57.3 61.0 0.1 0.13076569 0.16393442 0.6511628 0.71976745 0.8023256
33 0.121212125 0.32424244 0.3939394 1.0 57.1 61.0 0.10169491 0.13112998 0.16393442 0.6511628 0.71279067 0.8023256
34 0.11764706 0.32647058 0.4117647 1.0 56.8 61.0 0.10344828 0.13178274 0.16393442 0.6395349 0.70813954 0.8023256
35 0.14285715 0.3285714 0.4 1.0 57.0 61.0 0.10344828 0.13311705 0.16666667 0.6395349 0.7069768 0.8023256
36 0.1388889 0.3277778 0.41666666 1.0 57.2 61.0 0.10344828 0.13454415 0.16666667 0.6395349 0.705814 0.8023256
37 0.16216215 0.32972974 0.4054054 1.0 57.2 61.0 0.10344828 0.13284923 0.16666667 0.60465115 0.6941861 0.8023256
