rank min-srate avg-srate max-srate min-size avg-size max-size min-prec avg-prec max-prec min-rec avg-rec max-rec
1 0.0 0.3 1.0 1.0 12.9 13.0 0.9230769 0.95384616 1.0 0.069767445 0.076744184 0.093023255
2 0.0 0.35 0.5 1.0 13.9 14.0 0.85714287 0.8923076 0.9285714 0.069767445 0.0872093 0.11627907
3 0.0 0.29999998 0.6666667 1.0 14.9 15.0 0.8 0.8457144 0.93333334 0.069767445 0.096511625 0.12790698
4 0.0 0.25 0.5 1.0 15.8 16.0 0.75 0.7975 0.875 0.069767445 0.10465117 0.15116279
5 0.0 0.24000001 0.4 1.0 16.8 17.0 0.7058824 0.7621324 0.88235295 0.069767445 0.112790704 0.1744186
6 0.0 0.19999999 0.33333334 1.0 17.5 18.0 0.6666667 0.73741835 0.8333333 0.069767445 0.12093024 0.1627907
7 0.0 0.2142857 0.42857143 1.0 18.5 19.0 0.6315789 0.7083075 0.7894737 0.069767445 0.13255814 0.18604651
8 0.0 0.2375 0.375 1.0 19.4 20.0 0.6 0.67508775 0.75 0.08139535 0.15116279 0.23255815
9 0.11111111 0.24444446 0.44444445 1.0 20.3 21.0 0.5714286 0.6555389 0.8 0.10465116 0.16279069 0.24418604
10 0.1 0.23999998 0.4 1.0 21.0 22.0 0.5714286 0.62952155 0.8 0.11627907 0.16860464 0.25581396
11 0.09090909 0.24545452 0.36363637 1.0 21.7 23.0 0.54545456 0.60894597 0.7619048 0.11627907 0.18488373 0.29069766
12 0.083333336 0.23333332 0.41666666 1.0 22.4 24.0 0.5217391 0.5854202 0.72727275 0.12790698 0.18604651 0.29069766
13 0.07692308 0.23076925 0.46153846 1.0 23.0 25.0 0.52 0.57899034 0.6956522 0.13953489 0.19651163 0.25581396
14 0.071428575 0.24285714 0.42857143 1.0 23.6 26.0 0.5 0.5695536 0.6666667 0.15116279 0.20581396 0.26744187
15 0.06666667 0.24000004 0.4 1.0 24.2 27.0 0.4814815 0.5517413 0.6666667 0.15116279 0.20930234 0.26744187
16 0.0625 0.24375 0.375 1.0 24.9 27.0 0.48 0.53612435 0.6666667 0.15116279 0.21046512 0.26744187
17 0.05882353 0.24705887 0.3529412 1.0 25.5 27.0 0.46153846 0.52320963 0.64 0.1627907 0.2127907 0.27906978
18 0.055555556 0.25 0.3888889 1.0 26.2 28.0 0.46153846 0.50910264 0.61538464 0.1627907 0.21744187 0.26744187
19 0.05263158 0.2526316 0.42105263 1.0 27.0 29.0 0.44444445 0.5007185 0.5925926 0.1744186 0.23255816 0.27906978
20 0.1 0.27 0.45 1.0 27.5 30.0 0.42857143 0.49568734 0.5925926 0.1744186 0.23604651 0.29069766
21 0.0952381 0.2761905 0.47619048 1.0 27.9 30.0 0.42857143 0.48925763 0.5925926 0.18604651 0.2395349 0.29069766
22 0.09090909 0.27727276 0.45454547 1.0 28.6 31.0 0.41379312 0.47315836 0.5714286 0.18604651 0.2523256 0.30232558
23 0.13043478 0.2913043 0.4347826 1.0 29.4 32.0 0.40625 0.46707082 0.5862069 0.18604651 0.26279068 0.3488372
24 0.16666667 0.2875 0.41666666 1.0 30.2 33.0 0.3939394 0.4514183 0.53333336 0.18604651 0.26744187 0.3488372
25 0.2 0.284 0.4 1.0 30.9 34.0 0.38235295 0.44469127 0.516129 0.19767442 0.27558142 0.3255814
26 0.1923077 0.2846154 0.3846154 1.0 31.4 34.0 0.38235295 0.44040075 0.5 0.19767442 0.2918605 0.37209302
27 0.18518518 0.29629627 0.4074074 1.0 32.1 35.0 0.37142858 0.42725644 0.5 0.19767442 0.29534882 0.3488372
28 0.17857143 0.29285714 0.39285713 1.0 32.4 36.0 0.3611111 0.42365494 0.5 0.19767442 0.29302326 0.3488372
29 0.1724138 0.29310343 0.41379312 1.0 33.0 37.0 0.3611111 0.41838413 0.4848485 0.23255815 0.2965116 0.3488372
