rank min-srate avg-srate max-srate min-size avg-size max-size min-prec avg-prec max-prec min-rec avg-rec max-rec
1 0.0 0.2 1.0 1.0 54.8 55.0 0.10909091 0.10949495 0.11111111 0.8372093 0.8872093 0.95348835
2 0.0 0.3 1.0 1.0 55.4 56.0 0.10714286 0.11013709 0.12727273 0.8372093 0.88488376 0.95348835
3 0.0 0.26666665 0.6666667 1.0 56.1 57.0 0.10526316 0.11050866 0.125 0.8255814 0.877907 0.95348835
4 0.0 0.325 0.75 1.0 56.5 58.0 0.10526316 0.1114568 0.125 0.8023256 0.877907 0.95348835
5 0.0 0.3 0.6 1.0 57.3 59.0 0.10344828 0.111618795 0.12280702 0.8023256 0.87325585 0.95348835
6 0.0 0.3 0.5 1.0 57.9 60.0 0.10169491 0.11397884 0.12280702 0.8023256 0.8697675 0.95348835
7 0.0 0.3 0.5714286 1.0 58.4 61.0 0.10169491 0.11476989 0.14035088 0.7906977 0.8744186 0.95348835
8 0.0 0.3125 0.5 1.0 59.0 62.0 0.1 0.113648996 0.14035088 0.7906977 0.86744195 0.95348835
9 0.0 0.35555553 0.5555556 1.0 59.3 63.0 0.09836066 0.113136366 0.14035088 0.7906977 0.8651163 0.95348835
10 0.0 0.36000004 0.6 1.0 59.8 64.0 0.09677419 0.11051271 0.12280702 0.7906977 0.86744183 0.95348835
11 0.09090909 0.35454544 0.54545456 1.0 60.5 64.0 0.0952381 0.110911354 0.13793103 0.7790698 0.866279 0.96511626
12 0.083333336 0.34166664 0.5833333 1.0 61.1 65.0 0.09375 0.11155827 0.13793103 0.7790698 0.8662791 0.96511626
13 0.07692308 0.34615386 0.53846157 1.0 61.7 66.0 0.09375 0.11046179 0.13559322 0.7790698 0.86046517 0.96511626
14 0.14285715 0.35000002 0.5714286 1.0 62.1 66.0 0.0952381 0.11132546 0.13559322 0.7790698 0.8569768 0.96511626
15 0.13333334 0.35333335 0.6 1.0 62.4 66.0 0.0952381 0.11402913 0.15 0.7790698 0.8534883 0.95348835
16 0.125 0.35 0.625 1.0 63.1 67.0 0.0952381 0.1158527 0.14754099 0.7906977 0.85813963 0.95348835
17 0.11764706 0.33529413 0.5882353 1.0 63.7 68.0 0.0952381 0.11795221 0.14754099 0.7906977 0.85930234 0.95348835
18 0.11111111 0.33333334 0.5555556 1.0 64.0 68.0 0.0952381 0.11891048 0.14754099 0.7906977 0.8569768 0.95348835
19 0.10526316 0.3263158 0.57894737 1.0 64.4 68.0 0.09375 0.122705296 0.15384616 0.75581396 0.8511628 0.96511626
20 0.1 0.32999998 0.6 1.0 64.8 69.0 0.09375 0.121908106 0.15151516 0.75581396 0.8511628 0.96511626
21 0.14285715 0.32857147 0.61904764 1.0 65.2 69.0 0.092307694 0.12262195 0.15151516 0.74418604 0.8488372 0.96511626
22 0.13636364 0.33181816 0.59090906 1.0 65.6 69.0 0.09090909 0.121947035 0.15151516 0.74418604 0.85232556 0.96511626
23 0.17391305 0.3217391 0.5652174 1.0 66.4 70.0 0.08955224 0.119072095 0.14925373 0.73255813 0.85 0.94186044
24 0.16666667 0.32500002 0.5416667 1.0 66.7 70.0 0.0882353 0.11858342 0.14925373 0.74418604 0.8511628 0.94186044
25 0.16 0.328 0.52 1.0 67.0 71.0 0.0882353 0.121008776 0.14925373 0.74418604 0.8418605 0.94186044
26 0.15384616 0.32307693 0.5 1.0 67.7 72.0 0.0882353 0.12282685 0.15625 0.7209302 0.8488372 0.94186044
27 0.14814815 0.32592592 0.5185185 1.0 67.9 73.0 0.0882353 0.120880686 0.15384616 0.7209302 0.8441861 0.9302326
28 0.14285715 0.325 0.5 1.0 68.2 73.0 0.0882353 0.121818945 0.15384616 0.7093023 0.8418605 0.9302326
29 0.13793103 0.31724137 0.4827586 1.0 68.9 73.0 0.08695652 0.12204947 0.15151516 0.6976744 0.8430233 0.94186044
30 0.13333334 0.32 0.46666667 1.0 69.0 73.0 0.08571429 0.12190263 0.14925373 0.6976744 0.83953494 0.94186044
31 0.16129032 0.32903224 0.48387095 1.0 69.3 73.0 0.08571429 0.12281565 0.14925373 0.6976744 0.83953494 0.94186044
32 0.15625 0.328125 0.46875 1.0 69.6 73.0 0.08450704 0.12375482 0.14705883 0.7093023 0.83720934 0.9302326
33 0.15151516 0.330303 0.4848485 1.0 69.8 73.0 0.08450704 0.12611952 0.14705883 0.7093023 0.8383721 0.9302326
34 0.1764706 0.33235294 0.5 1.0 70.0 73.0 0.083333336 0.12584302 0.14492753 0.6744186 0.833721 0.9302326
35 0.2 0.33714285 0.4857143 1.0 70.4 73.0 0.083333336 0.12655725 0.14285715 0.6744186 0.8360465 0.9302326
