rank min-srate avg-srate max-srate min-size avg-size max-size min-prec avg-prec max-prec min-rec avg-rec max-rec
1 0.0 0.2 1.0 1.0 54.8 55.0 0.10909091 0.11131313 0.12727273 0.8372093 0.8848837 0.95348835
2 0.0 0.25 0.5 1.0 55.3 56.0 0.10714286 0.11215007 0.12727273 0.8372093 0.8802325 0.95348835
3 0.0 0.23333332 0.6666667 1.0 56.0 57.0 0.10526316 0.11430737 0.12727273 0.8255814 0.87441856 0.94186044
4 0.0 0.275 0.5 1.0 56.5 58.0 0.10344828 0.11675812 0.13793103 0.8372093 0.8755814 0.94186044
5 0.0 0.28000003 0.6 1.0 57.1 59.0 0.10344828 0.11555352 0.13559322 0.81395346 0.87325585 0.94186044
6 0.0 0.28333333 0.5 1.0 57.8 60.0 0.10169491 0.11584207 0.13559322 0.81395346 0.8709302 0.94186044
7 0.0 0.28571433 0.42857143 1.0 58.5 61.0 0.10169491 0.11790536 0.14035088 0.8255814 0.87325585 0.94186044
8 0.125 0.3 0.5 1.0 59.1 61.0 0.1 0.11678453 0.14035088 0.8023256 0.8639536 0.9186047
9 0.11111111 0.33333334 0.5555556 1.0 59.3 62.0 0.1 0.11477502 0.14035088 0.8255814 0.86744195 0.9186047
10 0.1 0.34 0.6 1.0 59.9 63.0 0.1 0.11185141 0.13333334 0.8255814 0.8697675 0.9186047
11 0.09090909 0.34545457 0.54545456 1.0 60.5 64.0 0.09836066 0.11240641 0.13559322 0.8255814 0.8662791 0.9186047
12 0.083333336 0.33333334 0.5 1.0 60.9 65.0 0.09836066 0.11338226 0.13559322 0.8255814 0.8662791 0.9186047
13 0.15384616 0.33846158 0.46153846 1.0 61.5 65.0 0.09677419 0.11394577 0.13559322 0.7906977 0.855814 0.9186047
14 0.14285715 0.34285715 0.5 1.0 62.0 66.0 0.09090909 0.11150707 0.13559322 0.7906977 0.8581395 0.95348835
15 0.13333334 0.34 0.46666667 1.0 62.4 67.0 0.08955224 0.114151515 0.15 0.7906977 0.85465115 0.95348835
16 0.125 0.33125 0.4375 1.0 63.1 67.0 0.08955224 0.11763622 0.14754099 0.7906977 0.8534883 0.94186044
17 0.11764706 0.32941177 0.47058824 1.0 63.4 67.0 0.08955224 0.11875359 0.14754099 0.7906977 0.8534883 0.94186044
18 0.11111111 0.3277778 0.44444445 1.0 63.8 67.0 0.08955224 0.117975056 0.14754099 0.76744187 0.8511628 0.9302326
19 0.10526316 0.32105264 0.47368422 1.0 64.4 68.0 0.0882353 0.116895035 0.14516129 0.74418604 0.8430232 0.9186047
20 0.1 0.315 0.45 1.0 64.7 68.0 0.0882353 0.11784993 0.14516129 0.74418604 0.844186 0.9186047
21 0.14285715 0.3142857 0.47619048 1.0 65.1 68.0 0.0882353 0.1170582 0.14285715 0.75581396 0.8430232 0.9186047
22 0.13636364 0.3181818 0.45454547 1.0 65.6 69.0 0.08695652 0.117733166 0.14285715 0.7790698 0.84534883 0.9186047
23 0.17391305 0.3086956 0.4347826 1.0 66.4 69.0 0.08695652 0.117754795 0.14285715 0.7790698 0.84651166 0.90697676
