rank min-srate avg-srate max-srate min-size avg-size max-size min-prec avg-prec max-prec min-rec avg-rec max-rec
1 0.0 0.1 1.0 1.0 54.0 54.0 0.11111111 0.11111112 0.11111111 0.8372093 0.88255805 0.95348835
2 0.0 0.2 0.5 1.0 54.0 54.0 0.11111111 0.112962976 0.12962963 0.8372093 0.877907 0.95348835
3 0.0 0.2 0.6666667 1.0 53.9 54.0 0.11111111 0.11502446 0.12962963 0.8023256 0.86860466 0.95348835
4 0.0 0.275 0.5 1.0 53.9 54.0 0.11111111 0.11502446 0.12962963 0.7790698 0.8639535 0.95348835
5 0.0 0.28000003 0.6 1.0 53.9 54.0 0.11111111 0.11502446 0.12962963 0.7790698 0.8569768 0.95348835
6 0.0 0.28333333 0.5 1.0 53.9 54.0 0.11111111 0.11687632 0.14814815 0.7790698 0.8511628 0.95348835
7 0.0 0.27142859 0.42857143 1.0 53.9 54.0 0.11111111 0.12058002 0.14814815 0.7790698 0.8430233 0.9186047
8 0.0 0.2625 0.5 1.0 53.9 54.0 0.11111111 0.12058002 0.14814815 0.7209302 0.8209303 0.9186047
9 0.0 0.3 0.5555556 1.0 53.8 54.0 0.11111111 0.12078967 0.14814815 0.7093023 0.8197675 0.9186047
10 0.0 0.31 0.6 1.0 53.8 54.0 0.11111111 0.11893781 0.14814815 0.7093023 0.81860465 0.9186047
11 0.0 0.3 0.54545456 1.0 53.8 54.0 0.11111111 0.12264152 0.14814815 0.6976744 0.8127907 0.9186047
12 0.0 0.29166666 0.5 1.0 53.5 54.0 0.11111111 0.12338332 0.1509434 0.6744186 0.8081396 0.90697676
13 0.0 0.3 0.46153846 1.0 53.5 54.0 0.11111111 0.12523517 0.1509434 0.6744186 0.7895349 0.90697676
14 0.0 0.3 0.5 1.0 53.5 54.0 0.11111111 0.12523517 0.1509434 0.6744186 0.7837209 0.90697676
15 0.06666667 0.3 0.46666667 1.0 53.4 54.0 0.11111111 0.12734821 0.16981132 0.6627907 0.7755814 0.88372093
16 0.0625 0.29375 0.4375 1.0 53.4 54.0 0.11111111 0.13290377 0.16981132 0.6627907 0.7697675 0.872093
