rank min-srate avg-srate max-srate min-size avg-size max-size min-prec avg-prec max-prec min-rec avg-rec max-rec
1 0.0 0.2 1.0 1.0 54.8 55.0 0.10909091 0.10949495 0.11111111 0.8372093 0.89069766 0.95348835
100 0.25 0.325 0.42 1.0 85.6 90.0 0.11363637 0.14027682 0.1724138 0.75581396 0.83720934 0.9186047
200 0.305 0.38050002 0.42 1.0 88.6 93.0 0.11494253 0.14997694 0.20224719 0.7093023 0.78837216 0.89534885
300 0.36333334 0.40399998 0.45666668 1.0 87.5 94.0 0.125 0.17796054 0.24719101 0.7209302 0.7906977 0.872093
400 0.39 0.4295 0.4775 1.0 85.1 90.0 0.14117648 0.20472066 0.24096386 0.7209302 0.7581395 0.81395346
500 0.412 0.4546 0.49 1.0 81.9 88.0 0.1392405 0.23379377 0.32911393 0.627907 0.7139535 0.7790698
600 0.44333333 0.4825 0.52166665 1.0 79.8 88.0 0.19736843 0.26077312 0.32954547 0.627907 0.7046511 0.76744187
700 0.46285716 0.50385714 0.54285717 1.0 77.9 88.0 0.21052632 0.2843476 0.38961038 0.5813953 0.68023247 0.74418604
800 0.48125 0.52262497 0.5725 1.0 74.7 83.0 0.26027396 0.30299693 0.38356164 0.5697674 0.6674418 0.74418604
900 0.48666668 0.53877777 0.5833333 1.0 72.1 82.0 0.26760563 0.333879 0.43661973 0.5697674 0.64767444 0.6976744
1000 0.515 0.5574 0.607 1.0 70.5 80.0 0.28985506 0.36415008 0.46268657 0.5697674 0.64767444 0.73255813
1100 0.5427273 0.57290906 0.6227273 1.0 69.0 80.0 0.3382353 0.39401332 0.46153846 0.5116279 0.6209302 0.75581396
1200 0.5675 0.59099996 0.63416666 1.0 66.4 72.0 0.375 0.4302776 0.515625 0.5 0.5988372 0.6744186
1300 0.58384615 0.6050769 0.6446154 1.0 64.1 70.0 0.41538462 0.4786972 0.5645161 0.4883721 0.59302324 0.6627907
1400 0.5971429 0.61878574 0.6542857 1.0 62.0 69.0 0.47368422 0.534534 0.62068963 0.4883721 0.59069765 0.6744186
1500 0.612 0.63193333 0.66933334 1.0 60.2 67.0 0.5 0.56830156 0.6315789 0.4651163 0.56279075 0.627907
1600 0.62625 0.645125 0.678125 1.0 58.7 66.0 0.54545456 0.62105924 0.7090909 0.45348838 0.55697674 0.627907
1700 0.6417647 0.65900004 0.6882353 1.0 57.2 63.0 0.59322035 0.65054584 0.7924528 0.45348838 0.5430232 0.61627907
1800 0.65555555 0.67255557 0.70166665 1.0 56.0 63.0 0.6181818 0.6668287 0.754717 0.44186047 0.5406977 0.60465115
1900 0.6657895 0.6843158 0.71 1.0 54.6 62.0 0.6296296 0.7053549 0.8 0.4651163 0.54186046 0.60465115
2000 0.68 0.69505 0.7175 1.0 52.8 60.0 0.64285713 0.74302363 0.84090906 0.45348838 0.5395349 0.60465115
2100 0.69095236 0.7062857 0.7285714 1.0 51.6 59.0 0.66 0.7688759 0.8541667 0.45348838 0.53255814 0.60465115
