rank min-srate avg-srate max-srate min-size avg-size max-size min-prec avg-prec max-prec min-rec avg-rec max-rec
1 0.0 0.2 1.0 1.0 54.6 55.0 0.10909091 0.109899 0.11111111 0.8372093 0.88720924 0.95348835
100 0.25 0.35 0.44 1.0 73.5 80.0 0.10958904 0.14478588 0.2 0.627907 0.71627903 0.8255814
200 0.38 0.43249997 0.47 1.0 64.9 76.0 0.13636364 0.17378052 0.234375 0.5116279 0.5837209 0.6976744
300 0.46666667 0.49566668 0.5366667 1.0 54.5 62.0 0.12903225 0.2273922 0.2962963 0.40697673 0.5069767 0.60465115
400 0.53 0.55224997 0.5775 1.0 45.8 53.0 0.24 0.30921686 0.3846154 0.3604651 0.45232552 0.5813953
500 0.584 0.60519993 0.618 1.0 40.3 49.0 0.30769232 0.3622853 0.4054054 0.3255814 0.41511625 0.5116279
600 0.635 0.64900005 0.6666667 1.0 36.6 42.0 0.33333334 0.4087059 0.5135135 0.30232558 0.38953486 0.47674417
700 0.66571426 0.6839999 0.69714284 1.0 34.4 42.0 0.36842105 0.49402022 0.6111111 0.29069766 0.3802325 0.47674417
800 0.69875 0.7126249 0.7275 1.0 33.2 41.0 0.39473686 0.5428497 0.7 0.29069766 0.37093022 0.4651163
900 0.72888887 0.7372222 0.7488889 1.0 32.1 38.0 0.47058824 0.5544092 0.7 0.29069766 0.36627907 0.4651163
1000 0.75 0.7588 0.771 1.0 31.1 36.0 0.48387095 0.60816807 0.79310346 0.29069766 0.36860463 0.47674417
1100 0.76545453 0.7770909 0.78818184 1.0 30.1 34.0 0.5 0.65245384 0.78571427 0.29069766 0.36279067 0.4651163
1200 0.7816667 0.7928333 0.80333334 1.0 29.9 34.0 0.5294118 0.6712515 0.78571427 0.29069766 0.36279067 0.4651163
1300 0.7953846 0.8066923 0.8176923 1.0 29.7 34.0 0.58064514 0.6936747 0.8214286 0.29069766 0.3616279 0.4651163
1400 0.81 0.8192857 0.83 1.0 29.5 34.0 0.61764705 0.71477574 0.8214286 0.29069766 0.3616279 0.4651163
1500 0.82133335 0.8304 0.8413333 1.0 29.3 34.0 0.5882353 0.73266613 0.85714287 0.29069766 0.3616279 0.4651163
1600 0.8325 0.83987504 0.85 1.0 29.1 34.0 0.64705884 0.7638222 0.875 0.29069766 0.3616279 0.4651163
1700 0.8423529 0.8488823 0.85882354 1.0 29.1 34.0 0.6551724 0.76721895 0.85714287 0.29069766 0.3616279 0.4651163
1800 0.8511111 0.8570555 0.8666667 1.0 29.1 34.0 0.6551724 0.77092266 0.85714287 0.29069766 0.3616279 0.4651163
1900 0.8578947 0.8643158 0.8736842 1.0 29.0 34.0 0.64705884 0.7814758 0.875 0.29069766 0.3616279 0.4651163
2000 0.865 0.87084997 0.8795 1.0 28.9 34.0 0.64705884 0.784062 0.875 0.29069766 0.3616279 0.4651163
2100 0.87142855 0.87685716 0.8852381 1.0 28.8 34.0 0.61764705 0.78487575 0.875 0.29069766 0.3616279 0.4651163
2200 0.8772727 0.88231814 0.89045453 1.0 28.8 34.0 0.64705884 0.78781694 0.875 0.29069766 0.3616279 0.4651163
2300 0.8821739 0.8873044 0.8952174 1.0 28.6 34.0 0.64705884 0.7931483 0.875 0.29069766 0.3616279 0.4651163
2400 0.88708335 0.89191663 0.89958334 1.0 28.6 34.0 0.6764706 0.7960895 0.875 0.29069766 0.3616279 0.4651163
2500 0.8912 0.89615995 0.9036 1.0 28.6 34.0 0.6764706 0.7996609 0.875 0.29069766 0.3616279 0.4651163
2600 0.8953846 0.90015393 0.9073077 1.0 28.6 34.0 0.6764706 0.7996609 0.875 0.29069766 0.3616279 0.4651163
2700 0.89925927 0.9038148 0.91074073 1.0 28.6 34.0 0.6785714 0.8026021 0.875 0.29069766 0.3616279 0.4651163
2800 0.9028571 0.90725005 0.91392857 1.0 28.6 34.0 0.6785714 0.8026021 0.875 0.29069766 0.3616279 0.4651163
2900 0.9062069 0.9104484 0.9168965 1.0 28.6 34.0 0.6785714 0.8026021 0.875 0.29069766 0.3616279 0.4651163
3000 0.90933335 0.91343325 0.91966665 1.0 28.6 34.0 0.6785714 0.8026021 0.875 0.29069766 0.3616279 0.4651163
3100 0.9116129 0.91616136 0.9222581 1.0 28.6 34.0 0.6785714 0.8026021 0.875 0.29069766 0.3616279 0.4651163
3200 0.914375 0.91875 0.9246875 1.0 28.5 34.0 0.6785714 0.80537987 0.875 0.29069766 0.3616279 0.4651163
3300 0.9169697 0.9212121 0.9269697 1.0 28.5 34.0 0.6785714 0.80537987 0.875 0.29069766 0.3616279 0.4651163
3400 0.9194118 0.9235293 0.9291176 1.0 28.5 34.0 0.6785714 0.80537987 0.875 0.29069766 0.3616279 0.4651163
3500 0.9217143 0.9257143 0.93114287 1.0 28.5 34.0 0.6785714 0.80537987 0.875 0.29069766 0.3616279 0.4651163
3600 0.92388886 0.9277779 0.9330556 1.0 28.5 34.0 0.6785714 0.80537987 0.875 0.29069766 0.3616279 0.4651163
3700 0.92594594 0.92972976 0.9348649 1.0 28.5 34.0 0.6785714 0.80537987 0.875 0.29069766 0.3616279 0.4651163
3800 0.9278947 0.93157893 0.9365789 1.0 28.5 34.0 0.6785714 0.80537987 0.875 0.29069766 0.3616279 0.4651163
3900 0.9297436 0.9333333 0.9382051 1.0 28.5 34.0 0.6785714 0.80537987 0.875 0.29069766 0.3616279 0.4651163
4000 0.9315 0.9350001 0.93975 1.0 28.5 34.0 0.6785714 0.80537987 0.875 0.29069766 0.3616279 0.4651163
4100 0.93317074 0.9365853 0.9412195 1.0 28.5 34.0 0.6785714 0.80537987 0.875 0.29069766 0.3616279 0.4651163
4200 0.9347619 0.9380952 0.942619 1.0 28.5 34.0 0.6785714 0.80537987 0.875 0.29069766 0.3616279 0.4651163
4300 0.93627906 0.93953484 0.9439535 1.0 28.5 34.0 0.6785714 0.80537987 0.875 0.29069766 0.3616279 0.4651163
4400 0.9377273 0.9409091 0.94522727 1.0 28.5 34.0 0.6785714 0.80537987 0.875 0.29069766 0.3616279 0.4651163
4500 0.9391111 0.94222224 0.94644445 1.0 28.5 34.0 0.6785714 0.80537987 0.875 0.29069766 0.3616279 0.4651163
4600 0.94043475 0.9434783 0.9476087 1.0 28.5 34.0 0.6785714 0.80537987 0.875 0.29069766 0.3616279 0.4651163
4700 0.9417021 0.94468087 0.9487234 1.0 28.5 34.0 0.6785714 0.80537987 0.875 0.29069766 0.3616279 0.4651163
4800 0.9429167 0.9458333 0.94979167 1.0 28.5 34.0 0.6785714 0.80537987 0.875 0.29069766 0.3616279 0.4651163
4900 0.9440816 0.9469387 0.95081633 1.0 28.5 34.0 0.6785714 0.80537987 0.875 0.29069766 0.3616279 0.4651163
5000 0.9452 0.94799995 0.9518 1.0 28.5 34.0 0.6785714 0.80537987 0.875 0.29069766 0.3616279 0.4651163
5100 0.9462745 0.9490196 0.9527451 1.0 28.5 34.0 0.6785714 0.80537987 0.875 0.29069766 0.3616279 0.4651163
5200 0.9473077 0.95 0.9536539 1.0 28.5 34.0 0.6785714 0.80537987 0.875 0.29069766 0.3616279 0.4651163
5300 0.9483019 0.95094335 0.9545283 1.0 28.5 34.0 0.6785714 0.80537987 0.875 0.29069766 0.3616279 0.4651163
5400 0.9492593 0.95185184 0.95537037 1.0 28.5 34.0 0.6785714 0.80537987 0.875 0.29069766 0.3616279 0.4651163
5500 0.95018184 0.9527273 0.9561818 1.0 28.5 34.0 0.6785714 0.80537987 0.875 0.29069766 0.3616279 0.4651163
5600 0.95107144 0.95357144 0.9569643 1.0 28.5 34.0 0.6785714 0.80537987 0.875 0.29069766 0.3616279 0.4651163
5700 0.9519298 0.95438594 0.9577193 1.0 28.5 34.0 0.6785714 0.80537987 0.875 0.29069766 0.3616279 0.4651163
5800 0.9527586 0.9551724 0.9584483 1.0 28.5 34.0 0.6785714 0.80537987 0.875 0.29069766 0.3616279 0.4651163
