rank min-srate avg-srate max-srate min-size avg-size max-size min-prec avg-prec max-prec min-rec avg-rec max-rec
1 0.0 0.1 1.0 1.0 54.9 55.0 0.10909091 0.1129293 0.12727273 0.8372093 0.8918605 0.95348835
100 0.28 0.373 0.42 1.0 81.2 84.0 0.14102565 0.19302003 0.22619048 0.73255813 0.7953489 0.8488372
200 0.37 0.43249997 0.465 1.0 80.1 82.0 0.16455697 0.23451343 0.34177214 0.6627907 0.74767435 0.8255814
300 0.44 0.48866662 0.52666664 1.0 76.7 81.0 0.1891892 0.2592985 0.33783785 0.627907 0.72441864 0.8023256
400 0.475 0.52225 0.57 1.0 71.2 76.0 0.1884058 0.28800875 0.36231884 0.627907 0.69883716 0.7790698
500 0.522 0.5576 0.6 1.0 65.5 70.0 0.25 0.3480485 0.4516129 0.60465115 0.6418604 0.6976744
600 0.5683333 0.5935 0.62666667 1.0 61.3 64.0 0.35 0.41270342 0.48387095 0.5813953 0.6255814 0.6744186
700 0.60142857 0.6235714 0.6585714 1.0 56.8 60.0 0.3898305 0.4813551 0.64705884 0.53488374 0.60930234 0.6627907
800 0.63375 0.651375 0.6875 1.0 54.4 59.0 0.4642857 0.529904 0.6122449 0.53488374 0.59418607 0.6395349
900 0.6566667 0.6753334 0.70555556 1.0 53.0 59.0 0.4642857 0.562199 0.6730769 0.5116279 0.5860465 0.61627907
1000 0.675 0.6962 0.723 1.0 51.4 56.0 0.5192308 0.6147654 0.70212764 0.5116279 0.58255816 0.627907
1100 0.6963636 0.7149091 0.7418182 1.0 49.6 53.0 0.62 0.68478113 0.8 0.5116279 0.56627905 0.60465115
1200 0.71666664 0.73183334 0.7583333 1.0 48.3 51.0 0.64705884 0.73909706 0.8666667 0.5116279 0.56627905 0.627907
1300 0.7323077 0.74661535 0.7676923 1.0 47.6 51.0 0.7291667 0.80381787 0.9111111 0.5116279 0.5476745 0.5813953
1400 0.7457143 0.7622857 0.7821429 1.0 47.1 51.0 0.7446808 0.80381536 0.9111111 0.5116279 0.55 0.5813953
1500 0.758 0.7758666 0.7953333 1.0 46.7 50.0 0.75 0.8369357 0.93333334 0.5116279 0.5488372 0.5813953
1600 0.770625 0.787625 0.803125 1.0 46.3 49.0 0.7755102 0.8736781 0.93333334 0.5116279 0.54418606 0.5697674
1700 0.7823529 0.7987058 0.81411767 1.0 46.1 49.0 0.8367347 0.896896 0.97727275 0.5116279 0.5395349 0.5813953
1800 0.79388887 0.8088333 0.82277775 1.0 46.0 49.0 0.85714287 0.9201481 0.95454544 0.5116279 0.5383721 0.5813953
1900 0.80368423 0.81789476 0.83105266 1.0 45.8 48.0 0.875 0.94138134 0.9787234 0.5 0.53488374 0.5697674
2000 0.813 0.82650006 0.8395 1.0 45.7 48.0 0.8958333 0.95870477 1.0 0.5 0.53488374 0.5697674
2100 0.8219048 0.8345238 0.8471429 1.0 45.7 48.0 0.8958333 0.9611206 1.0 0.5116279 0.5360465 0.5813953
2200 0.83 0.84154546 0.8540909 1.0 45.6 48.0 0.8958333 0.9717267 1.0 0.5116279 0.53372097 0.5813953
