rank min-srate avg-srate max-srate min-size avg-size max-size min-prec avg-prec max-prec min-rec avg-rec max-rec
1 0.0 0.2 1.0 1.0 54.2 55.0 0.10909091 0.11252526 0.12727273 0.8372093 0.88720924 0.95348835
100 0.35 0.452 0.53 1.0 50.7 58.0 0.18518518 0.2372487 0.29310346 0.40697673 0.5 0.61627907
200 0.56 0.5835 0.615 1.0 38.6 44.0 0.24390244 0.35042807 0.51282054 0.3139535 0.38720927 0.5116279
300 0.66 0.67099994 0.7 1.0 32.0 37.0 0.32258064 0.4394157 0.62068963 0.27906978 0.34069765 0.37209302
400 0.7125 0.72725004 0.7475 1.0 28.8 34.0 0.41379312 0.50793445 0.6666667 0.23255815 0.32209298 0.37209302
500 0.752 0.7686 0.784 1.0 27.2 34.0 0.4074074 0.5724683 0.6956522 0.22093023 0.3093023 0.3604651
600 0.785 0.7975 0.81 1.0 26.5 33.0 0.53333336 0.6549383 0.8214286 0.23255815 0.30348834 0.3604651
700 0.81 0.82 0.83 1.0 26.0 32.0 0.65384614 0.7244598 0.8181818 0.23255815 0.30348834 0.3604651
800 0.82625 0.8383749 0.84625 1.0 25.2 30.0 0.61538464 0.7809964 0.92 0.22093023 0.29534882 0.3488372
900 0.8433333 0.85344446 0.86333334 1.0 24.8 30.0 0.61538464 0.7909495 0.9047619 0.22093023 0.29069766 0.3488372
1000 0.858 0.86639994 0.876 1.0 24.5 30.0 0.6666667 0.80522263 0.95 0.22093023 0.2883721 0.3488372
1100 0.8690909 0.87709093 0.8863636 1.0 24.4 29.0 0.7692308 0.848344 0.8888889 0.22093023 0.2860465 0.3372093
1200 0.87916666 0.88633335 0.895 1.0 24.4 29.0 0.8 0.8673118 0.9310345 0.22093023 0.2848837 0.3372093
1300 0.8869231 0.8936924 0.9015385 1.0 24.2 29.0 0.85 0.9317029 1.0 0.22093023 0.28255814 0.3372093
1400 0.895 0.90057135 0.9085714 1.0 24.2 29.0 0.88 0.9546121 1.0 0.22093023 0.28255814 0.3372093
1500 0.902 0.90686667 0.91333336 1.0 24.2 29.0 0.9230769 0.97495985 1.0 0.22093023 0.28255814 0.3372093
1600 0.908125 0.9124999 0.91875 1.0 24.1 29.0 0.96 0.98100185 1.0 0.22093023 0.28255814 0.3372093
1700 0.91294116 0.9175294 0.92294115 1.0 24.1 29.0 0.96 0.98470557 1.0 0.22093023 0.28255814 0.3372093
1800 0.9177778 0.92205554 0.92722225 1.0 24.1 29.0 0.96 0.9887055 1.0 0.22093023 0.28255814 0.3372093
1900 0.92210525 0.9261052 0.9310526 1.0 24.1 29.0 0.95652175 0.987806 1.0 0.22093023 0.28255814 0.3372093
2000 0.926 0.92974997 0.9345 1.0 24.1 29.0 0.96 0.9921538 1.0 0.22093023 0.28255814 0.3372093
2100 0.9295238 0.9330953 0.93761903 1.0 24.1 29.0 0.96 0.9881538 1.0 0.22093023 0.28255814 0.3372093
2200 0.9327273 0.93613636 0.94045454 1.0 24.1 29.0 0.96 0.9881538 1.0 0.22093023 0.28255814 0.3372093
2300 0.9356522 0.93891305 0.9430435 1.0 24.1 29.0 0.96 0.9881538 1.0 0.22093023 0.28255814 0.3372093
2400 0.93833333 0.94145834 0.9454167 1.0 24.1 29.0 0.96 0.9881538 1.0 0.22093023 0.28255814 0.3372093
2500 0.9408 0.9438001 0.9476 1.0 24.1 29.0 0.96 0.9881538 1.0 0.22093023 0.28255814 0.3372093
2600 0.9430769 0.9459616 0.94961536 1.0 24.1 29.0 0.96 0.9881538 1.0 0.22093023 0.28255814 0.3372093
2700 0.9451852 0.94796306 0.95148146 1.0 24.1 29.0 0.96 0.9881538 1.0 0.22093023 0.28255814 0.3372093
2800 0.94714284 0.9497857 0.9532143 1.0 24.1 29.0 0.96 0.992 1.0 0.22093023 0.28139538 0.3372093
2900 0.9489655 0.9514828 0.9548276 1.0 24.1 29.0 0.96 0.996 1.0 0.22093023 0.28023258 0.3372093
3000 0.95066667 0.9530667 0.956 1.0 24.1 29.0 1.0 1.0 1.0 0.22093023 0.28023258 0.3372093
3100 0.95225805 0.95454836 0.95741934 1.0 24.1 29.0 1.0 1.0 1.0 0.22093023 0.28023258 0.3372093
3200 0.95375 0.95596874 0.95875 1.0 24.1 29.0 1.0 1.0 1.0 0.22093023 0.28023258 0.3372093
3300 0.9551515 0.95730305 0.96 1.0 24.1 29.0 1.0 1.0 1.0 0.22093023 0.28023258 0.3372093
3400 0.9564706 0.95855886 0.96117646 1.0 24.1 29.0 1.0 1.0 1.0 0.22093023 0.28023258 0.3372093
3500 0.95771426 0.95974284 0.9622857 1.0 24.1 29.0 1.0 1.0 1.0 0.22093023 0.28023258 0.3372093
3600 0.9588889 0.9608611 0.9633333 1.0 24.1 29.0 1.0 1.0 1.0 0.22093023 0.28023258 0.3372093
3700 0.96 0.96191883 0.9643243 1.0 24.1 29.0 1.0 1.0 1.0 0.22093023 0.28023258 0.3372093
3800 0.96105266 0.962921 0.9652631 1.0 24.1 29.0 1.0 1.0 1.0 0.22093023 0.28023258 0.3372093
3900 0.9620513 0.96387184 0.96615386 1.0 24.1 29.0 1.0 1.0 1.0 0.22093023 0.28023258 0.3372093
4000 0.963 0.9647749 0.967 1.0 24.1 29.0 1.0 1.0 1.0 0.22093023 0.28023258 0.3372093
4100 0.9639024 0.96563417 0.96780485 1.0 24.1 29.0 1.0 1.0 1.0 0.22093023 0.28023258 0.3372093
4200 0.9647619 0.9664523 0.9685714 1.0 24.1 29.0 1.0 1.0 1.0 0.22093023 0.28023258 0.3372093
4300 0.9655814 0.9672325 0.9693023 1.0 24.1 29.0 1.0 1.0 1.0 0.22093023 0.28023258 0.3372093
4400 0.9663636 0.9679772 0.97 1.0 24.1 29.0 1.0 1.0 1.0 0.22093023 0.28023258 0.3372093
4500 0.9671111 0.96868896 0.97066665 1.0 24.1 29.0 1.0 1.0 1.0 0.22093023 0.28023258 0.3372093
4600 0.96782607 0.96936953 0.97130436 1.0 24.1 29.0 1.0 1.0 1.0 0.22093023 0.28023258 0.3372093
4700 0.9685106 0.96999997 0.9719149 1.0 24.1 29.0 1.0 1.0 1.0 0.22093023 0.28023258 0.3372093
4800 0.9691667 0.97062504 0.9725 1.0 24.1 29.0 1.0 1.0 1.0 0.22093023 0.28023258 0.3372093
4900 0.96979594 0.9712246 0.9730612 1.0 24.1 29.0 1.0 1.0 1.0 0.22093023 0.28023258 0.3372093
5000 0.9704 0.97179997 0.9736 1.0 24.1 29.0 1.0 1.0 1.0 0.22093023 0.28023258 0.3372093
5100 0.9709804 0.97235286 0.97411764 1.0 24.1 29.0 1.0 1.0 1.0 0.22093023 0.28023258 0.3372093
5200 0.9715385 0.97288454 0.9746154 1.0 24.1 29.0 1.0 1.0 1.0 0.22093023 0.28023258 0.3372093
5300 0.97207546 0.9733963 0.9750943 1.0 24.1 29.0 1.0 1.0 1.0 0.22093023 0.28023258 0.3372093
5400 0.9725926 0.97388875 0.97555554 1.0 24.1 29.0 1.0 1.0 1.0 0.22093023 0.28023258 0.3372093
5500 0.9730909 0.9743636 0.976 1.0 24.1 29.0 1.0 1.0 1.0 0.22093023 0.28023258 0.3372093
5600 0.9735714 0.9748214 0.97642857 1.0 24.1 29.0 1.0 1.0 1.0 0.22093023 0.28023258 0.3372093
5700 0.9740351 0.97526324 0.9768421 1.0 24.1 29.0 1.0 1.0 1.0 0.22093023 0.28023258 0.3372093
5800 0.9744828 0.9756896 0.9772414 1.0 24.1 29.0 1.0 1.0 1.0 0.22093023 0.28023258 0.3372093
5900 0.97491527 0.9761017 0.9776271 1.0 24.1 29.0 1.0 1.0 1.0 0.22093023 0.28023258 0.3372093
6000 0.97533333 0.9764999 0.978 1.0 24.1 29.0 1.0 1.0 1.0 0.22093023 0.28023258 0.3372093
6100 0.9757377 0.9768852 0.97836065 1.0 24.1 29.0 1.0 1.0 1.0 0.22093023 0.28023258 0.3372093
6200 0.97612906 0.9772581 0.9787097 1.0 24.1 29.0 1.0 1.0 1.0 0.22093023 0.28023258 0.3372093
6300 0.97650796 0.9776192 0.9790476 1.0 24.1 29.0 1.0 1.0 1.0 0.22093023 0.28023258 0.3372093
6400 0.976875 0.9779687 0.979375 1.0 24.1 29.0 1.0 1.0 1.0 0.22093023 0.28023258 0.3372093
6500 0.9772308 0.9783077 0.9796923 1.0 24.1 29.0 1.0 1.0 1.0 0.22093023 0.28023258 0.3372093
6600 0.9775758 0.9786364 0.98 1.0 24.1 29.0 1.0 1.0 1.0 0.22093023 0.28023258 0.3372093
6700 0.97791046 0.97895527 0.9802985 1.0 24.1 29.0 1.0 1.0 1.0 0.22093023 0.28023258 0.3372093
6800 0.9782353 0.97926474 0.98058826 1.0 24.1 29.0 1.0 1.0 1.0 0.22093023 0.28023258 0.3372093
6900 0.97855073 0.97956526 0.9808696 1.0 24.1 29.0 1.0 1.0 1.0 0.22093023 0.28023258 0.3372093
7000 0.97885716 0.97985715 0.9811429 1.0 24.1 29.0 1.0 1.0 1.0 0.22093023 0.28023258 0.3372093
7100 0.97915494 0.98014086 0.9814085 1.0 24.1 29.0 1.0 1.0 1.0 0.22093023 0.28023258 0.3372093
7200 0.97944444 0.98041666 0.9816667 1.0 24.1 29.0 1.0 1.0 1.0 0.22093023 0.28023258 0.3372093
7300 0.979726 0.98068476 0.9819178 1.0 24.1 29.0 1.0 1.0 1.0 0.22093023 0.28023258 0.3372093
7400 0.98 0.98094594 0.9821622 1.0 24.1 29.0 1.0 1.0 1.0 0.22093023 0.28023258 0.3372093
7500 0.9802667 0.98120004 0.9824 1.0 24.1 29.0 1.0 1.0 1.0 0.22093023 0.28023258 0.3372093
7600 0.9805263 0.9814474 0.98263156 1.0 24.1 29.0 1.0 1.0 1.0 0.22093023 0.28023258 0.3372093
7700 0.98077923 0.9816882 0.98285717 1.0 24.1 29.0 1.0 1.0 1.0 0.22093023 0.28023258 0.3372093
7800 0.98102564 0.9819231 0.98307693 1.0 24.1 29.0 1.0 1.0 1.0 0.22093023 0.28023258 0.3372093
7900 0.98126584 0.9821518 0.98329115 1.0 24.1 29.0 1.0 1.0 1.0 0.22093023 0.28023258 0.3372093
8000 0.9815 0.98237497 0.9835 1.0 24.1 29.0 1.0 1.0 1.0 0.22093023 0.28023258 0.3372093
8100 0.9817284 0.9825926 0.98370373 1.0 24.1 29.0 1.0 1.0 1.0 0.22093023 0.28023258 0.3372093
8200 0.98195124 0.9828049 0.98390245 1.0 24.1 29.0 1.0 1.0 1.0 0.22093023 0.28023258 0.3372093
8300 0.9821687 0.9830121 0.9840964 1.0 24.1 29.0 1.0 1.0 1.0 0.22093023 0.28023258 0.3372093
8400 0.9823809 0.9832142 0.9842857 1.0 24.1 29.0 1.0 1.0 1.0 0.22093023 0.28023258 0.3372093
8500 0.98258823 0.98341167 0.9844706 1.0 24.1 29.0 1.0 1.0 1.0 0.22093023 0.28023258 0.3372093
8600 0.9827907 0.9836047 0.98465115 1.0 24.1 29.0 1.0 1.0 1.0 0.22093023 0.28023258 0.3372093
8700 0.9829885 0.9837931 0.9848276 1.0 24.1 29.0 1.0 1.0 1.0 0.22093023 0.28023258 0.3372093
8800 0.98318183 0.9839772 0.985 1.0 24.1 29.0 1.0 1.0 1.0 0.22093023 0.28023258 0.3372093
8900 0.9833708 0.98415726 0.9851685 1.0 24.1 29.0 1.0 1.0 1.0 0.22093023 0.28023258 0.3372093
9000 0.98355556 0.98433334 0.9853333 1.0 24.1 29.0 1.0 1.0 1.0 0.22093023 0.28023258 0.3372093
9100 0.9837363 0.9845055 0.9854945 1.0 24.1 29.0 1.0 1.0 1.0 0.22093023 0.28023258 0.3372093
9200 0.98391306 0.984674 0.98565215 1.0 24.1 29.0 1.0 1.0 1.0 0.22093023 0.28023258 0.3372093
9300 0.98408604 0.98483866 0.98580647 1.0 24.1 29.0 1.0 1.0 1.0 0.22093023 0.28023258 0.3372093
9400 0.9842553 0.98499995 0.98595744 1.0 24.1 29.0 1.0 1.0 1.0 0.22093023 0.28023258 0.3372093
9500 0.9844211 0.98515785 0.98610526 1.0 24.1 29.0 1.0 1.0 1.0 0.22093023 0.28023258 0.3372093
9600 0.9845833 0.98531246 0.98625 1.0 24.1 29.0 1.0 1.0 1.0 0.22093023 0.28023258 0.3372093
9700 0.9847423 0.985464 0.9863917 1.0 24.1 29.0 1.0 1.0 1.0 0.22093023 0.28023258 0.3372093
9800 0.984898 0.9856122 0.9865306 1.0 24.1 29.0 1.0 1.0 1.0 0.22093023 0.28023258 0.3372093
9900 0.9850505 0.9857575 0.9866667 1.0 24.1 29.0 1.0 1.0 1.0 0.22093023 0.28023258 0.3372093
10000 0.9852 0.98590004 0.9868 1.0 24.1 29.0 1.0 1.0 1.0 0.22093023 0.28023258 0.3372093
