rank min-srate avg-srate max-srate min-size avg-size max-size min-prec avg-prec max-prec min-rec avg-rec max-rec
1 0.0 0.3 1.0 1.0 54.0 54.0 0.11111111 0.11111112 0.11111111 0.8372093 0.8918605 0.95348835
100 0.2 0.31100002 0.38 1.0 58.4 66.0 0.10606061 0.1524649 0.20689656 0.55813956 0.6302325 0.7093023
200 0.275 0.32600003 0.415 1.0 61.4 73.0 0.13846155 0.18979664 0.2631579 0.3604651 0.5546512 0.6627907
300 0.30666667 0.34633332 0.40333334 1.0 60.7 75.0 0.14492753 0.18692455 0.22033899 0.41860464 0.53720933 0.6627907
400 0.34 0.36799997 0.41 1.0 60.6 73.0 0.114754096 0.17747933 0.25396827 0.43023255 0.53255814 0.76744187
500 0.366 0.3832 0.412 1.0 57.4 68.0 0.13793103 0.19607213 0.23728813 0.44186047 0.5290698 0.6744186
600 0.38166666 0.40316668 0.43333334 1.0 53.5 63.0 0.14516129 0.20216458 0.24 0.3139535 0.45930228 0.60465115
700 0.39857143 0.41957146 0.45142856 1.0 45.8 52.0 0.1923077 0.23547006 0.30952382 0.25581396 0.41744184 0.53488374
800 0.42125 0.44025 0.46375 1.0 44.6 50.0 0.19565217 0.25143656 0.31578946 0.30232558 0.39069766 0.54651165
900 0.42444444 0.4576667 0.48666668 1.0 41.8 52.0 0.23076923 0.28310022 0.3611111 0.30232558 0.36627907 0.44186047
1000 0.451 0.47709998 0.5 1.0 43.6 56.0 0.17857143 0.29920518 0.41666666 0.27906978 0.37674415 0.5116279
1100 0.47545454 0.49345455 0.5163636 1.0 43.1 55.0 0.23255815 0.33318964 0.46153846 0.26744187 0.34302327 0.5116279
1200 0.485 0.50916666 0.5275 1.0 41.6 51.0 0.2820513 0.38034695 0.4878049 0.27906978 0.35581392 0.4651163
1300 0.50461537 0.522 0.5415385 1.0 39.7 47.0 0.33333334 0.42479247 0.5714286 0.20930232 0.30465117 0.37209302
1400 0.51357144 0.5351429 0.5557143 1.0 40.1 45.0 0.35714287 0.4603187 0.5588235 0.22093023 0.29883724 0.38372093
1500 0.526 0.55013335 0.5746667 1.0 40.1 47.0 0.3783784 0.47335944 0.525 0.20930232 0.3081395 0.37209302
1600 0.54 0.5630625 0.584375 1.0 39.7 46.0 0.44117647 0.5253643 0.6486486 0.20930232 0.29999998 0.3604651
1700 0.55470586 0.5774706 0.5994118 1.0 41.2 47.0 0.4651163 0.54607695 0.6923077 0.1627907 0.29418606 0.3604651
1800 0.57 0.58988893 0.6122222 1.0 41.9 49.0 0.5102041 0.58109736 0.675 0.20930232 0.27906975 0.3488372
1900 0.5836842 0.6018421 0.62526315 1.0 42.3 48.0 0.53488374 0.6026467 0.75 0.12790698 0.2848837 0.41860464
2000 0.5965 0.61235 0.6335 1.0 42.5 47.0 0.5555556 0.64763343 0.7804878 0.20930232 0.2872093 0.40697673
2100 0.60952383 0.6236191 0.6438095 1.0 41.9 48.0 0.61764705 0.70615965 0.81395346 0.22093023 0.2744186 0.3604651
2200 0.6218182 0.6344546 0.65090907 1.0 42.4 46.0 0.65789473 0.7412077 0.8378378 0.23255815 0.2744186 0.3604651
2300 0.6334783 0.6443478 0.65869564 1.0 42.2 48.0 0.7291667 0.7930413 0.8974359 0.20930232 0.27790695 0.37209302
