rank min-srate avg-srate max-srate min-size avg-size max-size min-prec avg-prec max-prec min-rec avg-rec max-rec
1 0.0 0.2 1.0 1.0 54.0 54.0 0.11111111 0.11481482 0.12962963 0.8372093 0.8965117 0.95348835
100 0.34 0.39499998 0.46 1.0 47.9 52.0 0.12765957 0.17781314 0.22916667 0.43023255 0.5372093 0.6511628
200 0.455 0.49850002 0.575 1.0 40.4 48.0 0.17073171 0.23102078 0.2857143 0.29069766 0.37209302 0.47674417
300 0.51666665 0.5696667 0.62666667 1.0 32.3 37.0 0.16216215 0.2529612 0.32142857 0.22093023 0.2918605 0.41860464
400 0.575 0.61974996 0.66 1.0 24.8 30.0 0.23076923 0.29349148 0.3478261 0.093023255 0.20930234 0.25581396
500 0.626 0.667 0.7 1.0 20.1 24.0 0.2857143 0.35564977 0.5 0.10465116 0.18023255 0.23255815
600 0.665 0.7031666 0.735 1.0 16.2 20.0 0.33333334 0.41344142 0.5 0.10465116 0.14418603 0.19767442
700 0.7057143 0.7337142 0.7542857 1.0 13.1 17.0 0.4 0.49238864 0.6666667 0.093023255 0.13139535 0.18604651
800 0.74125 0.76012504 0.78 1.0 11.6 14.0 0.46153846 0.5599068 0.6666667 0.069767445 0.11395349 0.15116279
900 0.7644445 0.78233325 0.8 1.0 10.0 13.0 0.46153846 0.63691145 1.0 0.069767445 0.10348837 0.1744186
1000 0.786 0.80130005 0.818 1.0 9.1 11.0 0.54545456 0.7023484 1.0 0.069767445 0.098837204 0.1627907
1100 0.8018182 0.81700003 0.83454543 1.0 7.8 9.0 0.6666667 0.77738094 1.0 0.069767445 0.07906976 0.093023255
1200 0.8175 0.8310833 0.8475 1.0 7.3 8.0 0.75 0.82857144 1.0 0.069767445 0.076744184 0.093023255
1300 0.83076924 0.8432307 0.85846156 1.0 6.8 8.0 0.75 0.92142856 1.0 0.069767445 0.07558141 0.093023255
1400 0.8428571 0.85392857 0.8685714 1.0 6.5 8.0 0.75 0.93214285 1.0 0.069767445 0.074418604 0.093023255
1500 0.85333335 0.86346674 0.87733334 1.0 6.3 8.0 0.75 0.96071434 1.0 0.069767445 0.07325582 0.093023255
1600 0.8625 0.8719999 0.885 1.0 6.3 8.0 0.75 0.96071434 1.0 0.069767445 0.07325582 0.093023255
1700 0.87058824 0.87947065 0.89117646 1.0 6.3 8.0 0.75 0.96071434 1.0 0.069767445 0.07325582 0.093023255
1800 0.87777776 0.8860556 0.89666665 1.0 6.2 8.0 0.75 0.975 1.0 0.069767445 0.07209303 0.093023255
1900 0.8842105 0.8919474 0.90157896 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
2000 0.89 0.89735 0.9065 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
2100 0.8952381 0.9022381 0.9109524 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
2200 0.9 0.90668184 0.915 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
2300 0.90434784 0.91073924 0.9186956 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
2400 0.90833336 0.9144584 0.9220833 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
2500 0.912 0.91788006 0.9252 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
2600 0.9153846 0.9210385 0.9280769 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
2700 0.91851854 0.9239629 0.9307407 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
2800 0.92142856 0.92667854 0.9332143 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
2900 0.92413795 0.929207 0.93551725 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
3000 0.9266667 0.9315667 0.93766665 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
3100 0.92903227 0.9337742 0.9396774 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
3200 0.93125 0.9358438 0.9415625 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
3300 0.93333334 0.9377879 0.9433333 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
3400 0.9352941 0.93961763 0.945 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
3500 0.93714285 0.94134283 0.9465714 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
3600 0.9388889 0.9429722 0.94805557 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
3700 0.94054055 0.9445135 0.94945943 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
3800 0.94210523 0.94597375 0.95078945 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
3900 0.94358975 0.9473589 0.9520513 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
4000 0.945 0.948675 0.95325 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
4100 0.94634145 0.94992685 0.9543902 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
4200 0.947619 0.95111907 0.95547616 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
4300 0.9488372 0.95225585 0.9565116 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
4400 0.95 0.9533409 0.9575 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
4500 0.95111114 0.9543778 0.9584444 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
4600 0.9521739 0.9553696 0.95934784 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
4700 0.9531915 0.95631903 0.96021277 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
4800 0.95416665 0.95722914 0.9610417 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
4900 0.955102 0.95810205 0.96183676 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
5000 0.956 0.9589399 0.9626 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
5100 0.95686275 0.9597451 0.9633333 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
5200 0.9576923 0.9605192 0.9640385 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
5300 0.95849055 0.96126413 0.964717 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
5400 0.9592593 0.9619815 0.96537036 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
5500 0.96 0.9626727 0.966 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
5600 0.9607143 0.9633393 0.96660715 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
5700 0.9614035 0.9639824 0.967193 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
5800 0.962069 0.96460354 0.9677586 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
