rank min-srate avg-srate max-srate min-size avg-size max-size min-prec avg-prec max-prec min-rec avg-rec max-rec
1 0.0 0.3 1.0 1.0 13.0 13.0 0.9230769 0.95384616 1.0 0.069767445 0.08023256 0.093023255
100 0.3 0.40000004 0.47 1.0 72.9 81.0 0.28 0.3448187 0.44444445 0.5232558 0.5639535 0.6395349
200 0.395 0.43 0.475 1.0 94.4 100.0 0.27 0.31922078 0.38541666 0.6976744 0.74418604 0.76744187
300 0.43 0.45700002 0.49 1.0 104.4 110.0 0.2761905 0.32022455 0.40952381 0.8023256 0.84069777 0.89534885
400 0.4575 0.47725 0.5025 1.0 108.3 114.0 0.317757 0.34909377 0.41121495 0.81395346 0.8709303 0.9302326
500 0.478 0.5028 0.53 1.0 110.7 118.0 0.3043478 0.34933895 0.4074074 0.8604651 0.9023255 0.94186044
600 0.48833334 0.5186666 0.54333335 1.0 112.2 117.0 0.33620688 0.39403933 0.4537037 0.872093 0.91627914 0.96511626
700 0.50857145 0.53300005 0.55714285 1.0 112.4 119.0 0.3846154 0.44111833 0.5045872 0.872093 0.92441857 0.95348835
800 0.52125 0.54525006 0.5725 1.0 113.3 121.0 0.41322315 0.47485226 0.54464287 0.872093 0.9290697 0.9767442
900 0.53333336 0.55911106 0.58666664 1.0 112.4 122.0 0.43442622 0.50073516 0.5535714 0.88372093 0.9360465 0.9883721
1000 0.551 0.57359993 0.602 1.0 112.2 123.0 0.4390244 0.51142496 0.5855856 0.90697676 0.93720925 0.9883721
1100 0.56636363 0.5869091 0.6190909 1.0 111.5 119.0 0.5042017 0.5659553 0.66972476 0.90697676 0.938372 0.9883721
1200 0.58166665 0.601 0.62916666 1.0 109.2 116.0 0.5471698 0.6003277 0.6909091 0.90697676 0.938372 0.9883721
1300 0.5984615 0.6155385 0.6446154 1.0 107.3 116.0 0.5504587 0.62199455 0.7047619 0.90697676 0.94069767 0.9883721
1400 0.6135714 0.62799996 0.6542857 1.0 105.2 111.0 0.59090906 0.655821 0.71568626 0.9186047 0.93953484 0.9767442
1500 0.626 0.6416 0.668 1.0 103.4 113.0 0.5963303 0.68896925 0.74509805 0.9186047 0.93953484 0.9767442
1600 0.635 0.6540625 0.683125 1.0 101.1 108.0 0.6574074 0.71306956 0.78571427 0.9186047 0.93953484 0.9767442
1700 0.6488235 0.66617644 0.6917647 1.0 100.3 110.0 0.6363636 0.7418977 0.81914896 0.9186047 0.93953484 0.9767442
