rank min-srate avg-srate max-srate min-size avg-size max-size min-prec avg-prec max-prec min-rec avg-rec max-rec
1 0.0 0.3 1.0 1.0 54.8 56.0 0.10714286 0.11132034 0.12727273 0.81395346 0.8883721 0.95348835
100 0.26 0.35 0.41 1.0 93.0 101.0 0.1368421 0.18631697 0.23404256 0.7093023 0.81279075 0.8604651
200 0.315 0.41550002 0.47 1.0 99.5 105.0 0.12244898 0.21532886 0.3265306 0.76744187 0.8430233 0.89534885
300 0.39 0.45133334 0.5 1.0 99.7 106.0 0.17821783 0.23892164 0.29896906 0.8372093 0.866279 0.89534885
400 0.43 0.479 0.5225 1.0 99.4 106.0 0.19 0.2545427 0.36633664 0.81395346 0.8651163 0.90697676
500 0.464 0.5036 0.548 1.0 99.3 106.0 0.25263157 0.29659003 0.39215687 0.7790698 0.8732559 0.9186047
600 0.48333332 0.52716666 0.55833334 1.0 97.5 104.0 0.29807693 0.33961663 0.4105263 0.81395346 0.86744195 0.9186047
700 0.51 0.5488571 0.5757143 1.0 95.5 104.0 0.33 0.38246208 0.43157893 0.8255814 0.8639535 0.9186047
800 0.5425 0.56875 0.60125 1.0 93.4 104.0 0.36363637 0.40656686 0.46938777 0.8255814 0.872093 0.9302326
900 0.5655556 0.5885556 0.6188889 1.0 91.3 102.0 0.3956044 0.4458796 0.5208333 0.8255814 0.877907 0.9302326
1000 0.585 0.60550004 0.635 1.0 90.6 101.0 0.44 0.49640188 0.5824176 0.8255814 0.88139534 0.9302326
1100 0.60636365 0.62381816 0.65181816 1.0 88.9 96.0 0.47311828 0.5513063 0.61538464 0.8255814 0.88023263 0.9302326
1200 0.62 0.64141667 0.6691667 1.0 87.0 92.0 0.4883721 0.59971344 0.67901236 0.8255814 0.883721 0.9302326
1300 0.6330769 0.65500003 0.6823077 1.0 86.6 91.0 0.5632184 0.6359568 0.7160494 0.8255814 0.8883721 0.9302326
1400 0.64857143 0.6688571 0.69714284 1.0 85.2 90.0 0.5952381 0.66673553 0.75 0.8255814 0.8860466 0.9302326
1500 0.664 0.68293333 0.7133333 1.0 85.0 89.0 0.63095236 0.6923589 0.7468355 0.8255814 0.8883721 0.94186044
1600 0.678125 0.69612503 0.725625 1.0 83.7 88.0 0.6707317 0.7242302 0.8076923 0.8255814 0.8883721 0.94186044
1700 0.69 0.70800006 0.7341176 1.0 82.6 89.0 0.67948717 0.74546087 0.84415585 0.8255814 0.8883721 0.94186044
1800 0.7027778 0.719889 0.7455556 1.0 82.0 87.0 0.7356322 0.7754199 0.8947368 0.8255814 0.8883721 0.94186044
1900 0.7136842 0.73057896 0.7568421 1.0 80.7 85.0 0.7619048 0.8133934 0.8947368 0.8255814 0.89069766 0.94186044
2000 0.7215 0.7409499 0.768 1.0 80.2 84.0 0.77380955 0.8345277 0.8974359 0.8255814 0.88953483 0.94186044
2100 0.7323809 0.7512381 0.7771429 1.0 79.9 84.0 0.78313255 0.85038614 0.8974359 0.8255814 0.8918605 0.94186044
2200 0.7431818 0.7607728 0.7859091 1.0 80.0 85.0 0.8214286 0.86176175 0.89285713 0.8255814 0.8930232 0.94186044
2300 0.7521739 0.76934785 0.79347825 1.0 79.7 85.0 0.8 0.8705373 0.9041096 0.8255814 0.8930232 0.94186044
2400 0.7579167 0.7773333 0.8020833 1.0 78.6 83.0 0.87341774 0.88968897 0.9220779 0.8255814 0.8930232 0.94186044
2500 0.766 0.78512 0.8096 1.0 78.5 83.0 0.886076 0.9099204 0.96103895 0.8255814 0.8930232 0.94186044
2600 0.7734615 0.79242307 0.8153846 1.0 78.4 83.0 0.902439 0.9253429 0.96103895 0.8255814 0.8930232 0.94186044
2700 0.78074074 0.7995927 0.8211111 1.0 78.1 83.0 0.8780488 0.92633283 0.9625 0.8255814 0.8930232 0.94186044
2800 0.78821427 0.8063572 0.82714283 1.0 78.0 83.0 0.8902439 0.9311363 0.9625 0.8255814 0.8930232 0.94186044
2900 0.79413795 0.8124827 0.8327586 1.0 78.0 84.0 0.89285713 0.9336756 0.975 0.8255814 0.8930232 0.94186044
3000 0.8006667 0.81850004 0.8383333 1.0 78.0 84.0 0.9047619 0.93874407 0.975 0.8255814 0.8930232 0.94186044
3100 0.8067742 0.82387096 0.8432258 1.0 77.7 83.0 0.91463417 0.95267934 0.9875 0.8255814 0.8930232 0.94186044
3200 0.8125 0.829 0.848125 1.0 77.6 83.0 0.9268293 0.96050566 1.0 0.8255814 0.8930232 0.94186044
3300 0.8181818 0.83393943 0.85242426 1.0 77.4 83.0 0.9382716 0.96286094 1.0 0.8255814 0.8930232 0.94186044
3400 0.8232353 0.83847064 0.8561765 1.0 77.4 83.0 0.94520545 0.9689475 0.987013 0.8255814 0.8930232 0.94186044
3500 0.828 0.8429143 0.86 1.0 77.3 83.0 0.9506173 0.97288626 1.0 0.8255814 0.8930232 0.94186044
3600 0.8325 0.84711105 0.8636111 1.0 77.3 83.0 0.9506173 0.974185 1.0 0.8255814 0.8930232 0.94186044
3700 0.837027 0.851027 0.86702704 1.0 77.3 83.0 0.9315069 0.9753703 1.0 0.8255814 0.8930232 0.94186044
3800 0.8413158 0.8548422 0.87026316 1.0 77.3 83.0 0.94520545 0.97552186 1.0 0.8255814 0.8930232 0.94186044
3900 0.8451282 0.85841024 0.87358975 1.0 77.2 82.0 0.94520545 0.98068464 1.0 0.8255814 0.8930232 0.94186044
