rank min-srate avg-srate max-srate min-size avg-size max-size min-prec avg-prec max-prec min-rec avg-rec max-rec
1 0.0 0.2 1.0 1.0 54.5 55.0 0.10909091 0.11373738 0.12727273 0.8372093 0.88720924 0.95348835
100 0.29 0.41399997 0.46 1.0 71.1 77.0 0.17333333 0.20456254 0.26153848 0.55813956 0.6662791 0.76744187
200 0.48 0.51199996 0.54 1.0 65.8 73.0 0.23287672 0.2734064 0.32394367 0.5232558 0.6139535 0.6976744
300 0.56 0.58166665 0.61 1.0 58.2 62.0 0.25 0.3311937 0.40983605 0.5116279 0.60581386 0.7093023
400 0.6075 0.63224995 0.6525 1.0 54.9 59.0 0.33898306 0.39751363 0.46153846 0.5116279 0.5988372 0.6976744
500 0.654 0.6754 0.69 1.0 53.2 59.0 0.3220339 0.4324112 0.5740741 0.5116279 0.6 0.6976744
600 0.68833333 0.70716673 0.7266667 1.0 51.8 56.0 0.39285713 0.5053567 0.5925926 0.5232558 0.6034883 0.6976744
700 0.7171429 0.73242855 0.75 1.0 51.9 59.0 0.42307693 0.556163 0.63265306 0.5232558 0.60697675 0.68604654
800 0.73375 0.753375 0.77375 1.0 51.0 57.0 0.5263158 0.5921743 0.6730769 0.5232558 0.6081396 0.68604654
900 0.75222224 0.77144444 0.7911111 1.0 51.2 57.0 0.5263158 0.6139019 0.68085104 0.5232558 0.6081396 0.68604654
1000 0.772 0.7876 0.806 1.0 51.6 57.0 0.5714286 0.6355736 0.7234042 0.5232558 0.60930234 0.68604654
1100 0.78727275 0.80036366 0.81636363 1.0 51.8 57.0 0.61403507 0.71037257 0.82978725 0.5232558 0.6081396 0.68604654
1200 0.80083334 0.8128333 0.82916665 1.0 51.7 57.0 0.6315789 0.7383779 0.8541667 0.5232558 0.6081396 0.68604654
1300 0.81 0.8233077 0.84076923 1.0 51.7 57.0 0.6964286 0.7883844 0.8679245 0.5232558 0.6081396 0.68604654
1400 0.81857145 0.8325714 0.85 1.0 51.8 57.0 0.7307692 0.8305195 0.9056604 0.5232558 0.6081396 0.68604654
1500 0.83 0.84213334 0.858 1.0 51.8 57.0 0.7692308 0.845255 0.94 0.5232558 0.6081396 0.68604654
1600 0.839375 0.85056245 0.865625 1.0 51.8 57.0 0.75 0.85618526 0.9574468 0.5232558 0.6081396 0.68604654
1700 0.8464706 0.8577059 0.87235296 1.0 51.9 58.0 0.8035714 0.8782096 0.9787234 0.5232558 0.6081396 0.68604654
1800 0.85333335 0.8642222 0.87833333 1.0 52.0 58.0 0.8518519 0.89876 1.0 0.5232558 0.6081396 0.68604654
1900 0.8594737 0.8706316 0.88473684 1.0 52.1 59.0 0.8518519 0.9035963 1.0 0.5232558 0.6081396 0.68604654
2000 0.8655 0.8764 0.8905 1.0 52.1 59.0 0.8448276 0.9143342 1.0 0.5232558 0.6081396 0.68604654
