rank min-srate avg-srate max-srate min-size avg-size max-size min-prec avg-prec max-prec min-rec avg-rec max-rec
1 0.0 0.2 1.0 1.0 54.5 55.0 0.10909091 0.11373738 0.12727273 0.8372093 0.88720924 0.95348835
100 0.31 0.42000002 0.47 1.0 68.3 75.0 0.17142858 0.21244292 0.25 0.627907 0.6755814 0.8255814
200 0.49 0.524 0.58 1.0 63.4 69.0 0.19672132 0.2630366 0.3283582 0.54651165 0.6174419 0.7093023
300 0.56666666 0.59533334 0.62666667 1.0 56.3 61.0 0.24074075 0.30581254 0.375 0.53488374 0.61627907 0.73255813
400 0.6225 0.64675 0.6725 1.0 51.9 57.0 0.29411766 0.3518455 0.4 0.5116279 0.6081395 0.7209302
500 0.67 0.68920004 0.714 1.0 50.0 57.0 0.2857143 0.38293463 0.45238096 0.5232558 0.61162794 0.73255813
600 0.7033333 0.72150004 0.74833333 1.0 48.5 56.0 0.30769232 0.41994292 0.4878049 0.53488374 0.6104651 0.7209302
700 0.7285714 0.7455715 0.76857144 1.0 48.1 56.0 0.4107143 0.4930388 0.5365854 0.53488374 0.6139535 0.7209302
800 0.755 0.767125 0.78875 1.0 47.0 54.0 0.4074074 0.5140814 0.5609756 0.53488374 0.6127907 0.7093023
900 0.77444446 0.7866667 0.8055556 1.0 46.6 54.0 0.46296296 0.5347772 0.62222224 0.53488374 0.6127907 0.7093023
1000 0.788 0.8029 0.819 1.0 46.5 53.0 0.44 0.5517619 0.6 0.53488374 0.6116279 0.7093023
1100 0.8027273 0.81690913 0.83 1.0 46.2 53.0 0.48 0.5941892 0.67391306 0.53488374 0.6116279 0.7093023
1200 0.815 0.8291667 0.84166664 1.0 46.2 53.0 0.52 0.6165687 0.7234042 0.53488374 0.6116279 0.7093023
1300 0.8253846 0.83976924 0.8515385 1.0 46.0 53.0 0.56 0.64892125 0.7659575 0.53488374 0.6116279 0.7093023
1400 0.8371429 0.8495714 0.86142856 1.0 46.0 53.0 0.54 0.67332995 0.7659575 0.53488374 0.6116279 0.7093023
1500 0.8466667 0.85906667 0.8693333 1.0 46.0 53.0 0.5744681 0.68660873 0.7659575 0.53488374 0.6116279 0.7093023
1600 0.855 0.867375 0.8775 1.0 45.9 53.0 0.6 0.6923499 0.7446808 0.53488374 0.6116279 0.7093023
1700 0.8629412 0.8747059 0.8835294 1.0 45.9 53.0 0.62 0.6945907 0.7446808 0.53488374 0.6116279 0.7093023
1800 0.8705556 0.88149995 0.89 1.0 45.9 53.0 0.61702126 0.6963499 0.7446808 0.53488374 0.6116279 0.7093023
1900 0.8768421 0.8874737 0.89578944 1.0 45.9 53.0 0.62222224 0.7006052 0.7659575 0.53488374 0.6116279 0.7093023
2000 0.8825 0.89295006 0.901 1.0 45.9 53.0 0.62222224 0.7051719 0.7659575 0.53488374 0.6116279 0.7093023
2100 0.887619 0.89785707 0.9057143 1.0 45.9 53.0 0.62222224 0.7095218 0.7659575 0.53488374 0.6116279 0.7093023
2200 0.89272726 0.90245456 0.91 1.0 45.9 53.0 0.62222224 0.7095218 0.7659575 0.53488374 0.6116279 0.7093023
2300 0.8973913 0.90669566 0.9139131 1.0 45.9 53.0 0.62222224 0.7095218 0.7659575 0.53488374 0.6116279 0.7093023
2400 0.90166664 0.9105417 0.9175 1.0 45.9 53.0 0.62222224 0.7095218 0.7659575 0.53488374 0.6116279 0.7093023
2500 0.9056 0.91407996 0.9208 1.0 45.9 53.0 0.62222224 0.7090827 0.7659575 0.53488374 0.6116279 0.7093023
2600 0.90923077 0.9173845 0.9238461 1.0 45.9 53.0 0.62222224 0.7090827 0.7659575 0.53488374 0.6116279 0.7093023
2700 0.9125926 0.9204445 0.9266667 1.0 45.9 53.0 0.62222224 0.7090827 0.7659575 0.53488374 0.6116279 0.7093023
2800 0.91571426 0.9232501 0.9292857 1.0 45.9 53.0 0.62222224 0.71152174 0.7659575 0.53488374 0.6116279 0.7093023
2900 0.9186207 0.9258965 0.93172413 1.0 45.9 53.0 0.62222224 0.71152174 0.7659575 0.53488374 0.6116279 0.7093023
3000 0.9213333 0.9283668 0.934 1.0 45.9 53.0 0.62222224 0.71152174 0.7659575 0.53488374 0.6116279 0.7093023
3100 0.923871 0.9306774 0.93612903 1.0 45.9 53.0 0.62222224 0.71152174 0.7659575 0.53488374 0.6116279 0.7093023
3200 0.92625 0.9328437 0.938125 1.0 45.9 53.0 0.62222224 0.71152174 0.7659575 0.53488374 0.6116279 0.7093023
3300 0.92848486 0.9348787 0.94 1.0 45.9 53.0 0.62222224 0.71152174 0.7659575 0.53488374 0.6116279 0.7093023
