rank min-srate avg-srate max-srate min-size avg-size max-size min-prec avg-prec max-prec min-rec avg-rec max-rec
1 0.0 0.5 1.0 1.0 13.0 13.0 0.9230769 0.9615385 1.0 0.069767445 0.07906978 0.093023255
100 0.27 0.325 0.41 1.0 65.5 70.0 0.2 0.23991899 0.28125 0.4651163 0.55116284 0.6511628
200 0.295 0.32450002 0.38 1.0 84.1 90.0 0.17073171 0.20882015 0.27272728 0.5813953 0.67674416 0.76744187
300 0.28666666 0.34399995 0.39333335 1.0 89.9 101.0 0.1724138 0.1934786 0.22826087 0.627907 0.71627903 0.75581396
400 0.315 0.35275 0.4 1.0 88.8 96.0 0.15384616 0.18017848 0.22352941 0.59302324 0.72906977 0.8372093
500 0.326 0.3574 0.398 1.0 83.6 90.0 0.1625 0.20138279 0.24 0.55813956 0.68139535 0.8023256
600 0.33 0.36150002 0.40166667 1.0 78.6 85.0 0.17721519 0.19999786 0.25 0.5697674 0.633721 0.7209302
700 0.33571428 0.36585712 0.39285713 1.0 73.7 82.0 0.19117647 0.21281104 0.25 0.47674417 0.6034884 0.6744186
800 0.3525 0.376625 0.39875 1.0 72.8 84.0 0.1764706 0.21736316 0.27142859 0.4651163 0.55813956 0.6627907
900 0.36444443 0.38622224 0.40222222 1.0 66.0 76.0 0.20967741 0.25067738 0.296875 0.3604651 0.46279073 0.5813953
1000 0.38 0.39819998 0.414 1.0 64.2 78.0 0.22807017 0.26210058 0.328125 0.38372093 0.46279067 0.60465115
1100 0.39454547 0.411 0.42454547 1.0 61.2 66.0 0.25 0.28795695 0.3548387 0.38372093 0.44883722 0.47674417
1200 0.40916666 0.4235 0.44166666 1.0 58.1 65.0 0.25 0.31641808 0.37288135 0.3372093 0.41162792 0.5
1300 0.41846153 0.43376923 0.45384616 1.0 56.9 68.0 0.27272728 0.3722238 0.4528302 0.3139535 0.4104651 0.55813956
1400 0.42857143 0.44807142 0.46857142 1.0 58.5 67.0 0.3432836 0.39481217 0.47272727 0.3255814 0.39999998 0.5232558
1500 0.444 0.46100003 0.48066667 1.0 56.8 63.0 0.37254903 0.42705387 0.48387095 0.26744187 0.37674418 0.45348838
1600 0.45625 0.47268748 0.491875 1.0 55.4 59.0 0.36363637 0.45265046 0.5344828 0.29069766 0.34767437 0.40697673
1700 0.46764705 0.48458824 0.5 1.0 54.4 60.0 0.42307693 0.4829042 0.54 0.30232558 0.3488372 0.43023255
1800 0.47944444 0.49677777 0.51166666 1.0 54.4 65.0 0.4375 0.5129634 0.59183675 0.26744187 0.35116273 0.4651163
1900 0.48947367 0.5072632 0.52157897 1.0 54.7 60.0 0.48 0.53944534 0.5882353 0.3139535 0.35348836 0.41860464
2000 0.5045 0.51890004 0.533 1.0 55.7 66.0 0.4920635 0.5576125 0.6111111 0.27906978 0.36511627 0.45348838
2100 0.51714283 0.5298571 0.5452381 1.0 56.6 70.0 0.52380955 0.5865694 0.6888889 0.29069766 0.3697674 0.5116279
2200 0.53136367 0.5409091 0.55636364 1.0 56.3 68.0 0.5 0.62499416 0.6923077 0.30232558 0.3732558 0.44186047
2300 0.5430435 0.55252177 0.5656522 1.0 57.4 67.0 0.5555556 0.6482657 0.7222222 0.26744187 0.36511627 0.45348838
2400 0.5541667 0.56145835 0.57208335 1.0 55.9 66.0 0.63793105 0.6950108 0.74509805 0.27906978 0.34883717 0.43023255
