rank min-srate avg-srate max-srate min-size avg-size max-size min-prec avg-prec max-prec min-rec avg-rec max-rec
1 0.0 0.1 1.0 1.0 54.8 55.0 0.10909091 0.11313132 0.12727273 0.8372093 0.8860465 0.94186044
100 0.19 0.302 0.35 1.0 86.1 91.0 0.071428575 0.11943519 0.14606741 0.7209302 0.80581397 0.89534885
200 0.255 0.319 0.38 1.0 88.2 93.0 0.0875 0.11981721 0.14942528 0.6627907 0.7790697 0.88372093
300 0.28666666 0.32600003 0.38 1.0 84.7 92.0 0.0952381 0.123860694 0.16049382 0.6395349 0.7511628 0.872093
400 0.3075 0.338 0.37 1.0 80.5 87.0 0.12 0.13653973 0.16455697 0.627907 0.73255813 0.8488372
500 0.322 0.34960002 0.374 1.0 73.9 79.0 0.11392405 0.14268771 0.2 0.5697674 0.6511628 0.6976744
600 0.33833334 0.35750002 0.39 1.0 69.6 76.0 0.10666667 0.1424204 0.17391305 0.5232558 0.61046517 0.6976744
700 0.34857142 0.36785713 0.38714287 1.0 65.0 73.0 0.104477614 0.13894844 0.17460318 0.4651163 0.5813954 0.6976744
800 0.36125 0.37937498 0.395 1.0 62.3 73.0 0.10344828 0.16258755 0.19298245 0.45348838 0.5383721 0.61627907
900 0.37111112 0.39111108 0.40444446 1.0 59.5 72.0 0.1388889 0.17576668 0.20634921 0.40697673 0.48023257 0.5697674
1000 0.387 0.40439996 0.426 1.0 56.9 60.0 0.1509434 0.20813093 0.2962963 0.3604651 0.45465118 0.53488374
1100 0.39636365 0.41645455 0.44181818 1.0 52.4 58.0 0.18181819 0.24484137 0.2962963 0.3372093 0.4360465 0.53488374
1200 0.41083333 0.43033332 0.45583335 1.0 51.2 56.0 0.15686275 0.26517683 0.34 0.3488372 0.42325577 0.5
1300 0.42615384 0.442 0.45692307 1.0 50.9 58.0 0.1509434 0.28240818 0.35185185 0.3372093 0.39534882 0.5116279
1400 0.43071428 0.45250002 0.46785715 1.0 49.6 58.0 0.2244898 0.29844925 0.36842105 0.3255814 0.39302322 0.5232558
1500 0.44866666 0.466 0.484 1.0 47.6 56.0 0.26785713 0.33149844 0.41666666 0.30232558 0.36046508 0.4651163
