rank min-srate avg-srate max-srate min-size avg-size max-size min-prec avg-prec max-prec min-rec avg-rec max-rec
1 0.0 0.2 1.0 1.0 54.8 55.0 0.10909091 0.1149495 0.12727273 0.8372093 0.8860465 0.95348835
100 0.25 0.329 0.37 1.0 82.1 87.0 0.105882354 0.13424668 0.16455697 0.75581396 0.79186046 0.872093
200 0.32 0.37949997 0.455 1.0 78.0 86.0 0.118421055 0.13960174 0.17105263 0.59302324 0.69418603 0.76744187
300 0.36 0.41 0.48666668 1.0 69.7 76.0 0.12307692 0.14754137 0.17567568 0.5813953 0.6441861 0.7093023
400 0.405 0.4355 0.5 1.0 61.7 66.0 0.10169491 0.14222439 0.21311475 0.4651163 0.55581397 0.61627907
500 0.422 0.46159998 0.514 1.0 54.0 60.0 0.125 0.1518044 0.18181819 0.38372093 0.48953485 0.627907
600 0.43666667 0.48849997 0.54333335 1.0 44.7 52.0 0.13043478 0.16653948 0.20930232 0.30232558 0.39534882 0.54651165
700 0.45857143 0.515 0.5657143 1.0 36.1 50.0 0.14 0.2188116 0.2857143 0.20930232 0.2848837 0.39534885
800 0.4825 0.5475 0.59 1.0 29.4 35.0 0.17142858 0.24425168 0.31034482 0.1744186 0.23488374 0.27906978
900 0.51111114 0.5768889 0.61333334 1.0 25.3 31.0 0.19354838 0.27345672 0.3809524 0.12790698 0.19651163 0.26744187
1000 0.549 0.6073 0.644 1.0 21.3 28.0 0.22222222 0.31802538 0.4 0.13953489 0.17790696 0.20930232
1100 0.5781818 0.6331818 0.66727275 1.0 18.0 23.0 0.26086956 0.35340953 0.4375 0.11627907 0.15581396 0.19767442
1200 0.6025 0.6561667 0.68916667 1.0 15.5 21.0 0.2857143 0.40519795 0.5 0.093023255 0.13139534 0.1744186
1300 0.6253846 0.6766923 0.70076925 1.0 13.0 20.0 0.3 0.48698717 0.6666667 0.08139535 0.111627914 0.19767442
1400 0.6464286 0.696 0.7171429 1.0 11.8 20.0 0.3 0.5538311 0.85714287 0.08139535 0.099999994 0.13953489
1500 0.664 0.7132 0.73333335 1.0 11.2 20.0 0.3 0.60049784 0.85714287 0.069767445 0.097674415 0.1627907
1600 0.68125 0.72850007 0.74875 1.0 10.0 17.0 0.3529412 0.67408866 1.0 0.069767445 0.096511625 0.15116279
1700 0.6947059 0.74241173 0.7635294 1.0 9.3 15.0 0.4 0.7371337 1.0 0.069767445 0.097674415 0.13953489
1800 0.70944446 0.75555557 0.77666664 1.0 8.7 13.0 0.5 0.7784799 1.0 0.069767445 0.08604652 0.11627907
1900 0.7242105 0.7677894 0.78842103 1.0 8.0 12.0 0.54545456 0.80502164 1.0 0.069767445 0.08604652 0.13953489
2000 0.7365 0.77884996 0.799 1.0 7.4 11.0 0.54545456 0.83906925 1.0 0.069767445 0.08488373 0.12790698
2100 0.7480952 0.7891428 0.8080952 1.0 7.3 11.0 0.6363636 0.86244583 1.0 0.069767445 0.08023256 0.10465116
2200 0.7572727 0.7984545 0.8168182 1.0 7.0 9.0 0.6666667 0.8738095 1.0 0.069767445 0.08023256 0.11627907
2300 0.76521736 0.8066087 0.8247826 1.0 6.8 8.0 0.75 0.8928571 1.0 0.069767445 0.074418604 0.093023255
2400 0.775 0.81445825 0.83208334 1.0 6.6 8.0 0.75 0.92142856 1.0 0.069767445 0.074418604 0.093023255
2500 0.7836 0.82171994 0.8388 1.0 6.4 8.0 0.75 0.9464286 1.0 0.069767445 0.073255815 0.08139535
2600 0.7915385 0.82846165 0.845 1.0 6.2 8.0 0.75 0.975 1.0 0.069767445 0.07093024 0.08139535
2700 0.79925925 0.8347777 0.85074073 1.0 6.2 8.0 0.75 0.975 1.0 0.069767445 0.07093024 0.08139535
2800 0.80642855 0.8406785 0.8560714 1.0 6.2 8.0 0.75 0.975 1.0 0.069767445 0.07093024 0.08139535
2900 0.81310344 0.8461035 0.8610345 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
3000 0.8193333 0.85123336 0.8656667 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
3100 0.8251613 0.85603225 0.87 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
3200 0.830625 0.8605312 0.8740625 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
3300 0.83575755 0.86475754 0.8778788 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
3400 0.8405882 0.8687352 0.88147056 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
3500 0.84514284 0.87248576 0.8848571 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
3600 0.84944445 0.87602776 0.88805556 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
3700 0.85351354 0.8793783 0.8910811 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
3800 0.8573684 0.8825525 0.89394736 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
3900 0.86102563 0.885564 0.89666665 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
4000 0.8645 0.88842505 0.89925 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
4100 0.8678049 0.8911463 0.9017073 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
4200 0.87095237 0.8937381 0.9040476 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
4300 0.87395346 0.89620936 0.9062791 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
4400 0.8768182 0.89856815 0.9084091 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
4500 0.8795556 0.9008223 0.91044444 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
4600 0.8821739 0.90297824 0.9123913 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
4700 0.88468087 0.9050425 0.9142553 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
4800 0.88708335 0.9070209 0.9160417 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
4900 0.8893877 0.9089184 0.9177551 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
5000 0.8916 0.9107399 0.9194 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
5100 0.8937255 0.91249025 0.9209804 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
5200 0.89576924 0.914173 0.9225 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
5300 0.89773583 0.91579235 0.92396224 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
5400 0.89962965 0.9173519 0.9253704 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
5500 0.90145457 0.9188546 0.9267273 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
5600 0.9032143 0.9203035 0.92803574 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
5700 0.9049123 0.9217017 0.9292982 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
5800 0.9065517 0.9230517 0.93051726 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
5900 0.9081356 0.92435586 0.9316949 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
6000 0.90966666 0.9256166 0.9328333 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
6100 0.91114753 0.926836 0.93393445 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
6200 0.91258067 0.9280162 0.935 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
6300 0.91396827 0.9291588 0.93603176 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
6400 0.9153125 0.9302656 0.93703127 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
6500 0.91661537 0.9313385 0.938 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
6600 0.9178788 0.93237877 0.9389394 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
6700 0.91910446 0.93338805 0.93985075 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
6800 0.9202941 0.93436754 0.9407353 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
6900 0.9214493 0.9353188 0.9415942 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
7000 0.9225714 0.9362429 0.9424286 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
7100 0.92366195 0.9371408 0.94323945 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
7200 0.9247222 0.93801385 0.9440278 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
