rank min-srate avg-srate max-srate min-size avg-size max-size min-prec avg-prec max-prec min-rec avg-rec max-rec
1 0.0 0.2 1.0 1.0 54.3 55.0 0.10909091 0.11232324 0.12727273 0.8372093 0.8848837 0.95348835
100 0.3 0.409 0.46 1.0 50.7 55.0 0.11320755 0.17060953 0.2173913 0.38372093 0.46976742 0.5813953
200 0.515 0.548 0.615 1.0 35.0 44.0 0.16666667 0.22216144 0.27586207 0.23255815 0.26976746 0.39534885
300 0.6166667 0.64533335 0.68333334 1.0 23.0 28.0 0.23076923 0.29352763 0.36842105 0.15116279 0.19534883 0.23255815
400 0.69 0.71175003 0.7375 1.0 15.5 19.0 0.31578946 0.40853113 0.5294118 0.093023255 0.1383721 0.1744186
500 0.744 0.7606 0.784 1.0 11.6 15.0 0.4 0.5385781 0.75 0.08139535 0.10930232 0.1627907
600 0.78333336 0.79616666 0.8183333 1.0 9.0 13.0 0.46153846 0.6935348 0.85714287 0.069767445 0.09069766 0.13953489
700 0.81285715 0.8238571 0.84 1.0 8.0 10.0 0.6 0.78238094 1.0 0.069767445 0.08139534 0.10465116
800 0.83375 0.84425 0.86 1.0 6.7 9.0 0.6666667 0.9130952 1.0 0.069767445 0.07441862 0.093023255
900 0.8522222 0.86111104 0.8755556 1.0 6.3 8.0 0.75 0.96071434 1.0 0.069767445 0.07093024 0.08139535
1000 0.867 0.87490004 0.888 1.0 6.2 7.0 0.85714287 0.9714286 1.0 0.069767445 0.07093024 0.08139535
1100 0.8790909 0.8862727 0.8981818 1.0 6.2 7.0 0.85714287 0.9714286 1.0 0.069767445 0.07093024 0.08139535
1200 0.8883333 0.8956667 0.9066667 1.0 6.1 7.0 0.85714287 0.9857143 1.0 0.069767445 0.06976745 0.069767445
1300 0.89692307 0.90361536 0.91384614 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
1400 0.9042857 0.91049993 0.92 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
1500 0.91066664 0.9164666 0.9253333 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
1600 0.91625 0.9216875 0.93 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
1700 0.9211765 0.92629415 0.9341177 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
1800 0.9255555 0.9303889 0.93777776 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
1900 0.9294737 0.93405265 0.9410526 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
2000 0.933 0.93735 0.944 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
2100 0.9361905 0.94033337 0.94666666 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
2200 0.9390909 0.94304544 0.9490909 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
