rank min-srate avg-srate max-srate min-size avg-size max-size min-prec avg-prec max-prec min-rec avg-rec max-rec
1 0.0 0.2 1.0 1.0 54.8 55.0 0.10909091 0.11676768 0.12727273 0.8372093 0.88953495 0.95348835
100 0.22 0.28599998 0.38 1.0 83.1 89.0 0.07692308 0.1419617 0.20731707 0.6627907 0.79651165 0.9302326
200 0.275 0.31 0.33 1.0 82.9 91.0 0.105882354 0.13659821 0.18072289 0.5813953 0.7209302 0.8255814
300 0.30666667 0.32899997 0.35666665 1.0 75.2 82.0 0.11111111 0.15821157 0.2027027 0.5697674 0.66511625 0.7906977
400 0.325 0.34874997 0.3775 1.0 68.5 76.0 0.12857144 0.18119213 0.24561404 0.44186047 0.63255817 0.8255814
500 0.344 0.3638 0.392 1.0 60.9 65.0 0.11666667 0.1774965 0.22807017 0.4651163 0.5488372 0.6976744
600 0.36833334 0.3855 0.41333333 1.0 56.2 60.0 0.13559322 0.19727299 0.26415095 0.41860464 0.49883723 0.59302324
700 0.38285714 0.40385714 0.42714286 1.0 51.0 62.0 0.17741935 0.21622126 0.29545453 0.40697673 0.4662791 0.6395349
800 0.4 0.42200002 0.44375 1.0 47.7 52.0 0.14893617 0.22875147 0.3043478 0.3139535 0.41627902 0.5232558
900 0.4211111 0.43966666 0.4588889 1.0 44.3 49.0 0.16216215 0.23582414 0.31111112 0.29069766 0.35465112 0.40697673
1000 0.436 0.45639998 0.475 1.0 45.1 51.0 0.23404256 0.28193307 0.3478261 0.30232558 0.38604647 0.47674417
1100 0.45454547 0.4728182 0.4909091 1.0 42.7 50.0 0.27272728 0.34582132 0.44680852 0.19767442 0.3488372 0.4651163
1200 0.47583333 0.49058333 0.51 1.0 43.2 52.0 0.30952382 0.37800184 0.47826087 0.25581396 0.33023253 0.40697673
1300 0.48846152 0.5056923 0.5284615 1.0 41.1 47.0 0.33333334 0.44918972 0.5405405 0.19767442 0.30465117 0.43023255
