rank min-srate avg-srate max-srate min-size avg-size max-size min-prec avg-prec max-prec min-rec avg-rec max-rec
1 0.0 0.2 1.0 1.0 54.8 55.0 0.10909091 0.10949495 0.11111111 0.8372093 0.8872093 0.95348835
100 0.25 0.343 0.41 1.0 79.4 83.0 0.09876543 0.14599356 0.19277108 0.60465115 0.761628 0.89534885
200 0.335 0.3815 0.435 1.0 71.3 78.0 0.12162162 0.15603107 0.2 0.54651165 0.6488372 0.73255813
300 0.36 0.41833335 0.49333334 1.0 57.2 67.0 0.11111111 0.17511462 0.23529412 0.44186047 0.5453488 0.627907
400 0.42 0.46799994 0.515 1.0 44.0 54.0 0.14 0.20371926 0.2777778 0.23255815 0.41395348 0.53488374
500 0.456 0.51640004 0.564 1.0 34.2 42.0 0.16666667 0.23503765 0.2857143 0.18604651 0.31627908 0.41860464
600 0.52 0.56116664 0.59833336 1.0 25.4 33.0 0.24242425 0.32415247 0.3846154 0.15116279 0.21279068 0.26744187
700 0.56857145 0.604 0.63 1.0 20.0 26.0 0.26923078 0.36575875 0.5 0.11627907 0.17906976 0.24418604
800 0.61125 0.64175 0.66625 1.0 15.9 22.0 0.27272728 0.41040897 0.54545456 0.11627907 0.14534885 0.19767442
900 0.6477778 0.673 0.6911111 1.0 13.2 18.0 0.33333334 0.47473198 0.6666667 0.093023255 0.11860466 0.1744186
1000 0.679 0.70049995 0.715 1.0 11.2 17.0 0.3529412 0.5607986 0.85714287 0.08139535 0.10232558 0.13953489
1100 0.70363635 0.7247273 0.7381818 1.0 9.4 12.0 0.5 0.67065656 1.0 0.069767445 0.09186046 0.12790698
1200 0.72583336 0.74549997 0.7583333 1.0 8.1 11.0 0.54545456 0.78942645 1.0 0.069767445 0.08488373 0.12790698
1300 0.7430769 0.7637692 0.7753846 1.0 7.4 11.0 0.54545456 0.8551407 1.0 0.069767445 0.073255815 0.093023255
1400 0.7607143 0.7799999 0.79142857 1.0 7.1 11.0 0.54545456 0.8926407 1.0 0.069767445 0.075581394 0.093023255
1500 0.77666664 0.7944666 0.8053333 1.0 6.8 10.0 0.6 0.91714287 1.0 0.069767445 0.07325582 0.08139535
1600 0.790625 0.8070625 0.8175 1.0 6.7 9.0 0.6666667 0.9095238 1.0 0.069767445 0.07674419 0.11627907
1700 0.8029412 0.8181176 0.82823527 1.0 6.4 7.0 0.85714287 0.94285715 1.0 0.069767445 0.07209303 0.093023255
1800 0.8138889 0.82816666 0.8377778 1.0 6.3 7.0 0.85714287 0.95714283 1.0 0.069767445 0.06976745 0.069767445
1900 0.8236842 0.8371053 0.8463158 1.0 6.2 7.0 0.85714287 0.9714286 1.0 0.069767445 0.06976745 0.069767445
2000 0.8325 0.84524995 0.854 1.0 6.2 7.0 0.85714287 0.9714286 1.0 0.069767445 0.06976745 0.069767445
2100 0.8404762 0.8525238 0.8609524 1.0 6.1 7.0 0.85714287 0.9857143 1.0 0.069767445 0.06976745 0.069767445
2200 0.8477273 0.85918176 0.86727273 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
2300 0.8543478 0.86530435 0.8730435 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
2400 0.86041665 0.87091666 0.87833333 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
2500 0.866 0.87608004 0.8832 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
2600 0.87115383 0.8808462 0.88769233 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
2700 0.8759259 0.8852593 0.89185184 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
2800 0.88035715 0.8893571 0.8957143 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
2900 0.88448274 0.89317244 0.89931035 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
3000 0.8883333 0.8967334 0.9026667 1.0 6.0 6.0 1.0 1.0 1.0 0.069767445 0.06976745 0.069767445
