rank min-srate avg-srate max-srate min-size avg-size max-size min-prec avg-prec max-prec min-rec avg-rec max-rec
1 0.0 0.2 1.0 1.0 54.8 55.0 0.10909091 0.11131313 0.12727273 0.8372093 0.8848837 0.95348835
100 0.2 0.325 0.43 1.0 79.9 87.0 0.086419754 0.13611342 0.19444445 0.75581396 0.81046516 0.9186047
200 0.265 0.371 0.465 1.0 71.6 78.0 0.10666667 0.15009704 0.18571429 0.5813953 0.68372095 0.74418604
300 0.33666667 0.42166668 0.49 1.0 56.1 64.0 0.118644066 0.15636656 0.2244898 0.44186047 0.5406977 0.627907
400 0.39 0.46999997 0.5225 1.0 42.3 57.0 0.16666667 0.20446666 0.26666668 0.25581396 0.3848837 0.6511628
500 0.452 0.5166 0.568 1.0 30.5 41.0 0.19512194 0.26072225 0.34615386 0.15116279 0.25930232 0.40697673
600 0.5233333 0.5653333 0.60833335 1.0 24.0 30.0 0.26086956 0.325414 0.5263158 0.12790698 0.18255813 0.26744187
700 0.5757143 0.6101428 0.6557143 1.0 18.3 23.0 0.2857143 0.3864004 0.53846157 0.093023255 0.15348837 0.22093023
800 0.61625 0.64837503 0.6925 1.0 14.4 19.0 0.3529412 0.5000063 0.7 0.093023255 0.13488373 0.19767442
900 0.65555555 0.68144447 0.7222222 1.0 12.5 17.0 0.375 0.5506462 0.6666667 0.08139535 0.11511628 0.1744186
1000 0.689 0.709 0.747 1.0 10.6 15.0 0.46666667 0.62333333 0.75 0.08139535 0.10232558 0.13953489
1100 0.71363634 0.73163635 0.7663636 1.0 9.0 13.0 0.46153846 0.71005 1.0 0.069767445 0.09069767 0.13953489
1200 0.73583335 0.7523333 0.78583336 1.0 8.0 11.0 0.54545456 0.78351367 1.0 0.069767445 0.08139534 0.093023255
1300 0.7530769 0.77046156 0.80230767 1.0 7.4 10.0 0.6 0.84134924 1.0 0.069767445 0.08372093 0.10465116
1400 0.76928574 0.78650004 0.81642854 1.0 7.0 9.0 0.6666667 0.8738095 1.0 0.069767445 0.07790698 0.10465116
1500 0.78466666 0.80060005 0.828 1.0 6.9 9.0 0.6666667 0.90238094 1.0 0.069767445 0.07674419 0.10465116
1600 0.798125 0.81281245 0.83875 1.0 6.7 8.0 0.75 0.92142856 1.0 0.069767445 0.0755814 0.093023255
1700 0.81 0.823647 0.8482353 1.0 6.6 8.0 0.75 0.93571436 1.0 0.069767445 0.07325582 0.08139535
