rank min-srate avg-srate max-srate min-size avg-size max-size min-prec avg-prec max-prec min-rec avg-rec max-rec
1 0.0 0.1 1.0 1.0 13.0 13.0 0.9230769 0.93076926 1.0 0.069767445 0.07325582 0.093023255
2 0.0 0.25 0.5 1.0 14.0 14.0 0.85714287 0.8785714 0.9285714 0.069767445 0.07441862 0.093023255
3 0.0 0.33333334 0.6666667 1.0 15.0 15.0 0.8 0.8333334 0.93333334 0.069767445 0.0767442 0.093023255
4 0.0 0.35 0.5 1.0 16.0 16.0 0.75 0.775 0.875 0.069767445 0.08372092 0.11627907
5 0.0 0.34000003 0.6 1.0 16.9 17.0 0.7058824 0.74558824 0.88235295 0.069767445 0.0872093 0.11627907
6 0.0 0.3 0.5 1.0 17.7 18.0 0.6666667 0.70620924 0.8333333 0.08139535 0.09069767 0.12790698
7 0.14285715 0.32857147 0.5714286 1.0 18.6 19.0 0.6315789 0.69339526 0.7894737 0.08139535 0.09418604 0.12790698
8 0.125 0.325 0.5 1.0 19.4 20.0 0.6 0.6550877 0.75 0.08139535 0.099999994 0.13953489
9 0.22222222 0.34444445 0.5555556 1.0 20.3 21.0 0.5714286 0.6412782 0.71428573 0.08139535 0.099999994 0.11627907
10 0.2 0.38 0.5 1.0 21.3 22.0 0.54545456 0.62493503 0.71428573 0.08139535 0.10813954 0.12790698
11 0.18181819 0.37272727 0.54545456 1.0 22.3 23.0 0.5217391 0.58303213 0.6956522 0.093023255 0.11627908 0.13953489
12 0.16666667 0.35000002 0.5833333 1.0 23.1 24.0 0.5 0.5627141 0.6956522 0.093023255 0.12558141 0.15116279
13 0.15384616 0.3461539 0.53846157 1.0 24.1 25.0 0.48 0.5393478 0.6666667 0.093023255 0.12906978 0.15116279
14 0.14285715 0.35000002 0.5 1.0 24.9 26.0 0.46153846 0.5304816 0.64 0.093023255 0.13139534 0.1627907
15 0.13333334 0.3266667 0.46666667 1.0 25.8 27.0 0.44444445 0.50782907 0.61538464 0.093023255 0.1372093 0.1627907
16 0.125 0.31875 0.4375 1.0 26.6 28.0 0.42857143 0.4964184 0.5925926 0.093023255 0.1383721 0.1744186
17 0.11764706 0.31176472 0.4117647 1.0 27.3 28.0 0.42857143 0.49059263 0.5714286 0.10465116 0.14302328 0.1744186
18 0.11111111 0.31111112 0.44444445 1.0 28.1 29.0 0.41379312 0.47324747 0.5714286 0.10465116 0.14418606 0.18604651
19 0.10526316 0.3157895 0.42105263 1.0 29.0 30.0 0.41379312 0.4686973 0.55172414 0.10465116 0.14767441 0.19767442
20 0.1 0.315 0.45 1.0 30.0 31.0 0.4 0.44640556 0.53333336 0.10465116 0.15348837 0.19767442
21 0.14285715 0.30952382 0.42857143 1.0 30.8 32.0 0.38709676 0.43814006 0.53333336 0.11627907 0.15813954 0.19767442
22 0.13636364 0.31818184 0.4090909 1.0 31.6 33.0 0.38709676 0.42717314 0.5 0.11627907 0.15813953 0.19767442
23 0.13043478 0.31739125 0.4347826 1.0 32.4 34.0 0.375 0.41358408 0.48387095 0.11627907 0.16395348 0.19767442
24 0.125 0.325 0.45833334 1.0 33.0 34.0 0.36363637 0.40928927 0.48387095 0.11627907 0.16744186 0.19767442
25 0.12 0.32 0.44 1.0 33.8 35.0 0.3529412 0.39697954 0.48387095 0.1627907 0.1744186 0.19767442
26 0.15384616 0.3346154 0.46153846 1.0 34.7 36.0 0.3611111 0.40112558 0.5 0.1627907 0.18139532 0.20930232
27 0.14814815 0.3333333 0.44444445 1.0 35.2 37.0 0.34285715 0.38728172 0.5 0.1744186 0.18372092 0.20930232
