rank min-srate avg-srate max-srate min-size avg-size max-size min-prec avg-prec max-prec min-rec avg-rec max-rec
1 0.0 0.3 1.0 1.0 13.0 13.0 0.9230769 0.94615394 1.0 0.069767445 0.076744184 0.093023255
2 0.0 0.35 1.0 1.0 14.0 14.0 0.85714287 0.8785714 0.9285714 0.069767445 0.07906976 0.093023255
3 0.0 0.3333333 1.0 1.0 15.0 15.0 0.8 0.84000003 0.93333334 0.069767445 0.08488372 0.093023255
4 0.0 0.3 0.75 1.0 16.0 16.0 0.75 0.8 0.875 0.069767445 0.095348835 0.11627907
5 0.0 0.34000006 0.8 1.0 16.8 17.0 0.7058824 0.7621324 0.8235294 0.093023255 0.10348837 0.12790698
6 0.16666667 0.3833333 0.8333333 1.0 17.8 18.0 0.6666667 0.7196078 0.7777778 0.093023255 0.10813954 0.12790698
7 0.14285715 0.3714286 0.71428573 1.0 18.7 19.0 0.6315789 0.69079804 0.7647059 0.093023255 0.11279069 0.15116279
8 0.125 0.35 0.625 1.0 19.5 20.0 0.6 0.65748537 0.7368421 0.093023255 0.116279066 0.15116279
9 0.11111111 0.3333333 0.5555556 1.0 20.5 21.0 0.5714286 0.6396116 0.7 0.10465116 0.1244186 0.15116279
10 0.1 0.31 0.5 1.0 21.3 22.0 0.5714286 0.63411254 0.71428573 0.11627907 0.13023256 0.15116279
11 0.09090909 0.3181818 0.54545456 1.0 22.2 23.0 0.5652174 0.6311406 0.72727275 0.11627907 0.13604651 0.15116279
12 0.083333336 0.31666666 0.5 1.0 23.0 24.0 0.5652174 0.6170949 0.73913044 0.12790698 0.14999999 0.1744186
13 0.07692308 0.31538463 0.53846157 1.0 23.9 25.0 0.5 0.58541304 0.7083333 0.12790698 0.15930232 0.18604651
14 0.14285715 0.33571434 0.5714286 1.0 24.6 26.0 0.48 0.58490634 0.68 0.12790698 0.16976744 0.22093023
15 0.13333334 0.32666665 0.53333336 1.0 25.5 27.0 0.46153846 0.5528362 0.65384614 0.15116279 0.18953487 0.26744187
16 0.125 0.325 0.5 1.0 26.3 28.0 0.4814815 0.55510014 0.6296296 0.15116279 0.19534883 0.26744187
17 0.11764706 0.34117648 0.5294118 1.0 27.0 28.0 0.5 0.54835856 0.6296296 0.15116279 0.20232558 0.29069766
18 0.16666667 0.3555556 0.5555556 1.0 27.6 29.0 0.4642857 0.53612584 0.64285713 0.15116279 0.20116277 0.25581396
19 0.15789473 0.35789475 0.5263158 1.0 28.2 29.0 0.44827586 0.53548163 0.64285713 0.15116279 0.21162789 0.29069766
20 0.2 0.355 0.5 1.0 29.1 30.0 0.43333334 0.52253693 0.5862069 0.1627907 0.21627906 0.29069766
21 0.23809524 0.35714287 0.47619048 1.0 29.9 31.0 0.43333334 0.5116129 0.6 0.1627907 0.22209303 0.26744187
22 0.27272728 0.3590909 0.5 1.0 30.6 32.0 0.41935483 0.49989548 0.56666666 0.1744186 0.22441861 0.29069766
23 0.26086956 0.35217386 0.47826087 1.0 31.5 33.0 0.40625 0.48587123 0.5625 0.18604651 0.23023257 0.29069766
24 0.25 0.34583333 0.45833334 1.0 32.0 34.0 0.4375 0.48474875 0.5483871 0.19767442 0.23604651 0.30232558
25 0.28 0.348 0.48 1.0 32.8 35.0 0.42424244 0.47601837 0.5588235 0.19767442 0.23720932 0.30232558
26 0.26923078 0.34615391 0.46153846 1.0 33.6 35.0 0.42857143 0.4645063 0.53125 0.19767442 0.24767442 0.30232558
27 0.25925925 0.34444445 0.44444445 1.0 34.1 36.0 0.41666666 0.46106315 0.53125 0.19767442 0.25697675 0.3139535
28 0.25 0.35 0.4642857 1.0 34.8 37.0 0.4 0.4576694 0.5151515 0.20930232 0.26744184 0.3372093
29 0.2413793 0.35517237 0.4827586 1.0 35.3 37.0 0.3888889 0.45948538 0.5294118 0.20930232 0.27209306 0.3372093
30 0.26666668 0.35666665 0.5 1.0 35.9 38.0 0.4054054 0.45219445 0.5294118 0.20930232 0.28023258 0.3372093
31 0.2580645 0.3580645 0.516129 1.0 36.4 38.0 0.3783784 0.4428134 0.51428574 0.22093023 0.2837209 0.3488372
32 0.25 0.365625 0.53125 1.0 37.0 38.0 0.36842105 0.43560284 0.5 0.23255815 0.29418606 0.38372093
33 0.24242425 0.36060604 0.5151515 1.0 37.4 39.0 0.36842105 0.43324265 0.4864865 0.23255815 0.29883724 0.40697673
34 0.23529412 0.36176473 0.5 1.0 37.9 40.0 0.39473686 0.44067684 0.4871795 0.19767442 0.29651165 0.40697673
35 0.22857143 0.35999998 0.4857143 1.0 38.3 40.0 0.3846154 0.43871665 0.4871795 0.19767442 0.2930233 0.3488372
36 0.22222222 0.3555556 0.5 1.0 38.8 41.0 0.375 0.43563062 0.5 0.19767442 0.29767442 0.3488372
37 0.21621622 0.3540541 0.4864865 1.0 39.4 41.0 0.3902439 0.43648592 0.4878049 0.20930232 0.30465117 0.37209302
38 0.21052632 0.35263157 0.47368422 1.0 40.1 42.0 0.3809524 0.4316433 0.4878049 0.20930232 0.31162792 0.39534885
39 0.23076923 0.35384613 0.46153846 1.0 40.6 43.0 0.37209302 0.42604846 0.4878049 0.22093023 0.3139535 0.39534885
40 0.25 0.35499996 0.45 1.0 40.9 43.0 0.37209302 0.42589298 0.4878049 0.22093023 0.31744185 0.39534885
41 0.24390244 0.35365853 0.46341464 1.0 41.2 43.0 0.37209302 0.42762756 0.47619048 0.23255815 0.32093024 0.40697673
42 0.23809524 0.3547619 0.45238096 1.0 41.5 43.0 0.39534885 0.4288301 0.47619048 0.23255815 0.32558137 0.41860464
43 0.23255815 0.35813954 0.44186047 1.0 41.8 44.0 0.38636363 0.4280122 0.47727272 0.24418604 0.32790694 0.43023255
44 0.22727273 0.35681817 0.45454547 1.0 42.1 44.0 0.38636363 0.42509547 0.47727272 0.24418604 0.33023256 0.43023255
45 0.24444444 0.35777777 0.44444445 1.0 42.9 45.0 0.37777779 0.41964832 0.47727272 0.25581396 0.33488366 0.44186047
46 0.26086956 0.36086956 0.45652175 1.0 43.3 45.0 0.37777779 0.4133826 0.45454547 0.25581396 0.33953482 0.43023255
47 0.27659574 0.3595745 0.44680852 1.0 43.8 46.0 0.36956522 0.41561443 0.46666667 0.26744187 0.33953485 0.43023255
48 0.27083334 0.35833335 0.45833334 1.0 44.3 46.0 0.36956522 0.40858072 0.44444445 0.26744187 0.33720928 0.44186047
49 0.26530612 0.35918367 0.4489796 1.0 44.9 47.0 0.3617021 0.41211802 0.45652175 0.26744187 0.34302324 0.45348838
50 0.28 0.35599998 0.44 1.0 45.7 47.0 0.3617021 0.4157621 0.4680851 0.26744187 0.35 0.45348838
