rank min-srate avg-srate max-srate min-size avg-size max-size min-prec avg-prec max-prec min-rec avg-rec max-rec
1 0.0 0.3 1.0 1.0 54.7 55.0 0.10909091 0.11333333 0.12727273 0.8372093 0.88953483 0.95348835
2 0.0 0.35 1.0 1.0 55.2 56.0 0.10714286 0.115923524 0.12727273 0.81395346 0.88953483 0.95348835
3 0.0 0.26666668 0.6666667 1.0 55.9 57.0 0.10526316 0.11631352 0.14545454 0.81395346 0.88837206 0.95348835
4 0.0 0.25 0.5 1.0 56.7 58.0 0.10526316 0.11820932 0.14285715 0.81395346 0.8802325 0.95348835
5 0.0 0.24000001 0.4 1.0 57.5 59.0 0.10344828 0.11997839 0.14035088 0.81395346 0.8860465 0.95348835
6 0.0 0.23333335 0.5 1.0 58.1 60.0 0.10169491 0.12052263 0.15789473 0.81395346 0.8802325 0.95348835
7 0.14285715 0.24285714 0.42857143 1.0 58.7 60.0 0.1 0.12272648 0.15517241 0.8023256 0.8744186 0.95348835
8 0.125 0.2625 0.375 1.0 59.2 61.0 0.09836066 0.12347527 0.15517241 0.8023256 0.8709302 0.96511626
9 0.11111111 0.24444446 0.44444445 1.0 59.9 62.0 0.09677419 0.1237085 0.15254237 0.7906977 0.866279 0.9302326
10 0.1 0.23999998 0.4 1.0 60.5 63.0 0.0952381 0.13073203 0.16666667 0.7906977 0.8627907 0.9302326
11 0.09090909 0.23636362 0.36363637 1.0 61.2 64.0 0.09375 0.13093269 0.16666667 0.7906977 0.8662791 0.9186047
12 0.083333336 0.21666667 0.33333334 1.0 62.0 65.0 0.092307694 0.13247181 0.17741935 0.7906977 0.8697675 0.9302326
13 0.07692308 0.20769231 0.30769232 1.0 62.6 66.0 0.09090909 0.13119754 0.17460318 0.7790698 0.86860466 0.9302326
14 0.071428575 0.20714286 0.35714287 1.0 63.3 67.0 0.08955224 0.13606021 0.1875 0.7790698 0.8651163 0.9302326
15 0.13333334 0.22000003 0.33333334 1.0 63.8 67.0 0.08955224 0.13483404 0.2 0.7790698 0.86744195 0.9302326
16 0.125 0.225 0.3125 1.0 64.4 67.0 0.08955224 0.13509269 0.1969697 0.76744187 0.8697675 0.9302326
17 0.11764706 0.22352943 0.3529412 1.0 65.1 68.0 0.0882353 0.13534601 0.1969697 0.75581396 0.866279 0.9302326
18 0.11111111 0.23333335 0.3888889 1.0 65.4 68.0 0.0882353 0.13459806 0.19402985 0.75581396 0.86976737 0.9302326
19 0.10526316 0.23684211 0.36842105 1.0 65.9 69.0 0.0882353 0.13641551 0.19117647 0.75581396 0.86860466 0.9302326
20 0.1 0.23500001 0.4 1.0 66.7 69.0 0.092307694 0.13763545 0.20289855 0.75581396 0.86279076 0.9186047
21 0.14285715 0.25238097 0.42857143 1.0 67.0 70.0 0.092307694 0.14147733 0.2 0.75581396 0.86279076 0.9186047
22 0.13636364 0.25000003 0.45454547 1.0 67.5 70.0 0.10144927 0.14201722 0.2 0.75581396 0.86162794 0.9186047
23 0.13043478 0.24347822 0.4347826 1.0 68.2 71.0 0.1 0.14360575 0.2 0.75581396 0.8627907 0.9186047
24 0.125 0.24166664 0.41666666 1.0 68.7 71.0 0.09859155 0.14412066 0.2 0.75581396 0.86046517 0.90697676
25 0.12 0.25599998 0.44 1.0 69.0 71.0 0.09859155 0.14349468 0.2 0.76744187 0.86046517 0.90697676
26 0.115384616 0.25 0.42307693 1.0 69.5 72.0 0.09859155 0.14811212 0.20588236 0.76744187 0.8511628 0.90697676
27 0.11111111 0.24444446 0.4074074 1.0 69.9 72.0 0.11111111 0.15028636 0.20895523 0.74418604 0.844186 0.90697676
28 0.14285715 0.25357142 0.42857143 1.0 69.9 72.0 0.11111111 0.15028636 0.20895523 0.74418604 0.844186 0.90697676
29 0.13793103 0.24827585 0.41379312 1.0 70.3 73.0 0.10958904 0.1509013 0.20895523 0.74418604 0.8511628 0.90697676
30 0.16666667 0.25333336 0.4 1.0 70.8 74.0 0.10810811 0.15134506 0.20895523 0.74418604 0.8511628 0.90697676
31 0.19354838 0.2580645 0.38709676 1.0 71.3 74.0 0.10810811 0.15029956 0.22058824 0.76744187 0.8523256 0.90697676
32 0.1875 0.25625 0.40625 1.0 71.9 75.0 0.10666667 0.1518888 0.23188406 0.74418604 0.85 0.89534885
33 0.18181819 0.26060608 0.42424244 1.0 72.0 75.0 0.10666667 0.15171757 0.23188406 0.7093023 0.83953494 0.88372093
34 0.20588236 0.26764706 0.44117647 1.0 72.4 76.0 0.118421055 0.15068486 0.22857143 0.7093023 0.84069777 0.88372093
35 0.2 0.27428573 0.42857143 1.0 72.6 76.0 0.118421055 0.15148464 0.23943663 0.7093023 0.8430233 0.89534885
36 0.19444445 0.27222222 0.41666666 1.0 72.8 76.0 0.118421055 0.15113263 0.23943663 0.7093023 0.8418605 0.89534885
37 0.1891892 0.27297297 0.43243244 1.0 73.3 76.0 0.118421055 0.152792 0.2361111 0.7093023 0.8418605 0.89534885
38 0.21052632 0.27105263 0.42105263 1.0 73.9 77.0 0.116883114 0.15691583 0.24657534 0.73255813 0.83953494 0.89534885
39 0.20512821 0.27179492 0.41025642 1.0 74.2 77.0 0.116883114 0.15758684 0.24657534 0.75581396 0.8418605 0.89534885
40 0.2 0.27 0.4 1.0 74.5 78.0 0.11940298 0.15835795 0.24657534 0.74418604 0.8360465 0.89534885
41 0.19512194 0.27804878 0.41463414 1.0 74.7 78.0 0.11940298 0.16046515 0.25675675 0.74418604 0.83720934 0.89534885
42 0.1904762 0.2761905 0.4047619 1.0 75.4 79.0 0.12987013 0.16177653 0.25333333 0.74418604 0.84069765 0.89534885
43 0.18604651 0.2790698 0.41860464 1.0 75.6 80.0 0.12987013 0.1600527 0.25333333 0.74418604 0.8383721 0.88372093
44 0.18181819 0.27727273 0.4090909 1.0 76.1 81.0 0.12820514 0.16032644 0.25 0.76744187 0.84069777 0.88372093
45 0.2 0.28000003 0.42222223 1.0 76.4 81.0 0.12658228 0.16107824 0.25 0.76744187 0.8465117 0.9186047
46 0.19565217 0.2804348 0.41304347 1.0 76.6 81.0 0.12658228 0.16066793 0.25 0.76744187 0.8465117 0.9186047
47 0.19148937 0.2851064 0.42553192 1.0 76.9 82.0 0.12658228 0.16263756 0.25 0.76744187 0.8441861 0.9186047
48 0.20833333 0.2875 0.41666666 1.0 77.4 82.0 0.12658228 0.16686569 0.25 0.74418604 0.84534883 0.95348835
49 0.2244898 0.28571424 0.42857143 1.0 77.9 82.0 0.12658228 0.16566217 0.24675325 0.74418604 0.84651166 0.95348835
50 0.22 0.28599998 0.42 1.0 78.3 82.0 0.125 0.16348323 0.24358974 0.73255813 0.8418605 0.95348835
51 0.21568628 0.2901961 0.4117647 1.0 78.5 83.0 0.125 0.16187114 0.24358974 0.73255813 0.83953494 0.95348835
52 0.23076923 0.29615384 0.40384614 1.0 78.6 83.0 0.125 0.16167553 0.24358974 0.75581396 0.8441861 0.9767442
53 0.2264151 0.2981132 0.41509435 1.0 78.6 83.0 0.12658228 0.16296639 0.24358974 0.74418604 0.84069765 0.9767442
54 0.22222222 0.3 0.42592594 1.0 78.7 83.0 0.12658228 0.16404136 0.24358974 0.74418604 0.8360465 0.9767442
