rank min-srate avg-srate max-srate min-size avg-size max-size min-prec avg-prec max-prec min-rec avg-rec max-rec
1 0.0 0.4 1.0 1.0 13.0 13.0 0.9230769 0.9615385 1.0 0.069767445 0.07209303 0.08139535
2 0.0 0.4 1.0 1.0 13.9 14.0 0.85714287 0.92142856 1.0 0.069767445 0.07441861 0.08139535
3 0.0 0.3 0.6666667 1.0 14.9 15.0 0.8 0.88666666 1.0 0.069767445 0.08255815 0.10465116
4 0.0 0.25 0.5 1.0 15.9 16.0 0.75 0.8495833 0.9375 0.069767445 0.09069767 0.11627907
5 0.0 0.22 0.4 1.0 16.8 17.0 0.7058824 0.8099264 0.88235295 0.069767445 0.094186045 0.12790698
6 0.0 0.21666665 0.5 1.0 17.9 19.0 0.6666667 0.7661334 0.8888889 0.08139535 0.099999994 0.12790698
7 0.0 0.24285714 0.5714286 1.0 18.8 20.0 0.6315789 0.74602336 0.8888889 0.08139535 0.10465117 0.13953489
8 0.0 0.2375 0.5 1.0 19.8 21.0 0.6 0.7187719 0.8947368 0.093023255 0.111627914 0.13953489
9 0.11111111 0.24444446 0.44444445 1.0 20.7 22.0 0.5714286 0.69282186 0.85 0.093023255 0.118604645 0.15116279
10 0.1 0.24000004 0.4 1.0 21.6 22.0 0.54545456 0.68714285 0.85714287 0.10465116 0.1244186 0.15116279
11 0.09090909 0.24545455 0.36363637 1.0 22.6 23.0 0.5217391 0.6655185 0.8636364 0.11627907 0.14069769 0.18604651
12 0.16666667 0.26666668 0.41666666 1.0 23.2 24.0 0.5217391 0.65612644 0.8695652 0.11627907 0.14651164 0.18604651
13 0.15384616 0.26923078 0.3846154 1.0 23.9 25.0 0.5217391 0.63965946 0.8333333 0.11627907 0.14883722 0.18604651
14 0.14285715 0.27142859 0.42857143 1.0 24.6 26.0 0.52 0.634218 0.8333333 0.11627907 0.14883722 0.18604651
15 0.13333334 0.26000002 0.4 1.0 25.3 27.0 0.52 0.63688457 0.76 0.11627907 0.15581395 0.20930232
16 0.125 0.26875 0.4375 1.0 26.1 28.0 0.4814815 0.62493527 0.7307692 0.11627907 0.16395348 0.22093023
17 0.11764706 0.27058825 0.47058824 1.0 27.0 28.0 0.4642857 0.60418195 0.7407407 0.15116279 0.1732558 0.23255815
18 0.11111111 0.26666668 0.5 1.0 27.8 29.0 0.4642857 0.58666754 0.6785714 0.15116279 0.17906976 0.23255815
19 0.10526316 0.25789475 0.47368422 1.0 28.7 30.0 0.4642857 0.58168304 0.6551724 0.15116279 0.18255813 0.24418604
20 0.15 0.26000002 0.45 1.0 29.5 31.0 0.44827586 0.5693572 0.6551724 0.15116279 0.18720928 0.24418604
21 0.14285715 0.25238097 0.42857143 1.0 30.4 32.0 0.43333334 0.5685706 0.6666667 0.1744186 0.20348835 0.3139535
22 0.13636364 0.25000003 0.4090909 1.0 31.0 33.0 0.4516129 0.5615522 0.6896552 0.1744186 0.20465115 0.3139535
23 0.13043478 0.2521739 0.4347826 1.0 31.8 34.0 0.41935483 0.54999775 0.6666667 0.1744186 0.20813951 0.3255814
24 0.16666667 0.275 0.45833334 1.0 32.3 34.0 0.40625 0.54527825 0.6666667 0.1744186 0.21511626 0.3255814
25 0.16 0.276 0.44 1.0 33.3 35.0 0.3939394 0.5292383 0.67741936 0.1744186 0.21976742 0.3488372
26 0.15384616 0.27307695 0.42307693 1.0 34.0 36.0 0.38235295 0.527158 0.6875 0.15116279 0.22558138 0.3604651
27 0.18518518 0.2703704 0.4074074 1.0 34.9 37.0 0.37142858 0.5077706 0.6666667 0.1627907 0.23255813 0.39534885
28 0.17857143 0.26785713 0.39285713 1.0 35.8 37.0 0.3888889 0.50335884 0.64705884 0.1744186 0.24069767 0.39534885
29 0.1724138 0.26896554 0.37931034 1.0 36.4 38.0 0.3888889 0.4976212 0.62857145 0.1744186 0.24069767 0.39534885
30 0.16666667 0.27333337 0.4 1.0 37.3 39.0 0.3783784 0.49098554 0.6388889 0.19767442 0.24999997 0.37209302
31 0.16129032 0.283871 0.41935483 1.0 37.9 40.0 0.36842105 0.48027095 0.6216216 0.19767442 0.25697672 0.37209302
32 0.15625 0.284375 0.40625 1.0 38.5 40.0 0.35897437 0.47534522 0.6315789 0.19767442 0.26627904 0.37209302
33 0.18181819 0.2969697 0.42424244 1.0 38.7 41.0 0.35897437 0.47805214 0.6315789 0.19767442 0.26860464 0.37209302
34 0.1764706 0.29705882 0.4117647 1.0 39.1 41.0 0.35 0.47625786 0.6315789 0.23255815 0.2755814 0.37209302
35 0.2 0.3 0.42857143 1.0 39.8 42.0 0.34146342 0.46826705 0.61538464 0.23255815 0.2744186 0.37209302
36 0.19444445 0.29722223 0.44444445 1.0 40.6 43.0 0.33333334 0.46433288 0.61538464 0.24418604 0.2837209 0.38372093
37 0.1891892 0.2972973 0.43243244 1.0 41.1 44.0 0.3255814 0.45875198 0.6 0.24418604 0.2872093 0.38372093
38 0.18421052 0.29736847 0.4473684 1.0 41.7 44.0 0.3181818 0.45450717 0.6 0.24418604 0.29418606 0.38372093
39 0.17948718 0.2948718 0.43589744 1.0 42.4 45.0 0.3181818 0.4495942 0.6 0.26744187 0.30116278 0.41860464
40 0.175 0.30249998 0.45 1.0 43.3 46.0 0.31111112 0.44024134 0.58536583 0.26744187 0.30581397 0.43023255
41 0.19512194 0.31463414 0.46341464 1.0 43.6 46.0 0.31111112 0.44138113 0.5714286 0.26744187 0.31162792 0.43023255
42 0.1904762 0.31428573 0.45238096 1.0 44.3 46.0 0.3043478 0.4389066 0.5813953 0.26744187 0.32790697 0.4651163
43 0.20930232 0.31860465 0.4651163 1.0 44.7 47.0 0.2826087 0.43719274 0.59090906 0.27906978 0.33255813 0.4651163
44 0.22727273 0.32272726 0.45454547 1.0 45.1 48.0 0.27659574 0.4337786 0.59090906 0.29069766 0.34302324 0.47674417
45 0.24444444 0.32666665 0.44444445 1.0 45.6 49.0 0.27659574 0.43569025 0.59090906 0.29069766 0.34186044 0.4651163
46 0.23913044 0.33043477 0.4347826 1.0 46.2 50.0 0.27659574 0.42969197 0.5555556 0.29069766 0.35348836 0.45348838
47 0.23404256 0.32978722 0.42553192 1.0 46.8 51.0 0.27659574 0.42394742 0.54347825 0.29069766 0.35697672 0.45348838
48 0.25 0.33125 0.41666666 1.0 47.6 52.0 0.27659574 0.4227171 0.5531915 0.30232558 0.36395347 0.4883721
49 0.24489796 0.33061224 0.40816328 1.0 48.1 52.0 0.27659574 0.42610064 0.5833333 0.30232558 0.36511627 0.4883721
50 0.24 0.328 0.4 1.0 48.8 53.0 0.27659574 0.42371768 0.5714286 0.30232558 0.36627907 0.4883721
51 0.25490198 0.33137253 0.4117647 1.0 49.2 53.0 0.27659574 0.42433733 0.5714286 0.3139535 0.36976743 0.4883721
52 0.25 0.3326923 0.42307693 1.0 49.8 53.0 0.29166666 0.41535562 0.54 0.3139535 0.3744186 0.4883721
53 0.26415095 0.33396226 0.41509435 1.0 50.4 53.0 0.27083334 0.415905 0.54901963 0.3139535 0.37441856 0.4883721
54 0.25925925 0.33333334 0.4074074 1.0 51.0 53.0 0.26530612 0.41334158 0.5294118 0.3139535 0.3802325 0.5
55 0.25454545 0.3363636 0.4181818 1.0 51.7 54.0 0.28 0.4118418 0.53846157 0.3139535 0.3837209 0.5
56 0.25 0.3375 0.42857143 1.0 52.2 55.0 0.27450982 0.40800285 0.53846157 0.3139535 0.38604647 0.5
57 0.2631579 0.34385964 0.4385965 1.0 52.6 55.0 0.26923078 0.40489846 0.5283019 0.3139535 0.38953486 0.5232558
58 0.25862068 0.33793107 0.43103448 1.0 53.3 56.0 0.26415095 0.4015185 0.537037 0.3255814 0.39767438 0.54651165
59 0.2542373 0.33559322 0.44067797 1.0 54.1 56.0 0.28301886 0.39692515 0.51785713 0.3255814 0.39534882 0.54651165
60 0.25 0.33833334 0.45 1.0 54.9 57.0 0.2962963 0.39291936 0.50877196 0.3372093 0.39999998 0.54651165
61 0.26229507 0.33770493 0.44262296 1.0 55.3 57.0 0.27272728 0.39202508 0.50877196 0.3372093 0.39999998 0.5232558
62 0.2580645 0.33709678 0.4516129 1.0 55.9 58.0 0.26785713 0.39159817 0.50877196 0.3488372 0.40465117 0.5232558
63 0.26984128 0.33650795 0.46031746 1.0 56.2 58.0 0.2631579 0.38988683 0.50877196 0.3488372 0.40813953 0.5232558
64 0.28125 0.3421875 0.46875 1.0 56.8 59.0 0.25862068 0.38751787 0.5 0.3488372 0.41511625 0.5232558
65 0.2769231 0.34307694 0.47692308 1.0 57.1 59.0 0.25862068 0.38728678 0.4915254 0.3488372 0.422093 0.5232558
