rank min-srate avg-srate max-srate min-size avg-size max-size min-prec avg-prec max-prec min-rec avg-rec max-rec
1 0.0 0.2 1.0 1.0 13.0 13.0 0.9230769 0.95384616 1.0 0.069767445 0.07558141 0.093023255
2 0.0 0.25 1.0 1.0 14.0 14.0 0.85714287 0.8928571 1.0 0.069767445 0.08139535 0.093023255
3 0.0 0.26666665 1.0 1.0 15.0 15.0 0.8 0.86 0.93333334 0.069767445 0.08488373 0.10465116
4 0.0 0.225 0.75 1.0 16.0 16.0 0.75 0.81875 0.9375 0.08139535 0.095348835 0.10465116
5 0.0 0.22000003 0.6 1.0 16.8 17.0 0.7058824 0.79227936 0.88235295 0.08139535 0.10232558 0.12790698
6 0.0 0.23333335 0.5 1.0 17.8 18.0 0.6666667 0.74771243 0.8333333 0.08139535 0.10581396 0.12790698
7 0.0 0.25714287 0.5714286 1.0 18.7 19.0 0.68421054 0.7222222 0.7894737 0.093023255 0.10930233 0.12790698
8 0.0 0.25 0.5 1.0 19.7 20.0 0.6 0.67552626 0.7894737 0.093023255 0.11627908 0.13953489
9 0.11111111 0.2888889 0.5555556 1.0 20.6 21.0 0.5714286 0.65500003 0.71428573 0.10465116 0.12209304 0.13953489
10 0.1 0.31 0.6 1.0 21.6 22.0 0.5714286 0.63398266 0.72727275 0.10465116 0.13139535 0.1627907
11 0.18181819 0.32727277 0.54545456 1.0 22.6 23.0 0.54545456 0.62351775 0.6956522 0.11627907 0.1383721 0.1627907
12 0.16666667 0.325 0.5 1.0 23.5 24.0 0.5217391 0.5875 0.6956522 0.11627907 0.1511628 0.18604651
13 0.15384616 0.3230769 0.46153846 1.0 24.6 26.0 0.5 0.5653461 0.625 0.11627907 0.15465115 0.18604651
14 0.14285715 0.3214286 0.42857143 1.0 25.4 26.0 0.48 0.54753846 0.6 0.12790698 0.16279069 0.19767442
15 0.13333334 0.32666668 0.46666667 1.0 26.1 27.0 0.48 0.53261536 0.61538464 0.13953489 0.17093022 0.23255815
16 0.125 0.325 0.5 1.0 27.0 28.0 0.4642857 0.5186507 0.5925926 0.15116279 0.17906976 0.25581396
17 0.11764706 0.31764707 0.47058824 1.0 27.9 29.0 0.44827586 0.5093733 0.5714286 0.15116279 0.18953487 0.25581396
18 0.16666667 0.31111112 0.44444445 1.0 28.7 30.0 0.43333334 0.49554187 0.5714286 0.15116279 0.19534883 0.26744187
19 0.15789473 0.3 0.42105263 1.0 29.6 31.0 0.43333334 0.5004561 0.5862069 0.15116279 0.19883719 0.26744187
20 0.2 0.3 0.4 1.0 30.6 32.0 0.41935483 0.48752016 0.56666666 0.15116279 0.19999999 0.27906978
21 0.1904762 0.30000004 0.42857143 1.0 31.4 33.0 0.40625 0.4783309 0.56666666 0.15116279 0.20813954 0.27906978
22 0.22727273 0.3090909 0.45454547 1.0 32.4 34.0 0.375 0.45758295 0.58064514 0.1627907 0.21511629 0.29069766
23 0.2173913 0.31739128 0.4347826 1.0 32.9 35.0 0.36363637 0.45063147 0.5483871 0.1627907 0.21744187 0.29069766
24 0.25 0.325 0.45833334 1.0 33.5 35.0 0.3529412 0.44876537 0.5483871 0.1627907 0.22325583 0.30232558
25 0.24 0.31599998 0.44 1.0 34.2 35.0 0.34285715 0.43940204 0.53125 0.1627907 0.23023257 0.30232558
26 0.23076923 0.30384618 0.42307693 1.0 35.0 36.0 0.34285715 0.43766958 0.5151515 0.1627907 0.23488374 0.29069766
27 0.22222222 0.3148148 0.44444445 1.0 35.5 37.0 0.33333334 0.43139952 0.5 0.1744186 0.23720932 0.29069766
28 0.21428572 0.3107143 0.42857143 1.0 36.4 38.0 0.3243243 0.42616826 0.5135135 0.18604651 0.24418601 0.30232558
29 0.2413793 0.31724137 0.41379312 1.0 37.1 39.0 0.34210527 0.4288761 0.5263158 0.18604651 0.24767442 0.30232558
30 0.23333333 0.31666666 0.4 1.0 37.8 39.0 0.33333334 0.42368054 0.4871795 0.18604651 0.25348836 0.3139535
31 0.22580644 0.31935483 0.38709676 1.0 38.4 40.0 0.325 0.41474223 0.4871795 0.19767442 0.25813952 0.3139535
32 0.21875 0.325 0.40625 1.0 38.9 41.0 0.31707317 0.40960822 0.475 0.19767442 0.26627907 0.3372093
33 0.24242425 0.3272727 0.42424244 1.0 39.4 41.0 0.31707317 0.41894588 0.4878049 0.19767442 0.26976743 0.3372093
34 0.23529412 0.32352942 0.4117647 1.0 40.1 42.0 0.34146342 0.41630468 0.47619048 0.20930232 0.2767442 0.3372093
35 0.22857143 0.32285717 0.42857143 1.0 40.4 43.0 0.33333334 0.41362396 0.4871795 0.20930232 0.28139535 0.3372093
36 0.25 0.325 0.44444445 1.0 41.1 44.0 0.3255814 0.40959638 0.4871795 0.20930232 0.29186043 0.37209302
37 0.24324325 0.32162163 0.45945945 1.0 41.7 45.0 0.3255814 0.40838227 0.47619048 0.22093023 0.29534882 0.37209302
38 0.23684211 0.32368422 0.47368422 1.0 42.4 45.0 0.33333334 0.4084702 0.4883721 0.22093023 0.3 0.37209302
39 0.23076923 0.3230769 0.46153846 1.0 43.3 46.0 0.32608697 0.39557505 0.46341464 0.23255815 0.30697674 0.38372093
40 0.225 0.3175 0.45 1.0 44.3 47.0 0.31914893 0.38676822 0.46341464 0.23255815 0.3127907 0.38372093
41 0.2195122 0.3195122 0.4390244 1.0 45.1 47.0 0.31914893 0.37975714 0.45238096 0.23255815 0.31976742 0.38372093
42 0.21428572 0.31428573 0.42857143 1.0 45.7 48.0 0.3125 0.37496442 0.45238096 0.26744187 0.33139533 0.38372093
43 0.23255815 0.31860465 0.41860464 1.0 46.1 48.0 0.31914893 0.3780265 0.4651163 0.27906978 0.3348837 0.38372093
44 0.22727273 0.32045454 0.4318182 1.0 46.9 49.0 0.31914893 0.3714735 0.44186047 0.27906978 0.33604652 0.38372093
45 0.22222222 0.3177778 0.42222223 1.0 47.7 49.0 0.3125 0.37158066 0.4318182 0.29069766 0.33953485 0.37209302
46 0.2173913 0.32608694 0.41304347 1.0 48.1 50.0 0.3125 0.36848715 0.4318182 0.29069766 0.34302324 0.38372093
47 0.21276596 0.32978722 0.42553192 1.0 48.7 51.0 0.30612245 0.36214972 0.4318182 0.30232558 0.34999996 0.39534885
48 0.20833333 0.33125 0.41666666 1.0 49.2 51.0 0.3137255 0.3623002 0.42222223 0.29069766 0.34999996 0.39534885
49 0.20408164 0.32857147 0.42857143 1.0 49.8 52.0 0.30769232 0.36008355 0.42222223 0.26744187 0.3488372 0.40697673
50 0.22 0.328 0.42 1.0 50.6 53.0 0.3018868 0.35445684 0.41304347 0.30232558 0.36162788 0.41860464
51 0.21568628 0.327451 0.4117647 1.0 51.5 54.0 0.2962963 0.3560931 0.42553192 0.30232558 0.36744183 0.41860464
52 0.21153846 0.33269233 0.42307693 1.0 51.7 55.0 0.29090908 0.35296172 0.42553192 0.26744187 0.36627907 0.43023255
53 0.2264151 0.33584908 0.43396226 1.0 52.1 56.0 0.30357143 0.3499814 0.39583334 0.26744187 0.36511627 0.43023255
54 0.22222222 0.3333333 0.42592594 1.0 52.6 56.0 0.3018868 0.34287748 0.39583334 0.26744187 0.36627907 0.43023255
55 0.23636363 0.33272725 0.4181818 1.0 53.2 57.0 0.2962963 0.34268746 0.3877551 0.30232558 0.37674418 0.43023255
56 0.23214285 0.33035713 0.4107143 1.0 54.1 58.0 0.29310346 0.33693725 0.38 0.3139535 0.3848837 0.44186047
57 0.22807017 0.32631576 0.40350878 1.0 54.8 58.0 0.2857143 0.33647937 0.38 0.3139535 0.3872093 0.45348838
58 0.22413793 0.32586205 0.41379312 1.0 55.2 58.0 0.29310346 0.33782148 0.3888889 0.3139535 0.3872093 0.44186047
59 0.23728813 0.32542372 0.40677965 1.0 55.8 59.0 0.27586207 0.33416447 0.38181818 0.3255814 0.39186043 0.45348838
60 0.23333333 0.32666665 0.41666666 1.0 56.3 60.0 0.28333333 0.33128732 0.3888889 0.3255814 0.3965116 0.4651163
61 0.22950819 0.3262295 0.4262295 1.0 56.8 61.0 0.29508197 0.33885372 0.4 0.3372093 0.40232557 0.47674417
62 0.24193548 0.32580644 0.41935483 1.0 57.2 61.0 0.27868852 0.336921 0.4 0.3372093 0.40813953 0.47674417
63 0.25396827 0.32380953 0.42857143 1.0 57.8 61.0 0.29508197 0.33669764 0.4 0.3488372 0.41511625 0.47674417
64 0.265625 0.321875 0.421875 1.0 58.6 62.0 0.29032257 0.33543822 0.4107143 0.3488372 0.4209302 0.47674417
65 0.26153848 0.32461542 0.41538462 1.0 59.1 62.0 0.29032257 0.33938435 0.42857143 0.3372093 0.4209302 0.4883721
66 0.27272728 0.3242424 0.42424244 1.0 59.3 62.0 0.29032257 0.3432923 0.42857143 0.3372093 0.422093 0.4883721
67 0.26865673 0.32089552 0.41791046 1.0 60.0 63.0 0.3015873 0.34260648 0.42105263 0.3255814 0.43023252 0.5116279
68 0.2647059 0.32352942 0.42647058 1.0 60.4 64.0 0.30645162 0.3452277 0.42105263 0.3255814 0.43488368 0.5232558
69 0.26086956 0.32028982 0.42028984 1.0 60.8 64.0 0.3015873 0.34151193 0.42105263 0.3255814 0.44069767 0.53488374
70 0.25714287 0.3214286 0.42857143 1.0 61.3 65.0 0.30769232 0.34198833 0.42105263 0.3255814 0.4488372 0.53488374
71 0.2535211 0.31830984 0.4225352 1.0 61.7 65.0 0.30769232 0.34304652 0.43103448 0.3255814 0.45116276 0.53488374
72 0.25 0.3236111 0.43055555 1.0 62.1 65.0 0.30645162 0.33934146 0.43103448 0.3255814 0.45116276 0.5232558
73 0.24657534 0.32465753 0.42465752 1.0 62.5 65.0 0.2923077 0.33694726 0.40677965 0.3255814 0.4581395 0.5232558
74 0.24324325 0.3243243 0.4189189 1.0 62.7 65.0 0.2769231 0.33761618 0.40677965 0.3255814 0.45930234 0.5232558
75 0.24 0.32399997 0.42666668 1.0 62.9 65.0 0.2769231 0.33944935 0.3898305 0.3372093 0.46162787 0.5232558
76 0.25 0.325 0.43421054 1.0 63.0 65.0 0.2769231 0.33879963 0.38333333 0.3488372 0.47558135 0.54651165
77 0.25974026 0.3272727 0.44155845 1.0 63.1 66.0 0.27272728 0.3399185 0.38333333 0.3488372 0.477907 0.54651165
78 0.25641027 0.32948717 0.44871795 1.0 63.7 66.0 0.27272728 0.33823293 0.39344263 0.3604651 0.48023257 0.54651165
79 0.2658228 0.33164558 0.443038 1.0 64.2 67.0 0.27272728 0.3355467 0.3809524 0.3604651 0.48720926 0.54651165
80 0.275 0.33499998 0.45 1.0 64.7 67.0 0.26865673 0.33301204 0.3809524 0.3604651 0.49069768 0.55813956
81 0.28395063 0.33703703 0.44444445 1.0 65.3 68.0 0.2647059 0.32843852 0.375 0.3488372 0.49186045 0.5697674
82 0.29268292 0.33780485 0.4390244 1.0 65.7 69.0 0.26086956 0.32648224 0.375 0.38372093 0.49651164 0.5697674
83 0.30120483 0.33975905 0.43373495 1.0 66.1 70.0 0.27142859 0.32885993 0.36923078 0.39534885 0.49767438 0.55813956
84 0.29761904 0.33690476 0.42857143 1.0 66.8 72.0 0.2638889 0.33010644 0.375 0.39534885 0.50581396 0.55813956
85 0.29411766 0.33764708 0.42352942 1.0 67.4 73.0 0.26027396 0.32719612 0.36923078 0.39534885 0.5069768 0.5697674
86 0.29069766 0.33953485 0.41860464 1.0 67.6 73.0 0.26027396 0.3247957 0.36923078 0.39534885 0.51046515 0.55813956
87 0.28735632 0.337931 0.41379312 1.0 68.4 74.0 0.24324325 0.32406923 0.37313432 0.39534885 0.51860464 0.59302324
88 0.2840909 0.33636364 0.4090909 1.0 68.7 74.0 0.24324325 0.3196475 0.37313432 0.40697673 0.522093 0.5813953
89 0.28089887 0.33595502 0.41573033 1.0 69.0 74.0 0.24324325 0.3182085 0.36764705 0.40697673 0.5232558 0.5813953
90 0.2777778 0.3333333 0.41111112 1.0 69.4 75.0 0.24 0.31653634 0.36923078 0.40697673 0.52441865 0.5813953
91 0.2857143 0.33296704 0.4065934 1.0 69.9 76.0 0.23684211 0.3159283 0.37878788 0.40697673 0.53023255 0.60465115
92 0.2826087 0.33043477 0.4021739 1.0 70.6 77.0 0.23376623 0.3141645 0.37313432 0.41860464 0.53255814 0.60465115
93 0.29032257 0.33225805 0.40860215 1.0 70.8 78.0 0.23076923 0.31625187 0.37313432 0.41860464 0.5360465 0.60465115
94 0.28723404 0.33085102 0.41489363 1.0 71.1 79.0 0.2278481 0.31356126 0.36363637 0.41860464 0.53720933 0.60465115
95 0.29473683 0.3305263 0.4105263 1.0 71.3 79.0 0.2278481 0.3141585 0.36363637 0.41860464 0.53837216 0.61627907
96 0.29166666 0.33020833 0.40625 1.0 71.8 79.0 0.2278481 0.31477618 0.37878788 0.41860464 0.5406977 0.61627907
97 0.28865978 0.3309278 0.41237113 1.0 72.0 79.0 0.2278481 0.31244114 0.37313432 0.41860464 0.54186046 0.61627907
98 0.2857143 0.33061227 0.41836736 1.0 72.6 79.0 0.2278481 0.3112163 0.36764705 0.41860464 0.5476744 0.6395349
99 0.28282827 0.33030304 0.42424244 1.0 72.9 80.0 0.2375 0.31418392 0.38235295 0.41860464 0.5523256 0.6395349
100 0.28 0.33099997 0.43 1.0 73.0 80.0 0.2375 0.31647155 0.3970588 0.41860464 0.55 0.6395349
101 0.28712872 0.33168316 0.42574257 1.0 73.5 79.0 0.24050634 0.31291288 0.3970588 0.41860464 0.5523256 0.6395349
102 0.28431374 0.33039218 0.43137255 1.0 73.8 79.0 0.24050634 0.31563362 0.3970588 0.41860464 0.5534884 0.6395349
103 0.2815534 0.33106798 0.42718446 1.0 74.1 79.0 0.24050634 0.3157406 0.3970588 0.41860464 0.5581395 0.6511628
104 0.28846154 0.33173078 0.43269232 1.0 74.2 79.0 0.24050634 0.31629664 0.3768116 0.41860464 0.5569767 0.6511628
105 0.2857143 0.3352381 0.43809524 1.0 74.4 80.0 0.2375 0.31686425 0.3768116 0.41860464 0.5581395 0.6511628
106 0.28301886 0.33679244 0.44339624 1.0 74.5 80.0 0.2375 0.31096938 0.37142858 0.43023255 0.56627905 0.6511628
107 0.28037384 0.3373832 0.44859812 1.0 74.6 80.0 0.2375 0.31056574 0.37142858 0.43023255 0.5697674 0.6511628
108 0.28703704 0.33981484 0.44444445 1.0 74.9 81.0 0.24691358 0.3118312 0.36619717 0.5 0.5767442 0.6511628
109 0.28440368 0.3412844 0.44954127 1.0 75.5 81.0 0.24691358 0.3066985 0.36486486 0.5 0.5767442 0.6511628
110 0.29090908 0.34272724 0.44545454 1.0 75.9 81.0 0.24691358 0.30506092 0.36486486 0.5 0.58023256 0.6627907
111 0.2972973 0.34234232 0.44144145 1.0 76.2 81.0 0.24691358 0.30634654 0.3611111 0.5 0.58023256 0.6627907
112 0.30357143 0.34375 0.4375 1.0 76.4 81.0 0.25925925 0.3078879 0.36842105 0.5 0.5837209 0.6627907
113 0.30088496 0.34690267 0.43362832 1.0 76.6 82.0 0.25609756 0.30578035 0.35526314 0.5 0.5860465 0.6627907
114 0.30701753 0.3508772 0.4385965 1.0 77.0 83.0 0.26506025 0.3066012 0.35135135 0.5 0.58720934 0.6627907
115 0.3043478 0.35130435 0.44347826 1.0 77.3 84.0 0.26190478 0.30539137 0.35135135 0.5116279 0.59302324 0.6627907
116 0.30172414 0.3525862 0.44827586 1.0 77.7 85.0 0.25882354 0.3037868 0.34666666 0.53488374 0.6 0.6627907
117 0.2991453 0.35384616 0.45299146 1.0 77.9 86.0 0.26744187 0.30296266 0.34666666 0.53488374 0.6011628 0.6744186
118 0.29661018 0.35338983 0.44915253 1.0 78.4 86.0 0.26744187 0.30350867 0.34615386 0.53488374 0.6 0.6744186
119 0.29411766 0.35378152 0.44537815 1.0 78.8 86.0 0.27027026 0.3030662 0.34615386 0.53488374 0.6034884 0.6744186
120 0.3 0.3558333 0.44166666 1.0 79.0 86.0 0.25675675 0.30219704 0.34615386 0.55813956 0.60697675 0.6744186
121 0.30578512 0.3570248 0.43801653 1.0 79.4 86.0 0.25333333 0.29827768 0.34615386 0.55813956 0.6069767 0.6744186
122 0.3114754 0.3590164 0.43442622 1.0 79.5 86.0 0.2631579 0.29672197 0.34615386 0.54651165 0.60930234 0.6744186
123 0.3089431 0.35853657 0.43089432 1.0 79.9 87.0 0.2631579 0.29644912 0.32911393 0.54651165 0.61162794 0.68604654
124 0.31451613 0.35806456 0.42741936 1.0 80.6 87.0 0.26436782 0.29639214 0.3375 0.54651165 0.61162794 0.6744186
125 0.312 0.3584 0.424 1.0 80.9 87.0 0.25333333 0.29640597 0.3375 0.54651165 0.6127907 0.6744186
126 0.31746033 0.35873014 0.42063493 1.0 81.3 87.0 0.25 0.29744095 0.33333334 0.55813956 0.61627907 0.6976744
127 0.32283464 0.36220473 0.42519686 1.0 81.6 87.0 0.25 0.29521716 0.3292683 0.55813956 0.6197675 0.6976744
