rank min-srate avg-srate max-srate min-size avg-size max-size min-prec avg-prec max-prec min-rec avg-rec max-rec
1 0.0 0.1 1.0 1.0 55.1 56.0 0.10714286 0.114292935 0.14285715 0.8372093 0.88953483 0.95348835
2 0.0 0.15 0.5 1.0 55.8 57.0 0.10526316 0.11284063 0.14035088 0.8372093 0.8918605 0.95348835
3 0.0 0.13333334 0.33333334 1.0 56.9 58.0 0.10344828 0.11594503 0.15517241 0.8255814 0.89651155 0.95348835
4 0.0 0.225 0.5 1.0 57.6 59.0 0.10169491 0.11635921 0.15517241 0.8255814 0.89651155 0.95348835
5 0.0 0.26000002 0.4 1.0 58.2 60.0 0.1 0.116805956 0.15254237 0.8023256 0.8930233 0.95348835
6 0.0 0.25 0.5 1.0 59.1 61.0 0.1 0.1183908 0.15254237 0.8023256 0.8918605 0.95348835
7 0.0 0.27142859 0.5714286 1.0 59.6 61.0 0.09836066 0.1190151 0.15 0.8255814 0.89069766 0.95348835
8 0.0 0.2625 0.5 1.0 60.4 62.0 0.10169491 0.12070074 0.14754099 0.8255814 0.88255817 0.96511626
9 0.0 0.24444444 0.44444445 1.0 61.1 62.0 0.09836066 0.119389795 0.14754099 0.81395346 0.88023263 0.9302326
10 0.0 0.22999999 0.4 1.0 62.1 64.0 0.09677419 0.12066408 0.16129032 0.7906977 0.87325585 0.9302326
11 0.09090909 0.2181818 0.36363637 1.0 62.8 65.0 0.0952381 0.12260823 0.16129032 0.7906977 0.8744186 0.9302326
12 0.083333336 0.2 0.33333334 1.0 63.8 66.0 0.09375 0.12223397 0.15384616 0.7906977 0.87558144 0.9302326
13 0.07692308 0.20769234 0.30769232 1.0 64.8 68.0 0.092307694 0.12203689 0.15384616 0.8023256 0.87558144 0.9302326
14 0.071428575 0.21428573 0.2857143 1.0 65.6 68.0 0.092307694 0.124977335 0.16176471 0.7906977 0.872093 0.9302326
15 0.06666667 0.23333332 0.33333334 1.0 66.1 69.0 0.092307694 0.1270763 0.17391305 0.76744187 0.8697675 0.9302326
16 0.0625 0.24375 0.375 1.0 66.6 70.0 0.092307694 0.12754427 0.17142858 0.75581396 0.85930234 0.90697676
17 0.05882353 0.24117649 0.4117647 1.0 67.5 71.0 0.08955224 0.12871864 0.18309858 0.74418604 0.8581395 0.90697676
18 0.11111111 0.25555557 0.44444445 1.0 67.8 71.0 0.08955224 0.12959477 0.18309858 0.74418604 0.8581395 0.90697676
19 0.10526316 0.25789475 0.47368422 1.0 68.2 72.0 0.0882353 0.1317769 0.18309858 0.76744187 0.86046517 0.90697676
20 0.1 0.25499997 0.45 1.0 68.9 72.0 0.0882353 0.13043658 0.18055555 0.76744187 0.8534883 0.90697676
21 0.14285715 0.26666665 0.47619048 1.0 69.3 72.0 0.097222224 0.13271911 0.18055555 0.74418604 0.8488372 0.90697676
22 0.13636364 0.26363638 0.5 1.0 69.7 73.0 0.097222224 0.13334438 0.1780822 0.74418604 0.8488372 0.90697676
23 0.13043478 0.26521736 0.5217391 1.0 70.3 73.0 0.09589041 0.13222203 0.1780822 0.74418604 0.8430233 0.88372093
24 0.125 0.2708333 0.5 1.0 71.0 74.0 0.09589041 0.13085589 0.16438356 0.74418604 0.844186 0.90697676
25 0.16 0.28 0.48 1.0 71.3 75.0 0.08219178 0.12895739 0.16438356 0.74418604 0.8441861 0.90697676
26 0.15384616 0.27307695 0.46153846 1.0 71.8 76.0 0.09589041 0.13501519 0.16216215 0.74418604 0.8418605 0.89534885
27 0.14814815 0.27037036 0.4814815 1.0 72.4 77.0 0.0945946 0.13527812 0.17333333 0.74418604 0.8360466 0.89534885
28 0.17857143 0.28571427 0.5 1.0 72.7 78.0 0.093333334 0.13479342 0.17333333 0.74418604 0.8290698 0.89534885
29 0.1724138 0.28275862 0.4827586 1.0 73.4 78.0 0.09210526 0.13755451 0.17333333 0.74418604 0.8302326 0.89534885
30 0.16666667 0.27666667 0.46666667 1.0 74.0 79.0 0.09210526 0.13905251 0.18666667 0.74418604 0.8290698 0.89534885
31 0.16129032 0.27096772 0.4516129 1.0 74.4 80.0 0.09210526 0.13958883 0.18421052 0.74418604 0.8290698 0.9186047
32 0.15625 0.265625 0.4375 1.0 75.0 81.0 0.09090909 0.14231162 0.18181819 0.74418604 0.8290698 0.9186047
33 0.15151516 0.26969695 0.45454547 1.0 75.2 81.0 0.08974359 0.14480081 0.18181819 0.74418604 0.82441866 0.9186047
34 0.14705883 0.2647059 0.44117647 1.0 75.6 81.0 0.08974359 0.15068062 0.18571429 0.74418604 0.8232559 0.9186047
