rank min-srate avg-srate max-srate min-size avg-size max-size min-prec avg-prec max-prec min-rec avg-rec max-rec
1 0.0 0.0 0.0 1.0 55.2 56.0 0.10714286 0.11227995 0.14285715 0.8372093 0.88720924 0.95348835
2 0.0 0.1 0.5 1.0 56.0 57.0 0.10526316 0.11251368 0.14285715 0.8255814 0.8860465 0.95348835
3 0.0 0.1 0.33333334 1.0 57.3 59.0 0.10169491 0.11524143 0.14035088 0.8255814 0.88953483 0.95348835
4 0.0 0.15 0.5 1.0 58.1 60.0 0.1 0.11550109 0.14035088 0.8255814 0.8860465 0.95348835
5 0.0 0.16 0.4 1.0 58.9 61.0 0.1 0.11884658 0.13793103 0.8255814 0.88255817 0.95348835
6 0.0 0.18333332 0.5 1.0 59.6 62.0 0.09836066 0.119136885 0.15254237 0.8255814 0.8790698 0.95348835
7 0.14285715 0.24285714 0.42857143 1.0 59.9 62.0 0.09677419 0.118567154 0.15254237 0.81395346 0.877907 0.95348835
8 0.125 0.2625 0.375 1.0 60.5 63.0 0.09677419 0.11736469 0.15254237 0.81395346 0.8697675 0.96511626
9 0.11111111 0.24444444 0.33333334 1.0 61.3 63.0 0.09677419 0.117419876 0.15 0.81395346 0.86162794 0.9302326
10 0.2 0.26000002 0.4 1.0 61.9 64.0 0.0952381 0.11795427 0.16393442 0.8023256 0.8569768 0.9302326
11 0.18181819 0.24545458 0.36363637 1.0 62.6 65.0 0.09677419 0.118156634 0.14754099 0.76744187 0.85 0.94186044
12 0.16666667 0.23333332 0.33333334 1.0 63.6 67.0 0.09677419 0.116293505 0.13636364 0.76744187 0.85232556 0.94186044
13 0.15384616 0.21538463 0.30769232 1.0 64.8 69.0 0.0952381 0.11412758 0.13235295 0.76744187 0.85116273 0.94186044
14 0.14285715 0.22857144 0.35714287 1.0 65.4 70.0 0.0952381 0.11769937 0.13636364 0.76744187 0.8511628 0.94186044
15 0.2 0.25333336 0.4 1.0 65.7 70.0 0.0952381 0.11873279 0.13636364 0.76744187 0.844186 0.94186044
16 0.1875 0.25 0.375 1.0 66.2 70.0 0.0952381 0.11934431 0.13846155 0.76744187 0.83720934 0.9186047
17 0.1764706 0.2529412 0.4117647 1.0 67.0 70.0 0.092307694 0.11943005 0.14705883 0.7790698 0.8383721 0.9186047
18 0.16666667 0.2666667 0.44444445 1.0 67.2 70.0 0.092307694 0.119033776 0.14705883 0.7790698 0.8360465 0.9186047
19 0.21052632 0.26842105 0.42105263 1.0 67.7 72.0 0.097222224 0.12113738 0.14705883 0.7790698 0.83139545 0.90697676
20 0.2 0.26500005 0.4 1.0 68.5 72.0 0.10144927 0.125532 0.14492753 0.75581396 0.82674426 0.90697676
21 0.1904762 0.26190478 0.3809524 1.0 69.3 74.0 0.1 0.1284821 0.14705883 0.75581396 0.82325584 0.90697676
22 0.18181819 0.26818183 0.4090909 1.0 69.8 74.0 0.10958904 0.13048694 0.14705883 0.75581396 0.8209303 0.89534885
23 0.17391305 0.26956517 0.4347826 1.0 70.6 75.0 0.10810811 0.13048401 0.14492753 0.75581396 0.81860465 0.88372093
24 0.16666667 0.27083334 0.41666666 1.0 71.1 76.0 0.10958904 0.13085754 0.14492753 0.75581396 0.8162791 0.88372093
25 0.16 0.27199998 0.4 1.0 71.7 77.0 0.10958904 0.13116014 0.15714286 0.75581396 0.8151163 0.88372093
26 0.15384616 0.26923078 0.3846154 1.0 72.2 77.0 0.10810811 0.13160159 0.15492958 0.7906977 0.82441866 0.88372093
27 0.14814815 0.26296297 0.37037036 1.0 72.9 77.0 0.10958904 0.13439527 0.15277778 0.7906977 0.82325584 0.88372093
28 0.17857143 0.26785713 0.39285713 1.0 73.2 77.0 0.10958904 0.13382478 0.15277778 0.7906977 0.82325584 0.88372093
29 0.20689656 0.26896548 0.37931034 1.0 73.7 77.0 0.11594203 0.13556346 0.15277778 0.7790698 0.82325584 0.88372093
