rank min-srate avg-srate max-srate min-size avg-size max-size min-prec avg-prec max-prec min-rec avg-rec max-rec
1 0.0 0.2 1.0 1.0 54.8 55.0 0.10909091 0.11131313 0.12727273 0.8372093 0.8837209 0.95348835
2 0.0 0.3 1.0 1.0 55.3 56.0 0.10714286 0.110339105 0.12727273 0.8255814 0.883721 0.95348835
3 0.0 0.23333332 0.6666667 1.0 56.3 57.0 0.10526316 0.11188711 0.125 0.8255814 0.8860465 0.94186044
4 0.0 0.25 0.5 1.0 57.0 58.0 0.10344828 0.11405561 0.14035088 0.8023256 0.877907 0.94186044
5 0.0 0.28000003 0.6 1.0 57.6 59.0 0.10169491 0.11455252 0.13793103 0.8023256 0.87674415 0.94186044
6 0.0 0.26666668 0.5 1.0 58.2 60.0 0.10169491 0.11500226 0.13559322 0.8023256 0.87325585 0.94186044
7 0.0 0.28571433 0.5714286 1.0 58.8 61.0 0.1 0.11386414 0.13559322 0.7906977 0.86744183 0.94186044
8 0.125 0.2875 0.5 1.0 59.5 61.0 0.10169491 0.11417228 0.13333334 0.7790698 0.86279076 0.95348835
9 0.22222222 0.28888893 0.44444445 1.0 60.1 61.0 0.1 0.118085444 0.13333334 0.7790698 0.8651163 0.95348835
10 0.2 0.27000004 0.5 1.0 60.9 62.0 0.09836066 0.118202314 0.13333334 0.76744187 0.8616279 0.94186044
11 0.18181819 0.24545458 0.45454547 1.0 61.8 64.0 0.09677419 0.11805922 0.140625 0.74418604 0.8569767 0.94186044
12 0.16666667 0.225 0.41666666 1.0 62.6 65.0 0.0952381 0.11822452 0.13846155 0.74418604 0.8569768 0.9186047
13 0.15384616 0.20769231 0.3846154 1.0 63.6 66.0 0.09375 0.11800791 0.14285715 0.74418604 0.8534883 0.9186047
14 0.14285715 0.22857144 0.42857143 1.0 64.0 66.0 0.09375 0.12048682 0.14754099 0.74418604 0.84651166 0.9186047
15 0.13333334 0.22666666 0.4 1.0 64.5 67.0 0.092307694 0.124338366 0.16393442 0.74418604 0.8430233 0.9186047
16 0.125 0.2375 0.4375 1.0 64.9 68.0 0.09090909 0.12362216 0.16129032 0.73255813 0.83720934 0.89534885
17 0.11764706 0.23529413 0.4117647 1.0 65.7 69.0 0.10144927 0.12514332 0.15873016 0.73255813 0.8395349 0.89534885
18 0.11111111 0.24444446 0.44444445 1.0 66.1 69.0 0.10144927 0.127336 0.16666667 0.73255813 0.84069765 0.89534885
19 0.10526316 0.25789472 0.47368422 1.0 66.6 70.0 0.1 0.1249458 0.15625 0.73255813 0.8348838 0.89534885
20 0.1 0.25 0.45 1.0 67.2 71.0 0.09859155 0.12374596 0.15384616 0.7209302 0.8302325 0.90697676
21 0.14285715 0.25714287 0.47619048 1.0 67.6 71.0 0.09859155 0.1245172 0.15384616 0.6976744 0.8267442 0.90697676
22 0.13636364 0.26363638 0.5 1.0 67.9 72.0 0.09859155 0.12401333 0.15384616 0.6976744 0.8267442 0.90697676
23 0.13043478 0.26521736 0.47826087 1.0 68.4 73.0 0.097222224 0.12462668 0.16666667 0.6976744 0.82441854 0.90697676
24 0.125 0.26666668 0.45833334 1.0 68.9 74.0 0.09589041 0.12364204 0.1641791 0.7209302 0.82325584 0.89534885
25 0.16 0.26799998 0.44 1.0 69.4 75.0 0.0945946 0.12417753 0.16176471 0.7209302 0.8209302 0.89534885
26 0.15384616 0.26923078 0.46153846 1.0 69.8 75.0 0.093333334 0.12648156 0.16176471 0.7093023 0.8139535 0.88372093
27 0.14814815 0.26666665 0.44444445 1.0 70.7 76.0 0.09210526 0.12483653 0.14492753 0.7093023 0.8127907 0.88372093
28 0.14285715 0.2607143 0.42857143 1.0 71.0 76.0 0.09210526 0.124273755 0.14285715 0.7093023 0.81046516 0.88372093
29 0.13793103 0.25862068 0.41379312 1.0 71.6 76.0 0.09859155 0.12856613 0.14473684 0.7209302 0.8081395 0.88372093
30 0.16666667 0.25666666 0.4 1.0 72.4 77.0 0.10526316 0.12847951 0.14285715 0.7209302 0.8139535 0.88372093
31 0.16129032 0.2548387 0.38709676 1.0 72.9 78.0 0.10526316 0.12887402 0.15384616 0.7209302 0.8209303 0.89534885
32 0.15625 0.2625 0.40625 1.0 73.4 79.0 0.10526316 0.13057658 0.16455697 0.74418604 0.82325584 0.89534885
33 0.15151516 0.27272725 0.42424244 1.0 73.8 79.0 0.103896104 0.12992236 0.16455697 0.74418604 0.82441866 0.872093
34 0.14705883 0.27058825 0.44117647 1.0 73.9 79.0 0.102564104 0.13253532 0.16455697 0.74418604 0.82790697 0.88372093
35 0.17142858 0.27714285 0.42857143 1.0 74.0 79.0 0.102564104 0.13092324 0.16455697 0.6976744 0.822093 0.88372093
36 0.16666667 0.27500004 0.41666666 1.0 74.4 79.0 0.101265825 0.13025784 0.16455697 0.68604654 0.8162791 0.88372093
37 0.16216215 0.27567565 0.43243244 1.0 74.6 80.0 0.1 0.12856737 0.16666667 0.68604654 0.8151163 0.872093
38 0.15789473 0.27105266 0.42105263 1.0 75.4 82.0 0.09756097 0.12726717 0.16455697 0.68604654 0.80930233 0.8604651
39 0.15384616 0.26923078 0.41025642 1.0 75.9 84.0 0.10666667 0.12902835 0.16455697 0.68604654 0.80581397 0.8604651
40 0.175 0.27000004 0.4 1.0 76.2 84.0 0.10666667 0.1285611 0.16455697 0.68604654 0.8069768 0.872093
41 0.17073171 0.2707317 0.3902439 1.0 76.5 84.0 0.10526316 0.1280578 0.16455697 0.68604654 0.8081396 0.872093
42 0.16666667 0.26666665 0.3809524 1.0 76.6 84.0 0.10526316 0.12919179 0.16455697 0.68604654 0.80581397 0.89534885
43 0.1627907 0.26976746 0.39534885 1.0 76.9 83.0 0.103896104 0.12862894 0.16455697 0.7093023 0.8069768 0.89534885
44 0.18181819 0.27272728 0.4090909 1.0 77.2 84.0 0.103896104 0.12943515 0.16455697 0.7093023 0.80581397 0.89534885
45 0.17777778 0.27333334 0.42222223 1.0 77.4 84.0 0.102564104 0.1291476 0.16666667 0.6976744 0.79883724 0.89534885
46 0.17391305 0.2782609 0.4347826 1.0 77.4 84.0 0.102564104 0.13055548 0.16666667 0.6976744 0.8 0.89534885
47 0.19148937 0.27659577 0.42553192 1.0 77.9 85.0 0.10526316 0.13102244 0.16455697 0.6976744 0.80232555 0.89534885
48 0.20833333 0.2791667 0.41666666 1.0 78.3 86.0 0.10465116 0.13037196 0.16455697 0.6976744 0.8023256 0.89534885
49 0.20408164 0.2734694 0.40816328 1.0 78.6 86.0 0.103896104 0.12997 0.16455697 0.6976744 0.8 0.89534885
50 0.2 0.272 0.4 1.0 78.8 86.0 0.103896104 0.12968633 0.16455697 0.6976744 0.79418606 0.89534885
51 0.19607843 0.27058825 0.39215687 1.0 78.8 86.0 0.093023255 0.1285346 0.16455697 0.6976744 0.7930232 0.88372093
52 0.21153846 0.27115387 0.3846154 1.0 79.1 85.0 0.09411765 0.12802403 0.16455697 0.6627907 0.7930233 0.88372093
53 0.2264151 0.27547172 0.3773585 1.0 79.2 85.0 0.09411765 0.12659657 0.16455697 0.6744186 0.79186046 0.88372093
54 0.22222222 0.2703704 0.37037036 1.0 79.5 85.0 0.09411765 0.12615618 0.16455697 0.7093023 0.79883724 0.90697676
55 0.21818182 0.27272728 0.36363637 1.0 79.9 85.0 0.09411765 0.1254901 0.1625 0.7093023 0.80116284 0.90697676
56 0.21428572 0.27321428 0.35714287 1.0 80.2 86.0 0.093023255 0.12508394 0.1625 0.7093023 0.8 0.90697676
57 0.22807017 0.2754386 0.36842105 1.0 80.5 87.0 0.1 0.12705375 0.1625 0.7093023 0.80581397 0.90697676
58 0.22413793 0.2775862 0.37931034 1.0 80.8 87.0 0.09195402 0.12420179 0.16455697 0.7093023 0.80465114 0.94186044
59 0.22033899 0.27796608 0.37288135 1.0 80.7 87.0 0.09195402 0.12443118 0.16455697 0.7209302 0.80116284 0.94186044
60 0.21666667 0.27666667 0.38333333 1.0 81.0 87.0 0.09195402 0.12523311 0.16455697 0.7209302 0.80232555 0.94186044
