rank min-srate avg-srate max-srate min-size avg-size max-size min-prec avg-prec max-prec min-rec avg-rec max-rec
1 0.0 0.4 1.0 1.0 13.0 13.0 0.9230769 0.9384615 1.0 0.069767445 0.07558139 0.093023255
2 0.0 0.25 0.5 1.0 14.0 14.0 0.85714287 0.86428565 0.9285714 0.069767445 0.08488372 0.10465116
3 0.0 0.26666665 0.6666667 1.0 15.0 15.0 0.8 0.8333334 0.8666667 0.069767445 0.093023255 0.12790698
4 0.0 0.25 0.75 1.0 16.0 16.0 0.75 0.775 0.8125 0.069767445 0.1 0.12790698
5 0.0 0.28000003 0.8 1.0 16.9 17.0 0.7058824 0.7459558 0.8235294 0.069767445 0.10581396 0.12790698
6 0.0 0.26666668 0.6666667 1.0 17.7 18.0 0.6666667 0.7129494 0.8125 0.069767445 0.11395349 0.1627907
7 0.0 0.25714284 0.5714286 1.0 18.6 19.0 0.6315789 0.6786378 0.7647059 0.069767445 0.12441862 0.18604651
8 0.0 0.2375 0.5 1.0 19.5 20.0 0.6 0.64730996 0.7222222 0.069767445 0.13372093 0.19767442
9 0.0 0.25555557 0.5555556 1.0 20.5 21.0 0.5714286 0.6351754 0.7368421 0.08139535 0.14767441 0.20930232
10 0.0 0.25 0.6 1.0 21.5 22.0 0.54545456 0.6055411 0.7 0.093023255 0.16279069 0.22093023
11 0.0 0.25454548 0.54545456 1.0 22.3 23.0 0.5217391 0.58408624 0.6666667 0.10465116 0.16976744 0.22093023
12 0.083333336 0.24166664 0.5 1.0 23.0 24.0 0.5 0.5618906 0.6363636 0.10465116 0.17790698 0.22093023
13 0.07692308 0.24615388 0.46153846 1.0 23.8 25.0 0.48 0.55112517 0.6086956 0.13953489 0.1767442 0.22093023
14 0.071428575 0.25 0.42857143 1.0 24.6 26.0 0.5 0.54589134 0.6086956 0.13953489 0.1872093 0.24418604
15 0.13333334 0.26000005 0.46666667 1.0 25.1 27.0 0.4814815 0.5313711 0.6086956 0.13953489 0.2 0.24418604
16 0.125 0.25625 0.4375 1.0 25.9 28.0 0.46153846 0.51191497 0.6086956 0.1627907 0.21744184 0.30232558
17 0.11764706 0.26470593 0.47058824 1.0 26.5 28.0 0.46153846 0.49658385 0.6086956 0.1627907 0.22209302 0.30232558
18 0.11111111 0.27222222 0.5 1.0 27.2 29.0 0.41379312 0.48447174 0.6086956 0.1744186 0.23372093 0.3372093
19 0.10526316 0.26842108 0.47368422 1.0 27.9 30.0 0.4 0.46938616 0.6086956 0.1744186 0.23720929 0.3488372
20 0.1 0.27500004 0.45 1.0 28.4 31.0 0.38709676 0.46363896 0.5416667 0.1744186 0.23837209 0.3488372
21 0.14285715 0.28095236 0.47619048 1.0 28.9 32.0 0.375 0.45563293 0.5416667 0.18604651 0.23604651 0.3139535
22 0.13636364 0.28636366 0.45454547 1.0 29.0 32.0 0.375 0.45423698 0.5416667 0.18604651 0.23953488 0.3139535
23 0.13043478 0.29130432 0.47826087 1.0 29.6 33.0 0.36363637 0.44192338 0.5416667 0.19767442 0.24186048 0.3139535
24 0.125 0.28333336 0.45833334 1.0 30.3 34.0 0.3529412 0.43569264 0.5416667 0.19767442 0.255814 0.30232558
25 0.16 0.29200003 0.48 1.0 30.8 35.0 0.37142858 0.43217167 0.5416667 0.19767442 0.25697678 0.30232558
26 0.15384616 0.30384618 0.5 1.0 31.4 36.0 0.33333334 0.42509764 0.56 0.20930232 0.26627907 0.3372093
27 0.14814815 0.3 0.4814815 1.0 31.8 37.0 0.3243243 0.41367728 0.52 0.20930232 0.2639535 0.3139535
