rank min-srate avg-srate max-srate min-size avg-size max-size min-prec avg-prec max-prec min-rec avg-rec max-rec
1 0.0 0.1 1.0 1.0 54.9 55.0 0.10909091 0.11111112 0.12727273 0.8372093 0.8837209 0.95348835
2 0.0 0.25 0.5 1.0 55.4 56.0 0.10714286 0.11191559 0.12727273 0.8372093 0.8860465 0.95348835
3 0.0 0.16666667 0.33333334 1.0 56.4 57.0 0.10526316 0.11350252 0.14285715 0.8488372 0.8860465 0.94186044
4 0.0 0.2 0.5 1.0 57.0 58.0 0.10344828 0.11580892 0.15789473 0.8372093 0.88139534 0.94186044
5 0.0 0.22000003 0.4 1.0 57.6 59.0 0.10344828 0.11970512 0.1724138 0.8255814 0.8790698 0.94186044
6 0.0 0.23333332 0.33333334 1.0 58.0 59.0 0.10169491 0.12051721 0.18644068 0.8372093 0.877907 0.94186044
7 0.14285715 0.25714287 0.42857143 1.0 58.6 60.0 0.1 0.12268362 0.18333334 0.8372093 0.877907 0.94186044
8 0.125 0.25 0.375 1.0 59.4 61.0 0.09836066 0.12096548 0.18032786 0.8255814 0.87325585 0.95348835
9 0.11111111 0.23333335 0.33333334 1.0 60.1 62.0 0.09836066 0.12123595 0.17741935 0.8255814 0.8709303 0.94186044
10 0.1 0.23999998 0.4 1.0 60.7 63.0 0.09677419 0.12338078 0.17460318 0.81395346 0.8697675 0.94186044
11 0.09090909 0.22727272 0.36363637 1.0 61.5 63.0 0.11290322 0.12670113 0.17460318 0.81395346 0.872093 0.95348835
12 0.083333336 0.21666667 0.33333334 1.0 62.1 64.0 0.11111111 0.12708661 0.17460318 0.81395346 0.8744186 0.95348835
13 0.07692308 0.20769231 0.30769232 1.0 62.7 65.0 0.109375 0.1273975 0.1875 0.8255814 0.88255817 0.95348835
14 0.071428575 0.22142859 0.2857143 1.0 63.4 66.0 0.109375 0.13084306 0.1875 0.8255814 0.8837209 0.95348835
15 0.13333334 0.23333332 0.33333334 1.0 63.9 66.0 0.10769231 0.13286772 0.2 0.7906977 0.87441856 0.9302326
16 0.125 0.23125 0.3125 1.0 64.5 67.0 0.10606061 0.13167621 0.2 0.76744187 0.8697675 0.9302326
17 0.11764706 0.23529413 0.3529412 1.0 64.9 68.0 0.104477614 0.13093397 0.2 0.75581396 0.8709303 0.95348835
18 0.11111111 0.25 0.3888889 1.0 65.2 68.0 0.10294118 0.1303784 0.2 0.75581396 0.8744186 0.95348835
19 0.10526316 0.24736843 0.42105263 1.0 65.3 69.0 0.10144927 0.1301242 0.18461539 0.73255813 0.87325585 0.9767442
20 0.1 0.24499997 0.45 1.0 65.8 69.0 0.10294118 0.13062078 0.18461539 0.76744187 0.8720931 0.9767442
21 0.0952381 0.24761908 0.47619048 1.0 66.3 70.0 0.10294118 0.13559112 0.1969697 0.7906977 0.86860466 0.96511626
22 0.09090909 0.24545452 0.5 1.0 66.6 70.0 0.10294118 0.13785085 0.19402985 0.7906977 0.8651163 0.96511626
23 0.13043478 0.2565217 0.5217391 1.0 66.8 70.0 0.10294118 0.13892636 0.19402985 0.76744187 0.8581395 0.9186047
24 0.125 0.25833333 0.5 1.0 67.2 70.0 0.10294118 0.13946946 0.19117647 0.75581396 0.86279076 0.9302326
25 0.12 0.26799998 0.48 1.0 67.5 71.0 0.10294118 0.13875253 0.1884058 0.75581396 0.8639536 0.9302326
26 0.15384616 0.27692312 0.5 1.0 67.9 71.0 0.10294118 0.13792576 0.18571429 0.75581396 0.85930234 0.9302326
27 0.18518518 0.27407408 0.4814815 1.0 68.5 71.0 0.10144927 0.13537587 0.18571429 0.75581396 0.8569768 0.9302326
28 0.17857143 0.27142859 0.4642857 1.0 68.9 72.0 0.1 0.13617113 0.18571429 0.75581396 0.8511628 0.9302326
29 0.1724138 0.2724138 0.4827586 1.0 69.6 73.0 0.09859155 0.13909324 0.18309858 0.75581396 0.84534895 0.94186044
30 0.16666667 0.27333337 0.5 1.0 70.0 74.0 0.09859155 0.14106847 0.18055555 0.75581396 0.83720934 0.9186047
31 0.16129032 0.27096772 0.48387095 1.0 70.2 73.0 0.11111111 0.14212245 0.1780822 0.75581396 0.8360466 0.9186047
32 0.1875 0.275 0.5 1.0 70.5 74.0 0.11111111 0.1455985 0.1891892 0.74418604 0.83255816 0.89534885
33 0.18181819 0.2787879 0.4848485 1.0 70.8 74.0 0.11111111 0.14499137 0.1891892 0.73255813 0.82325584 0.89534885
34 0.20588236 0.2882353 0.5 1.0 70.8 74.0 0.11111111 0.14640325 0.1891892 0.73255813 0.8255814 0.89534885
35 0.2 0.28571433 0.4857143 1.0 70.8 75.0 0.11111111 0.14645204 0.18666667 0.74418604 0.82325584 0.88372093
36 0.19444445 0.28333333 0.4722222 1.0 71.3 75.0 0.10958904 0.1469551 0.18666667 0.74418604 0.8197675 0.89534885
37 0.1891892 0.28108108 0.45945945 1.0 71.6 75.0 0.10958904 0.14643176 0.18666667 0.74418604 0.822093 0.89534885
