rank min-srate avg-srate max-srate min-size avg-size max-size min-prec avg-prec max-prec min-rec avg-rec max-rec
1 0.0 0.3 1.0 1.0 13.0 13.0 0.9230769 0.9384615 1.0 0.069767445 0.07093024 0.08139535
100 0.25 0.342 0.43 1.0 68.2 74.0 0.25 0.30318502 0.37313432 0.3488372 0.4674419 0.54651165
200 0.355 0.40299997 0.47 1.0 87.8 94.0 0.23529412 0.27516723 0.3372093 0.5116279 0.6616279 0.76744187
300 0.38666666 0.4206667 0.46666667 1.0 95.4 103.0 0.22988506 0.28143615 0.32258064 0.6511628 0.73139536 0.8604651
400 0.3925 0.44475 0.495 1.0 99.7 105.0 0.23 0.28880873 0.33333334 0.6627907 0.7465116 0.81395346
500 0.414 0.47019997 0.512 1.0 102.1 107.0 0.25773194 0.2945477 0.34285715 0.6511628 0.7744186 0.8372093
600 0.42666668 0.48616666 0.52 1.0 103.0 107.0 0.25490198 0.32169828 0.4 0.7093023 0.76976746 0.8023256
700 0.43714285 0.4945714 0.53571427 1.0 103.9 108.0 0.30392158 0.35427833 0.43 0.75581396 0.7883721 0.8372093
800 0.46 0.508 0.5425 1.0 105.2 111.0 0.3018868 0.3590686 0.41747573 0.76744187 0.81046516 0.8604651
900 0.47333333 0.52033335 0.55222225 1.0 104.9 110.0 0.3271028 0.3878601 0.4509804 0.74418604 0.8209302 0.872093
1000 0.484 0.5302 0.566 1.0 104.6 110.0 0.37962964 0.4179009 0.4509804 0.76744187 0.81046516 0.8604651
1100 0.5 0.5426364 0.5809091 1.0 103.6 108.0 0.39252338 0.44856343 0.5277778 0.7790698 0.8174418 0.872093
1200 0.51 0.55508333 0.5883333 1.0 102.9 110.0 0.42307693 0.4721558 0.52380955 0.75581396 0.8069768 0.8604651
1300 0.52153844 0.5658461 0.59615386 1.0 101.9 108.0 0.4387755 0.5023916 0.5510204 0.75581396 0.8023256 0.8604651
1400 0.5328571 0.57714283 0.60571426 1.0 101.3 107.0 0.46464646 0.5162232 0.57009345 0.75581396 0.80581397 0.872093
1500 0.54 0.58666664 0.6106667 1.0 100.8 106.0 0.46601942 0.5414815 0.6320755 0.76744187 0.80930245 0.8604651
1600 0.5525 0.596125 0.623125 1.0 100.2 105.0 0.5148515 0.5718826 0.625 0.74418604 0.7953489 0.8488372
1700 0.5629412 0.6055882 0.6329412 1.0 98.3 107.0 0.48598132 0.58945304 0.65957445 0.75581396 0.79651165 0.8372093
1800 0.575 0.6145 0.645 1.0 96.4 107.0 0.5233645 0.6220786 0.67741936 0.75581396 0.80116284 0.8488372
1900 0.58894736 0.6252105 0.65789473 1.0 94.7 103.0 0.5631068 0.63929117 0.7111111 0.75581396 0.79418606 0.8488372
2000 0.6005 0.63409996 0.668 1.0 93.9 105.0 0.5533981 0.6585225 0.77380955 0.76744187 0.8 0.8604651
2100 0.6080952 0.64323807 0.67904764 1.0 92.9 103.0 0.592233 0.6771513 0.77380955 0.75581396 0.8058139 0.8604651
2200 0.6181818 0.65118176 0.68545455 1.0 91.6 100.0 0.63265306 0.70141363 0.77380955 0.76744187 0.8034884 0.8604651
2300 0.62826085 0.65908694 0.6934783 1.0 89.9 97.0 0.6458333 0.7343712 0.78313255 0.74418604 0.79651165 0.872093
2400 0.63625 0.66741663 0.70375 1.0 90.3 97.0 0.6597938 0.7358829 0.79268295 0.74418604 0.8 0.8604651
2500 0.6456 0.67468 0.7104 1.0 89.2 94.0 0.68085104 0.74648076 0.79347825 0.74418604 0.8 0.8488372
2600 0.6534615 0.68249995 0.7184615 1.0 88.5 93.0 0.68817204 0.7557943 0.80487806 0.75581396 0.8 0.8488372
2700 0.6611111 0.68951845 0.7259259 1.0 87.2 92.0 0.70652175 0.77494967 0.8148148 0.76744187 0.794186 0.8488372
2800 0.66821426 0.6962858 0.73142856 1.0 85.8 90.0 0.7303371 0.7966249 0.8414634 0.75581396 0.79999995 0.8372093
