rank min-srate avg-srate max-srate min-size avg-size max-size min-prec avg-prec max-prec min-rec avg-rec max-rec
1 0.0 0.1 1.0 1.0 54.9 55.0 0.10909091 0.11111112 0.12727273 0.8372093 0.88720924 0.95348835
100 0.25 0.288 0.33 1.0 87.5 90.0 0.105882354 0.13817263 0.16666667 0.74418604 0.8360465 0.9186047
200 0.285 0.31849998 0.375 1.0 94.6 100.0 0.12765957 0.15648988 0.18888889 0.76744187 0.8302326 0.90697676
300 0.30666667 0.35433334 0.38 1.0 96.5 102.0 0.12371134 0.15918005 0.21782178 0.7790698 0.83720934 0.9186047
400 0.33 0.38100004 0.42 1.0 97.0 104.0 0.13541667 0.18017256 0.21153846 0.6744186 0.833721 0.94186044
500 0.356 0.4026 0.438 1.0 98.3 106.0 0.18446602 0.19825824 0.21698113 0.74418604 0.8360465 0.9186047
600 0.36833334 0.4186667 0.44333333 1.0 98.8 106.0 0.17708333 0.21802399 0.27659574 0.73255813 0.84069765 0.90697676
700 0.40142858 0.43257147 0.45857143 1.0 99.1 106.0 0.18947369 0.2573956 0.2970297 0.7906977 0.8395349 0.89534885
800 0.42125 0.446625 0.475 1.0 98.8 103.0 0.21276596 0.28227335 0.35 0.7790698 0.8209303 0.8604651
900 0.44444445 0.4642222 0.50222224 1.0 97.6 102.0 0.25274727 0.29993936 0.35 0.73255813 0.8081396 0.89534885
1000 0.461 0.47859997 0.52 1.0 97.2 104.0 0.2596154 0.31307548 0.375 0.7209302 0.8197675 0.89534885
1100 0.4690909 0.4900909 0.5327273 1.0 96.5 102.0 0.24742268 0.33430862 0.4456522 0.7093023 0.81860465 0.89534885
1200 0.48166665 0.50341666 0.55 1.0 96.5 101.0 0.28723404 0.3556945 0.41935483 0.73255813 0.82325584 0.88372093
1300 0.4953846 0.5133077 0.56153846 1.0 96.2 102.0 0.3529412 0.3902554 0.4516129 0.7093023 0.8220931 0.90697676
1400 0.50142854 0.5237143 0.5692857 1.0 94.2 98.0 0.3548387 0.4231751 0.4945055 0.6976744 0.8081395 0.88372093
1500 0.51133335 0.5356667 0.58 1.0 91.8 98.0 0.38709676 0.44577175 0.5 0.6744186 0.7953488 0.88372093
1600 0.51875 0.54593754 0.59 1.0 89.8 95.0 0.4 0.49027914 0.5882353 0.6976744 0.77674425 0.8604651
1700 0.52705884 0.55747056 0.60294116 1.0 87.6 91.0 0.45054945 0.51641023 0.63529414 0.7093023 0.7755815 0.8255814
1800 0.5327778 0.5678889 0.61388886 1.0 85.3 90.0 0.46666667 0.5503654 0.6506024 0.7093023 0.7639535 0.8372093
1900 0.54263157 0.57747364 0.62526315 1.0 84.0 89.0 0.5280899 0.5793951 0.7 0.73255813 0.75813955 0.8488372
2000 0.548 0.58715 0.635 1.0 83.5 92.0 0.5529412 0.6042132 0.75641024 0.73255813 0.76395357 0.81395346
2100 0.55857146 0.5959524 0.6447619 1.0 82.8 91.0 0.5714286 0.6373376 0.82666665 0.7209302 0.7604651 0.8023256
2200 0.57045454 0.60504544 0.6545454 1.0 81.6 84.0 0.5714286 0.64434576 0.7721519 0.7093023 0.76279074 0.81395346
2300 0.5821739 0.6145218 0.6647826 1.0 80.8 85.0 0.5882353 0.66578496 0.7721519 0.7209302 0.76744187 0.8023256
2400 0.59625 0.6234166 0.67291665 1.0 80.6 87.0 0.59770113 0.6748868 0.75641024 0.7209302 0.76860464 0.81395346
2500 0.6056 0.63176 0.6816 1.0 78.3 85.0 0.63529414 0.70637476 0.7894737 0.68604654 0.76046515 0.8023256
2600 0.6146154 0.64030766 0.68923074 1.0 78.1 83.0 0.6282051 0.7073649 0.7692308 0.6744186 0.7534884 0.8023256
2700 0.62333333 0.64822227 0.69592595 1.0 77.5 82.0 0.64634144 0.7227674 0.775 0.6744186 0.7569767 0.8023256
2800 0.63035715 0.6560358 0.7007143 1.0 77.2 80.0 0.675 0.7341857 0.7875 0.6744186 0.75232553 0.7906977
2900 0.63827586 0.66344833 0.7062069 1.0 75.9 80.0 0.7105263 0.7589345 0.8378378 0.6744186 0.7546511 0.7906977
3000 0.648 0.6709333 0.713 1.0 75.0 78.0 0.7236842 0.7784875 0.84 0.7093023 0.75232565 0.8023256
