rank min-srate avg-srate max-srate min-size avg-size max-size min-prec avg-prec max-prec min-rec avg-rec max-rec
1 0.0 0.1 1.0 1.0 12.9 13.0 0.9230769 0.9461538 1.0 0.069767445 0.07790698 0.093023255
100 0.29 0.38 0.51 1.0 65.9 74.0 0.28985506 0.37805998 0.46031746 0.44186047 0.5267442 0.68604654
200 0.365 0.4235 0.53 1.0 80.4 93.0 0.30379745 0.36692497 0.45333335 0.5813953 0.6360465 0.75581396
300 0.41666666 0.45533332 0.54333335 1.0 88.9 97.0 0.28089887 0.36377764 0.42553192 0.6744186 0.73139536 0.8372093
400 0.4475 0.47924995 0.555 1.0 91.9 102.0 0.3258427 0.40275422 0.48913044 0.7209302 0.76395357 0.8488372
500 0.476 0.50580007 0.584 1.0 92.9 104.0 0.32608697 0.40929008 0.53488374 0.73255813 0.78488374 0.8255814
600 0.48666668 0.5233334 0.59833336 1.0 93.5 107.0 0.37634408 0.44153342 0.49532712 0.75581396 0.8023256 0.8488372
700 0.50285715 0.5418571 0.61 1.0 93.8 102.0 0.42391303 0.50222814 0.55172414 0.74418604 0.78837216 0.8488372
800 0.5225 0.560375 0.62875 1.0 92.9 99.0 0.47826087 0.5273034 0.5959596 0.76744187 0.80116284 0.8604651
900 0.5477778 0.57633334 0.6388889 1.0 90.9 96.0 0.5 0.57931244 0.6292135 0.76744187 0.80465114 0.8604651
1000 0.566 0.59209996 0.644 1.0 91.0 95.0 0.53846157 0.6121337 0.69473684 0.76744187 0.8081395 0.8372093
1100 0.5854545 0.6090909 0.65363634 1.0 88.0 95.0 0.5882353 0.66365796 0.76666665 0.7790698 0.81046516 0.8488372
1200 0.6025 0.62525 0.66583335 1.0 86.0 92.0 0.61538464 0.68774736 0.79310346 0.7790698 0.811628 0.8488372
1300 0.6207692 0.6395384 0.6807692 1.0 86.6 97.0 0.6785714 0.7319856 0.8333333 0.7906977 0.81627905 0.8488372
1400 0.6314286 0.6552142 0.69285715 1.0 85.8 96.0 0.7058824 0.754352 0.8214286 0.7906977 0.8174418 0.8488372
1500 0.6473333 0.6704 0.7086667 1.0 84.6 93.0 0.7407407 0.7745875 0.8271605 0.7906977 0.8151163 0.8488372
1600 0.654375 0.682625 0.72125 1.0 84.0 90.0 0.7721519 0.809692 0.8795181 0.7790698 0.8174418 0.8488372
1700 0.66882354 0.69529414 0.7311765 1.0 83.5 90.0 0.7875 0.82905865 0.8765432 0.76744187 0.8127907 0.8488372
1800 0.68333334 0.70783335 0.7405556 1.0 83.4 91.0 0.7804878 0.8413846 0.91358024 0.76744187 0.8139535 0.8488372
1900 0.69578946 0.71884215 0.7515789 1.0 83.1 89.0 0.8117647 0.85467684 0.9390244 0.7790698 0.8139535 0.8488372
2000 0.707 0.72885 0.7615 1.0 82.4 88.0 0.81395346 0.86590785 0.962963 0.76744187 0.8151163 0.8488372
