rank min-srate avg-srate max-srate min-size avg-size max-size min-prec avg-prec max-prec min-rec avg-rec max-rec
1 0.0 0.3 1.0 1.0 12.9 13.0 0.9230769 0.95384616 1.0 0.069767445 0.06976745 0.069767445
100 0.23 0.313 0.41 1.0 60.8 66.0 0.21212122 0.2671529 0.3148148 0.44186047 0.5267442 0.5813953
200 0.295 0.34149998 0.4 1.0 70.2 75.0 0.2 0.24321172 0.31746033 0.4883721 0.6151163 0.7790698
300 0.3 0.35099998 0.41 1.0 73.1 77.0 0.19178082 0.23226564 0.25974026 0.4883721 0.6127907 0.68604654
400 0.3125 0.36325 0.4025 1.0 70.2 81.0 0.175 0.2328345 0.2857143 0.5 0.55116284 0.61627907
500 0.344 0.3816 0.406 1.0 67.0 79.0 0.19402985 0.2326802 0.32786885 0.45348838 0.56046516 0.6395349
600 0.375 0.39749998 0.415 1.0 61.8 69.0 0.20588236 0.25214976 0.2857143 0.40697673 0.5093024 0.6511628
700 0.3942857 0.41257143 0.43142858 1.0 56.3 64.0 0.25 0.27835935 0.3207547 0.3488372 0.44418606 0.5232558
800 0.41 0.4295 0.44625 1.0 55.4 61.0 0.27118644 0.32722887 0.38 0.3372093 0.45116273 0.53488374
900 0.43222222 0.4455556 0.45777777 1.0 53.7 61.0 0.28333333 0.3549178 0.43137255 0.3139535 0.422093 0.5697674
1000 0.456 0.46199998 0.468 1.0 49.4 54.0 0.2962963 0.39618698 0.5 0.24418604 0.34534883 0.44186047
1100 0.46272728 0.47490913 0.48727274 1.0 47.6 55.0 0.37254903 0.41635022 0.52 0.25581396 0.322093 0.39534885
1200 0.4825 0.49166664 0.50916666 1.0 47.8 51.0 0.36734694 0.4375042 0.5 0.19767442 0.3209302 0.38372093
1300 0.4953846 0.5065385 0.52384615 1.0 46.7 54.0 0.4 0.49353543 0.6060606 0.13953489 0.28953487 0.37209302
1400 0.51 0.5212857 0.5385714 1.0 46.0 52.0 0.44230768 0.5461031 0.6888889 0.23255815 0.2988372 0.37209302
1500 0.522 0.5367333 0.55466664 1.0 46.7 52.0 0.5 0.57388055 0.6730769 0.20930232 0.27906975 0.3488372
1600 0.53875 0.550375 0.56875 1.0 47.3 55.0 0.54 0.6186236 0.72727275 0.23255815 0.29302326 0.37209302
1700 0.5517647 0.5636471 0.57823527 1.0 47.0 57.0 0.5 0.65537465 0.75 0.18604651 0.28023255 0.37209302
1800 0.56166667 0.5766667 0.5927778 1.0 50.1 58.0 0.5744681 0.65978116 0.75510204 0.20930232 0.31627905 0.39534885
1900 0.5726316 0.5883158 0.6036842 1.0 50.2 59.0 0.59183675 0.68895257 0.8367347 0.25581396 0.30697677 0.3604651
2000 0.5845 0.6008 0.6195 1.0 49.5 55.0 0.64705884 0.7238261 0.8269231 0.23255815 0.29999998 0.37209302
2100 0.59809524 0.61209524 0.62857145 1.0 52.1 58.0 0.6315789 0.73489094 0.8181818 0.23255815 0.31511626 0.41860464
2200 0.6077273 0.62240905 0.63772726 1.0 50.3 59.0 0.6440678 0.7814352 0.86538464 0.20930232 0.29534882 0.38372093
2300 0.61913043 0.6322609 0.6473913 1.0 51.8 59.0 0.68421054 0.8069254 0.8888889 0.26744187 0.322093 0.43023255
2400 0.63 0.6435 0.65958333 1.0 53.2 58.0 0.7368421 0.8239378 0.89285713 0.25581396 0.31744182 0.38372093
2500 0.6396 0.65327996 0.6712 1.0 54.1 62.0 0.7241379 0.8286414 0.9137931 0.23255815 0.31976742 0.4651163
2600 0.65 0.6630384 0.68153846 1.0 54.5 64.0 0.78333336 0.8626707 0.9310345 0.24418604 0.32441857 0.41860464
2700 0.65925926 0.6727037 0.6911111 1.0 55.3 65.0 0.81666666 0.8890427 0.94827586 0.24418604 0.3337209 0.44186047
2800 0.6692857 0.6816786 0.6989286 1.0 56.1 64.0 0.8679245 0.9068693 0.953125 0.22093023 0.3453488 0.41860464
2900 0.6789655 0.69079304 0.70655173 1.0 57.2 65.0 0.86153847 0.9070069 0.9692308 0.26744187 0.3465116 0.44186047
3000 0.68733335 0.69933337 0.71433336 1.0 58.6 66.0 0.8545455 0.9028468 0.9692308 0.29069766 0.3697674 0.43023255
3100 0.69580644 0.7072258 0.72096777 1.0 58.8 68.0 0.875 0.91881114 0.962963 0.27906978 0.36279064 0.47674417
3200 0.70375 0.71449995 0.7284375 1.0 58.7 65.0 0.8596491 0.92902154 0.9807692 0.27906978 0.36046508 0.45348838
3300 0.710303 0.72190917 0.7357576 1.0 59.5 67.0 0.9074074 0.9381074 0.9811321 0.26744187 0.36511624 0.43023255
3400 0.71617645 0.7285589 0.7417647 1.0 59.6 65.0 0.9 0.9543335 1.0 0.29069766 0.3732558 0.4651163
3500 0.72314286 0.73554283 0.74885714 1.0 60.6 68.0 0.91525424 0.95039904 1.0 0.30232558 0.3802325 0.4651163
3600 0.73 0.7423055 0.75555557 1.0 60.5 68.0 0.9310345 0.9591938 0.98333335 0.29069766 0.3802325 0.4651163
3700 0.7362162 0.7485676 0.7608108 1.0 61.0 66.0 0.91525424 0.9659051 1.0 0.29069766 0.38953486 0.47674417
3800 0.7418421 0.75444734 0.7668421 1.0 62.1 68.0 0.95 0.9680802 1.0 0.29069766 0.3965116 0.4883721
3900 0.7471795 0.76010257 0.77282053 1.0 62.3 69.0 0.96363634 0.97105217 0.9846154 0.29069766 0.40465117 0.5232558
4000 0.753 0.765625 0.778 1.0 63.1 70.0 0.95454544 0.96854335 0.9836066 0.30232558 0.41046506 0.53488374
4100 0.7582927 0.77095115 0.78268296 1.0 63.4 69.0 0.95238096 0.971694 0.98550725 0.3372093 0.40813953 0.5116279
4200 0.76285714 0.77585715 0.78761905 1.0 63.3 70.0 0.96875 0.97963095 0.9846154 0.3255814 0.4069767 0.5
4300 0.76790696 0.7807209 0.79186046 1.0 63.0 68.0 0.96875 0.9887676 1.0 0.3255814 0.40465117 0.5116279
4400 0.7725 0.78543186 0.7965909 1.0 62.8 69.0 0.96875 0.9934257 1.0 0.3255814 0.40581393 0.5116279
4500 0.7775556 0.78995556 0.8006667 1.0 63.1 70.0 0.9661017 0.9934867 1.0 0.3255814 0.40930232 0.5116279
4600 0.7823913 0.7943696 0.805 1.0 63.8 71.0 0.9661017 0.9905599 1.0 0.3255814 0.41744184 0.5232558
4700 0.7870213 0.798617 0.8091489 1.0 64.2 71.0 0.9661017 0.9874341 1.0 0.3255814 0.4186046 0.5116279
4800 0.7914583 0.8027083 0.8129167 1.0 64.2 72.0 0.9583333 0.9878904 1.0 0.3372093 0.41627902 0.5116279
4900 0.79571426 0.8066122 0.8165306 1.0 64.6 70.0 0.9516129 0.9827997 1.0 0.3488372 0.41976744 0.5116279
5000 0.7996 0.8103 0.8202 1.0 64.9 70.0 0.9558824 0.9815089 1.0 0.3488372 0.42674416 0.5116279
5100 0.80333334 0.8138235 0.82372546 1.0 64.5 69.0 0.9701493 0.98900795 1.0 0.3488372 0.4244186 0.5116279
5200 0.8071154 0.8172884 0.82711536 1.0 64.5 69.0 0.98275864 0.9905246 1.0 0.3488372 0.4209302 0.5232558
