rank min-srate avg-srate max-srate min-size avg-size max-size min-prec avg-prec max-prec min-rec avg-rec max-rec
1 0.0 0.2 1.0 1.0 13.0 13.0 0.9230769 0.95384616 1.0 0.069767445 0.07558141 0.093023255
100 0.28 0.33099997 0.43 1.0 73.0 80.0 0.2375 0.31647155 0.3970588 0.41860464 0.55 0.6395349
200 0.36 0.39200002 0.435 1.0 94.8 104.0 0.26595744 0.30268726 0.33333334 0.7093023 0.74418604 0.8372093
300 0.40666667 0.43333334 0.46 1.0 104.1 111.0 0.24074075 0.27787584 0.31683168 0.76744187 0.8279071 0.89534885
400 0.43 0.45999998 0.49 1.0 110.9 120.0 0.254717 0.3144382 0.36363637 0.8255814 0.8848837 0.95348835
500 0.462 0.4836 0.514 1.0 112.3 120.0 0.27027026 0.33686775 0.3963964 0.8372093 0.89651155 0.9767442
600 0.485 0.5005 0.52166665 1.0 112.3 121.0 0.27272728 0.3601226 0.46846846 0.8488372 0.9058139 0.94186044
700 0.50142854 0.5174286 0.54142857 1.0 113.1 120.0 0.34862384 0.39184827 0.44144145 0.872093 0.9197675 0.96511626
800 0.515 0.533625 0.56125 1.0 112.9 119.0 0.31623933 0.4128061 0.4774775 0.89534885 0.9290698 0.96511626
900 0.5222222 0.54511106 0.5644444 1.0 111.0 118.0 0.34210527 0.43018335 0.5089286 0.90697676 0.93372095 0.96511626
1000 0.536 0.55560005 0.572 1.0 110.6 122.0 0.4107143 0.4638683 0.5090909 0.90697676 0.9372093 0.96511626
1100 0.5509091 0.56718177 0.58363634 1.0 109.9 118.0 0.40707964 0.46876606 0.5648148 0.90697676 0.93953484 0.96511626
1200 0.555 0.57733333 0.5975 1.0 109.2 117.0 0.44036698 0.50085723 0.5533981 0.90697676 0.9418605 0.96511626
1300 0.5692308 0.58876926 0.60923076 1.0 107.3 112.0 0.4587156 0.5244728 0.56 0.90697676 0.9418605 0.96511626
1400 0.57714283 0.5995714 0.6257143 1.0 107.2 113.0 0.46902654 0.5482364 0.59615386 0.90697676 0.9418605 0.96511626
1500 0.59 0.61039996 0.6346667 1.0 105.6 114.0 0.51754385 0.59620637 0.6960784 0.9186047 0.9430233 0.96511626
1600 0.599375 0.6221875 0.645 1.0 104.2 109.0 0.5321101 0.61138237 0.6960784 0.9186047 0.9418605 0.96511626
1700 0.6082353 0.6322353 0.65117645 1.0 103.0 110.0 0.56363636 0.6513685 0.71428573 0.9186047 0.9418605 0.96511626
1800 0.62277776 0.6426667 0.6572222 1.0 102.5 111.0 0.6111111 0.67261845 0.75 0.9186047 0.9418605 0.96511626
1900 0.6326316 0.6512632 0.6668421 1.0 101.6 110.0 0.6363636 0.70166576 0.7653061 0.9186047 0.9430233 0.96511626
2000 0.643 0.6604 0.677 1.0 100.6 107.0 0.66346157 0.737631 0.8020833 0.9186047 0.9441861 0.96511626
2100 0.65238094 0.6704285 0.68761903 1.0 99.7 106.0 0.6792453 0.7476423 0.81914896 0.9186047 0.9430233 0.96511626
2200 0.6595455 0.6792273 0.70045453 1.0 98.3 106.0 0.7169811 0.78267515 0.85714287 0.9186047 0.9430233 0.96511626
2300 0.6686956 0.68786955 0.7078261 1.0 97.3 103.0 0.75728154 0.8073534 0.8469388 0.9186047 0.9430233 0.96511626
2400 0.6766667 0.6966667 0.71541667 1.0 95.5 101.0 0.75247526 0.8144146 0.84782606 0.9186047 0.9441861 0.96511626
2500 0.6868 0.70559996 0.7232 1.0 95.2 102.0 0.7352941 0.8153657 0.8681319 0.9186047 0.9441861 0.96511626
2600 0.69461536 0.7134615 0.7303846 1.0 94.4 100.0 0.76 0.83255404 0.8988764 0.9186047 0.9441861 0.96511626
2700 0.7040741 0.72118515 0.73777777 1.0 93.1 96.0 0.81914896 0.8478826 0.9101124 0.9186047 0.9441861 0.96511626
2800 0.7121429 0.7292858 0.745 1.0 92.6 96.0 0.8210526 0.8634248 0.92134833 0.9186047 0.9441861 0.96511626
2900 0.71793103 0.73686206 0.75344825 1.0 91.6 95.0 0.82978725 0.86748135 0.9425287 0.9186047 0.9441861 0.96511626
3000 0.72566664 0.7437333 0.76033336 1.0 91.7 95.0 0.82978725 0.8717286 0.9130435 0.9186047 0.9441861 0.96511626
3100 0.73258066 0.7502258 0.7664516 1.0 90.7 94.0 0.85106385 0.8926569 0.9425287 0.9186047 0.9441861 0.96511626
3200 0.74 0.757125 0.773125 1.0 90.5 93.0 0.8695652 0.8966278 0.9325843 0.9186047 0.9441861 0.96511626
3300 0.7460606 0.76333326 0.7793939 1.0 90.0 93.0 0.8681319 0.90265644 0.95348835 0.9186047 0.9441861 0.96511626
3400 0.7529412 0.76923525 0.7844118 1.0 89.9 94.0 0.86170214 0.9095033 0.96511626 0.9186047 0.9441861 0.96511626
3500 0.75942856 0.77508575 0.7902857 1.0 89.6 93.0 0.8791209 0.91665393 0.954023 0.9186047 0.9441861 0.96511626
3600 0.7647222 0.7804722 0.79555553 1.0 89.5 92.0 0.8913044 0.92661476 0.9655172 0.9186047 0.9441861 0.96511626
3700 0.76972973 0.78564864 0.80027026 1.0 89.6 92.0 0.8804348 0.9235811 0.9655172 0.9186047 0.94534886 0.96511626
3800 0.775 0.7906842 0.805 1.0 89.1 92.0 0.9120879 0.9296152 0.9647059 0.9186047 0.94534886 0.96511626
3900 0.7802564 0.7954103 0.80871797 1.0 89.4 92.0 0.8876405 0.9298299 0.9647059 0.9186047 0.94534886 0.96511626
4000 0.785 0.800025 0.81275 1.0 89.6 94.0 0.87777776 0.9358379 0.9767442 0.9186047 0.94534886 0.96511626
4100 0.79 0.8043171 0.81536585 1.0 89.0 91.0 0.8876405 0.94081414 0.9764706 0.9186047 0.94534886 0.96511626
4200 0.7947619 0.80869055 0.8195238 1.0 89.0 91.0 0.8876405 0.9340793 0.96511626 0.9186047 0.94534886 0.96511626
4300 0.79906976 0.8127907 0.82348835 1.0 89.2 93.0 0.9032258 0.9355011 0.9764706 0.9186047 0.94534886 0.96511626
4400 0.8034091 0.8165909 0.82704544 1.0 88.9 92.0 0.9120879 0.9430865 0.9767442 0.9186047 0.94534886 0.96511626
4500 0.80733335 0.82028896 0.83 1.0 88.8 91.0 0.8901099 0.9429838 0.9767442 0.9186047 0.94534886 0.96511626
4600 0.81152177 0.8238478 0.8332609 1.0 88.5 91.0 0.9101124 0.9481287 0.9767442 0.9186047 0.94534886 0.96511626
4700 0.8148936 0.8271702 0.8368085 1.0 88.7 91.0 0.9010989 0.9507116 0.9775281 0.9186047 0.9465116 0.96511626
4800 0.81854165 0.8304167 0.84 1.0 88.6 91.0 0.9111111 0.9529827 1.0 0.9186047 0.9465116 0.96511626
4900 0.8220408 0.83357143 0.84265304 1.0 88.4 91.0 0.9318182 0.9550377 0.9882353 0.9186047 0.9465116 0.96511626
5000 0.8256 0.8368 0.8456 1.0 88.4 91.0 0.9318182 0.95275134 0.9882353 0.9186047 0.9465116 0.96511626
5100 0.8288235 0.8397843 0.84862745 1.0 88.3 91.0 0.93406594 0.9582289 0.9775281 0.9186047 0.9465116 0.96511626
5200 0.83192307 0.8426731 0.85134614 1.0 88.4 92.0 0.92391306 0.96055996 0.98876405 0.9186047 0.9465116 0.96511626
5300 0.8349057 0.8455094 0.85415095 1.0 88.3 92.0 0.9347826 0.9627838 0.98876405 0.9186047 0.9465116 0.96511626
5400 0.837963 0.84816664 0.8566667 1.0 87.7 90.0 0.94186044 0.96806604 0.9775281 0.9186047 0.9465116 0.96511626
5500 0.84090906 0.85081816 0.8590909 1.0 87.8 90.0 0.9444444 0.96811694 0.98876405 0.9186047 0.9465116 0.96511626
5600 0.84375 0.8533393 0.86125 1.0 87.9 91.0 0.9444444 0.965958 0.97727275 0.9186047 0.9465116 0.96511626
5700 0.8464912 0.8557719 0.86315787 1.0 87.9 91.0 0.9444444 0.96934223 0.9777778 0.9186047 0.9465116 0.96511626
5800 0.8489655 0.8581379 0.86551726 1.0 87.9 91.0 0.95348835 0.9693416 0.98876405 0.9186047 0.9465116 0.96511626
5900 0.8513559 0.86042374 0.8677966 1.0 87.9 91.0 0.95348835 0.97281724 1.0 0.9186047 0.9465116 0.96511626
6000 0.85366666 0.8626167 0.87 1.0 87.8 91.0 0.95604396 0.9784892 1.0 0.9186047 0.9465116 0.96511626
6100 0.8560656 0.86486894 0.87213117 1.0 87.8 91.0 0.94505495 0.97626674 1.0 0.9186047 0.9465116 0.96511626
6200 0.8583871 0.8669839 0.87419355 1.0 87.8 91.0 0.95604396 0.977379 1.0 0.9186047 0.9465116 0.96511626
6300 0.8606349 0.8690159 0.875873 1.0 87.7 91.0 0.9550562 0.9796032 1.0 0.9186047 0.9465116 0.96511626
6400 0.8628125 0.8709531 0.8776562 1.0 87.6 91.0 0.9655172 0.9829872 1.0 0.9186047 0.9465116 0.96511626
6500 0.86492306 0.87286156 0.8792308 1.0 87.5 90.0 0.9770115 0.9874177 1.0 0.9186047 0.9465116 0.96511626
6600 0.8669697 0.8747424 0.8807576 1.0 87.5 90.0 0.9764706 0.9862671 1.0 0.9186047 0.9465116 0.96511626
6700 0.8689552 0.87659705 0.8825373 1.0 87.5 90.0 0.96629214 0.9840852 1.0 0.9186047 0.9465116 0.96511626
6800 0.87088233 0.8783824 0.8842647 1.0 87.5 90.0 0.96629214 0.98517054 1.0 0.9186047 0.9465116 0.96511626
6900 0.8727536 0.880087 0.88594204 1.0 87.5 90.0 0.96629214 0.98744357 1.0 0.9186047 0.9465116 0.96511626
7000 0.87457144 0.8817857 0.88757145 1.0 87.5 90.0 0.9764706 0.98630667 1.0 0.9186047 0.9465116 0.96511626
7100 0.876338 0.8833521 0.88901407 1.0 87.5 90.0 0.9764706 0.9886055 1.0 0.9186047 0.9465116 0.96511626
