rank min-srate avg-srate max-srate min-size avg-size max-size min-prec avg-prec max-prec min-rec avg-rec max-rec
1 0.0 0.2 1.0 1.0 13.0 13.0 0.9230769 0.9461538 1.0 0.069767445 0.07906976 0.093023255
100 0.28 0.34899998 0.47 1.0 59.8 65.0 0.22580644 0.27719194 0.3508772 0.37209302 0.5290698 0.6744186
200 0.28 0.35349998 0.4 1.0 71.2 79.0 0.22058824 0.25987417 0.296875 0.55813956 0.6302325 0.7093023
300 0.31333333 0.36900002 0.40333334 1.0 74.2 85.0 0.18987341 0.24254732 0.32 0.54651165 0.627907 0.7093023
400 0.355 0.38175002 0.415 1.0 70.2 82.0 0.2173913 0.24791577 0.28169015 0.4883721 0.5813953 0.6511628
500 0.372 0.39859998 0.438 1.0 66.3 78.0 0.21212122 0.26444262 0.31746033 0.43023255 0.53023255 0.6511628
600 0.375 0.4051667 0.43666667 1.0 65.3 70.0 0.203125 0.25758284 0.32258064 0.44186047 0.51046515 0.5813953
700 0.38428572 0.41657144 0.4457143 1.0 56.7 64.0 0.27272728 0.29383296 0.33962265 0.30232558 0.4360465 0.5697674
800 0.405 0.43025 0.44875 1.0 53.8 64.0 0.2542373 0.32383823 0.36956522 0.3255814 0.4104651 0.5232558
900 0.42555556 0.44611114 0.46888888 1.0 50.3 57.0 0.28301886 0.36378163 0.45833334 0.29069766 0.3813953 0.4651163
1000 0.441 0.46100003 0.479 1.0 48.3 54.0 0.2962963 0.39887214 0.5777778 0.27906978 0.3488372 0.44186047
1100 0.45363638 0.47763634 0.49545455 1.0 49.2 62.0 0.32258064 0.41794252 0.5102041 0.25581396 0.35116276 0.44186047
1200 0.46916667 0.4936667 0.515 1.0 49.6 56.0 0.35714287 0.4328506 0.5106383 0.27906978 0.35697672 0.41860464
1300 0.48384616 0.5099231 0.5253846 1.0 49.7 61.0 0.40384614 0.47998938 0.54347825 0.22093023 0.3255814 0.40697673
1400 0.5 0.5238572 0.5378571 1.0 50.1 55.0 0.44444445 0.51800495 0.59574467 0.18604651 0.34418604 0.44186047
1500 0.52066666 0.53560007 0.54933333 1.0 50.3 54.0 0.5 0.55460477 0.6818182 0.23255815 0.31744185 0.38372093
1600 0.538125 0.54918754 0.5625 1.0 50.0 55.0 0.5 0.59079474 0.66 0.23255815 0.31627908 0.4651163
1700 0.55352944 0.5632352 0.57705885 1.0 47.2 53.0 0.5471698 0.65355814 0.72727275 0.18604651 0.28139538 0.37209302
1800 0.5644444 0.57538885 0.5861111 1.0 47.3 52.0 0.63829786 0.70844525 0.7647059 0.18604651 0.27558142 0.37209302
1900 0.57789475 0.5878421 0.60052633 1.0 48.7 58.0 0.68 0.7292513 0.8043478 0.19767442 0.27325585 0.3604651
2000 0.592 0.6005 0.61 1.0 49.2 56.0 0.6851852 0.7621223 0.85106385 0.23255815 0.2930233 0.3488372
2100 0.60380954 0.61314285 0.62285715 1.0 51.0 58.0 0.6603774 0.7701443 0.84782606 0.22093023 0.2872093 0.3488372
2200 0.6159091 0.62418187 0.6322727 1.0 52.7 61.0 0.72 0.7827978 0.86 0.26744187 0.30232558 0.3372093
2300 0.62869567 0.63539135 0.64304346 1.0 54.7 60.0 0.6981132 0.77915543 0.8333333 0.23255815 0.31511626 0.37209302
2400 0.63875 0.6454167 0.65458333 1.0 54.9 61.0 0.73770493 0.81062806 0.88 0.22093023 0.3151163 0.38372093
2500 0.6484 0.65520006 0.6648 1.0 55.3 61.0 0.78688526 0.83547914 0.8888889 0.27906978 0.31511626 0.37209302
2600 0.65692306 0.6647307 0.6746154 1.0 55.0 58.0 0.8333333 0.86411685 0.9074074 0.25581396 0.31279072 0.38372093
2700 0.6651852 0.67377776 0.6844444 1.0 56.0 63.0 0.8095238 0.8670956 0.90909094 0.27906978 0.32790694 0.39534885
2800 0.67642856 0.68310714 0.69214284 1.0 57.6 63.0 0.8305085 0.8699787 0.9122807 0.27906978 0.35581395 0.40697673
2900 0.68448275 0.69141376 0.7 1.0 57.8 65.0 0.86153847 0.8954628 0.92727274 0.27906978 0.35465115 0.41860464
3000 0.69166666 0.6996666 0.7086667 1.0 57.8 64.0 0.859375 0.909488 0.962963 0.29069766 0.34999996 0.40697673
3100 0.6996774 0.7074838 0.71548384 1.0 58.3 61.0 0.88135594 0.9250742 0.9811321 0.30232558 0.3465116 0.40697673
3200 0.7078125 0.71524996 0.7234375 1.0 57.6 62.0 0.88709676 0.9417616 0.9811321 0.29069766 0.34069765 0.41860464
3300 0.7154545 0.72278786 0.73030305 1.0 57.8 63.0 0.91525424 0.9543438 1.0 0.29069766 0.33837205 0.41860464
3400 0.7223529 0.73017645 0.7370588 1.0 59.1 67.0 0.880597 0.9522435 1.0 0.30232558 0.3476744 0.39534885
3500 0.7302857 0.737 0.7434286 1.0 60.7 68.0 0.89705884 0.9530853 0.9836066 0.3139535 0.3604651 0.41860464
3600 0.7372222 0.7436389 0.75 1.0 60.4 66.0 0.92424244 0.96412313 0.9836066 0.30232558 0.3593023 0.41860464
3700 0.74297297 0.7498108 0.7556757 1.0 60.8 64.0 0.93442625 0.9641159 0.9836066 0.3139535 0.36860463 0.43023255
3800 0.7489474 0.7558158 0.761579 1.0 61.1 63.0 0.95 0.96896803 1.0 0.3255814 0.3744186 0.41860464
3900 0.7551282 0.76169235 0.7671795 1.0 61.6 63.0 0.95238096 0.97421503 1.0 0.3372093 0.37906975 0.40697673
4000 0.761 0.76715004 0.77275 1.0 61.4 63.0 0.9677419 0.9823059 1.0 0.3372093 0.37558138 0.41860464
4100 0.76658535 0.77246344 0.77804875 1.0 61.4 65.0 0.9677419 0.98240435 1.0 0.3372093 0.3732558 0.41860464
4200 0.7714286 0.7775714 0.78333336 1.0 61.9 64.0 0.953125 0.9793587 1.0 0.3372093 0.38255814 0.43023255
4300 0.7762791 0.7825581 0.7883721 1.0 62.1 65.0 0.953125 0.9795596 1.0 0.3372093 0.38372093 0.43023255
4400 0.78090906 0.78722733 0.79295456 1.0 62.0 65.0 0.95238096 0.98578393 1.0 0.3372093 0.37906975 0.44186047
4500 0.78555554 0.7916666 0.7968889 1.0 62.0 65.0 0.96825397 0.98896253 1.0 0.3372093 0.38139534 0.43023255
4600 0.7902174 0.796 0.80108696 1.0 62.2 66.0 0.953125 0.9890564 1.0 0.3372093 0.38255814 0.44186047
4700 0.7944681 0.8000852 0.8051064 1.0 62.2 66.0 0.96825397 0.99061966 1.0 0.3372093 0.3860465 0.44186047
4800 0.79875 0.80410415 0.80916667 1.0 62.2 65.0 0.983871 0.9920603 1.0 0.3372093 0.3848837 0.44186047
4900 0.8026531 0.8079796 0.81306124 1.0 62.4 65.0 0.983871 0.99216044 1.0 0.3372093 0.3860465 0.44186047
5000 0.8062 0.81168 0.8166 1.0 63.0 66.0 0.969697 0.9874939 1.0 0.3372093 0.39186046 0.44186047
5100 0.8098039 0.81521577 0.82 1.0 63.2 66.0 0.969697 0.9874853 1.0 0.3488372 0.39069766 0.45348838
5200 0.81346154 0.8187116 0.82346153 1.0 63.5 67.0 0.9701493 0.9874598 1.0 0.3488372 0.39418602 0.4651163
5300 0.8166038 0.822 0.8267925 1.0 63.2 66.0 0.984127 0.99372447 1.0 0.3372093 0.39302325 0.45348838
5400 0.82 0.8251667 0.83 1.0 63.4 68.0 0.9705882 0.9923218 1.0 0.3372093 0.3965116 0.4651163
5500 0.8232727 0.8282364 0.83272725 1.0 63.4 67.0 0.984127 0.9937703 1.0 0.3372093 0.3965116 0.4651163
5600 0.8264286 0.8312322 0.8357143 1.0 63.3 67.0 0.984127 0.9953577 1.0 0.3372093 0.39418605 0.4651163
5700 0.8294737 0.8341754 0.83842105 1.0 63.4 67.0 0.983871 0.99530727 1.0 0.3372093 0.39534885 0.4651163
5800 0.8324138 0.8370345 0.8412069 1.0 63.4 67.0 0.983871 0.99530727 1.0 0.3372093 0.39534885 0.4651163
5900 0.83525425 0.8397457 0.8438983 1.0 63.2 66.0 0.983871 0.99838716 1.0 0.3372093 0.39186046 0.4651163
6000 0.838 0.8423834 0.8465 1.0 63.2 66.0 0.983871 0.99838716 1.0 0.3372093 0.39186046 0.4651163
6100 0.84065574 0.84493434 0.84901637 1.0 63.1 66.0 1.0 1.0 1.0 0.3372093 0.39186046 0.4651163
6200 0.8432258 0.84738714 0.85129035 1.0 63.4 67.0 0.984127 0.9969202 1.0 0.3372093 0.39418605 0.4651163
6300 0.8457143 0.8497778 0.8536508 1.0 63.4 66.0 0.984375 0.9984375 1.0 0.3372093 0.39534885 0.4651163
6400 0.848125 0.8521093 0.8559375 1.0 63.3 66.0 1.0 1.0 1.0 0.3372093 0.39418605 0.4651163
6500 0.85046154 0.8543539 0.8581538 1.0 63.4 66.0 0.9846154 0.99846154 1.0 0.3372093 0.39534885 0.4651163
6600 0.8525758 0.8565303 0.8601515 1.0 63.4 66.0 0.984127 0.9984127 1.0 0.3372093 0.39534885 0.4651163
6700 0.85477614 0.85862696 0.8622388 1.0 63.4 66.0 0.984127 0.9984127 1.0 0.3372093 0.39534885 0.4651163
6800 0.8569118 0.8606618 0.8642647 1.0 63.4 66.0 0.984127 0.9984127 1.0 0.3372093 0.3965116 0.4651163
6900 0.8589855 0.8626666 0.86623186 1.0 63.3 66.0 1.0 1.0 1.0 0.3372093 0.39418605 0.4651163
7000 0.861 0.8646286 0.86814284 1.0 63.3 66.0 1.0 1.0 1.0 0.3372093 0.39418605 0.4651163
7100 0.8629578 0.8665353 0.87 1.0 63.4 66.0 0.98333335 0.99833333 1.0 0.3488372 0.39534882 0.4651163
