rank min-srate avg-srate max-srate min-size avg-size max-size min-prec avg-prec max-prec min-rec avg-rec max-rec
1 0.0 0.3 1.0 1.0 92.1 93.0 0.20652173 0.25190508 0.3043478 0.8255814 0.8906978 0.94186044
2 0.0 0.35 0.5 1.0 92.4 93.0 0.20652173 0.25107527 0.3043478 0.8255814 0.8906978 0.94186044
3 0.0 0.3333333 0.6666667 1.0 92.6 94.0 0.20652173 0.2504849 0.30107528 0.8255814 0.8883721 0.94186044
4 0.0 0.325 0.5 1.0 92.8 94.0 0.20652173 0.25313902 0.31182796 0.8255814 0.8883721 0.94186044
5 0.0 0.36000004 0.6 1.0 93.0 95.0 0.20652173 0.25257912 0.31182796 0.8255814 0.8860465 0.94186044
6 0.16666667 0.36666664 0.5 1.0 93.1 96.0 0.20879121 0.25225782 0.31182796 0.8255814 0.8860465 0.94186044
7 0.14285715 0.32857147 0.42857143 1.0 93.3 97.0 0.20879121 0.25173128 0.31182796 0.8255814 0.89069766 0.96511626
8 0.125 0.3125 0.5 1.0 93.5 98.0 0.21978022 0.25230893 0.31182796 0.8255814 0.8860466 0.94186044
9 0.11111111 0.3 0.44444445 1.0 93.9 98.0 0.21978022 0.2522187 0.30851063 0.8255814 0.8860466 0.94186044
10 0.1 0.29000002 0.5 1.0 94.2 98.0 0.22222222 0.25142196 0.30851063 0.81395346 0.8883721 0.94186044
11 0.09090909 0.2909091 0.45454547 1.0 94.4 98.0 0.22222222 0.25089028 0.30851063 0.81395346 0.8883721 0.94186044
12 0.083333336 0.30833334 0.5 1.0 94.8 98.0 0.21978022 0.2498519 0.30851063 0.81395346 0.8883721 0.94186044
13 0.07692308 0.32307693 0.46153846 1.0 94.8 98.0 0.21978022 0.2508723 0.30851063 0.81395346 0.89069766 0.94186044
14 0.071428575 0.30714285 0.5 1.0 95.0 99.0 0.21978022 0.25141662 0.30851063 0.81395346 0.89069766 0.94186044
15 0.06666667 0.29333335 0.46666667 1.0 95.4 100.0 0.22340426 0.2525497 0.30851063 0.81395346 0.8872093 0.94186044
16 0.125 0.28125 0.4375 1.0 95.8 100.0 0.22340426 0.25257286 0.30851063 0.81395346 0.8872093 0.94186044
17 0.11764706 0.2764706 0.4117647 1.0 96.1 101.0 0.22105263 0.2528875 0.30851063 0.81395346 0.8848837 0.9302326
18 0.16666667 0.28333333 0.44444445 1.0 96.4 101.0 0.21875 0.25304845 0.30526316 0.81395346 0.8860465 0.9302326
19 0.15789473 0.28421053 0.42105263 1.0 96.7 102.0 0.22580644 0.25332278 0.30526316 0.81395346 0.8860465 0.9302326
20 0.15 0.28000003 0.4 1.0 96.8 102.0 0.22580644 0.25403467 0.30526316 0.81395346 0.8872093 0.9302326
21 0.14285715 0.27142859 0.3809524 1.0 97.2 102.0 0.22340426 0.25303632 0.30526316 0.81395346 0.88953495 0.9302326
22 0.13636364 0.2727273 0.4090909 1.0 97.3 102.0 0.22340426 0.25369874 0.30208334 0.81395346 0.88953495 0.9302326
23 0.13043478 0.27826083 0.4347826 1.0 97.4 102.0 0.22340426 0.25341272 0.30208334 0.81395346 0.89069766 0.9302326
24 0.125 0.2708333 0.41666666 1.0 97.7 102.0 0.22340426 0.25359422 0.29896906 0.81395346 0.89069766 0.9302326
25 0.12 0.26800004 0.4 1.0 97.9 103.0 0.22340426 0.25409302 0.29896906 0.81395346 0.88953495 0.9302326
26 0.115384616 0.26153845 0.42307693 1.0 98.1 103.0 0.22340426 0.2535735 0.29896906 0.81395346 0.8883721 0.9302326
27 0.11111111 0.25925925 0.4074074 1.0 98.4 103.0 0.22340426 0.2547478 0.29591838 0.81395346 0.8883721 0.9302326
28 0.10714286 0.26785713 0.39285713 1.0 98.7 104.0 0.22340426 0.2539682 0.2929293 0.81395346 0.8883721 0.9302326
29 0.13793103 0.2724138 0.41379312 1.0 98.8 104.0 0.22340426 0.25373483 0.2929293 0.81395346 0.8872093 0.9302326
30 0.16666667 0.28333336 0.4 1.0 99.1 104.0 0.22340426 0.25295314 0.29 0.81395346 0.8883721 0.9302326
31 0.19354838 0.29677418 0.41935483 1.0 99.4 104.0 0.22340426 0.2521426 0.28712872 0.81395346 0.8883721 0.9302326
32 0.21875 0.29375 0.40625 1.0 99.9 105.0 0.22105263 0.25088274 0.28431374 0.81395346 0.8883721 0.9302326
33 0.21212122 0.2939394 0.3939394 1.0 100.1 105.0 0.22105263 0.2504084 0.28431374 0.81395346 0.8883721 0.9302326
34 0.20588236 0.29117647 0.4117647 1.0 100.2 106.0 0.22105263 0.25016862 0.28431374 0.81395346 0.8883721 0.9302326
35 0.2 0.29142863 0.4 1.0 100.3 106.0 0.22105263 0.25090563 0.28431374 0.81395346 0.8883721 0.9302326
36 0.19444445 0.29722223 0.41666666 1.0 100.3 106.0 0.2244898 0.25290167 0.28431374 0.81395346 0.8883721 0.9302326
37 0.1891892 0.30270267 0.4054054 1.0 100.3 106.0 0.22222222 0.2539564 0.29 0.81395346 0.8883721 0.9302326
38 0.21052632 0.30526316 0.42105263 1.0 100.6 106.0 0.22222222 0.25318053 0.28712872 0.81395346 0.8883721 0.9302326
39 0.20512821 0.3102564 0.43589744 1.0 100.8 106.0 0.22222222 0.2537433 0.28712872 0.81395346 0.8883721 0.9302326
40 0.2 0.3075 0.45 1.0 100.8 106.0 0.22222222 0.25569457 0.29126215 0.81395346 0.89069766 0.9302326
41 0.2195122 0.30487806 0.46341464 1.0 100.9 107.0 0.22680412 0.25650626 0.29126215 0.81395346 0.89069766 0.9302326
42 0.21428572 0.30238098 0.47619048 1.0 101.0 107.0 0.22680412 0.25625926 0.29126215 0.8023256 0.88953495 0.9302326
43 0.20930232 0.30465114 0.4883721 1.0 101.1 107.0 0.22680412 0.2569301 0.29126215 0.8023256 0.88953495 0.9302326
44 0.20454545 0.30454546 0.47727272 1.0 101.2 107.0 0.22680412 0.2577157 0.29126215 0.8023256 0.8906978 0.9302326
45 0.2 0.30444446 0.46666667 1.0 101.2 107.0 0.23 0.2597175 0.29126215 0.8023256 0.88953495 0.9302326
46 0.19565217 0.3021739 0.47826087 1.0 101.4 108.0 0.23 0.25920224 0.29126215 0.8023256 0.88953495 0.94186044
47 0.21276596 0.3042553 0.4680851 1.0 101.7 108.0 0.22772278 0.2584746 0.29126215 0.8023256 0.8918605 0.94186044
48 0.22916667 0.30625 0.47916666 1.0 102.2 108.0 0.2254902 0.25823203 0.28846154 0.8023256 0.8918606 0.94186044
49 0.2244898 0.3081633 0.46938777 1.0 102.5 109.0 0.2254902 0.25936037 0.28846154 0.8023256 0.8918606 0.94186044
50 0.22 0.31199998 0.48 1.0 102.5 110.0 0.2254902 0.25941437 0.28846154 0.8023256 0.8918606 0.94186044
51 0.21568628 0.3117647 0.49019608 1.0 102.7 110.0 0.2254902 0.25889245 0.2857143 0.8023256 0.8883721 0.94186044
52 0.23076923 0.3153846 0.5 1.0 102.9 110.0 0.2254902 0.25834846 0.2857143 0.8023256 0.8883721 0.94186044
53 0.24528302 0.32264152 0.509434 1.0 102.9 110.0 0.2254902 0.26033175 0.2857143 0.8023256 0.8883721 0.94186044
54 0.24074075 0.32407406 0.5185185 1.0 103.3 111.0 0.22330096 0.25937983 0.2857143 0.81395346 0.88953495 0.94186044
55 0.23636363 0.32181817 0.5090909 1.0 103.5 111.0 0.22330096 0.26085004 0.28865978 0.81395346 0.88953495 0.94186044
56 0.23214285 0.32321426 0.51785713 1.0 103.8 111.0 0.22115384 0.26011518 0.28865978 0.81395346 0.88953495 0.94186044
57 0.24561404 0.3210526 0.50877196 1.0 103.7 111.0 0.22115384 0.26340178 0.29896906 0.81395346 0.8872093 0.94186044
58 0.2413793 0.32068968 0.5 1.0 104.0 112.0 0.22115384 0.2635833 0.29896906 0.81395346 0.88953483 0.94186044
59 0.23728813 0.31864408 0.4915254 1.0 104.2 112.0 0.21904762 0.26505786 0.30097088 0.81395346 0.88953483 0.94186044
60 0.23333333 0.315 0.48333332 1.0 104.4 112.0 0.21904762 0.26646128 0.3106796 0.81395346 0.8883721 0.9302326
61 0.22950819 0.31639344 0.4918033 1.0 104.6 111.0 0.21904762 0.2658875 0.30769232 0.81395346 0.8883721 0.9302326
62 0.22580644 0.31935483 0.48387095 1.0 104.6 112.0 0.21904762 0.26598173 0.30769232 0.81395346 0.8883721 0.9302326
63 0.22222222 0.31904763 0.4920635 1.0 104.7 112.0 0.21904762 0.26857728 0.30769232 0.81395346 0.8883721 0.9302326
64 0.21875 0.3203125 0.484375 1.0 104.7 112.0 0.21904762 0.26950318 0.30769232 0.81395346 0.8883721 0.9302326
65 0.21538462 0.32153848 0.47692308 1.0 104.8 112.0 0.2254902 0.27016252 0.30555555 0.81395346 0.8872093 0.9302326
66 0.21212122 0.31969696 0.46969697 1.0 105.1 112.0 0.22330096 0.27029344 0.30555555 0.81395346 0.8872093 0.9302326
67 0.20895523 0.32089552 0.47761193 1.0 105.4 112.0 0.22857143 0.27149376 0.30927834 0.8255814 0.89069766 0.9302326
68 0.20588236 0.31911767 0.47058824 1.0 105.6 112.0 0.22857143 0.27291426 0.30927834 0.8255814 0.88953495 0.9302326
69 0.20289855 0.3188406 0.46376812 1.0 105.6 112.0 0.22857143 0.27388516 0.30927834 0.8255814 0.88953495 0.9302326
70 0.2 0.32 0.45714286 1.0 105.7 112.0 0.22857143 0.2736218 0.30927834 0.8255814 0.8883721 0.9302326
71 0.1971831 0.32253522 0.45070422 1.0 106.1 113.0 0.22857143 0.2725398 0.30612245 0.8255814 0.8883721 0.9302326
72 0.19444445 0.3263889 0.44444445 1.0 106.4 113.0 0.2264151 0.27174765 0.3030303 0.8372093 0.88953495 0.9302326
73 0.20547946 0.32739726 0.4520548 1.0 106.5 113.0 0.2264151 0.27148557 0.3030303 0.8372093 0.8860465 0.9302326
74 0.2027027 0.32702705 0.45945945 1.0 106.7 113.0 0.2264151 0.27182475 0.3027523 0.8372093 0.8860465 0.9302326
75 0.2 0.32666665 0.46666667 1.0 106.8 113.0 0.22429906 0.27161312 0.3027523 0.8372093 0.8860465 0.9302326
76 0.19736843 0.3263158 0.47368422 1.0 107.0 113.0 0.22222222 0.2720933 0.3027523 0.8372093 0.8860465 0.9302326
77 0.19480519 0.32597402 0.46753246 1.0 107.1 114.0 0.22222222 0.27186817 0.3027523 0.8372093 0.88488376 0.9302326
78 0.1923077 0.32564104 0.46153846 1.0 107.3 114.0 0.22222222 0.27137762 0.3027523 0.8372093 0.88488376 0.9302326
79 0.18987341 0.32405066 0.46835443 1.0 107.3 114.0 0.22222222 0.27135935 0.3 0.8372093 0.8860465 0.9302326
80 0.1875 0.32500002 0.4625 1.0 107.6 114.0 0.22222222 0.27060127 0.3 0.8372093 0.8930233 0.9302326
81 0.18518518 0.3296296 0.4691358 1.0 107.6 114.0 0.22222222 0.27060127 0.3 0.8372093 0.89534885 0.9302326
82 0.18292683 0.33048782 0.47560975 1.0 107.6 114.0 0.22222222 0.27151036 0.3090909 0.8372093 0.89534885 0.9302326
83 0.18072289 0.3289157 0.4698795 1.0 107.8 114.0 0.22222222 0.270995 0.3090909 0.8255814 0.8965117 0.94186044
84 0.17857143 0.32976192 0.47619048 1.0 108.1 114.0 0.22222222 0.2711162 0.3063063 0.8255814 0.8965117 0.94186044
85 0.1882353 0.3282353 0.47058824 1.0 108.4 114.0 0.22018349 0.2703626 0.3063063 0.8255814 0.8976744 0.94186044
86 0.18604651 0.3290698 0.4651163 1.0 108.5 114.0 0.22018349 0.2700957 0.3063063 0.8255814 0.8988372 0.94186044
87 0.18390805 0.32873565 0.47126436 1.0 108.7 115.0 0.2293578 0.27050635 0.3063063 0.8372093 0.9 0.94186044
88 0.18181819 0.32954544 0.4659091 1.0 108.8 115.0 0.2293578 0.2721231 0.3063063 0.8372093 0.89883727 0.94186044
89 0.17977528 0.32808986 0.46067417 1.0 108.9 115.0 0.2293578 0.2746327 0.3063063 0.8372093 0.8976744 0.94186044
90 0.18888889 0.32999998 0.46666667 1.0 108.9 115.0 0.2293578 0.2764197 0.3063063 0.8372093 0.8976744 0.94186044
91 0.18681319 0.33186814 0.47252747 1.0 109.0 115.0 0.2293578 0.27618605 0.3063063 0.8372093 0.8976744 0.94186044
92 0.18478261 0.3326087 0.47826087 1.0 109.3 115.0 0.2293578 0.27634326 0.3119266 0.8372093 0.8976744 0.94186044
93 0.1827957 0.3333333 0.48387095 1.0 109.4 115.0 0.2293578 0.27692923 0.3090909 0.8372093 0.8988372 0.94186044
94 0.19148937 0.3361702 0.4787234 1.0 109.4 115.0 0.2293578 0.27692923 0.3090909 0.8372093 0.8988372 0.94186044
95 0.2 0.33894736 0.47368422 1.0 109.4 115.0 0.2293578 0.27692923 0.3090909 0.8372093 0.8988372 0.94186044
96 0.19791667 0.3375 0.46875 1.0 109.5 115.0 0.2293578 0.27762166 0.3063063 0.8372093 0.90116274 0.95348835
