rank min-srate avg-srate max-srate min-size avg-size max-size min-prec avg-prec max-prec min-rec avg-rec max-rec
1 0.0 0.5 1.0 1.0 92.1 93.0 0.20652173 0.25190508 0.3043478 0.8255814 0.8918605 0.94186044
2 0.0 0.3 1.0 1.0 92.6 93.0 0.20652173 0.25053763 0.3043478 0.8255814 0.8918605 0.94186044
3 0.0 0.3 1.0 1.0 92.8 94.0 0.20652173 0.24994728 0.30107528 0.8255814 0.8883721 0.94186044
4 0.0 0.3 0.75 1.0 92.9 94.0 0.20652173 0.25286424 0.31182796 0.8255814 0.8883721 0.94186044
5 0.0 0.30000004 0.6 1.0 93.2 95.0 0.20652173 0.2520298 0.31182796 0.8255814 0.8872094 0.94186044
6 0.0 0.28333333 0.5 1.0 93.5 96.0 0.20652173 0.25124133 0.31182796 0.8255814 0.8872094 0.94186044
7 0.0 0.28571433 0.5714286 1.0 93.5 96.0 0.20652173 0.25131145 0.3152174 0.8255814 0.8906978 0.94186044
8 0.0 0.2875 0.5 1.0 93.7 97.0 0.20652173 0.25078496 0.3152174 0.81395346 0.8848837 0.94186044
9 0.0 0.3 0.5555556 1.0 94.0 97.0 0.20652173 0.25095636 0.31182796 0.81395346 0.8848837 0.94186044
10 0.0 0.3 0.6 1.0 94.3 97.0 0.20652173 0.25018948 0.31182796 0.81395346 0.883721 0.94186044
11 0.0 0.3090909 0.6363636 1.0 94.4 97.0 0.20652173 0.24993196 0.31182796 0.81395346 0.8872093 0.94186044
12 0.0 0.30833334 0.6666667 1.0 95.0 98.0 0.20430107 0.24838965 0.31182796 0.8255814 0.8883721 0.94186044
13 0.07692308 0.30769232 0.61538464 1.0 95.1 98.0 0.20430107 0.25014147 0.30851063 0.81395346 0.8860465 0.9302326
14 0.071428575 0.2928571 0.5714286 1.0 95.4 99.0 0.20430107 0.25039455 0.30851063 0.81395346 0.8848837 0.9302326
15 0.13333334 0.2866667 0.6 1.0 95.8 100.0 0.21505377 0.25043482 0.30851063 0.81395346 0.88255817 0.9302326
16 0.125 0.2875 0.625 1.0 96.1 100.0 0.21276596 0.2507488 0.30851063 0.81395346 0.88139534 0.9302326
17 0.11764706 0.2882353 0.5882353 1.0 96.3 101.0 0.21276596 0.25132495 0.30851063 0.81395346 0.88023263 0.9302326
18 0.11111111 0.2888889 0.6111111 1.0 96.6 101.0 0.21276596 0.25149605 0.30526316 0.81395346 0.8872093 0.9302326
19 0.15789473 0.30526313 0.6315789 1.0 96.8 101.0 0.21052632 0.2520505 0.30526316 0.81395346 0.8872093 0.9302326
20 0.15 0.3 0.6 1.0 96.9 101.0 0.21052632 0.25277743 0.30526316 0.81395346 0.8872093 0.9302326
21 0.14285715 0.29523808 0.5714286 1.0 97.2 101.0 0.20833333 0.25205287 0.30526316 0.81395346 0.88953495 0.9302326
22 0.13636364 0.29545456 0.54545456 1.0 97.4 101.0 0.20833333 0.25247255 0.30208334 0.81395346 0.8883721 0.9302326
23 0.17391305 0.29565215 0.5652174 1.0 97.8 102.0 0.20833333 0.25140566 0.29896906 0.81395346 0.8883721 0.9302326
24 0.16666667 0.2916667 0.5416667 1.0 98.0 102.0 0.20833333 0.2508629 0.29896906 0.81395346 0.8883721 0.9302326
25 0.2 0.28800002 0.52 1.0 98.1 102.0 0.20833333 0.25162062 0.29896906 0.8255814 0.89069766 0.9302326
26 0.1923077 0.28461537 0.5 1.0 98.4 102.0 0.20833333 0.25188905 0.29896906 0.8255814 0.8883721 0.9302326
27 0.18518518 0.2851852 0.4814815 1.0 98.6 102.0 0.20833333 0.25232133 0.29591838 0.8255814 0.88953495 0.9302326
28 0.17857143 0.29285714 0.5 1.0 99.0 103.0 0.20833333 0.25226924 0.2929293 0.8255814 0.88953495 0.9302326
29 0.1724138 0.29310346 0.51724136 1.0 99.1 103.0 0.20833333 0.2530478 0.2929293 0.8255814 0.8883721 0.9302326
30 0.2 0.30333334 0.5 1.0 99.3 103.0 0.20833333 0.25252813 0.29 0.8255814 0.8906978 0.94186044
31 0.22580644 0.31290323 0.516129 1.0 99.6 103.0 0.20833333 0.25170097 0.28712872 0.8255814 0.8906978 0.94186044
32 0.21875 0.315625 0.5 1.0 99.8 103.0 0.20618556 0.25123873 0.28712872 0.8255814 0.8906978 0.94186044
33 0.21212122 0.3151515 0.4848485 1.0 100.0 104.0 0.20618556 0.25072247 0.28712872 0.8255814 0.8906978 0.9302326
34 0.20588236 0.30882353 0.47058824 1.0 100.4 105.0 0.20618556 0.2497123 0.28712872 0.8255814 0.8918605 0.94186044
35 0.2 0.30857143 0.4857143 1.0 100.6 105.0 0.20618556 0.25022298 0.28712872 0.8255814 0.8918605 0.94186044
36 0.22222222 0.3138889 0.5 1.0 100.6 105.0 0.21649484 0.25220627 0.28712872 0.8255814 0.8918605 0.94186044
37 0.21621622 0.31351352 0.4864865 1.0 100.7 105.0 0.21649484 0.25298405 0.28712872 0.8255814 0.8918605 0.94186044
38 0.21052632 0.3210526 0.5 1.0 101.0 105.0 0.21428572 0.2522231 0.28712872 0.8255814 0.8930233 0.95348835
39 0.20512821 0.3230769 0.4871795 1.0 101.2 105.0 0.21212122 0.25275975 0.28712872 0.8255814 0.894186 0.95348835
40 0.2 0.32 0.5 1.0 101.1 105.0 0.21428572 0.25396222 0.29 0.8255814 0.894186 0.95348835
41 0.2195122 0.3195122 0.4878049 1.0 101.3 106.0 0.21428572 0.2534884 0.2929293 0.8255814 0.894186 0.95348835
42 0.21428572 0.31666666 0.5 1.0 101.3 106.0 0.21428572 0.25355023 0.29591838 0.81395346 0.89069766 0.95348835
43 0.20930232 0.31627908 0.4883721 1.0 101.4 106.0 0.21428572 0.25429323 0.29591838 0.81395346 0.89069766 0.95348835
44 0.20454545 0.3181818 0.5 1.0 101.3 106.0 0.21428572 0.25557607 0.29591838 0.81395346 0.89069766 0.95348835
45 0.2 0.3177778 0.4888889 1.0 101.3 106.0 0.22 0.25756735 0.29591838 0.81395346 0.88953495 0.95348835
46 0.19565217 0.3217391 0.5 1.0 101.6 107.0 0.22 0.2568036 0.2929293 0.81395346 0.8918605 0.95348835
47 0.21276596 0.31914896 0.4893617 1.0 101.9 107.0 0.21782178 0.25702095 0.2929293 0.81395346 0.89418614 0.95348835
48 0.20833333 0.3229167 0.5 1.0 102.3 107.0 0.21782178 0.25599718 0.2929293 0.81395346 0.89418614 0.95348835
49 0.20408164 0.32653064 0.48979592 1.0 102.4 108.0 0.21782178 0.25671643 0.2929293 0.8255814 0.8953489 0.95348835
50 0.2 0.326 0.48 1.0 102.5 109.0 0.22 0.257365 0.29 0.8255814 0.8965117 0.95348835
51 0.19607843 0.3254902 0.49019608 1.0 102.5 109.0 0.22 0.257365 0.29 0.8255814 0.8965117 0.95348835
52 0.1923077 0.32692307 0.5 1.0 102.6 109.0 0.22 0.25708064 0.29 0.8255814 0.89418614 0.95348835
53 0.18867925 0.33207545 0.509434 1.0 102.6 109.0 0.22 0.2580422 0.29 0.8255814 0.8930233 0.95348835
54 0.18518518 0.3333333 0.5185185 1.0 102.9 109.0 0.21782178 0.2573262 0.29 0.8255814 0.8930233 0.95348835
55 0.18181819 0.33090907 0.5090909 1.0 103.0 109.0 0.21782178 0.25710398 0.29 0.8255814 0.8930233 0.95348835
56 0.19642857 0.3285714 0.51785713 1.0 103.3 110.0 0.21568628 0.2564012 0.29 0.8255814 0.8918605 0.95348835
57 0.19298245 0.3263158 0.50877196 1.0 103.3 110.0 0.21568628 0.25740117 0.3 0.8255814 0.89069766 0.95348835
58 0.20689656 0.32586205 0.5 1.0 103.6 111.0 0.21568628 0.2576079 0.3 0.8255814 0.89069766 0.95348835
59 0.20338982 0.3237288 0.5084746 1.0 103.6 110.0 0.21359223 0.25864077 0.31 0.8255814 0.88953495 0.95348835
60 0.2 0.325 0.51666665 1.0 103.8 110.0 0.21359223 0.2610634 0.32 0.81395346 0.8872093 0.95348835
61 0.21311475 0.32786885 0.52459013 1.0 104.0 110.0 0.21359223 0.260533 0.31683168 0.81395346 0.8883721 0.95348835
62 0.22580644 0.33064514 0.516129 1.0 103.9 110.0 0.21359223 0.2617403 0.31683168 0.81395346 0.8883721 0.95348835
63 0.22222222 0.33015877 0.52380955 1.0 104.1 110.0 0.21359223 0.26408222 0.31683168 0.81395346 0.8883721 0.95348835
64 0.234375 0.3296875 0.515625 1.0 104.3 110.0 0.21153846 0.2645008 0.3137255 0.81395346 0.8860465 0.95348835
65 0.23076923 0.3323077 0.50769234 1.0 104.4 110.0 0.21153846 0.26521388 0.3137255 0.81395346 0.8860465 0.95348835
66 0.24242425 0.33484846 0.5 1.0 104.7 110.0 0.21153846 0.2653575 0.3106796 0.81395346 0.8860465 0.95348835
67 0.23880596 0.33283585 0.5074627 1.0 104.9 109.0 0.21153846 0.26670128 0.30769232 0.81395346 0.8883721 0.95348835
68 0.23529412 0.33088237 0.5147059 1.0 105.1 109.0 0.21153846 0.26809397 0.30555555 0.81395346 0.8883721 0.95348835
69 0.23188406 0.3333333 0.5217391 1.0 105.0 109.0 0.21153846 0.26835954 0.30555555 0.81395346 0.8883721 0.95348835
70 0.24285714 0.33428574 0.51428574 1.0 105.1 109.0 0.21153846 0.26810387 0.30555555 0.81395346 0.8883721 0.95348835
71 0.2535211 0.33802816 0.52112675 1.0 105.3 110.0 0.22115384 0.268557 0.30555555 0.81395346 0.89418614 0.95348835
72 0.25 0.33611113 0.5138889 1.0 105.5 110.0 0.22115384 0.26807594 0.30555555 0.81395346 0.8930233 0.95348835
73 0.26027396 0.3369863 0.5068493 1.0 105.7 111.0 0.22115384 0.26854795 0.30555555 0.8023256 0.894186 0.95348835
74 0.25675675 0.33378378 0.5 1.0 105.9 111.0 0.21904762 0.26807594 0.30555555 0.8023256 0.894186 0.95348835
75 0.25333333 0.3333333 0.49333334 1.0 106.1 111.0 0.21698113 0.26758176 0.30555555 0.8023256 0.89418614 0.95348835
76 0.25 0.3315789 0.5 1.0 106.3 111.0 0.21495327 0.26808465 0.30555555 0.8023256 0.89418614 0.95348835
77 0.24675325 0.32987013 0.5064935 1.0 106.4 112.0 0.21495327 0.2688129 0.30555555 0.7906977 0.89418614 0.96511626
78 0.24358974 0.32820517 0.5 1.0 106.5 112.0 0.21296297 0.26861387 0.30555555 0.7906977 0.89069766 0.95348835
79 0.24050634 0.32784814 0.5063291 1.0 106.6 112.0 0.21296297 0.26928595 0.3027523 0.7906977 0.89069766 0.94186044
80 0.25 0.32750002 0.5 1.0 106.9 112.0 0.21296297 0.26849693 0.3027523 0.7906977 0.89069766 0.94186044
