rank min-srate avg-srate max-srate min-size avg-size max-size min-prec avg-prec max-prec min-rec avg-rec max-rec
1 0.0 0.3 1.0 1.0 92.1 93.0 0.20652173 0.25407898 0.3043478 0.8255814 0.8872093 0.94186044
2 0.0 0.35 0.5 1.0 92.4 93.0 0.20652173 0.25326085 0.3043478 0.8255814 0.88953495 0.94186044
3 0.0 0.3333333 0.6666667 1.0 92.6 94.0 0.20652173 0.25374576 0.30107528 0.8255814 0.8860466 0.94186044
4 0.0 0.325 0.5 1.0 92.7 94.0 0.2173913 0.25883666 0.31182796 0.8255814 0.8883721 0.94186044
5 0.0 0.38000005 0.6 1.0 92.9 95.0 0.2173913 0.2604155 0.31182796 0.8255814 0.8883721 0.94186044
6 0.16666667 0.39999998 0.6666667 1.0 93.0 96.0 0.2173913 0.26120573 0.31182796 0.8255814 0.8883721 0.94186044
7 0.2857143 0.37142864 0.5714286 1.0 93.1 96.0 0.2173913 0.26414084 0.31182796 0.8372093 0.8906978 0.9302326
8 0.25 0.3625 0.625 1.0 93.3 96.0 0.2173913 0.26358026 0.31182796 0.8488372 0.8918605 0.9302326
9 0.22222222 0.35555553 0.5555556 1.0 93.7 97.0 0.2173913 0.26346117 0.30851063 0.8488372 0.8918606 0.9302326
10 0.2 0.32999998 0.5 1.0 94.1 97.0 0.2173913 0.2623344 0.30851063 0.8604651 0.8965117 0.9302326
11 0.18181819 0.32727274 0.45454547 1.0 94.4 97.0 0.22826087 0.26473707 0.30851063 0.8604651 0.8965117 0.9302326
12 0.16666667 0.34166667 0.41666666 1.0 94.8 98.0 0.22580644 0.26471788 0.30851063 0.8488372 0.89534885 0.9302326
13 0.23076923 0.34615386 0.46153846 1.0 94.9 98.0 0.22580644 0.26542404 0.30526316 0.8488372 0.89418614 0.9302326
14 0.21428572 0.3357143 0.5 1.0 95.0 99.0 0.22580644 0.26721853 0.30526316 0.8488372 0.8930233 0.9302326
15 0.2 0.32666668 0.46666667 1.0 95.0 100.0 0.22826087 0.26823342 0.30526316 0.8488372 0.8965117 0.9302326
16 0.1875 0.31875 0.4375 1.0 95.2 100.0 0.22580644 0.2688294 0.30851063 0.8488372 0.8953489 0.9302326
17 0.1764706 0.30588233 0.4117647 1.0 95.7 101.0 0.22340426 0.26959845 0.31914893 0.8488372 0.8953489 0.9302326
18 0.16666667 0.31111112 0.44444445 1.0 95.9 101.0 0.22340426 0.27004102 0.31578946 0.8488372 0.89651173 0.94186044
19 0.15789473 0.30526316 0.42105263 1.0 96.2 101.0 0.22105263 0.27030608 0.31578946 0.8488372 0.9011629 0.94186044
20 0.15 0.3 0.45 1.0 96.2 101.0 0.22105263 0.27344248 0.31578946 0.8488372 0.8988374 0.9302326
21 0.14285715 0.2952381 0.42857143 1.0 96.5 101.0 0.21875 0.27262595 0.31578946 0.8488372 0.9 0.94186044
22 0.13636364 0.29545456 0.4090909 1.0 96.6 101.0 0.21875 0.27331895 0.31578946 0.8488372 0.9011628 0.94186044
23 0.17391305 0.29130432 0.39130434 1.0 96.8 101.0 0.21875 0.27373096 0.3125 0.8488372 0.905814 0.94186044
24 0.16666667 0.2875 0.41666666 1.0 97.0 101.0 0.21875 0.2731138 0.30927834 0.8488372 0.9081395 0.94186044
25 0.16 0.288 0.4 1.0 97.0 101.0 0.22916667 0.2772655 0.30927834 0.8488372 0.9081395 0.94186044
26 0.15384616 0.28461543 0.3846154 1.0 97.2 101.0 0.22916667 0.27772838 0.31958762 0.8488372 0.90930235 0.95348835
27 0.14814815 0.2814815 0.37037036 1.0 97.5 101.0 0.23958333 0.27989548 0.31632653 0.8372093 0.9081395 0.95348835
28 0.17857143 0.29285714 0.39285713 1.0 97.8 101.0 0.23958333 0.27900416 0.3131313 0.8372093 0.9081395 0.95348835
29 0.1724138 0.3 0.41379312 1.0 97.9 101.0 0.23958333 0.2807867 0.3131313 0.8488372 0.9081396 0.95348835
30 0.2 0.30333334 0.43333334 1.0 98.0 101.0 0.23958333 0.28050998 0.3131313 0.8488372 0.9069768 0.95348835
31 0.22580644 0.31935483 0.4516129 1.0 98.1 101.0 0.23958333 0.28023273 0.3131313 0.8488372 0.9069768 0.95348835
32 0.21875 0.31875 0.46875 1.0 98.4 101.0 0.23958333 0.27936676 0.31 0.8488372 0.9069768 0.95348835
33 0.21212122 0.3212121 0.45454547 1.0 98.5 102.0 0.23958333 0.27909455 0.3131313 0.8488372 0.905814 0.95348835
34 0.20588236 0.31176472 0.44117647 1.0 98.7 103.0 0.23958333 0.278598 0.3131313 0.8372093 0.90348846 0.95348835
35 0.2 0.31428576 0.42857143 1.0 98.5 103.0 0.23958333 0.2801994 0.31632653 0.8372093 0.90465117 0.95348835
36 0.22222222 0.32500002 0.44444445 1.0 98.5 103.0 0.23958333 0.2811703 0.31632653 0.8372093 0.90465117 0.95348835
37 0.21621622 0.32972974 0.43243244 1.0 98.6 103.0 0.23958333 0.2829267 0.3265306 0.8372093 0.90348846 0.95348835
38 0.23684211 0.32894737 0.42105263 1.0 98.6 102.0 0.2371134 0.2839406 0.3265306 0.8372093 0.90232563 0.95348835
39 0.25641027 0.33076924 0.41025642 1.0 98.8 102.0 0.23469388 0.28449517 0.3265306 0.8372093 0.90465117 0.95348835
40 0.25 0.32500002 0.4 1.0 98.9 102.0 0.23469388 0.28713292 0.3265306 0.8372093 0.9104651 0.9767442
41 0.24390244 0.32439023 0.41463414 1.0 99.1 103.0 0.2371134 0.28859484 0.3265306 0.8372093 0.9093024 0.9767442
42 0.26190478 0.3214286 0.4047619 1.0 99.1 103.0 0.2371134 0.29158613 0.3265306 0.8372093 0.9093024 0.9767442
43 0.25581396 0.3232558 0.41860464 1.0 99.1 103.0 0.2371134 0.29158613 0.3265306 0.8372093 0.91162795 0.9767442
44 0.27272728 0.325 0.4090909 1.0 99.1 103.0 0.2371134 0.29464126 0.32978722 0.8372093 0.91162795 0.9767442
45 0.2888889 0.32444447 0.4 1.0 99.1 103.0 0.2371134 0.29764205 0.32978722 0.8372093 0.91162795 0.9767442
46 0.2826087 0.32391304 0.39130434 1.0 99.2 104.0 0.23469388 0.29741734 0.33333334 0.8255814 0.9069767 0.9767442
47 0.29787233 0.32765955 0.40425533 1.0 99.2 104.0 0.23469388 0.29741734 0.33333334 0.8255814 0.9069767 0.9767442
48 0.29166666 0.32916665 0.41666666 1.0 99.6 104.0 0.23469388 0.2961946 0.32978722 0.8255814 0.90232563 0.9302326
49 0.30612245 0.3326531 0.40816328 1.0 99.9 105.0 0.23469388 0.29625702 0.32978722 0.8255814 0.90232563 0.9302326
50 0.3 0.334 0.4 1.0 99.9 105.0 0.23469388 0.29832083 0.34042552 0.8255814 0.90232563 0.9302326
51 0.29411766 0.33529413 0.4117647 1.0 99.9 105.0 0.24489796 0.3003305 0.34408602 0.8255814 0.9011628 0.9302326
52 0.28846154 0.33846152 0.42307693 1.0 100.1 106.0 0.24242425 0.29983515 0.34408602 0.8255814 0.90232563 0.9302326
