rank min-srate avg-srate max-srate min-size avg-size max-size min-prec avg-prec max-prec min-rec avg-rec max-rec
1 0.0 0.4 1.0 1.0 92.1 93.0 0.20652173 0.25515428 0.3152174 0.8255814 0.89069766 0.94186044
2 0.0 0.35 1.0 1.0 92.4 93.0 0.20652173 0.2554465 0.32608697 0.8255814 0.8918605 0.94186044
3 0.0 0.33333334 0.6666667 1.0 92.5 94.0 0.20652173 0.25733417 0.32608697 0.8255814 0.88953495 0.94186044
4 0.0 0.3 0.75 1.0 92.6 94.0 0.20652173 0.2591584 0.32608697 0.8255814 0.8883721 0.94186044
5 0.0 0.34000003 0.8 1.0 92.8 95.0 0.20652173 0.25856957 0.32608697 0.8372093 0.8860466 0.94186044
6 0.16666667 0.3333333 0.6666667 1.0 93.1 96.0 0.2173913 0.25990367 0.32608697 0.8372093 0.8860466 0.94186044
7 0.14285715 0.28571433 0.5714286 1.0 93.2 97.0 0.22340426 0.2629023 0.32608697 0.8372093 0.88488376 0.9302326
8 0.125 0.2625 0.5 1.0 93.3 98.0 0.22580644 0.26366904 0.33695653 0.8488372 0.883721 0.9302326
9 0.11111111 0.26666668 0.44444445 1.0 93.5 97.0 0.22826087 0.26403904 0.33333334 0.8488372 0.88139534 0.9302326
10 0.1 0.27 0.5 1.0 93.8 97.0 0.22826087 0.26322067 0.33333334 0.8488372 0.8802325 0.9302326
11 0.09090909 0.2818182 0.54545456 1.0 93.9 97.0 0.23913044 0.2661777 0.33333334 0.8488372 0.8872093 0.94186044
12 0.16666667 0.3 0.5833333 1.0 94.4 97.0 0.23655914 0.26482496 0.33333334 0.8604651 0.88953483 0.94186044
13 0.15384616 0.30769232 0.61538464 1.0 94.5 97.0 0.23655914 0.26656514 0.32978722 0.8604651 0.8918605 0.94186044
14 0.14285715 0.29285714 0.5714286 1.0 94.7 98.0 0.23913044 0.26912707 0.32978722 0.8604651 0.89534885 0.94186044
15 0.13333334 0.29333335 0.6 1.0 95.0 99.0 0.23655914 0.2693453 0.32978722 0.8604651 0.89534885 0.94186044
16 0.1875 0.3 0.5625 1.0 95.2 99.0 0.23404256 0.270848 0.32978722 0.8604651 0.89418614 0.94186044
17 0.1764706 0.3058824 0.5294118 1.0 95.5 99.0 0.23404256 0.27003658 0.32978722 0.8604651 0.89418614 0.94186044
18 0.16666667 0.32777777 0.5555556 1.0 95.6 99.0 0.23404256 0.2697844 0.32978722 0.8604651 0.8965117 0.94186044
19 0.15789473 0.33157894 0.57894737 1.0 95.7 99.0 0.23404256 0.27056295 0.32978722 0.8604651 0.9 0.94186044
20 0.15 0.325 0.6 1.0 95.9 99.0 0.23404256 0.27419212 0.34042552 0.8604651 0.90232563 0.94186044
21 0.14285715 0.32857144 0.5714286 1.0 96.0 99.0 0.23404256 0.27499685 0.34042552 0.8604651 0.9 0.94186044
22 0.13636364 0.32272726 0.54545456 1.0 96.1 99.0 0.24210526 0.27678567 0.34042552 0.8604651 0.894186 0.9302326
23 0.13043478 0.3173913 0.5652174 1.0 96.1 99.0 0.24210526 0.27781153 0.34042552 0.8604651 0.894186 0.9302326
24 0.125 0.31666666 0.5416667 1.0 96.3 99.0 0.24210526 0.27931565 0.34042552 0.8604651 0.89534885 0.94186044
25 0.12 0.31599998 0.52 1.0 96.3 100.0 0.24210526 0.28033826 0.34042552 0.8372093 0.8930232 0.94186044
26 0.115384616 0.31153846 0.53846157 1.0 96.4 100.0 0.25263157 0.28320104 0.35106382 0.8372093 0.8988372 0.94186044
27 0.11111111 0.3074074 0.5555556 1.0 96.7 100.0 0.2580645 0.2843365 0.34736842 0.8372093 0.8988372 0.94186044
28 0.10714286 0.3142857 0.53571427 1.0 96.8 100.0 0.2580645 0.28397465 0.34375 0.8488372 0.8988372 0.94186044
29 0.10344828 0.3172414 0.51724136 1.0 96.7 100.0 0.2580645 0.2853569 0.34736842 0.8488372 0.9023255 0.94186044
30 0.13333334 0.32666668 0.5 1.0 97.0 100.0 0.25531915 0.28652462 0.35416666 0.8488372 0.9023255 0.94186044
31 0.16129032 0.33870965 0.516129 1.0 97.3 100.0 0.25510204 0.285577 0.35051546 0.8488372 0.90465117 0.94186044
32 0.15625 0.3375 0.53125 1.0 97.6 100.0 0.25263157 0.2867762 0.35051546 0.8488372 0.9058139 0.95348835
33 0.15151516 0.33939394 0.5151515 1.0 97.7 101.0 0.25263157 0.28860623 0.35416666 0.8488372 0.90348834 0.95348835
34 0.14705883 0.33823532 0.5294118 1.0 97.9 102.0 0.25252524 0.2880167 0.35051546 0.8488372 0.8999999 0.95348835
35 0.14285715 0.33428574 0.51428574 1.0 98.2 102.0 0.25263157 0.29006165 0.3469388 0.8488372 0.90116274 0.95348835
36 0.16666667 0.34444442 0.5277778 1.0 98.2 102.0 0.25263157 0.29104203 0.3469388 0.8488372 0.8988372 0.94186044
37 0.1891892 0.34864864 0.5135135 1.0 98.3 102.0 0.25 0.29179928 0.35714287 0.8488372 0.8988372 0.94186044
38 0.21052632 0.3421053 0.5 1.0 98.5 102.0 0.24742268 0.29231995 0.35714287 0.8488372 0.8988372 0.94186044
39 0.23076923 0.34358975 0.4871795 1.0 98.6 102.0 0.24742268 0.29309344 0.35714287 0.8372093 0.8965117 0.94186044
40 0.25 0.33999997 0.475 1.0 98.6 102.0 0.24742268 0.29506272 0.35714287 0.8488372 0.8965117 0.94186044
41 0.24390244 0.33902436 0.46341464 1.0 98.9 103.0 0.25773194 0.29726753 0.36734694 0.8488372 0.89883727 0.94186044
42 0.23809524 0.3404762 0.45238096 1.0 98.9 103.0 0.25773194 0.29923838 0.36734694 0.8488372 0.8953489 0.94186044
43 0.23255815 0.34418604 0.4651163 1.0 98.9 104.0 0.25773194 0.3012194 0.36734694 0.8372093 0.89534885 0.94186044
44 0.22727273 0.34545454 0.47727272 1.0 99.0 104.0 0.25773194 0.30195743 0.36734694 0.8372093 0.8988372 0.95348835
45 0.24444444 0.34444445 0.46666667 1.0 99.0 104.0 0.25773194 0.30385742 0.36734694 0.8255814 0.89767444 0.95348835
46 0.23913044 0.34782606 0.45652175 1.0 98.9 104.0 0.26595744 0.3062324 0.36734694 0.8255814 0.89651173 0.95348835
47 0.25531915 0.35106382 0.44680852 1.0 99.1 104.0 0.26530612 0.30562225 0.36734694 0.8255814 0.8976744 0.95348835
48 0.25 0.35 0.4375 1.0 99.3 104.0 0.26262626 0.3050743 0.36734694 0.8488372 0.9 0.96511626
49 0.24489796 0.3469388 0.4489796 1.0 99.5 104.0 0.26262626 0.30535224 0.36363637 0.8488372 0.8988372 0.96511626
50 0.24 0.35 0.46 1.0 99.5 105.0 0.26530612 0.3073476 0.36363637 0.8488372 0.9 0.96511626
51 0.25490198 0.3509804 0.4509804 1.0 99.5 105.0 0.26530612 0.30740973 0.36363637 0.8488372 0.8988372 0.96511626
