rank min-srate avg-srate max-srate min-size avg-size max-size min-prec avg-prec max-prec min-rec avg-rec max-rec
1 0.0 0.3 1.0 1.0 92.1 93.0 0.20652173 0.254079 0.3043478 0.8255814 0.8918605 0.94186044
2 0.0 0.25 0.5 1.0 92.5 93.0 0.20652173 0.25404987 0.3152174 0.8255814 0.89069766 0.94186044
3 0.0 0.26666665 0.6666667 1.0 92.7 94.0 0.20652173 0.2545231 0.31182796 0.8255814 0.8872094 0.94186044
4 0.0 0.3 0.5 1.0 92.6 94.0 0.20652173 0.25585574 0.31182796 0.8255814 0.8906978 0.96511626
5 0.0 0.3 0.6 1.0 92.7 95.0 0.20879121 0.2565689 0.31182796 0.8255814 0.8930233 0.96511626
6 0.0 0.28333336 0.5 1.0 93.0 96.0 0.20879121 0.25574052 0.31182796 0.8255814 0.88953495 0.96511626
7 0.14285715 0.25714287 0.42857143 1.0 93.2 97.0 0.20879121 0.25520808 0.31182796 0.8372093 0.89069766 0.96511626
8 0.125 0.25 0.375 1.0 93.5 98.0 0.20879121 0.25441223 0.31182796 0.8488372 0.8930233 0.96511626
9 0.11111111 0.26666665 0.33333334 1.0 93.8 98.0 0.20879121 0.25351042 0.30851063 0.8488372 0.8930233 0.95348835
10 0.1 0.26000002 0.4 1.0 94.2 98.0 0.20879121 0.25246355 0.30851063 0.8488372 0.89418614 0.96511626
11 0.09090909 0.2727273 0.36363637 1.0 94.3 98.0 0.21111111 0.25216922 0.30851063 0.8488372 0.8965117 0.96511626
12 0.16666667 0.28333336 0.41666666 1.0 94.8 98.0 0.20879121 0.25086397 0.30851063 0.8488372 0.89883727 0.9767442
13 0.15384616 0.3 0.46153846 1.0 94.6 97.0 0.20879121 0.25138518 0.30851063 0.81395346 0.89534885 0.9767442
14 0.14285715 0.3 0.42857143 1.0 94.4 97.0 0.21111111 0.25396305 0.30851063 0.81395346 0.8988372 0.9767442
15 0.13333334 0.29333335 0.4 1.0 94.5 98.0 0.22222222 0.25478512 0.30851063 0.81395346 0.90348834 0.9767442
16 0.125 0.2875 0.375 1.0 94.8 98.0 0.21978022 0.25504085 0.30851063 0.81395346 0.905814 0.9767442
17 0.11764706 0.2941177 0.3529412 1.0 95.2 99.0 0.2173913 0.2540097 0.30851063 0.81395346 0.9081395 0.9767442
18 0.11111111 0.3 0.3888889 1.0 95.3 99.0 0.21978022 0.25368315 0.30526316 0.8023256 0.90930235 0.9767442
19 0.10526316 0.29999998 0.42105263 1.0 95.5 100.0 0.21978022 0.2541794 0.30526316 0.8023256 0.9104651 0.9767442
20 0.1 0.3 0.4 1.0 95.5 99.0 0.2173913 0.25528604 0.30526316 0.8023256 0.9104651 0.9767442
21 0.0952381 0.29523808 0.42857143 1.0 95.6 99.0 0.21505377 0.2550523 0.30526316 0.8023256 0.9081396 0.9767442
