rank min-srate avg-srate max-srate min-size avg-size max-size min-prec avg-prec max-prec min-rec avg-rec max-rec
1 0.0 0.3 1.0 1.0 92.1 93.0 0.20652173 0.25516596 0.3043478 0.8255814 0.88953495 0.94186044
2 0.0 0.3 0.5 1.0 92.5 93.0 0.20652173 0.2551426 0.3043478 0.8255814 0.8918605 0.94186044
3 0.0 0.29999998 0.6666667 1.0 92.6 94.0 0.20652173 0.25479767 0.30107528 0.8255814 0.8883721 0.94186044
4 0.0 0.3 0.5 1.0 92.9 94.0 0.2173913 0.25940287 0.31182796 0.8255814 0.8906978 0.94186044
5 0.0 0.32000002 0.6 1.0 93.2 95.0 0.2173913 0.25856844 0.31182796 0.81395346 0.8872093 0.94186044
6 0.16666667 0.31666666 0.5 1.0 93.7 96.0 0.2173913 0.25829953 0.31182796 0.81395346 0.8872093 0.94186044
7 0.14285715 0.28571433 0.42857143 1.0 93.9 97.0 0.2173913 0.2598854 0.31182796 0.81395346 0.88953495 0.94186044
8 0.125 0.3 0.5 1.0 93.9 97.0 0.21978022 0.25983435 0.31182796 0.81395346 0.8872093 0.9302326
9 0.11111111 0.31111112 0.44444445 1.0 94.2 98.0 0.21978022 0.26000246 0.30851063 0.81395346 0.8872093 0.9302326
10 0.1 0.32000002 0.5 1.0 94.4 98.0 0.22916667 0.26162535 0.31914893 0.8023256 0.8883721 0.9302326
11 0.09090909 0.31818184 0.45454547 1.0 94.7 98.0 0.23958333 0.26297036 0.31914893 0.8023256 0.8883721 0.9302326
12 0.16666667 0.3333333 0.5 1.0 95.3 99.0 0.23913044 0.2613421 0.31914893 0.8023256 0.8883721 0.9302326
13 0.23076923 0.34615386 0.53846157 1.0 95.1 99.0 0.23913044 0.26292884 0.31914893 0.76744187 0.8848837 0.9302326
14 0.21428572 0.33571428 0.5 1.0 95.2 99.0 0.23958333 0.26480058 0.31914893 0.76744187 0.8872093 0.9302326
15 0.2 0.32666668 0.53333336 1.0 95.3 99.0 0.23958333 0.2666486 0.32978722 0.76744187 0.8918605 0.95348835
16 0.1875 0.31875 0.5 1.0 95.6 100.0 0.23958333 0.26690584 0.32978722 0.7790698 0.8918605 0.95348835
17 0.1764706 0.31176472 0.47058824 1.0 96.1 101.0 0.2371134 0.2676881 0.34042552 0.7790698 0.8930233 0.95348835
18 0.16666667 0.3222222 0.5 1.0 96.3 101.0 0.23469388 0.26813018 0.33684212 0.7790698 0.8965117 0.95348835
