rank min-srate avg-srate max-srate min-size avg-size max-size min-prec avg-prec max-prec min-rec avg-rec max-rec
1 0.0 0.3 1.0 1.0 92.1 93.0 0.20652173 0.25190508 0.3043478 0.8255814 0.8906978 0.94186044
2 0.0 0.25 0.5 1.0 92.6 93.0 0.20652173 0.25053763 0.3043478 0.8255814 0.8906978 0.94186044
3 0.0 0.29999998 0.6666667 1.0 92.7 94.0 0.20652173 0.25242507 0.3043478 0.8255814 0.8872093 0.94186044
4 0.0 0.3 0.5 1.0 92.8 94.0 0.2173913 0.2532089 0.3043478 0.8255814 0.8883721 0.94186044
5 0.2 0.32 0.6 1.0 93.0 95.0 0.2173913 0.25374144 0.3043478 0.81395346 0.8848837 0.95348835
6 0.16666667 0.29999998 0.5 1.0 93.3 96.0 0.2173913 0.2529525 0.3043478 0.81395346 0.88139534 0.95348835
7 0.14285715 0.2714286 0.42857143 1.0 93.3 97.0 0.2173913 0.25402218 0.3043478 0.81395346 0.88139534 0.95348835
8 0.125 0.25 0.375 1.0 93.4 98.0 0.2173913 0.25486118 0.3043478 0.8255814 0.88255817 0.96511626
9 0.11111111 0.24444444 0.33333334 1.0 93.8 98.0 0.2173913 0.25575075 0.30107528 0.8255814 0.8872093 0.96511626
10 0.1 0.24000001 0.4 1.0 94.0 98.0 0.22826087 0.25627095 0.30107528 0.81395346 0.88837206 0.96511626
11 0.09090909 0.2636364 0.45454547 1.0 94.1 98.0 0.23913044 0.25710037 0.30107528 0.81395346 0.88488376 0.9302326
12 0.083333336 0.275 0.5 1.0 94.5 98.0 0.23655914 0.25602764 0.30107528 0.81395346 0.8872093 0.94186044
13 0.07692308 0.2923077 0.53846157 1.0 94.4 98.0 0.23655914 0.2562961 0.30107528 0.8023256 0.8872093 0.94186044
14 0.14285715 0.29285717 0.5714286 1.0 94.5 98.0 0.23655914 0.25601617 0.30107528 0.8023256 0.8906978 0.94186044
15 0.13333334 0.28 0.53333336 1.0 94.6 99.0 0.23655914 0.2557646 0.30107528 0.8023256 0.88488376 0.9302326
16 0.125 0.28125 0.5 1.0 94.7 99.0 0.23404256 0.2565882 0.31182796 0.8023256 0.8883721 0.9302326
17 0.11764706 0.2764706 0.47058824 1.0 95.0 100.0 0.23157895 0.25580636 0.31182796 0.8023256 0.88488376 0.9186047
18 0.11111111 0.27777776 0.44444445 1.0 95.1 100.0 0.23404256 0.25546446 0.30851063 0.8023256 0.8860466 0.9186047
19 0.10526316 0.27894738 0.47368422 1.0 95.2 101.0 0.23404256 0.2551971 0.30851063 0.8023256 0.8872094 0.9302326
20 0.15 0.28 0.45 1.0 95.3 101.0 0.23404256 0.25697693 0.30851063 0.8023256 0.8860466 0.9302326
