rank min-srate avg-srate max-srate min-size avg-size max-size min-prec avg-prec max-prec min-rec avg-rec max-rec
1 0.0 0.3 1.0 1.0 92.1 93.0 0.20652173 0.25190508 0.3043478 0.8255814 0.8906978 0.94186044
100 0.2 0.343 0.47 1.0 110.1 115.0 0.2293578 0.27695203 0.3125 0.8372093 0.90116274 0.95348835
200 0.315 0.39 0.47 1.0 116.8 120.0 0.27586207 0.32183546 0.37068966 0.8488372 0.9116279 0.96511626
300 0.39333335 0.45 0.51666665 1.0 117.7 120.0 0.30769232 0.36341122 0.43333334 0.872093 0.9186047 0.9883721
400 0.4475 0.49424997 0.55 1.0 117.4 121.0 0.34188035 0.39995703 0.46280992 0.872093 0.91162795 0.95348835
500 0.468 0.5152 0.552 1.0 117.8 123.0 0.37606838 0.4315458 0.4789916 0.8372093 0.89418614 0.9302326
600 0.5083333 0.54616666 0.58 1.0 118.2 126.0 0.4017094 0.45760816 0.5084746 0.8372093 0.894186 0.95348835
700 0.53 0.56685716 0.5957143 1.0 117.4 127.0 0.43103448 0.47716227 0.5350877 0.81395346 0.9069768 0.96511626
800 0.54875 0.58425003 0.61875 1.0 116.2 127.0 0.46721312 0.49521104 0.5565217 0.8488372 0.9069768 0.95348835
900 0.56222224 0.6033333 0.6344444 1.0 114.7 123.0 0.475 0.515005 0.6 0.8488372 0.90348834 0.94186044
1000 0.587 0.61620003 0.647 1.0 113.5 121.0 0.4869565 0.5389327 0.6238532 0.8372093 0.90232563 0.94186044
1100 0.60727274 0.6329091 0.65818185 1.0 113.2 120.0 0.5043478 0.5493883 0.6181818 0.8023256 0.9081396 0.95348835
1200 0.62583333 0.64741665 0.6725 1.0 113.1 119.0 0.51282054 0.5540744 0.6216216 0.8372093 0.905814 0.94186044
1300 0.6430769 0.662 0.6846154 1.0 113.4 119.0 0.5 0.55706435 0.6173913 0.8488372 0.90232563 0.95348835
1400 0.6478571 0.673 0.6957143 1.0 112.5 121.0 0.51754385 0.5652722 0.6283186 0.8255814 0.9116279 0.96511626
1500 0.6573333 0.68313336 0.7046667 1.0 111.5 116.0 0.5315315 0.572677 0.622807 0.8488372 0.9127908 0.95348835
