rank min-srate avg-srate max-srate min-size avg-size max-size min-prec avg-prec max-prec min-rec avg-rec max-rec
1 0.0 0.3 1.0 1.0 92.1 93.0 0.20652173 0.25407898 0.3043478 0.8255814 0.8872093 0.94186044
100 0.29 0.39200002 0.48 1.0 102.4 108.0 0.2857143 0.34575582 0.39 0.7906977 0.8802325 0.9302326
200 0.375 0.45699996 0.545 1.0 105.2 112.0 0.375 0.4241802 0.4954955 0.81395346 0.88488376 0.9302326
300 0.46666667 0.5133333 0.59 1.0 107.3 115.0 0.41666666 0.46247935 0.5304348 0.8372093 0.89767444 0.95348835
400 0.4925 0.56 0.6125 1.0 107.0 114.0 0.4642857 0.49494916 0.539823 0.8488372 0.90232563 0.95348835
500 0.548 0.5922 0.63 1.0 106.6 117.0 0.49107143 0.53179395 0.5833333 0.7790698 0.8651163 0.9302326
600 0.5833333 0.6215001 0.66333336 1.0 106.4 120.0 0.5272727 0.5551922 0.6 0.7906977 0.8744186 0.95348835
700 0.61285716 0.64757144 0.69857144 1.0 105.5 116.0 0.54545456 0.57499343 0.61616164 0.8023256 0.87674415 0.95348835
800 0.625 0.66737497 0.7225 1.0 105.0 113.0 0.5533981 0.5890437 0.61764705 0.8255814 0.88139534 0.94186044
900 0.64444447 0.6847778 0.73777777 1.0 103.1 111.0 0.5585586 0.6097561 0.64 0.8023256 0.8639535 0.9302326
1000 0.653 0.69939995 0.748 1.0 103.3 110.0 0.57272726 0.615024 0.65 0.8488372 0.8848837 0.9302326
1100 0.66727275 0.7141818 0.76363635 1.0 101.9 108.0 0.5943396 0.63151467 0.66 0.8255814 0.8930233 0.95348835
1200 0.68916667 0.72766674 0.77166665 1.0 100.4 107.0 0.58878505 0.64440393 0.68041235 0.8023256 0.87325585 0.95348835
1300 0.70615387 0.74038464 0.7807692 1.0 99.6 105.0 0.6 0.654367 0.6979167 0.8023256 0.8709302 0.94186044
1400 0.7242857 0.75257146 0.7892857 1.0 99.0 103.0 0.61165047 0.65914696 0.6938776 0.8023256 0.86976737 0.94186044
1500 0.73733336 0.7637333 0.79933333 1.0 98.7 104.0 0.61538464 0.66096413 0.6938776 0.8023256 0.8720931 0.94186044
1600 0.750625 0.77425003 0.80875 1.0 97.3 104.0 0.61538464 0.6716524 0.7083333 0.8255814 0.8755814 0.9302326
1700 0.7605882 0.7844117 0.81647056 1.0 96.9 102.0 0.627451 0.6753501 0.7157895 0.8255814 0.88139534 0.94186044
1800 0.77 0.79366666 0.825 1.0 96.0 100.0 0.63 0.6849459 0.7311828 0.8255814 0.8744186 0.9302326
1900 0.77947366 0.8022105 0.8321053 1.0 95.2 98.0 0.65625 0.69152325 0.7311828 0.8255814 0.87558144 0.94186044
2000 0.789 0.8106 0.8375 1.0 94.5 97.0 0.65625 0.6975834 0.7311828 0.8255814 0.8732559 0.9302326
2100 0.7961905 0.81747615 0.84238094 1.0 94.2 97.0 0.6701031 0.6999146 0.74725276 0.8255814 0.8767443 0.9302326
2200 0.8040909 0.8249999 0.8468182 1.0 93.8 96.0 0.67368424 0.7028302 0.74725276 0.8255814 0.87558144 0.9302326
2300 0.8121739 0.8317391 0.85347825 1.0 94.1 96.0 0.67021275 0.70149195 0.73913044 0.8372093 0.8779071 0.94186044
2400 0.81958336 0.83829176 0.8595833 1.0 94.1 97.0 0.6701031 0.70163524 0.73913044 0.8372093 0.8790698 0.94186044
2500 0.8248 0.8440801 0.8652 1.0 94.1 97.0 0.6631579 0.70171195 0.73913044 0.8372093 0.8767443 0.94186044
2600 0.83076924 0.8495385 0.87038463 1.0 93.7 96.0 0.6631579 0.70465744 0.73913044 0.8372093 0.8767443 0.94186044
2700 0.8362963 0.8545926 0.8751852 1.0 93.3 96.0 0.6770833 0.70871973 0.74725276 0.8255814 0.87558144 0.9302326
2800 0.8417857 0.8593572 0.87964284 1.0 92.8 96.0 0.6770833 0.7125124 0.74725276 0.8255814 0.87558144 0.9302326
2900 0.8468965 0.8639655 0.8837931 1.0 92.8 96.0 0.6770833 0.7124444 0.74725276 0.8255814 0.87558144 0.9302326
3000 0.8516667 0.86843336 0.88766664 1.0 92.6 95.0 0.68421054 0.71396863 0.74725276 0.8255814 0.87558144 0.9302326
3100 0.85645163 0.8726451 0.8912903 1.0 92.5 95.0 0.69148934 0.7146965 0.74725276 0.8255814 0.87558144 0.9302326
3200 0.8609375 0.8764688 0.8946875 1.0 92.4 95.0 0.69148934 0.7165248 0.74725276 0.8255814 0.87674415 0.9302326
3300 0.8651515 0.8801818 0.89787877 1.0 92.4 95.0 0.69148934 0.7165248 0.74725276 0.8255814 0.87674415 0.9302326
3400 0.8691176 0.8836765 0.90088236 1.0 92.5 95.0 0.69148934 0.71576035 0.74725276 0.8255814 0.87674415 0.9302326
3500 0.87285715 0.8869715 0.9037143 1.0 92.5 95.0 0.69148934 0.71576035 0.74725276 0.8255814 0.87674415 0.9302326
3600 0.8763889 0.8900833 0.9063889 1.0 92.4 95.0 0.69148934 0.7165497 0.74725276 0.8255814 0.87674415 0.9302326
3700 0.87972975 0.893 0.9089189 1.0 92.4 95.0 0.69148934 0.71653765 0.74725276 0.8255814 0.87674415 0.9302326
3800 0.88289475 0.89581573 0.9113158 1.0 92.4 95.0 0.69148934 0.71653765 0.74725276 0.8255814 0.87674415 0.9302326
3900 0.88589746 0.8984871 0.9135897 1.0 92.4 95.0 0.69148934 0.71653765 0.74725276 0.8255814 0.87674415 0.9302326
4000 0.88875 0.901 0.91575 1.0 92.3 95.0 0.69148934 0.71731913 0.74725276 0.8255814 0.87674415 0.9302326
4100 0.8914634 0.9033658 0.9178049 1.0 92.3 95.0 0.69148934 0.71731406 0.74725276 0.8255814 0.87674415 0.9302326
4200 0.8940476 0.905619 0.9197619 1.0 92.3 95.0 0.68421054 0.71736765 0.74725276 0.8255814 0.87674415 0.9302326
4300 0.8965116 0.90779066 0.9216279 1.0 92.2 95.0 0.69148934 0.7180955 0.74725276 0.8255814 0.87674415 0.9302326
4400 0.8988636 0.90988636 0.9234091 1.0 92.2 95.0 0.69148934 0.7180955 0.74725276 0.8255814 0.87674415 0.9302326
4500 0.9011111 0.9118889 0.9251111 1.0 92.2 95.0 0.69148934 0.7180955 0.74725276 0.8255814 0.87674415 0.9302326
4600 0.9032609 0.91380435 0.92673916 1.0 92.3 95.0 0.69148934 0.71731406 0.74725276 0.8255814 0.87674415 0.9302326
4700 0.90531915 0.91563827 0.9282979 1.0 92.3 95.0 0.69148934 0.71731406 0.74725276 0.8255814 0.87674415 0.9302326
4800 0.90729165 0.9173959 0.9297917 1.0 92.3 95.0 0.69148934 0.71731406 0.74725276 0.8255814 0.87674415 0.9302326
4900 0.9091837 0.91908157 0.93122447 1.0 92.3 95.0 0.69148934 0.71731406 0.74725276 0.8255814 0.87674415 0.9302326
